version 1, schema warscape_rigid_lod_tables, guid 8a9d8839-7f61-4796-be11-25136078d866
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
"-1378174709"	"RigidModels/DeployableItems/earthworks/infantry_earthworks_piece01_destruct01_lod01.rigid_model"	"3_1"	"deployable_item_earthworks"
"-1382637792"	"RigidModels/DeployableItems/cheval_de_frise/cheval_de_frise_piece01_destruct01_lod03.rigid_model"	"3_2"	"deployable_item_chevaux_de_frise"
"-1392999476"	"EngineModels\\Howitzer_7\\howitzer_7_destroyed_model.rigid_model"	"0"	"howitzer_7_destroyed_model_Austria"
"-1396652366"	"RigidModels\\Buildings\\fallen_rotting_log\\large_log_dry_piece01_destruct01_lod01.rigid_model"	"20"	"large_log_dry_piece01_destruct01"
"-1406692490"	"RigidModels\\BattleFieldProps\\woodenfence_piece01_destruct01_lod01.rigid_model"	"20"	"woodenfence_piece01_destruct01"
"-1414212366"	"EngineModels\\Rocket\\rocket_destructed_model.rigid_model"	"0"	"rocket_destructed_model_Russia"
"-142112015"	"RigidModels\\BattleFieldProps\\hedge_small_4_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_winter_small_4_piece01_destruct01"
"-1421156617"	"EngineModels\\Howitzer_5\\howitzer_5_destroyed_model.rigid_model"	"0"	"howitzer_5_destroyed_model"
"-1427606662"	"RigidModels\\BattleFieldProps\\hedge_small_8_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_small_8_piece01_destruct01"
"-1441917751"	"RigidModels\\WarscapeFrame\\ai_hints\\suitable_ground_bombardment.rigid_model"	"1_1"	"suitable_ground_bombardment_marker"
"-1459595328"	"EngineModels\\Field_Cannon_9lb\\field_cannon_9lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Britain_9lb"
"-1466246517"	"EngineModels\\Unicorn_10\\unicorn_10_destroyed_model.rigid_model"	"0"	"unicorn_10_destroyed_model_Russia"
"-1481379336"	"RigidModels\\Buildings\\indian_large_fort_hq\\trash_d02_lod03.rigid_model"	"3_2"	"trash_d02"
"-149091563"	"RigidModels\\city_buildings\\native\\out_build_02.rigid_model"	"1_1"	"city_native_building_02"
"-1510786908"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_piece01_destruct01_lod01.rigid_model"	"20"	"tree_stump_piece01_destruct01"
"-1515659514"	"RigidModels\\outfield\\terrain\\models\\plains_d.rigid_model"	"0"	"plains_d"
"-1525124387"	"RigidModels/artillery/Limber/limber_destroyed_model.rigid_model"	"1_1"	"Ammo_Caisson_Austria_destructed"
"-1537933682"	"RigidModels\\BattlefieldProps\\native_fence_1_piece01_destruct01_lod05.rigid_model"	"0"	"native_fence_1_piece01_destruct01"
"-1538273102"	"RigidModels\\city_buildings\\native\\out_build_03.rigid_model"	"1_1"	"city_native_building_03"
"-1598563579"	"RigidModels\\city_buildings\\us\\out_build_06.rigid_model"	"1_1"	"city_us_building_06"
"-1606652409"	"RigidModels\\city_buildings\\native\\out_townhall.rigid_model"	"1_1"	"city_native_townhall"
"-1643770233"	"RigidModels\\BattleFieldProps\\hedge_small_8_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_winter_small_8_piece01_destruct01"
"-1645530001"	"RigidModels\\Buildings\\indian_large_fort_hq\\trash_lod03.rigid_model"	"3_2"	"trash"
"-1648244158"	"RigidModels\\outfield\\terrain\\models\\hills03_d.rigid_model"	"0"	"hills03_d"
"-1656235621"	"RigidModels\\outfield\\terrain\\models\\islands01_a.rigid_model"	"0"	"islands01_a"
"-1658563849"	"RigidModels\\BattlefieldProps\\native_fence_2_piece01_destruct01_lod05.rigid_model"	"0"	"native_fence_2_piece01_destruct01"
"-1659046177"	"EngineModels\\Naval_Cannon_24lb\\Naval_Cannon_24lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_24lb_destroyed"
"-1670834060"	"EngineModels\\Field_Cannon_6lb\\field_cannon_6lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_France_6lb"
"-1679401773"	"RigidModels\\outfield\\terrain\\models\\plains_a.rigid_model"	"0"	"plains_a"
"-1709325088"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_3_dry_piece01_destruct01_lod01.rigid_model"	"20"	"rock_3_dry_piece01_destruct01"
"-1727761053"	"RigidModels\\outfield\\terrain\\models\\hills02_a.rigid_model"	"0"	"hills02_a"
"-1754965901"	"RigidModels\\BattlefieldProps\\native_fence_8_piece01_destruct01_lod05.rigid_model"	"0"	"native_fence_8_piece01_destruct01"
"-1758365208"	"RigidModels/DeployableItems/gabionade/gabionade_artillery_left_emplacement_piece01_destruct01_lod01.rigid_model"	"0"	"deployable_item_gabionade_left_piece"
"-1783818783"	"RigidModels\\BattlefieldProps\\native_fence_1_piece01_destruct01_lod01.rigid_model"	"20"	"native_fence_1_piece01_destruct01"
"-1784135917"	"RigidModels/Projectile/projectile_grenade.rigid_model_v2"	"0"	"projectile_grenade"
"-1794910586"	"EngineModels\\Unicorn_20\\unicorn_20_destroyed_model.rigid_model"	"0"	"unicorn_20_destroyed_model"
"-1833175781"	"EngineModels\\Field_Cannon_8lb\\field_cannon_8lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_France_8lb"
"-184576905"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_3_wet_piece01_destruct01_lod05.rigid_model"	"0"	"rock_3_wet_piece01_destruct01"
"-1862298520"	"RigidModels\\outfield\\terrain\\models\\hills02_b.rigid_model"	"0"	"hills02_b"
"-1868582569"	"RigidModels\\outfield\\terrain\\models\\mountains_a.rigid_model"	"0"	"mountains_a"
"-1872347818"	"RigidModels\\WarscapeFrame\\ai_hints\\town_cluster.rigid_model"	"1_1"	"town_cluster_marker"
"-1901416055"	"EngineModels\\Naval_Cannon_12lb\\Naval_Cannon_12lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_12lb_destroyed"
"-1932083937"	"EngineModels\\Field_Cannon_6lb\\field_cannon_6lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Britain_6lb"
"-1942946859"	"RigidModels\\city_buildings\\euro\\out_build_02.rigid_model"	"1_1"	"city_euro_building_02"
"-1959060628"	"EngineModels\\Field_Cannon_12lb\\field_cannon_12lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_12lb"
"-1965883421"	"RigidModels\\WarscapeFrame\\ai_hints\\redoubt.rigid_model"	"1_1"	"redoubt_marker"
"-1968633972"	"RigidModels/Projectile/projectile_chainshot02.rigid_model_v2"	"0"	"projectile_chainshot02"
"-1969026323"	"EngineModels\\Field_Cannon_6lb\\field_cannon_6lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_6lb"
"-1979085427"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_and_log_dry_piece01_destruct01_lod05.rigid_model"	"0"	"tree_stump_and_log_dry_piece01_destruct01"
"-1996084111"	"RigidModels\\Buildings\\fallen_rotting_log\\medium_log_dry_piece01_destruct01_lod05.rigid_model"	"0"	"medium_log_dry_piece01_destruct01"
"-2126127090"	"RigidModels\\city_buildings\\east\\out_build_05.rigid_model"	"1_1"	"city_east_building_05"
"-2133009974"	"RigidModels\\city_buildings\\us\\out_build_02.rigid_model"	"1_1"	"city_us_building_02"
"-23453028"	"RigidModels\\outfield\\terrain\\models\\hills01_b.rigid_model"	"0"	"hills01_b"
"-241398380"	"RigidModels\\city_buildings\\us\\out_townhall.rigid_model"	"1_1"	"city_us_townhall"
"-24953782"	"EngineModels\\Ott_Mortar\\ottoman_mortar_destroyed_model.rigid_model"	"0"	"ottoman_mortar_destroyed"
"-26167135"	"RigidModels/DeployableItems/cheval_de_frise/cheval_de_frise_piece01_destruct01_lod05.rigid_model"	"3_3"	"deployable_item_chevaux_de_frise"
"-279884688"	"EngineModels\\Unicorn_20\\unicorn_20_destroyed_model.rigid_model"	"0"	"unicorn_20_destroyed_model_Russia"
"-289840909"	"RigidModels\\WarscapeFrame\\ai_hints\\suitable_deployable_item.rigid_model"	"1_1"	"suitable_deployable_item_earthworks_marker"
"-377654500"	"RigidModels\\WarscapeFrame\\ai_hints\\defensive_line.rigid_model"	"1_1"	"defensive_line_marker"
"-425120852"	"RigidModels\\BattleFieldProps\\wall_eu_south_end_lod01.rigid_model"	"50"	"Wall_EU_South_End_piece01_destruct01"
"-433651746"	"RigidModels\\city_buildings\\native\\out_church.rigid_model"	"1_1"	"city_native_church"
"-457028842"	"EngineModels\\Naval_Cannon_18lb\\Naval_Cannon_18lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_18lb_destroyed"
"-489265855"	"RigidModels\\outfield\\terrain\\models\\islands01_c.rigid_model"	"0"	"islands01_c"
"-521080897"	"RigidModels\\BattleFieldProps\\woodenfenceend_piece01_destruct01_lod01.rigid_model"	"150"	"woodenfenceend_piece01_destruct01"
"-53396523"	"RigidModels\\BattleFieldProps\\hedge_small_2_piece01_destruct01_lod01.rigid_model"	"150"	"hedge_small_2_piece01_destruct01"
"-551819149"	"RigidModels\\BattleFieldProps\\woodenfence_1_piece01_destruct01_lod05.rigid_model"	"0"	"woodenfence_1_piece01_destruct01"
"-580910098"	"EngineModels\\Howitzer_6\\howitzer_6_destroyed_model.rigid_model"	"0"	"howitzer_6_destroyed_model_France"
"-604295273"	"RigidModels/Projectile/projectile_chainshot01.rigid_model_v2"	"0"	"projectile_chainshot01"
"-619649534"	"RigidModels\\BattleFieldProps\\wall_eu_west_end_lod05.rigid_model"	"0"	"Wall_EU_West_End_piece01_destruct01"
"-633503660"	"EngineModels\\Field_Cannon_8lb\\field_cannon_8lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_8lb"
"-635331127"	"EngineModels\\Field_Cannon_12lb\\field_cannon_12lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Russia_12lb"
"-646585592"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_1_dry_piece01_destruct01_lod01.rigid_model"	"20"	"rock_1_dry_piece01_destruct01"
"-682099230"	"RigidModels\\city_buildings\\east\\out_build_01.rigid_model"	"1_1"	"city_east_building_01"
"-684704403"	"RigidModels\\outfield\\terrain\\models\\hills01_c.rigid_model"	"0"	"hills01_c"
"-718695577"	"RigidModels\\WarscapeFrame\\ai_hints\\dead_ground.rigid_model"	"1_1"	"dead_ground_marker"
"-737955341"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_4_wet_piece01_destruct01_lod05.rigid_model"	"0"	"rock_4_wet_piece01_destruct01"
"-741511683"	"RigidModels\\BattlefieldProps\\native_fence_4_piece01_destruct01_lod05.rigid_model"	"0"	"native_fence_4_piece01_destruct01"
"-756907456"	"RigidModels\\outfield\\terrain\\models\\islands01_b.rigid_model"	"0"	"islands01_b"
"-75996179"	"RigidModels\\WarscapeFrame\\ai_hints\\good_cavalry_ground.rigid_model"	"1_1"	"good_cavalry_ground_marker"
"-789884330"	"EngineModels\\Field_Cannon_6lb\\field_cannon_6lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Austria_6lb"
"-85775942"	"RigidModels\\BattleFieldProps\\wall_asia_end_lod01.rigid_model"	"50"	"Wall_Asia_End_piece01_destruct01"
"-871999335"	"RigidModels\\Buildings\\indian_large_fort_hq\\trash_d02_lod05.rigid_model"	"3_3"	"trash_d02"
"-879284010"	"RigidModels\\outfield\\terrain\\models\\hills02_d.rigid_model"	"0"	"hills02_d"
"-908182292"	"RigidModels\\city_buildings\\east\\out_church.rigid_model"	"1_1"	"city_east_church"
"-937011636"	"RigidModels\\outfield\\terrain\\models\\mountains_b.rigid_model"	"0"	"mountains_b"
"-939008456"	"RigidModels\\BattlefieldProps\\native_fence_8_piece01_destruct01_lod01.rigid_model"	"20"	"native_fence_8_piece01_destruct01"
"-958404456"	"RigidModels/artillery/Limber/limber_destroyed_model.rigid_model"	"1_1"	"Ammo_Caisson_Prussia_destructed"
"-967126278"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_4_wet_piece01_destruct01_lod01.rigid_model"	"20"	"rock_4_wet_piece01_destruct01"
"-976437891"	"RigidModels\\city_buildings\\east\\out_townhall.rigid_model"	"1_1"	"city_east_townhall"
"1068379151"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_and_log_piece01_destruct01_lod01.rigid_model"	"20"	"tree_stump_and_log_piece01_destruct01"
"107616228"	"RigidModels\\city_buildings\\native\\out_build_01.rigid_model"	"1_1"	"city_native_building_01"
"1084473140"	"EngineModels\\Naval_Cannon_32lb\\Naval_Cannon_32lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_32lb_destroyed"
"1097882808"	"RigidModels\\WarscapeFrame\\ai_hints\\suitable_deployable_item.rigid_model"	"1_1"	"suitable_deployable_item_fougasse_marker"
"1110832357"	"RigidModels\\outfield\\terrain\\models\\hills03_c.rigid_model"	"0"	"hills03_c"
"1121401649"	"RigidModels\\city_buildings\\euro\\out_build_06.rigid_model"	"1_1"	"city_euro_building_06"
"1122425163"	"RigidModels\\Buildings\\fallen_rotting_log\\large_log_dry_piece01_destruct01_lod05.rigid_model"	"0"	"large_log_dry_piece01_destruct01"
"1144254852"	"RigidModels\\Buildings\\indian_large_fort_hq\\trash_lod05.rigid_model"	"3_3"	"trash"
"1161411954"	"RigidModels/DeployableItems/earthworks/infantry_earthworks_piece01_destruct01_lod03.rigid_model"	"3_2"	"deployable_item_earthworks"
"1166906416"	"RigidModels\\Buildings\\fallen_rotting_log\\medium_log_dry_piece01_destruct01_lod01.rigid_model"	"20"	"medium_log_dry_piece01_destruct01"
"1191933510"	"RigidModels\\Buildings\\fallen_rotting_log\\medium_log_piece01_destruct01_lod05.rigid_model"	"0"	"medium_log_piece01_destruct01"
"1192618269"	"RigidModels/3DIndicators/destination_marker.rigid_model"	"0"	"destination_marker"
"1197885825"	"RigidModels/Projectile/projectile_arrow.rigid_model_v2"	"0"	"projectile_arrow"
"1200492143"	"RigidModels/DeployableItems/wooden_stake/ground_stake_LOD2.rigid_model"	"0"	"deployable_item_wooden_stake"
"1200649108"	"RigidModels/DeployableItems/wooden_stake/ground_stake_LOD1.rigid_model"	"600"	"deployable_item_wooden_stake"
"1202214395"	"RigidModels/DeployableItems/cheval_de_frise/cheval_de_frise_piece01_destruct01_lod01.rigid_model"	"3_1"	"deployable_item_chevaux_de_frise"
"1202807509"	"RigidModels/DeployableItems/earthworks/infantry_earthworks_piece01_destruct01_lod05.rigid_model"	"3_3"	"deployable_item_earthworks"
"1205919901"	"EngineModels\\Naval_Cannon_6lb\\Naval_Cannon_6lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_6lb_destroyed"
"1211191297"	"RigidModels/Projectile/projectile_rocket.rigid_model_v2"	"0"	"projectile_rocket"
"1212155438"	"RigidModels/Projectile/grapple.rigid_model_v2"	"0"	"grapple"
"1213970281"	"RigidModels\\BattleFieldProps\\wall01_End.rigid_model"	"0"	"wall_end_piece01_destruct01"
"1216971690"	"RigidModels/DeployableItems/gabionade/gabionade_artillery_right_emplacement_piece01_destruct01_lod01.rigid_model"	"0"	"deployable_item_gabionade_right_piece"
"1218102003"	"RigidModels\\3DIndicators\\infantry_proxy.rigid_model"	"0"	"infantry_proxy"
"1218124901"	"RigidModels\\BattleFieldProps\\hedge_small_end_piece01_destruct01_lod01.rigid_model"	"1_1"	"hedge_small_piece01_destruct01"
"1218448079"	"RigidModels\\BattleFieldProps\\woodenfence_piece01_destruct01_lod05_alphatest.rigid_model"	"0"	"woodenfence_piece01_destruct01"
"1218714189"	"RigidModels/DeployableItems/Fougasse/fougasse_piece01_destruct01_lod01.rigid_model"	"1_3"	"deployable_item_fougasse"
"1220283732"	"RigidModels/Projectile/projectile_tomahawk.rigid_model_v2"	"0"	"projectile_tomahawk"
"1221214798"	"RigidModels\\3DIndicators\\facing_proxy.rigid_model"	"0"	"facing_arrow_proxy"
"1221577437"	"RigidModels/artillery/Limber/limber_destroyed_model.rigid_model"	"1_1"	"Ammo_Caisson_destructed"
"1223893265"	"RigidModels\\Buildings\\fmv_cross1\\fmv_cross1_piece01_destruct01_lod01.rigid_model"	"1_1"	"fmv_cross1_piece01_destruct01"
"1227016752"	"RigidModels/VerletItems/siege_prop_flagpole_piece01_destruct01_lod01.rigid_model"	"2_1"	"siege_prop_flagpole"
"1227785278"	"RigidModels\\Flags\\strat_selector.rigid_model_v2"	"0"	"strat_selector"
"1228147371"	"RigidModels\\WarscapeFrame\\ai_hints\\ambush_building.rigid_model"	"1_1"	"ambush_buildings_marker"
"1228215573"	"RigidModels\\WarscapeFrame\\sound_emitters\\river_marker.rigid_model"	"1_1"	"river_sound_emitter_marker"
"1228927814"	"RigidModels/VerletItems/capture_zone_marker_lod01.rigid_model"	"1_1"	"capture_zone_marker"
"1229149662"	"RigidModels\\Buildings\\fallen_rotting_log\\small_log_dry_piece01_destruct01_lod01.rigid_model"	"20"	"small_log_dry_piece01_destruct01"
"1229350318"	"RigidModels\\3DIndicators\\no_moves_ring.rigid_model"	"0"	"no_moves_ring"
"1229692410"	"RigidModels\\WarscapeFrame\\ai_hints\\suitable_deployable_item.rigid_model"	"1_1"	"suitable_deployable_item_chevaux_de_frise_marker"
"1230897688"	"RigidModels\\BattleFieldProps\\woodenfence_1_piece01_destruct01_lod01.rigid_model"	"20"	"woodenfence_1_piece01_destruct01"
"1231151863"	"RigidModels\\BattleFieldProps\\hedge_small_1_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_small_1_piece01_destruct01"
"1231413454"	"RigidModels\\BattleFieldProps\\wall_eu_north_end_lod01.rigid_model"	"50"	"Wall_EU_North_End_piece01_destruct01"
"1231681888"	"RigidModels\\BattleFieldProps\\native_fence_end_piece01_destruct01_lod01.rigid_model"	"20"	"native_fence_end_piece01_destruct01"
"1232381720"	"RigidModels\\Buildings\\fallen_rotting_log\\large_log_piece01_destruct01_lod01.rigid_model"	"20"	"large_log_piece01_destruct01"
"1232536484"	"RigidModels\\city_buildings\\euro\\out_build_01.rigid_model"	"1_1"	"city_euro_building_01"
"1232549753"	"RigidModels\\Buildings\\fallen_rotting_log\\large_log_piece01_destruct01_lod05.rigid_model"	"0"	"large_log_piece01_destruct01"
"1232727827"	"RigidModels/DeployableItems/Fougasse/fougasse_piece01_destruct01_lod03.rigid_model"	"3_2"	"deployable_item_fougasse"
"1232994611"	"EngineModels\\Naval_Carronade\\naval_carronade_destroyed_model.rigid_model"	"0"	"naval_carronade_destroyed"
"1236269092"	"EngineModels\\Howitzer_7\\howitzer_7_destroyed_model.rigid_model"	"0"	"howitzer_7_destroyed_model"
"1239954030"	"RigidModels\\outfield\\terrain\\models\\islands01_d.rigid_model"	"0"	"islands01_d"
"1250156130"	"RigidModels\\BattleFieldProps\\observation_balloon_alphatest.rigid_model"	"0"	"observation_balloon"
"1252667623"	"RigidModels\\outfield\\terrain\\models\\hills01_a.rigid_model"	"0"	"hills01_a"
"1254924588"	"RigidModels\\Flags\\ping_marker.rigid_model_v2"	"0"	"campaign_map_marker01"
"1257164950"	"RigidModels\\BattleFieldProps\\wall_asia_end_lod05.rigid_model"	"0"	"Wall_Asia_End_piece01_destruct01"
"1258024061"	"EngineModels\\Howitzer_7\\howitzer_7_destroyed_model.rigid_model"	"0"	"howitzer_7_destroyed_model_Russia"
"1260977764"	"RigidModels\\BattleFieldProps\\hedge_small_1_piece01_destruct01_lod01.rigid_model"	"150"	"hedge_winter_small_1_piece01_destruct01"
"1289124665"	"RigidModels\\outfield\\terrain\\models\\plains_c.rigid_model"	"0"	"plains_c"
"1314157241"	"RigidModels/artillery/Limber/limber_destroyed_model.rigid_model"	"1_1"	"Ammo_Caisson_Russia_destructed"
"1356964067"	"EngineModels\\Field_Cannon_12lb\\field_cannon_12lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_France_12lb"
"1521317893"	"RigidModels\\BattleFieldProps\\woodenstile_piece01_destruct01_lod01.rigid_model"	"20"	"woodenstile_piece01_destruct01"
"1610559586"	"EngineModels\\Ott_Field_Cannon_9lb\\ottoman_field_cannon_9lb_destroyed_model.rigid_model"	"0"	"ottoman_field_cannon_destroyed_model_9lb"
"1614407834"	"RigidModels/Projectile/projectile_grapeshot.rigid_model_v2"	"0"	"projectile_grapeshot"
"1631971132"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_and_log_dry_piece01_destruct01_lod01.rigid_model"	"20"	"tree_stump_and_log_dry_piece01_destruct01"
"1642002005"	"EngineModels\\Field_Cannon_18lb\\field_cannon_18lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_18lb"
"1662702938"	"RigidModels\\outfield\\terrain\\models\\mountains_d.rigid_model"	"0"	"mountains_d"
"1668320125"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_4_dry_piece01_destruct01_lod05.rigid_model"	"0"	"rock_4_dry_piece01_destruct01"
"1669208989"	"RigidModels/Projectile/projectile_fragment.rigid_model_v2"	"0"	"projectile_fragment01"
"1693901027"	"RigidModels/DeployableItems/gabionade/gabionade_artillery_center_emplacement_piece01_destruct01_lod01.rigid_model"	"0"	"deployable_item_gabionade_center_piece"
"1702599930"	"RigidModels\\city_buildings\\east\\out_build_06.rigid_model"	"1_1"	"city_east_building_06"
"1768418873"	"RigidModels\\BattleFieldProps\\woodenfence_2_piece01_destruct01_lod01.rigid_model"	"20"	"woodenfence_2_piece01_destruct01"
"1823244140"	"RigidModels\\BattlefieldProps\\native_fence_2_piece01_destruct01_lod01.rigid_model"	"20"	"native_fence_2_piece01_destruct01"
"1841683645"	"RigidModels\\Flags\\ping_marker.rigid_model_v2"	"0"	"campaign_map_marker02"
"1853037362"	"RigidModels\\BattleFieldProps\\hedge_small_2_piece01_destruct01_lod01.rigid_model"	"150"	"hedge_winter_small_2_piece01_destruct01"
"1854242301"	"RigidModels\\BattleFieldProps\\hedge_small_4_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_small_4_piece01_destruct01"
"1870620755"	"RigidModels/artillery/Limber/limber_destroyed_model.rigid_model"	"1_1"	"Ammo_Caisson_France_destructed"
"1876310215"	"RigidModels\\city_buildings\\euro\\out_church.rigid_model"	"1_1"	"city_euro_church"
"18977316"	"EngineModels\\Rocket\\rocket_destructed_model.rigid_model"	"0"	"rocket_destructed_model_France"
"1900824981"	"RigidModels\\BattleFieldProps\\woodengate_piece01_destruct01_lod05_alphatest.rigid_model"	"0"	"woodengate_piece01_destruct01"
"191064763"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_2_wet_piece01_destruct01_lod05.rigid_model"	"0"	"rock_2_wet_piece01_destruct01"
"1927376479"	"RigidModels\\BattleFieldProps\\wall_eu_east_end_lod05.rigid_model"	"0"	"Wall_EU_East_End_piece01_destruct01"
"1939293098"	"EngineModels\\Field_Cannon_12lb\\field_cannon_12lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Austria_12lb"
"1957475496"	"EngineModels\\Naval_Cannon_9lb\\Naval_Cannon_9lb_destroyed_model.rigid_model"	"0"	"Naval_Cannon_9lb_destroyed"
"1965711494"	"EngineModels\\Rocket\\rocket_destructed_model.rigid_model"	"0"	"rocket_destructed_model_Austria"
"1988083348"	"RigidModels\\BattleFieldProps\\woodengate_piece01_destruct01_lod01.rigid_model"	"20"	"woodengate_piece01_destruct01"
"1989664868"	"RigidModels\\BattleFieldProps\\woodenfenceend_piece01_destruct01_lod05_alphatest.rigid_model"	"0"	"woodenfenceend_piece01_destruct01"
"1994250172"	"RigidModels\\BattleFieldProps\\hedge_small_end_piece01_destruct01_lod01.rigid_model"	"1_1"	"hedge_winter_small_piece01_destruct01"
"1997581499"	"RigidModels\\city_buildings\\east\\out_build_02.rigid_model"	"1_1"	"city_east_building_02"
