version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/chiyodagata_2/port_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_port_03_dm2"
""	"RigidModels/Naval/chiyodagata_2/port_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_port_03_dm1"
""	"RigidModels/Naval/chiyodagata_2/port_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_port_02_dm3"
""	"RigidModels/Naval/chiyodagata_2/port_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_port_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/port_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_port_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/port_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_port_01_dm3"
""	"RigidModels/Naval/chiyodagata_2/port_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_port_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/port_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_port_01_dm1"
""	"RigidModels/Naval/chiyodagata_2/misc_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_03_dm3"
""	"RigidModels/Naval/chiyodagata_2/misc_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_03_dm2"
""	"RigidModels/Naval/chiyodagata_2/misc_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_03_dm1"
""	"RigidModels/Naval/chiyodagata_2/misc_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_02_dm3"
""	"RigidModels/Naval/chiyodagata_2/misc_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/misc_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/misc_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_01_dm3"
""	"RigidModels/Naval/chiyodagata_2/misc_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/misc_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_misc_01_dm1"
""	"RigidModels/Naval/chiyodagata_2/mast_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_mast_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/mast_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_mast_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/mast_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_mast_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/mast_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_mast_01_dm1"
""	"RigidModels/Naval/chiyodagata_2/bow_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_02_dm3"
""	"RigidModels/Naval/chiyodagata_2/bow_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/bow_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/bow_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_01_dm3"
""	"RigidModels/Naval/chiyodagata_2/bow_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/bow_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_bow_01_dm1"
