version 2, schema factions_tables
Faction_ID(string)	ID2(int)	Subculture(string)	Type(string)	Nation(string)	Nationality(string)	Names_DB(string)	sounds_id(string)	unknown10(optstring)	Rebels(boolean)	Early_Availability(boolean)	Late_Availability(boolean)	Icon(string)	Flag1(string)	Flag2(optstring)	Flag3(optstring)	R1(float)	G1(float)	B1(float)	R2(float)	G2(float)	B2(float)	R3(float)	G3(float)	B3(float)	R4(float)	G4(float)	B4(float)	R5(float)	G5(float)	B5(float)	R6(float)	G6(float)	B6(float)	Military_x0020_Group(string)	Settler_Rebels(optstring)	R(float)	G(float)	B(float)	ID3(optstring)	Abreviation(string)	unknown43(boolean)	unknown44(boolean)	Names_1(string)	Names_2(string)
"british_settler_rebels"	-1310840303	"sc_european_america"	"rebel"	"-"	"Rebel"	"names_english"	"britain"	nil	true	false	false	"data\\ui\\units\\icons\\british_settler_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
"chechenya_dagestan"	83	"sc_mideast_islamic"	"non-expansionist"	"Dagestan"	"Dagestani"	"names_persian"	"chechenya_dagestan"	nil	false	false	false	"data\\ui\\units\\icons\\chechenya_dagestan"	"data\\ui\\flags\\chechenya_dagestan"	nil	"data\\ui\\flags\\rebels_eastern"	196	183	143	196	183	143	202	202	202	202	202	202	33	44	20	33	44	20	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_slavonic_general"
"cherokee"	43	"sc_tribal_american"	"minor"	"Cherokee Nations"	"Cherokee"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\cherokee"	"data\\ui\\flags\\cherokee"	nil	"data\\ui\\flags\\rebels_other"	165	74	66	165	74	66	202	52	51	202	52	51	223	220	210	223	220	210	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"cherokee_playable"	579631902	"sc_tribal_playable"	"playable"	"Cherokee Nations"	"Cherokee"	"names_native_american"	"usa"	"Native_American"	false	true	false	"data\\ui\\units\\icons\\cherokee"	"data\\ui\\flags\\cherokee"	nil	"data\\ui\\flags\\rebels_other"	165	74	66	165	74	66	202	52	51	202	52	51	223	220	210	223	220	210	"nan_group"	"amerind_rebels"	173	173	173	"62"	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"colombia"	1618056724	"sc_european_america"	"minor"	"Gran Colombia"	"Gran Colombian"	"names_spanish"	"spain"	nil	false	false	false	"data\\ui\\units\\icons\\colombia"	"data\\ui\\flags\\colombia"	nil	"data\\ui\\flags\\rebels_europe"	253	228	135	253	228	135	164	0	1	164	0	1	238	207	89	238	207	89	"spain_group"	"european_settler_rebels"	173	173	173	"0"	"Sp"	false	false	"names_english"	"names_spanish"
"cossack_rebels"	68	"sc_european_east"	"rebel"	"-"	"Rebel"	"names_slavonic_general"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\cossack_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_english"	"names_slavonic_general"
"courland"	81	"sc_european_north"	"non-expansionist"	"Courland"	"Courlander"	"names_prussian"	"courland"	nil	false	false	false	"data\\ui\\units\\icons\\courland"	"data\\ui\\flags\\courland"	nil	"data\\ui\\flags\\rebels_europe"	160	131	154	160	131	154	0	0	0	0	0	0	95	32	45	95	32	45	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_english"	"names_german_catholic"
"crimean_khanate"	47	"sc_mideast_islamic"	"minor"	"Crimean Khanate"	"Crimean"	"names_muslim_general"	"crimean"	nil	false	false	false	"data\\ui\\units\\icons\\crimean_khanate"	"data\\ui\\flags\\crimean_khanate"	nil	"data\\ui\\flags\\rebels_eastern"	116	134	145	116	134	145	77	88	110	77	88	110	93	39	37	93	39	37	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_ottoman"	"names_slavonic_general"
"denmark"	5	"sc_european_west"	"minor"	"Denmark"	"Danish"	"names_swedish"	"denmark"	nil	false	false	false	"data\\ui\\units\\icons\\denmark"	"data\\ui\\flags\\denmark"	"data\\ui\\flags\\denmark_republic"	"data\\ui\\flags\\rebels_europe"	101	29	29	101	29	29	255	255	241	255	255	241	165	0	33	165	0	33	"sweden_denmark_group"	"european_settler_rebels"	173	173	173	nil	"Sw"	false	false	"names_english"	"names_swedish"
"dutch_rebels"	65	"sc_european_west"	"rebel"	"-"	"Rebel"	"names_dutch"	"dutch"	nil	true	false	false	"data\\ui\\units\\icons\\dutch_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"united_provinces_group"	"european_settler_rebels"	173	173	173	nil	"Du"	false	false	"names_english"	"names_dutch"
"european_settler_rebels"	884246299	"sc_european_america"	"rebel"	"-"	"Rebel"	"names_english"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\european_settler_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"great_britain_group"	"european_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
"france"	6	"sc_european_west"	"playable"	"France"	"French"	"names_french"	"france"	nil	false	true	true	"data\\ui\\units\\icons\\france"	"data\\ui\\flags\\france"	"data\\ui\\flags\\france_republic"	"data\\ui\\flags\\rebels_europe"	255	255	240	255	255	240	228	180	9	228	180	9	255	255	240	255	255	240	"france_group"	"french_settler_rebels"	173	173	173	"24"	"Fr"	false	true	"names_english"	"names_french"
"french_rebels"	52	"sc_european_west"	"rebel"	"-"	"Rebel"	"names_french"	"france"	nil	true	false	false	"data\\ui\\units\\icons\\french_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"france_group"	"french_settler_rebels"	173	173	173	nil	"Fr"	false	false	"names_english"	"names_french"
"french_settler_rebels"	-854021378	"sc_european_america"	"rebel"	"-"	"Rebel"	"names_french"	"france"	nil	true	false	false	"data\\ui\\units\\icons\\french_settler_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"france_group"	"french_settler_rebels"	173	173	173	nil	"Fr"	false	false	"names_english"	"names_french"
"genoa"	7	"sc_european_south"	"minor"	"Genoa"	"Genoese"	"names_italian"	"genoa"	nil	false	false	false	"data\\ui\\units\\icons\\genoa"	"data\\ui\\flags\\genoa"	nil	"data\\ui\\flags\\rebels_europe"	215	215	215	215	215	215	111	0	0	111	0	0	172	172	172	172	172	172	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	true	true	"names_english"	"names_italian"
"georgia"	82	"sc_european_south"	"non-expansionist"	"Georgia"	"Georgian"	"names_greek"	"georgia"	nil	false	false	false	"data\\ui\\units\\icons\\georgia"	"data\\ui\\flags\\georgia"	nil	"data\\ui\\flags\\rebels_europe"	184	184	184	184	184	184	214	0	26	214	0	26	255	255	255	255	255	255	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_english"	"names_slavonic_general"
"greece"	34	"sc_european_south"	"non-expansionist"	"Greece"	"Greek"	"names_greek"	"greece"	nil	false	false	false	"data\\ui\\units\\icons\\greece"	"data\\ui\\flags\\greece"	nil	"data\\ui\\flags\\rebels_europe"	93	142	213	93	142	213	232	231	228	232	231	228	61	83	126	61	83	126	"venice_group"	"european_settler_rebels"	173	173	173	nil	"Tu"	false	false	"names_english"	"names_greek"
"greek_rebels"	70	"sc_european_south"	"rebel"	"-"	"Rebel"	"names_greek"	"greece"	nil	true	false	false	"data\\ui\\units\\icons\\greek_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"venice_group"	"european_settler_rebels"	173	173	173	nil	"Tu"	false	false	"names_english"	"names_greek"
"hannover"	37	"sc_european_west"	"non-expansionist"	"Hannover"	"Hannoverian"	"names_german_catholic"	"hannover"	nil	false	false	false	"data\\ui\\units\\icons\\hannover"	"data\\ui\\flags\\hannover"	nil	"data\\ui\\flags\\rebels_europe"	196	170	170	196	170	170	211	210	218	211	210	218	165	47	40	165	47	40	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"hessen"	30	"sc_european_west"	"non-expansionist"	"Hessen"	"Hessian"	"names_german_catholic"	"hessen"	nil	false	false	false	"data\\ui\\units\\icons\\hessen"	"data\\ui\\flags\\hessen"	nil	"data\\ui\\flags\\rebels_europe"	229	217	239	229	217	239	38	75	101	38	75	101	201	199	196	201	199	196	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"holstein_gottorp"	85	"sc_european_north"	"non-expansionist"	"Schleswig-Holstein"	"Schleswig"	"names_prussian"	"holstein"	nil	false	false	false	"data\\ui\\units\\icons\\holstein_gottorp"	"data\\ui\\flags\\holstein_gottorp"	nil	"data\\ui\\flags\\rebels_europe"	40	46	122	40	46	122	195	29	39	195	29	39	52	56	109	52	56	109	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"hungary"	36	"sc_european_east"	"minor"	"Hungary"	"Hungarian"	"names_hungarian"	"hungary"	nil	false	false	false	"data\\ui\\units\\icons\\hungary"	"data\\ui\\flags\\hungary"	nil	"data\\ui\\flags\\rebels_europe"	94	123	41	94	123	41	255	242	218	255	242	218	84	94	61	84	94	61	"austria_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_slavonic_general"
"huron"	87	"sc_tribal_american"	"minor"	"Huron-Wyandot"	"Huron"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\huron"	"data\\ui\\flags\\huron"	nil	"data\\ui\\flags\\rebels_other"	178	164	124	178	164	124	229	230	224	229	230	224	154	127	89	154	127	89	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"huron_playable"	-87123897	"sc_tribal_playable"	"playable"	"Huron-Wyandot"	"Huron"	"names_native_american"	"usa"	"Native_American"	false	true	false	"data\\ui\\units\\icons\\huron"	"data\\ui\\flags\\huron"	nil	"data\\ui\\flags\\rebels_other"	178	164	124	178	164	124	229	230	224	229	230	224	154	127	89	154	127	89	"nan_group"	"amerind_rebels"	173	173	173	"62"	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"india_settler_rebels"	615558224	"sc_indian_hindu"	"rebel"	"-"	"Rebel"	"names_indian_hindu"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\india_settler_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"maratha_group"	"india_settler_rebels"	173	173	173	nil	"Hi"	false	false	"names_indian_hindu"	"names_indian_hindu"
"inuit"	76	"sc_tribal_american"	"non-expansionist"	"Inuit Nations"	"Inuit"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\inuit"	"data\\ui\\flags\\inuit"	nil	"data\\ui\\flags\\rebels_other"	191	87	55	191	87	55	229	229	229	229	229	229	169	144	55	169	144	55	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"ireland"	38	"sc_european_west"	"non-expansionist"	"Ireland"	"Irish"	"names_irish"	"ireland"	nil	false	false	false	"data\\ui\\units\\icons\\ireland"	"data\\ui\\flags\\ireland"	nil	"data\\ui\\flags\\rebels_europe"	49	81	19	49	81	19	167	117	22	167	117	22	33	44	20	33	44	20	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
"iroquoi"	10	"sc_tribal_american"	"minor"	"Iroquois Confederacy"	"Iroquois"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\iroquoi"	"data\\ui\\flags\\iroquois"	nil	"data\\ui\\flags\\rebels_other"	105	119	159	105	119	159	225	220	217	225	220	217	50	71	81	50	71	81	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"iroquoi_playable"	-1579118980	"sc_tribal_playable"	"playable"	"Iroquois Confederacy"	"Iroquois"	"names_native_american"	"usa"	"Native_American"	false	true	false	"data\\ui\\units\\icons\\iroquoi"	"data\\ui\\flags\\iroquois"	nil	"data\\ui\\flags\\rebels_other"	105	119	159	105	119	159	225	220	217	225	220	217	50	71	81	50	71	81	"nan_group"	"amerind_rebels"	173	173	173	"62"	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"italian_rebels"	64	"sc_european_south"	"rebel"	"-"	"Rebel"	"names_italian"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\italian_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	false	false	"names_english"	"names_italian"
"khanate_khiva"	86	"sc_mideast_islamic"	"non-expansionist"	"Khanate of Khiva"	"Khivan"	"names_persian"	"khanate"	nil	false	false	false	"data\\ui\\units\\icons\\khanate_khiva"	"data\\ui\\flags\\khanate_khiva"	nil	"data\\ui\\flags\\rebels_eastern"	0	154	20	0	154	20	0	0	0	0	0	0	24	58	27	24	58	27	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_ottoman"	"names_slavonic_general"
"knights_stjohn"	35	"sc_european_south"	"non-expansionist"	"Knights of St John"	"Hospitaller"	"names_italian"	"knights"	nil	false	false	false	"data\\ui\\units\\icons\\knights_stjohn"	"data\\ui\\flags\\knights_stjohn"	nil	"data\\ui\\flags\\rebels_europe"	193	134	133	193	134	133	81	14	8	81	14	8	86	20	12	86	20	12	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	false	false	"names_english"	"names_english"
"louisiana"	1227870924	"sc_european_west"	"minor"	"Louisiana"	"Louisianan"	"names_french"	"france"	nil	false	false	false	"data\\ui\\units\\icons\\louisiana"	"data\\ui\\flags\\louisiana"	nil	"data\\ui\\flags\\rebels_europe"	244	236	212	244	236	212	228	180	9	228	180	9	255	255	240	255	255	240	"france_group"	"french_settler_rebels"	173	173	173	nil	"Us"	false	false	"names_english"	"names_english"
"mamelukes"	11	"sc_mideast_islamic"	"minor"	"Mamelukes"	"Mameluk"	"names_muslim_general"	"mamelukes"	nil	false	false	false	"data\\ui\\units\\icons\\mamelukes"	"data\\ui\\flags\\mamelukes"	nil	"data\\ui\\flags\\rebels_eastern"	209	182	113	209	182	113	49	72	30	49	72	30	174	137	68	174	137	68	"ottoman_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"maratha"	12	"sc_indian_hindu"	"playable"	"Maratha Confederacy"	"Maratha"	"names_indian_hindu"	"maratha"	nil	false	true	true	"data\\ui\\units\\icons\\maratha"	"data\\ui\\flags\\maratha"	"data\\ui\\flags\\maratha_republic"	"data\\ui\\flags\\rebels_eastern"	181	107	28	181	107	28	249	187	66	249	187	66	165	97	0	165	97	0	"maratha_group"	"india_settler_rebels"	173	173	173	"56"	"Hi"	false	false	"names_indian_hindu"	"names_indian_hindu"
"maratha_rebels"	55	"sc_indian_hindu"	"rebel"	"-"	"Rebel"	"names_indian_hindu"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\maratha_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"maratha_group"	"india_settler_rebels"	173	173	173	nil	"Hi"	false	false	"names_indian_hindu"	"names_indian_hindu"
"mecklenburg"	84	"sc_european_north"	"non-expansionist"	"Mecklenburg"	"Mecklenburger"	"names_prussian"	"mecklenburg"	nil	false	false	false	"data\\ui\\units\\icons\\mecklenburg"	"data\\ui\\flags\\mecklenburg"	nil	"data\\ui\\flags\\rebels_europe"	80	105	187	80	105	187	213	174	43	213	174	43	24	58	27	24	58	27	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"mexico"	1320965439	"sc_european_america"	"non-expansionist"	"México"	"Mexican"	"names_spanish"	"spain"	nil	false	false	false	"data\\ui\\units\\icons\\mexico"	"data\\ui\\flags\\mexico"	nil	"data\\ui\\flags\\rebels_europe"	11	66	36	11	66	36	164	0	1	164	0	1	238	207	89	238	207	89	"spain_group"	"european_settler_rebels"	173	173	173	"0"	"Sp"	true	true	"names_english"	"names_spanish"
"middle_east_settler_rebels"	1202226667	"sc_mideast_islamic"	"rebel"	"-"	"Rebel"	"names_muslim_general"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\middle_east_settler_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"ottoman_group"	"middle_east_settler_rebels"	173	173	173	nil	"Tu"	false	false	"names_ottoman"	"names_muslim_general"
"morocco"	13	"sc_mideast_islamic"	"minor"	"Morocco"	"Moroccan"	"names_muslim_general"	"morocco"	nil	false	false	false	"data\\ui\\units\\icons\\morocco"	"data\\ui\\flags\\morocco"	nil	"data\\ui\\flags\\rebels_eastern"	204	103	83	204	103	83	210	148	14	210	148	14	95	39	37	95	39	37	"barbary_group"	"middle_east_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_muslim_general"
"mughal"	14	"sc_indian_islamic"	"playable"	"Mughal Empire"	"Mughal"	"names_mughal"	"mughal"	nil	false	false	false	"data\\ui\\units\\icons\\mughal"	"data\\ui\\flags\\mughal"	"data\\ui\\flags\\mughal_republic"	"data\\ui\\flags\\rebels_eastern"	96	107	27	96	107	27	231	154	15	231	154	15	90	115	32	90	115	32	"mughal_group"	"india_settler_rebels"	173	173	173	"57"	"Pe"	false	false	"names_indian_hindu"	"names_muslim_general"
"mughal_rebels"	56	"sc_indian_islamic"	"rebel"	"-"	"Rebel"	"names_mughal"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\mughal_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_indian_hindu"	"names_muslim_general"
"mysore"	15	"sc_indian_islamic"	"minor"	"Mysore"	"Mysorean"	"names_indian_hindu"	"mysore"	nil	false	false	false	"data\\ui\\units\\icons\\mysore"	"data\\ui\\flags\\mysore"	nil	"data\\ui\\flags\\rebels_eastern"	121	21	13	121	21	13	158	46	45	158	46	45	69	34	25	69	34	25	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Hi"	false	false	"names_indian_hindu"	"names_muslim_general"
"naples_sicily"	77	"sc_european_south"	"non-expansionist"	"Naples & Sicily"	"Sicilian"	"names_italian"	"naples_sicily"	nil	false	false	false	"data\\ui\\units\\icons\\naples"	"data\\ui\\flags\\naples_sicily"	nil	"data\\ui\\flags\\rebels_europe"	89	161	132	89	161	132	237	225	117	237	225	117	54	49	84	54	49	84	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	false	false	"names_english"	"names_italian"
"netherlands"	8	"sc_european_west"	"playable"	"United Provinces"	"Dutch"	"names_dutch"	"netherlands"	nil	false	true	true	"data\\ui\\units\\icons\\netherlands"	"data\\ui\\flags\\netherlands_revolutionary"	"data\\ui\\flags\\netherlands_republic"	"data\\ui\\flags\\rebels_europe"	255	131	29	255	131	29	255	185	74	255	185	74	28	115	227	28	115	227	"united_provinces_group"	"european_settler_rebels"	173	173	173	"25"	"Du"	true	true	"names_english"	"names_dutch"
"new_spain"	-1949608483	"sc_european_south"	"minor"	"New Spain"	"New Spanish"	"names_spanish"	"spain"	nil	false	false	false	"data\\ui\\units\\icons\\new_spain"	"data\\ui\\flags\\new_spain"	nil	"data\\ui\\flags\\rebels_europe"	235	222	125	235	222	125	164	0	1	164	0	1	238	207	84	238	207	84	"spain_group"	"european_settler_rebels"	173	173	173	nil	"Sp"	false	false	"names_english"	"names_spanish"
"norway"	39	"sc_european_north"	"minor"	"Norway"	"Norwegian"	"names_swedish"	"norway"	nil	false	false	false	"data\\ui\\units\\icons\\norway"	"data\\ui\\flags\\norway"	nil	"data\\ui\\flags\\rebels_europe"	43	58	82	43	58	82	143	43	45	143	43	45	148	40	38	148	40	38	"sweden_denmark_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_english"
"ottoman_rebels"	57	"sc_mideast_islamic"	"rebel"	"-"	"Rebel"	"names_muslim_general"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\ottoman_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"ottoman_group"	"middle_east_settler_rebels"	173	173	173	nil	"Tu"	false	false	"names_ottoman"	"names_muslim_general"
"ottomans"	16	"sc_mideast_islamic"	"playable"	"Ottoman Empire"	"Ottoman"	"names_ottoman"	"ottomans"	nil	false	true	true	"data\\ui\\units\\icons\\ottomans"	"data\\ui\\flags\\ottomans"	"data\\ui\\flags\\ottoman_republic"	"data\\ui\\flags\\rebels_eastern"	134	0	0	134	0	0	7	134	7	7	134	7	7	134	7	7	134	7	"ottoman_group"	"middle_east_settler_rebels"	173	173	173	"55"	"Tu"	false	false	"names_ottoman"	"names_muslim_general"
"papal_states"	26	"sc_european_south"	"non-expansionist"	"Italian States"	"Papal"	"names_italian"	"papal_states"	nil	false	false	false	"data\\ui\\units\\icons\\papal_states"	"data\\ui\\flags\\papal_states"	nil	"data\\ui\\flags\\rebels_europe"	193	116	71	193	116	71	116	39	39	116	39	39	189	138	40	189	138	40	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	false	false	"names_english"	"names_italian"
"persian_rebels"	67	"sc_mideast_islamic"	"rebel"	"-"	"Rebel"	"names_persian"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\persian_rebels"	"data\\ui\\flags\\rebels_eastern"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Pe"	false	false	"names_ottoman"	"names_persian"
