version 2, schema achievements_tables, guid 98be6fc7-31bb-4ffe-bfe9-84ba10f0175f
Key(string)	unknown2(optstring)
"ACHIEVEMENT_B_WIN_20_RANKED_BATTLES"	"helm_sparse_point_laced"
"ACHIEVEMENT_B_WIN_25_LAND_BATTLES"	"sashimono_multicolour_laced"
"ACHIEVEMENT_B_WIN_25_RANKED_BATTLES"	"shoulders_date_masamune"
"ACHIEVEMENT_B_WIN_BATTLE_50_PERCENT_MATCHLOCK"	"legs_oda_nobunaga"
"ACHIEVEMENT_B_WIN_BATTLE_EVERY_TYPE_OF_UNIT"	"arms_date_masamune"
"ACHIEVEMENT_B_WIN_BATTLE_NO_CAVALRY"	"helm_kato_kiyomasa"
"ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED"	"legs_uesugi_kenshin"
"ACHIEVEMENT_B_WIN_BATTLE_NO_SPEAR"	"shoulders_uesugi_kenshin"
"ACHIEVEMENT_B_WIN_BATTLE_ONNA_BUGEISHA_AS_GENERAL"	"crest_hosokawa_tadaoki"
"ACHIEVEMENT_B_WIN_MP_BATTLE"	"crest_ach_army_colour_change"
"ACHIEVEMENT_B_WIN_MP_BATTLE_LESS_THAN_15_PERCENT_LOSSES"	"shoulders_hosokawa_tadaoki"
"ACHIEVEMENT_B_WIPE_OUT_A_UNIT"	"crest_golden_scale_cuirass"
"ACHIEVEMENT_C_3_ASSASSINATIONS_WITH_SHINSENGUMI"	nil
"ACHIEVEMENT_C_5_NAVAL_BOMBARDMENTS_WITH_TOSA"	nil
"ACHIEVEMENT_C_ATTAIN_MAX_LEVEL_ALL_AGENTS"	nil
"ACHIEVEMENT_C_ATTAIN_MAX_MODERNISATION"	nil
"ACHIEVEMENT_C_BECOME_SHOGUN"	"helm_triple_hollyhock"
"ACHIEVEMENT_C_BOMBARDMENT_WITH_FRENCH_IRONCLAD"	nil
"ACHIEVEMENT_C_CONNECT_A_RAILWAY"	nil
"ACHIEVEMENT_C_CONSTRUCT_3_TRADE_DISTRICTS_WITH_SATSUMA"	nil
"ACHIEVEMENT_C_CONTROL_KYUSHU"	"thigh_hosokawa_tadaoki"
"ACHIEVEMENT_C_CONTROL_SHIKOKU"	"mask_hosokawa_tadaoki"
"ACHIEVEMENT_C_FIGHT_DROP_IN_BATTLE"	nil
"ACHIEVEMENT_C_GIFT_ARMY_OR_NAVY_IN_COOP"	nil
"ACHIEVEMENT_C_IGA_CLAN"	"sashimono_hosokawa_tadaoki"
"ACHIEVEMENT_C_INCITE_3_REBELLIONS_WITH_ISHIN_SHISHI"	nil
"ACHIEVEMENT_C_KILL_10000_ENEMY_SOLDIERS"	"helm_uesugi_kenshin"
"ACHIEVEMENT_C_MAX_LEVEL_GENERAL"	"mask_multicolour_laced"
"ACHIEVEMENT_C_MAX_LEVEL_METSUKE"	"thigh_multicolour_laced"
"ACHIEVEMENT_C_MAX_LEVEL_MISSIONARY"	"shoulder_multicolour_laced"
"ACHIEVEMENT_C_MAX_LEVEL_MONK"	"legs_multicolour_laced"
"ACHIEVEMENT_C_MAX_LEVEL_NINJA"	"arms_multicolour_laced"
"ACHIEVEMENT_C_MIDWINTER"	nil
"ACHIEVEMENT_C_OBTAIN_100_FAME_IN_20_TURNS"	"legs_toyotomi_hideyoshi"
"ACHIEVEMENT_C_OBTAIN_MAX_LEVEL_UNIT"	"helm_oda_nobunaga"
"ACHIEVEMENT_C_POSESS_ALL_TRADE_NODES"	"shoulders_golden_scale_cuirass"
"ACHIEVEMENT_C_RESEARCH_8TH_TIER_TECH_WITH_NAGOKA"	nil
"ACHIEVEMENT_C_RESEARCH_EPIC_ARCHITECTURE_FIRST"	"arms_hosokawa_tadaoki"
"ACHIEVEMENT_C_RESEARCH_GUNPOWDER_TECH_FIRST"	"mask_golden_scale_cuirass"
"ACHIEVEMENT_C_RESEARCH_SHIH_TECH_FIRST"	"shoulders_oda_nobunaga"
"ACHIEVEMENT_C_SINK_CARAVEL_OR_NIHON_MARU"	"thigh_golden_scale_cuirass"
"ACHIEVEMENT_C_WIN_3_AMBUSH_BATTLES_WITH_JOZAI"	nil
"ACHIEVEMENT_C_WIN_BATTLE_WITH_AMERICAN_MARINES"	nil
"ACHIEVEMENT_C_WIN_BATTLE_WITH_BRITISH_SHIPS"	nil
"ACHIEVEMENT_C_WIN_CAMPAIGN_AFTER_DECLARING_INDEPENDENCE"	nil
"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_HOJO"	"thigh_oda_nobunaga"
"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_ODA"	"arms_toyotomi_hideyoshi"
"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_TAKEDA"	"shoulders_toyotomi_hideyoshi"
"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_TOKUGAWA"	"thigh_toyotomi_hideyoshi"
"ACHIEVEMENT_C_WIN_CHOSOKABE_CAMPAIGN"	"helm_date_masamune"
"ACHIEVEMENT_C_WIN_DATE_CAMPAIGN"	"arms_tokugawa_ieyasu"
"ACHIEVEMENT_C_WIN_EASY_CAMPAIGN"	"crest_ach_1_naval_battle"
"ACHIEVEMENT_C_WIN_GAME_AS_CHRISTIAN"	"legs_golden_scale_cuirass"
"ACHIEVEMENT_C_WIN_HARD_CAMPAIGN"	"sashimono_golden_scale_cuirass"
"ACHIEVEMENT_C_WIN_LEGENDARY_CAMPAIGN_IMPERIAL"	nil
"ACHIEVEMENT_C_WIN_LEGENDARY_CAMPAIGN_SHOGUNATE"	nil
"ACHIEVEMENT_C_WIN_MEDIUM_CAMPAIGN"	"crest_ach_1_quick_battle"
"ACHIEVEMENT_C_WIN_MORI_CAMPAIGN"	"thigh_tokugawa_ieyasu"
"ACHIEVEMENT_C_WIN_MP_COOP_CAMPAIGN"	"chest_morning_glory"
"ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN"	"helm_morning_glory"
"ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN_GIVING_OTHER_PLAYER_GOLD"	"helm_multicolour_laced"
"ACHIEVEMENT_C_WIN_SHIMAZU_CAMPAIGN"	"mask_tokugawa_ieyasu"
"ACHIEVEMENT_C_WIN_UESUGI_CAMPAIGN"	"sashimono_tokugawa_ieyasu"
"ACHIEVEMENT_C_WIPE_OUT_IKKO_IKKI"	"crest_ach_75_percent_all_drops"
"ACHIEVEMENT_RANK_1_SHOGUN_LADDER"	"helm_legendary_kabuto_of_ykok"
"ACHIEVEMENT_STEAM_SUMMER_SALE"	nil
"ACHIEVEMENT_WIN_HARD_CAMPAIGN"	"crest_tokugawa_ieyasu"
"ACHIEVEMENT_WIN_LEGENDARY_CAMPAIGN"	"mask_toyotomi_hideyoshi"
