version 3, schema advice_levels_tables
Key(string)	Thread_Name(string)	advice_thread_level(int)	points_needed(int)	game_area(string)	category(string)	sub_category(string)	max_repeat_count(int)	repeat_interval(int)	pause_battle(boolean)	priority_level(int)	high_verbosity_only(boolean)	locatable(boolean)	parameter(string)	on_display_script(optstring)	suppressible(boolean)	unknown15(boolean)	unknown16(boolean)	audio_clip(string)	unknown18(string)	unknown19(boolean)
"-1992383240"	"1070_Campaign_Advice_Character_Selected_Thread"	2	6	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1989346256"	"5129_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1985907868"	"3168_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1969897884"	"0036_Battle_Advice_Cavalry_Against_Points_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1969504513"	"4007_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1962069695"	"5211_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1961998855"	"0052_Battle_Advice_Driving_Off_Skirmishers_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1961571108"	"1095_Campaign_Advice_Trade_Agreement_Thread"	1	1	"Campaign"	"Features"	"Trade"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1959562032"	"1071_Campaign_Advice_Character_Selected_Thread"	5	16	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1953973669"	"3056_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1951772539"	"3185_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1948085763"	"0156_Battle_Advice_Ship_Aground_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	1	true	true	"battle_ship"	""	false	false	false	"n"	"naval_advisor"	false
"-1946638054"	"3063_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1944874567"	"0192_Battle_Advice_Naval_Group_Button_Thread"	1	1	"Naval Battle"	"UI"	"Buttons"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"naval_advisor"	false
"-1944425564"	"3005_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1944162018"	"0208_Battle_Advice_Walls_Breached_Thread"	1	1	"Battle"	"Siege"	"Defence"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-1929067109"	"5209_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1923096311"	"1019a_Campaign_Advice_UI_Technology_Panel_Thread"	2	2	"Campaign"	"UI"	"Panels"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	true
"-1922422772"	"0048_Battle_Advice_Good_Artillery_Target_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1919018811"	"0740_ep_2_docks_needed"	1	1	"Campaign"	"Episodic"	"2"	1	1	false	0	false	true	"port"	""	false	false	false	"n"	"campaign_advisor"	false
"-1912535864"	"3017_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1909521793"	"5053_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1906180227"	"0031_Battle_Advice_Defending_With_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1904237373"	"4003_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1901858416"	"1014e_Campaign_Advice_UI_Diplomacy_Panel_Thread"	1	1	"Campaign"	"UI"	"Buttons"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1900368136"	"4020_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1899489232"	"0018_Battle_Advice_Fight_To_The_Death_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1892323933"	"0119_Battle_Advice_Unlimbering_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1890476358"	"0097_Battle_Advice_Crossing_Attack_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1889870617"	"5197_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1886952522"	"1002_Campaign_Advice_France_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1880657710"	"3039_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1879621716"	"3123_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1875830202"	"0013_Battle_Advice_Missile_Superiority_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1875537007"	"3225_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1871866990"	"1081_Campaign_Advice_Right_Click_Details_Thread"	4	8	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	true
"-1870445084"	"4055_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1867697595"	"3206_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1854445220"	"5078_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1852972434"	"5028_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1848628710"	"5095_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1848444026"	"0815_bat_tut_fire_at_will3"	1	1	"Battle"	"Tutorial"	"1"	1	1	false	1	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-1845849109"	"3134_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1840379465"	"6032_Campaign_Tutorial_Advise_Message_Box"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-1838000585"	"5061_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1833879664"	"3071_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1831201196"	"5238_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1827006635"	"0196_Battle_Advice_Naval_Fire_At_Will_Thread"	1	1	"Naval Battle"	"UI"	"Buttons"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"naval_advisor"	true
"-1818210944"	"0128_Battle_Advice_Spherical_Case_Shot_Thread"	1	1	"Battle"	"Units"	"Ammo"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-1810712630"	"5135_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1808504559"	"1058_Campaign_Advice_Slot_Selected_Thread"	1	1	"Campaign"	"Slots"	"Farms"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1808331232"	"1005_Campaign_Advice_Russia_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1806703578"	"6118_Campaign_Tutorial_Advise_Finished"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-1805634160"	"5194_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1805368716"	"0215_Battle_Advice_Camera_Controls_Thread"	1	1	"Battle"	"UI"	"Camera"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1794309329"	"5189_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1790533301"	"4058_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1790233702"	"6068_Campaign_Tutorial_Advise_Recruitment_Panel"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-1785102587"	"1030d_Campaign_Advice_UI_Government_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1781079850"	"5020_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1776968026"	"5155_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1775307979"	"1071_Campaign_Advice_Character_Selected_Thread"	2	4	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1766231494"	"1008_Campaign_Advice_Dutch_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1759382389"	"3192_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1759058079"	"1198_Campaign_Advice_UI_Help_Postbattle_Thread"	1	1	"Campaign"	"UI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1758243898"	"1019_Campaign_Advice_UI_Technology_Panel_Thread"	2	4	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1755835367"	"0100_Battle_Advice_Radar_Map_Thread"	1	1	"Battle"	"UI"	"HUD"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1751621401"	"5163_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1270342130"	"4076_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1266097244"	"1146_Campaign_Advice_Trade_Theatres_Thread"	1	1	"Campaign"	"Features"	"Trade"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1258571343"	"3194_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1257913403"	"3022_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1257841388"	"6104_Campaign_Tutorial_Chapter_9_Intro"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-1255420100"	"5133_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1253864586"	"6088_Campaign_Tutorial_Advise_Taxes_Colours"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-1246754910"	"0090_Battle_Advice_Missile_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1244710668"	"3083_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-1243953931"	"1014b_Campaign_Advice_UI_Diplomacy_Panel_Thread"	1	1	"Campaign"	"UI"	"Buttons"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1243676742"	"5064_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-775108411"	"5055_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-772138412"	"0739_ep_1_win_battle"	1	1	"Campaign"	"Episodic"	"1"	100	1	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-765836225"	"5115_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-759552923"	"1011_Campaign_Advice_America_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-758254518"	"0065_Battle_Advice_Outnumbered_By_The_Enemy_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-757350914"	"1059_Campaign_Advice_Slot_Selected_Thread"	1	1	"Campaign"	"Slots"	"Mines"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-741634149"	"3086_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-737696476"	"0817_bat_tut_last_stand"	1	1	"Battle"	"Tutorial"	"1"	1	1	false	1	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-737235711"	"1050_Campaign_Advice_UI_Exchange_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-729505557"	"0106_Battle_Advice_Killometer_Thread"	1	1	"Battle"	"UI"	"HUD"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-728588108"	"0750_ep_2_recruit_frigate"	1	1	"Campaign"	"Episodic"	"2"	5	1	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-265389731"	"3092_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-264202361"	"3175_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-261660151"	"3149_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-258777586"	"5147_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-258306199"	"6087_Campaign_Tutorial_Advise_Reduce_Taxes"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-257461362"	"6110_Campaign_Tutorial_Advise_Sabotage"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-255559934"	"3154_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
