version 3, schema avatar_aesthetics_localised_source_lookups_tables, guid 531f935b-2c94-4f28-b91d-bd09b203338e
unknown1(string)	unknown2(optstring)
"achievement_japan_torn_assunder"	"ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN"
"achievement_legendary_force"	"ACHIEVEMENT_B_FIELD_ENTIRELY_HEROES"
"achievement_legendary_sohei"	"ACHIEVEMENT_C_MAX_LEVEL_MONK"
"achievement_living_for_battle"	"ACHIEVEMENT_C_OBTAIN_MAX_LEVEL_UNIT"
"achievement_loyal_to_the_clan"	"ACHIEVEMENT_A_EARN_20_CLAN_TOKENS"
"achievement_man_the_defences"	"ACHIEVEMENT_B_WIN_10_DEFENDING_SIEGES"
"achievement_master_interrogator"	"ACHIEVEMENT_C_MAX_LEVEL_METSUKE"
"achievement_master_of_the_waves"	"ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES"
"achievement_military_might"	"ACHIEVEMENT_C_RESEARCH_SHIH_TECH_FIRST"
"achievement_mori_victory"	"ACHIEVEMENT_C_WIN_MORI_CAMPAIGN"
"achievement_oda_victory"	"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_ODA"
"achievement_one_rule_under_god"	"ACHIEVEMENT_C_WIN_GAME_AS_CHRISTIAN"
"achievement_onna_bugeisha"	"ACHIEVEMENT_B_WIN_BATTLE_ONNA_BUGEISHA_AS_GENERAL"
"achievement_path_of_the_leader"	"ACHIEVEMENT_A_MAX_OUT_AVATAR_SKILLS_TREE"
"achievement_respectable_rule"	"ACHIEVEMENT_C_WIN_MEDIUM_CAMPAIGN"
"achievement_servant_of_god"	"ACHIEVEMENT_C_MAX_LEVEL_MISSIONARY"
"achievement_serve_with_honour"	"ACHIEVEMENT_A_JOIN_A_CLAN"
"achievement_shimazu_victory"	"ACHIEVEMENT_C_WIN_SHIMAZU_CAMPAIGN"
"achievement_soaring_fame"	"ACHIEVEMENT_C_OBTAIN_100_FAME_IN_20_TURNS"
"achievement_spreading_like_wildfire"	"ACHIEVEMENT_B_BEAT_CA_STAFF_VIRAL"
"achievement_stranglehold"	"ACHIEVEMENT_A_5_CLAN_REGIONS_SIMULTANEOUSLY_OWNED"
"achievement_stubborn_pursuer_of_victory"	"ACHIEVEMENT_WIN_HARD_CAMPAIGN"
"achievement_swathed_in_fire"	"ACHIEVEMENT_B_WIN_BATTLE_50_PERCENT_MATCHLOCK"
"achievement_swift_and_deadly"	"ACHIEVEMENT_B_WIN_MP_BATTLE_LESS_THAN_15_PERCENT_LOSSES"
"achievement_takeda_victory"	"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_TAKEDA"
"achievement_there_can_be_only_one"	"ACHIEVEMENT_RANK_1_SHOGUN_LADDER"
"achievement_tokugawa_victory"	"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_TOKUGAWA"
"achievement_trade_route_monopoly"	"ACHIEVEMENT_C_POSESS_ALL_TRADE_NODES"
"achievement_uesugi_victory"	"ACHIEVEMENT_C_WIN_UESUGI_CAMPAIGN"
"achievement_united_in_conquest"	"ACHIEVEMENT_C_WIN_MP_COOP_CAMPAIGN"
"achievement_uniter_of_japan"	"ACHIEVEMENT_A_CAPTURE_ALL_AVATAR_CAMPAIGN_REGIONS"
"achievement_unnecessary_force"	"ACHIEVEMENT_B_WIPE_OUT_A_UNIT"
"achievement_zenlike_dedication"	"ACHIEVEMENT_B_WIN_200_MULTIPLAYER_BATTLES"
"armour_set"	nil
"battle"	nil
"campaign"	nil
"clan_comp_promotion"	nil
"clan_comp_tier_1_promotion"	nil
"clan_comp_winner"	nil
"ikko_ikki_pdlc_source"	nil
"placeholder"	nil
"starting"	nil
