version 1, schema slots_art_tables
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(optstring)	unknown8(boolean)	unknown9(boolean)	unknown10(boolean)	unknown11(boolean)	unknown12(boolean)	unknown13(boolean)	unknown14(optstring)	unknown15(optstring)	unknown16(boolean)	unknown17(boolean)	unknown18(boolean)	unknown19(boolean)
"egypt"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_egypt"	nil	false	false	false	false
"fish"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"EU_building_placeholder"	nil	false	false	false	false
"fish"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"EU_building_placeholder"	nil	false	false	false	false
"fish"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"EU_building_placeholder"	nil	false	false	false	false
"fish"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"EU_building_placeholder"	nil	false	false	false	false
"fish"	"tribal_playable"	nil	false	nil	false	nil	false	false	false	false	false	false	"EU_building_placeholder"	nil	false	false	false	false
"fort"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"tribal_playable"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fur"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_furtrader"	nil	false	false	false	false
"fur"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_furtrader"	nil	false	false	false	false
"fur"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_furtrader"	nil	false	false	false	false
"fur"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_furtrader"	nil	false	false	false	false
"fur"	"tribal_playable"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_furtrader"	nil	false	false	false	false
"gems"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gems_lvl0"	nil	false	false	false	false
"gems"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gems_lvl0"	nil	false	false	false	false
"gems"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gems_lvl0"	nil	false	false	false	false
"gems"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gems_lvl0"	nil	false	false	false	false
"gems"	"tribal_playable"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gems_lvl0"	nil	false	false	false	false
"gold"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"tribal_playable"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"india_highlands"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_india_highlands"	nil	false	false	false	false
"india_highlands"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_india_highlands"	nil	false	false	false	false
"india_highlands"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_india_highlands"	nil	false	false	false	false
"india_highlands"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_india_highlands"	nil	false	false	false	false
"india_highlands"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_india_highlands"	nil	false	false	false	false
"iron"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"tribal_playable"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"port"	"european"	nil	false	"EU_Port"	true	"EU_Port_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"indian"	nil	false	"IND_Port"	true	"IND_Port_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"middle_east"	nil	false	"OTT_Port"	true	"OTT_Port_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"tribal"	nil	false	"NA_Port"	true	"EU_Port_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"tribal_playable"	nil	false	"NA_Port"	true	"EU_Port_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"rice"	"european"	"ott_ricepaddy_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_ricepaddy"	nil	false	false	false	false
"rice"	"indian"	"ott_ricepaddy_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_ricepaddy"	nil	false	false	false	false
"rice"	"middle_east"	"ott_ricepaddy_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_ricepaddy"	nil	false	false	false	false
"rice"	"tribal"	"ott_ricepaddy_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_ricepaddy"	nil	false	false	false	false
"rice"	"tribal_playable"	"ott_ricepaddy_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_ricepaddy"	nil	false	false	false	false
"settlement"	"european"	"eu_city_diffuse"	true	"EU_Settlement"	false	nil	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"indian"	nil	false	"IND_Settlement"	false	nil	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"middle_east"	nil	false	"OTT_Settlement"	false	nil	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"tribal"	nil	false	"NA_Settlement"	false	nil	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"tribal_playable"	nil	false	"NA_Settlement"	false	nil	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"sheep"	"european"	"eu_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"Slot_resource_farm_sheep"	false	false	false	false
"sheep"	"indian"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"Slot_resource_farm_sheep"	false	false	false	false
"sheep"	"middle_east"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"Slot_resource_farm_sheep"	false	false	false	false
"sheep"	"tribal"	"eu_south_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"Slot_resource_farm_sheep"	false	false	false	false
"sheep"	"tribal_playable"	"eu_south_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"Slot_resource_farm_sheep"	false	false	false	false
"silver"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_silver_lvl0"	nil	false	false	false	false
"silver"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_silver_lvl0"	nil	false	false	false	false
"silver"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_silver_lvl0"	nil	false	false	false	false
"silver"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_silver_lvl0"	nil	false	false	false	false
"silver"	"tribal_playable"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_silver_lvl0"	nil	false	false	false	false
"southern_usa"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_southern_usa"	nil	false	false	false	false
"southern_usa"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_southern_usa"	nil	false	false	false	false
"southern_usa"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_southern_usa"	nil	false	false	false	false
"southern_usa"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_southern_usa"	nil	false	false	false	false
"southern_usa"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_southern_usa"	nil	false	false	false	false
"timber"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"tribal_playable"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"town"	"european"	"eu_town_diffuse"	true	"EU_Town"	true	"EU_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town"	"middle_east"	nil	false	"OTT_Town"	true	"OTT_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town"	"tribal_playable"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-metal"	"european"	nil	false	"EU_Town"	true	"EU_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-metal"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-metal"	"middle_east"	nil	false	"OTT_Town"	true	"OTT_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-metal"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-metal"	"tribal_playable"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-textile"	"european"	nil	false	"EU_Town"	true	"EU_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-textile"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-textile"	"middle_east"	nil	false	"OTT_Town"	true	"OTT_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-textile"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-textile"	"tribal_playable"	nil	false	"NA_Town"	true	"NA_Village"	true	true	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"tropical_humid"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_tropical_humid"	nil	false	false	false	false
"tropical_humid"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_tropical_humid"	nil	false	false	false	false
"tropical_humid"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_tropical_humid"	nil	false	false	false	false
"tropical_humid"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_tropical_humid"	nil	false	false	false	false
"tropical_humid"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_tropical_humid"	nil	false	false	false	false
"wheat"	"european"	"eu_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"indian"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"middle_east"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"tribal"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"tribal_playable"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wine"	"european"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"indian"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"middle_east"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"tribal"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"tribal_playable"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
