version 1, schema ship_names_tables
Index(string)	Name_Loc_IDRef(string)	Ship_Name(string)	Faction(optstring)
"136"	"names_dutch"	"Kasteel van Medemblik"	"netherlands"
"137"	"names_dutch"	"Kat"	nil
"138"	"names_dutch"	"Katwijk"	nil
"139"	"names_dutch"	"Keizerswaard"	nil
"140"	"names_dutch"	"Kennemerland"	nil
"141"	"names_dutch"	"Keurvorst van Saksen"	"netherlands"
"142"	"names_dutch"	"Keurvorstin van Brandenburg"	"netherlands"
"143"	"names_dutch"	"Klein Amsterdam"	nil
"144"	"names_dutch"	"Kloek"	nil
"145"	"names_dutch"	"Kommetster"	nil
"146"	"names_dutch"	"Koning William"	"netherlands"
"147"	"names_dutch"	"Kortgene"	nil
"148"	"names_dutch"	"Kroonvogel"	nil
"149"	"names_dutch"	"Kruidberg"	nil
"150"	"names_dutch"	"LandsKroon"	nil
"151"	"names_dutch"	"Leeuwarden"	nil
"152"	"names_dutch"	"Leeuwerik"	nil
"153"	"names_dutch"	"Leiden"	nil
"154"	"names_dutch"	"Leyden"	nil
"155"	"names_dutch"	"Liefde"	nil
"156"	"names_dutch"	"Limmen"	nil
"157"	"names_dutch"	"Loosdrecht"	nil
"158"	"names_dutch"	"Maagd van Dordrecht"	"netherlands"
"159"	"names_dutch"	"Maan"	nil
"160"	"names_dutch"	"Maarseveen"	nil
"161"	"names_dutch"	"Maas"	nil
"162"	"names_dutch"	"Maen"	nil
"163"	"names_dutch"	"Maria Elisabeth"	nil
"164"	"names_dutch"	"Mars"	nil
"165"	"names_dutch"	"Matenes"	nil
"166"	"names_dutch"	"Matenesse"	nil
"167"	"names_dutch"	"Medemblik"	nil
"168"	"names_dutch"	"Meermin"	nil
"169"	"names_dutch"	"Mercurius"	nil
"170"	"names_dutch"	"Middelburg"	nil
"171"	"names_dutch"	"Middelhoven"	nil
"172"	"names_dutch"	"Monnikendam"	nil
"173"	"names_dutch"	"Morgenstar"	nil
"174"	"names_dutch"	"Moriaans Hoofd"	nil
"175"	"names_dutch"	"Morianshoofd"	nil
"176"	"names_dutch"	"Muiden"	nil
"177"	"names_dutch"	"Muiderberg"	nil
"178"	"names_dutch"	"Nagelboom"	nil
"179"	"names_dutch"	"Nassau"	nil
"180"	"names_dutch"	"Nassau Weilburg"	nil
"181"	"names_dutch"	"Neptunus"	nil
"182"	"names_dutch"	"Nieuwenhuis"	nil
"183"	"names_dutch"	"Nijmegen"	"netherlands"
"184"	"names_dutch"	"Noord Holland"	"netherlands"
"185"	"names_dutch"	"Noorderkwartier"	nil
"186"	"names_dutch"	"Oldenbarneveldt"	nil
"187"	"names_dutch"	"Olifant"	nil
"188"	"names_dutch"	"Omlandia"	"netherlands"
"189"	"names_dutch"	"Oostergo"	nil
"190"	"names_dutch"	"Oost-Stellingwerf"	nil
"191"	"names_dutch"	"Oranje"	"netherlands"
"192"	"names_dutch"	"Oranjeboom"	"netherlands"
"193"	"names_dutch"	"Oranjegalei"	"netherlands"
"194"	"names_dutch"	"Oud Naarden"	nil
"195"	"names_dutch"	"Oudkarspel"	nil
"196"	"names_dutch"	"Overijssel"	nil
"197"	"names_dutch"	"Pacificatie"	nil
"198"	"names_dutch"	"Pauw"	nil
"199"	"names_dutch"	"Pera"	nil
"200"	"names_dutch"	"Peter Paulus"	nil
"201"	"names_dutch"	"Polanen"	nil
"202"	"names_dutch"	"Popskenburg"	nil
"203"	"names_dutch"	"Postiljon"	nil
"204"	"names_dutch"	"Prins Frederik"	"netherlands"
"205"	"names_dutch"	"Prins Friso"	"netherlands"
"206"	"names_dutch"	"Prins Hendrik Casimir"	"netherlands"
"207"	"names_dutch"	"Prins Maurits"	"netherlands"
"208"	"names_dutch"	"Prins Willem"	"netherlands"
"209"	"names_dutch"	"Prins Willem de Eersts"	"netherlands"
"210"	"names_dutch"	"Prinses Amalia"	"netherlands"
"211"	"names_dutch"	"Prinses Carolina"	"netherlands"
"212"	"names_dutch"	"Prinses Louise"	"netherlands"
"213"	"names_dutch"	"Prinses Maria Louisa"	"netherlands"
"214"	"names_dutch"	"Prinses Royaal"	"netherlands"
"215"	"names_dutch"	"Prinses Royal Maria"	"netherlands"
"216"	"names_dutch"	"Purmer"	nil
"217"	"names_dutch"	"Raadhuis de Haarlem"	nil
"218"	"names_dutch"	"Raaf"	nil
"219"	"names_dutch"	"Ramhorst"	nil
"220"	"names_dutch"	"Rebecca"	nil
"221"	"names_dutch"	"Reigersbergen"	nil
"222"	"names_dutch"	"Revolutie"	nil
"223"	"names_dutch"	"Ridderschap"	nil
"224"	"names_dutch"	"Ridderschap van Holland"	nil
"225"	"names_dutch"	"Rijnland"	nil
"226"	"names_dutch"	"Ripperda"	nil
"227"	"names_dutch"	"Rochus"	nil
"228"	"names_dutch"	"Roeigalei"	nil
"229"	"names_dutch"	"Roode Leeuw"	nil
"230"	"names_dutch"	"Rooswijk"	nil
"231"	"names_dutch"	"Rosedaal"	nil
"232"	"names_dutch"	"Roskam"	nil
"233"	"names_dutch"	"Rotterdam"	"netherlands"
"234"	"names_dutch"	"Rozendaal"	nil
"235"	"names_dutch"	"Sardam"	nil
"236"	"names_dutch"	"Schager Roos"	nil
"237"	"names_dutch"	"Schakerlo"	nil
"238"	"names_dutch"	"Schattershoef"	nil
"239"	"names_dutch"	"Schiedam"	nil
"240"	"names_dutch"	"Schieland"	nil
"241"	"names_dutch"	"Schoonoord"	nil
"242"	"names_dutch"	"Schoterbosch"	nil
"243"	"names_dutch"	"Schrikverwekker"	nil
"244"	"names_dutch"	"Seepelaar"	nil
"245"	"names_dutch"	"Slot Honingen"	nil
"246"	"names_dutch"	"Sneek"	nil
"247"	"names_dutch"	"Soestdijk"	nil
"248"	"names_dutch"	"Soeterwoude"	nil
"249"	"names_dutch"	"Sphaera Mundi"	nil
"250"	"names_dutch"	"Spiegel"	nil
"251"	"names_dutch"	"St Anna"	nil
"252"	"names_dutch"	"St Marie"	nil
"253"	"names_dutch"	"St Paulus"	nil
"254"	"names_dutch"	"St Pieter"	nil
"255"	"names_dutch"	"Staaten Generaal"	nil
"256"	"names_dutch"	"Stad en Lande"	nil
"257"	"names_dutch"	"Stad Medemblik"	nil
"258"	"names_dutch"	"Starrenberg"	nil
"259"	"names_dutch"	"Steenbergen"	nil
"260"	"names_dutch"	"Suriname"	nil
"261"	"names_dutch"	"Ter Goes"	nil
"262"	"names_dutch"	"Ter Meer"	nil
"263"	"names_dutch"	"Texel"	nil
"264"	"names_dutch"	"Tholen"	nil
"265"	"names_dutch"	"Tijger"	nil
"266"	"names_dutch"	"Triton"	nil
"267"	"names_dutch"	"Tromp"	nil
"268"	"names_dutch"	"Twickel"	nil
"269"	"names_dutch"	"Twickelo"	nil
"270"	"names_dutch"	"Unie"	nil
"271"	"names_dutch"	"Utrecht"	"netherlands"
"272"	"names_dutch"	"Valkenier"	nil
"273"	"names_dutch"	"Veere"	nil
"274"	"names_dutch"	"Veluwe"	nil
"275"	"names_dutch"	"Vergulde Draeck"	nil
"276"	"names_dutch"	"Vergulde Phenix"	nil
"277"	"names_dutch"	"Vergulde Zon"	nil
"278"	"names_dutch"	"Vervachting"	nil
"279"	"names_dutch"	"Vianen"	nil
"280"	"names_dutch"	"Visschers Harder"	nil
"281"	"names_dutch"	"Vlaardingen"	nil
"282"	"names_dutch"	"Vlasblom"	nil
"283"	"names_dutch"	"Vliegende Hollander"	nil
"284"	"names_dutch"	"Vliegende Swaan"	nil
"285"	"names_dutch"	"Vlissingen"	nil
"286"	"names_dutch"	"Vogelstruijs"	nil
"287"	"names_dutch"	"Vollenhove"	nil
"288"	"names_dutch"	"Voorzichtigheid"	nil
"289"	"names_dutch"	"Vrede"	nil
"290"	"names_dutch"	"Vredewold"	nil
"291"	"names_dutch"	"Vrijheid"	nil
"292"	"names_dutch"	"Waasdorp"	nil
"293"	"names_dutch"	"Wakende Boei"	nil
"294"	"names_dutch"	"Wakende Kraan"	nil
"295"	"names_dutch"	"Walcheren"	nil
"296"	"names_dutch"	"Wapen van Enkhuizen"	"netherlands"
"297"	"names_dutch"	"Wapen van Holland"	"netherlands"
"298"	"names_dutch"	"Wapen van Hoorn"	nil
"299"	"names_dutch"	"Wapen van Nassau"	nil
"300"	"names_dutch"	"Wassenaer"	nil
"301"	"names_dutch"	"Watervliet"	nil
"302"	"names_dutch"	"Weesp"	nil
"303"	"names_dutch"	"Weldam"	nil
"304"	"names_dutch"	"Westergo"	nil
"305"	"names_dutch"	"Westfriesland"	"netherlands"
"306"	"names_dutch"	"Wezel"	nil
"307"	"names_dutch"	"Windhond"	nil
"308"	"names_dutch"	"Woerden"	nil
"309"	"names_dutch"	"Wolf"	nil
"310"	"names_dutch"	"Wolfswinkel"	nil
"311"	"names_dutch"	"Wouw"	nil
"312"	"names_dutch"	"Wreker"	nil
"313"	"names_dutch"	"Wulpenburg"	nil
"314"	"names_dutch"	"Wulverhorst"	nil
"315"	"names_dutch"	"Zandvoort"	nil
"316"	"names_dutch"	"Zeehaen"	nil
"317"	"names_dutch"	"Zeelandia"	"netherlands"
"318"	"names_dutch"	"Zeemeeuw"	nil
"319"	"names_dutch"	"Zeerijp"	nil
"320"	"names_dutch"	"Zevenwolden"	nil
"321"	"names_dutch"	"Zierikzee"	nil
"322"	"names_dutch"	"Zomer"	nil
"323"	"names_dutch"	"Zuid-Beveland"	nil
"324"	"names_dutch"	"Zutphen"	nil
"325"	"names_dutch"	"Zuytdorp"	nil
"326"	"names_dutch"	"Zwanenburg"	nil
"327"	"names_dutch"	"Zwolle"	nil
"328"	"names_english"	"Abdiel"	nil
"329"	"names_english"	"Aboukir"	nil
"330"	"names_english"	"Acasta"	nil
"331"	"names_english"	"Achates"	nil
"332"	"names_english"	"Acheron"	nil
"333"	"names_english"	"Achilles"	nil
"334"	"names_english"	"Acorn"	nil
"335"	"names_english"	"Actaeon"	nil
"336"	"names_english"	"Active"	nil
"337"	"names_english"	"Acute"	nil
"338"	"names_english"	"Adamant"	nil
"339"	"names_english"	"Adams"	nil
"340"	"names_english"	"Adder"	nil
"341"	"names_english"	"Adventure"	nil
"342"	"names_english"	"Advice"	nil
"343"	"names_english"	"Aetna"	nil
"344"	"names_english"	"Africa"	nil
"345"	"names_english"	"Agamemnon"	nil
"346"	"names_english"	"Agincourt"	"britain"
"347"	"names_english"	"Ajax"	nil
"349"	"names_english"	"Albany"	nil
"350"	"names_english"	"Albemarle"	"britain"
"351"	"names_english"	"Albion"	"britain"
"352"	"names_english"	"Alcide"	nil
"353"	"names_english"	"Alert"	nil
"354"	"names_english"	"Alfred"	nil
"355"	"names_english"	"Alliance"	nil
"356"	"names_english"	"Amazon"	nil
"357"	"names_english"	"Ambuscade"	nil
"359"	"names_english"	"Amphion"	nil
"361"	"names_english"	"Anne"	nil
"362"	"names_english"	"Anson"	nil
"363"	"names_english"	"Antelope"	nil
"364"	"names_english"	"Apollo"	nil
"365"	"names_english"	"Arab"	nil
"366"	"names_english"	"Archer"	nil
"367"	"names_english"	"Ardent"	nil
"368"	"names_english"	"Arethusa"	nil
"369"	"names_english"	"Argo"	nil
"370"	"names_english"	"Argonaut"	nil
"371"	"names_english"	"Argus"	nil
"372"	"names_english"	"Argyll"	nil
"373"	"names_english"	"Ariadne"	nil
"374"	"names_english"	"Ariel"	nil
"375"	"names_english"	"Association"	nil
"376"	"names_english"	"Assurance"	nil
"377"	"names_english"	"Atalanta"	nil
"378"	"names_english"	"Audacious"	nil
"379"	"names_english"	"Aurora"	nil
"380"	"names_english"	"Babet"	nil
"382"	"names_english"	"Barfleur"	nil
"383"	"names_english"	"Belleisle"	nil
"384"	"names_english"	"Bellerophon"	nil
"385"	"names_english"	"Bellona"	nil
"386"	"names_english"	"Berkeley Castle"	"britain"
"387"	"names_english"	"Bermuda"	"britain"
"388"	"names_english"	"Berwick"	"britain"
"389"	"names_english"	"Black Prince"	"britain"
"392"	"names_english"	"Bounty"	"britain"
"393"	"names_english"	"Bourbon"	nil
"394"	"names_english"	"Boxer"	nil
"395"	"names_english"	"Boyne"	"britain"
"396"	"names_english"	"Brandywine"	nil
"397"	"names_english"	"Brazen"	nil
"398"	"names_english"	"Brilliant"	nil
"399"	"names_english"	"Bristol"	"britain"
"400"	"names_english"	"Britannia"	"britain"
"401"	"names_english"	"Bruizer"	nil
"402"	"names_english"	"Bulldog"	nil
"403"	"names_english"	"Cabot"	nil
"404"	"names_english"	"Cadiz"	"britain"
"405"	"names_english"	"Caesar"	nil
"406"	"names_english"	"Calcutta"	"britain"
"407"	"names_english"	"Cambridge"	nil
"408"	"names_english"	"Captain"	nil
"409"	"names_english"	"Cardiff"	"britain"
"410"	"names_english"	"Centaur"	nil
"411"	"names_english"	"Centurion"	nil
"412"	"names_english"	"Ceres"	nil
"413"	"names_english"	"Cerf"	nil
"414"	"names_english"	"Champion"	nil
"415"	"names_english"	"Charlestown"	"britain"
"416"	"names_english"	"Chatham"	"britain"
"419"	"names_english"	"Circe"	nil
"420"	"names_english"	"Clyde"	"britain"
"422"	"names_english"	"Colossus"	nil
"425"	"names_english"	"Comet"	nil
"429"	"names_english"	"Conqueror"	nil
"432"	"names_english"	"Cornwall"	"britain"
"433"	"names_english"	"Coventry"	"britain"
"434"	"names_english"	"Culloden"	"britain"
"435"	"names_english"	"Cumberland"	nil
"436"	"names_english"	"Cyane"	nil
"437"	"names_english"	"Dae"	nil
"438"	"names_english"	"Dartmouth"	"britain"
"439"	"names_english"	"Dasher"	nil
"440"	"names_english"	"Deane"	nil
"441"	"names_english"	"Defence"	nil
"442"	"names_english"	"Defiance"	nil
"443"	"names_english"	"Defiant"	nil
"445"	"names_english"	"Devonshire"	"britain"
"446"	"names_english"	"Diamond"	nil
"447"	"names_english"	"Dido"	nil
"448"	"names_english"	"Diligent"	nil
"449"	"names_english"	"Discovery"	nil
"450"	"names_english"	"Doimede"	nil
"451"	"names_english"	"Dolphin"	nil
"452"	"names_english"	"Dorsetshire"	"britain"
"453"	"names_english"	"Dragon"	nil
"454"	"names_english"	"Drake"	"britain"
"455"	"names_english"	"Dreadnought"	nil
"456"	"names_english"	"Dryad"	nil
"458"	"names_english"	"Dumbarton Castle"	"britain"
"459"	"names_english"	"Dunkirk"	nil
"460"	"names_english"	"Eagle"	nil
"461"	"names_english"	"Echo"	nil
"462"	"names_english"	"Edgar"	nil
"463"	"names_english"	"Edinburgh"	"britain"
"464"	"names_english"	"Effingham"	nil
"465"	"names_english"	"Elephant"	nil
"466"	"names_english"	"Emerald"	nil
"467"	"names_english"	"Endeavour"	nil
"468"	"names_english"	"Endymion"	nil
"469"	"names_english"	"Enterprise"	nil
"470"	"names_english"	"Enterprize"	nil
"471"	"names_english"	"Epevier"	nil
"473"	"names_english"	"Essex"	"britain"
"474"	"names_english"	"Exeter"	"britain"
"475"	"names_english"	"Fairfield"	nil
"476"	"names_english"	"Falmouth"	nil
"477"	"names_english"	"Fame"	nil
"478"	"names_english"	"Fearless"	nil
"479"	"names_english"	"Fly"	nil
"480"	"names_english"	"Formidable"	nil
"481"	"names_english"	"Foudroyant"	nil
"482"	"names_english"	"Fox"	nil
"484"	"names_english"	"Frolic"	nil
"485"	"names_english"	"Galatea"	nil
"486"	"names_english"	"Ganges"	nil
"490"	"names_english"	"Gibraltar"	"britain"
"491"	"names_english"	"Glasgow"	"britain"
"492"	"names_english"	"Glatton"	nil
"493"	"names_english"	"Glory"	nil
"494"	"names_english"	"Gloucester"	"britain"
"495"	"names_english"	"Goliath"	nil
"496"	"names_english"	"Good Hope"	nil
"497"	"names_english"	"Grafton"	nil
"498"	"names_english"	"Grampus"	nil
"499"	"names_english"	"Great Harry"	nil
"500"	"names_english"	"Greyhound"	nil
"501"	"names_english"	"Guardian"	nil
"502"	"names_english"	"Halifax"	"britain"
"503"	"names_english"	"Hampden"	nil
"504"	"names_english"	"Hampshire"	"britain"
"505"	"names_english"	"Hancock"	nil
"506"	"names_english"	"Hannibal"	nil
"507"	"names_english"	"Hecla"	nil
"508"	"names_english"	"Hector"	nil
"509"	"names_english"	"Herald"	nil
"510"	"names_english"	"Hercules"	nil
"511"	"names_english"	"Hermes"	nil
"512"	"names_english"	"Hermione"	nil
"513"	"names_english"	"Hero"	nil
"514"	"names_english"	"Hibernia"	"britain"
"515"	"names_english"	"Hornet"	nil
"516"	"names_english"	"Hussar"	nil
"517"	"names_english"	"Illustrious"	nil
"518"	"names_english"	"Impregnable"	nil
"519"	"names_english"	"Indefatigable"	nil
"521"	"names_english"	"Inflexible"	nil
"522"	"names_english"	"Insurgent"	nil
"523"	"names_english"	"Intrepid"	nil
"524"	"names_english"	"Invincible"	nil
"525"	"names_english"	"Iris"	nil
"526"	"names_english"	"Irresistible"	nil
"527"	"names_english"	"Isis"	nil
"528"	"names_english"	"Jamaica"	nil
"529"	"names_english"	"Jersey"	"britain"
"531"	"names_english"	"Juno"	nil
"532"	"names_english"	"Kangaroo"	nil
"533"	"names_english"	"Kent"	"britain"
"534"	"names_english"	"Kingston"	"britain"
"535"	"names_english"	"Lancaster"	"britain"
"536"	"names_english"	"Leander"	nil
"537"	"names_english"	"Leda"	nil
"538"	"names_english"	"Leopard"	nil
"539"	"names_english"	"Leviathan"	nil
"541"	"names_english"	"Liberator"	nil
"542"	"names_english"	"Lightning"	nil
"543"	"names_english"	"Lincoln"	"britain"
"545"	"names_english"	"Lion"	nil
"546"	"names_english"	"Liverpool"	"britain"
"547"	"names_english"	"London"	"britain"
"549"	"names_english"	"Macedonian"	nil
"550"	"names_english"	"Magnificent"	nil
"552"	"names_english"	"Majestic"	nil
"553"	"names_english"	"Marlborough"	"britain"
"554"	"names_english"	"Mars"	nil
"555"	"names_english"	"Mary Rose"	"britain"
"557"	"names_english"	"Medea"	nil
"558"	"names_english"	"Medway"	"britain"
"559"	"names_english"	"Merrimack"	nil
"560"	"names_english"	"Minerva"	nil
"561"	"names_english"	"Minotaur"	nil
"562"	"names_english"	"Mohawk"	nil
"563"	"names_english"	"Monarch"	"britain"
"564"	"names_english"	"Monmouth"	"britain"
"565"	"names_english"	"Montgomery"	nil
"566"	"names_english"	"Mordaunt"	nil
"567"	"names_english"	"Mosquito"	nil
"568"	"names_english"	"Myrmidon"	nil
"569"	"names_english"	"Naiad"	nil
"570"	"names_english"	"Narcissus"	nil
"571"	"names_english"	"Nautilus"	nil
"572"	"names_english"	"Neptune"	nil
"577"	"names_english"	"Newcastle"	"britain"
"578"	"names_english"	"Newport"	"britain"
"579"	"names_english"	"Newton"	nil
"580"	"names_english"	"Niger"	nil
"581"	"names_english"	"Nonsuch"	nil
"582"	"names_english"	"Norfolk"	"britain"
"584"	"names_english"	"Northumberland"	"britain"
"585"	"names_english"	"Nottingham"	"britain"
"586"	"names_english"	"Nymph"	nil
"587"	"names_english"	"Ocean"	nil
"589"	"names_english"	"Orion"	nil
"590"	"names_english"	"Ossory"	nil
"591"	"names_english"	"Oxford"	"britain"
"592"	"names_english"	"Pallas"	nil
"593"	"names_english"	"Pandora"	nil
"595"	"names_english"	"Peacock"	nil
"596"	"names_english"	"Pegasus"	nil
"597"	"names_english"	"Penelope"	nil
"599"	"names_english"	"Penzance"	"britain"
"601"	"names_english"	"Phoebe"	nil
"602"	"names_english"	"Phoenix"	nil
"603"	"names_english"	"Pigot"	nil
"604"	"names_english"	"Plymouth"	"britain"
"605"	"names_english"	"Polyphemus"	nil
"607"	"names_english"	"Portsmouth"	nil
"610"	"names_english"	"Prince"	"britain"
"611"	"names_english"	"Prince George"	"britain"
"612"	"names_english"	"Prince of Wales"	"britain"
"613"	"names_english"	"Prince Royal"	"britain"
"614"	"names_english"	"Princess Royal"	"britain"
"615"	"names_english"	"Queen"	"britain"
"616"	"names_english"	"Queen Charlotte"	"britain"
"618"	"names_english"	"Racehorse"	nil
"619"	"names_english"	"Rainbow"	nil
"620"	"names_english"	"Raleigh"	nil
"621"	"names_english"	"Ramillies"	nil
"622"	"names_english"	"Randolph"	nil
"623"	"names_english"	"Ranger"	nil
"624"	"names_english"	"Raritan"	nil
"625"	"names_english"	"Renown"	nil
"626"	"names_english"	"Reprisal"	nil
"627"	"names_english"	"Repulse"	nil
"628"	"names_english"	"Resistance"	nil
"629"	"names_english"	"Resolution"	nil
"630"	"names_english"	"Retaliation"	nil
"631"	"names_english"	"Revenge"	nil
"632"	"names_english"	"Richmond"	"britain"
"633"	"names_english"	"Rodney"	nil
"634"	"names_english"	"Roebuck"	nil
"635"	"names_english"	"Rose"	nil
"636"	"names_english"	"Royal George"	"britain"
"637"	"names_english"	"Royal Oak"	"britain"
"638"	"names_english"	"Royal Sovereign"	"britain"
"639"	"names_english"	"Sabine"	nil
"640"	"names_english"	"Sachem"	nil
"642"	"names_english"	"Sapphire"	nil
"645"	"names_english"	"Sceptre"	nil
"646"	"names_english"	"Scorpion"	nil
"647"	"names_english"	"Seahorse"	nil
"648"	"names_english"	"Serapis"	nil
"649"	"names_english"	"Severn"	"britain"
"650"	"names_english"	"Shannon"	"britain"
"651"	"names_english"	"Sirius"	nil
"652"	"names_english"	"Snake"	nil
"653"	"names_english"	"Somerset"	"britain"
