version 1, schema campaign_ai_technology_path_junctions_tables, guid 99f0c6da-a9f1-456d-a916-9dd83b41e72c
class(string)	value(int)	tech(string)
"alltech_highest"	810	"shogun_civil_province_chonindo"
"alltech_highest"	90	"shogun_civil_province_equal_fields"
"alltech_highest"	7290	"shogun_civil_province_kinza_mint"
"alltech_highest"	90	"shogun_civil_religion_essence_of_the_spirit"
"alltech_highest"	7290	"shogun_civil_religion_neo_confucianism"
"alltech_highest"	90	"shogun_civil_religion_otomo_essence_of_the_spirit"
"alltech_highest"	7290	"shogun_civil_religion_religious_propagation"
"alltech_highest"	810	"shogun_civil_religion_religious_self_sufficiency"
"alltech_highest"	810	"shogun_civil_religion_scholarship"
"alltech_highest"	810	"shogun_military_bow_bow_expertise"
"alltech_highest"	7290	"shogun_military_bow_kyujutsu_mastery"
"alltech_highest"	90	"shogun_military_bow_way_of_the_bow"
"alltech_highest"	10	"shogun_military_core_bushido"
"alltech_highest"	270	"shogun_military_core_form"
"alltech_highest"	270	"shogun_military_core_heaven_and_earth"
"alltech_highest"	2430	"shogun_military_core_horse_mastery"
"alltech_highest"	21870	"shogun_military_core_shih"
"alltech_highest"	30	"shogun_military_core_strategy_of_attack"
"alltech_highest"	30	"shogun_military_core_strategy_of_defence"
"alltech_highest"	2430	"shogun_military_core_the_five_elements"
"alltech_highest"	810	"shogun_military_musket_attack_by_fire"
"alltech_highest"	7290	"shogun_military_musket_teppo_mastery"
"alltech_highest"	7290	"shogun_military_naval_mastery_of_the_waves"
"alltech_highest"	810	"shogun_military_naval_naval_expertise"
"alltech_highest"	90	"shogun_military_naval_way_of_the_sea"
"alltech_highest"	7290	"shogun_military_spear_sojutsu_mastery"
"alltech_highest"	810	"shogun_military_spear_spear_expertise"
"alltech_highest"	90	"shogun_military_spear_way_of_the_spear"
"alltech_highest"	7290	"shogun_military_sword_kenjutsu_mastery"
"alltech_highest"	810	"shogun_military_sword_sword_expertise"
"alltech_highest"	90	"shogun_military_sword_way_of_the_sword"
"alltech_lowest"	90	"shogun_civil_core_calligraphy"
"alltech_lowest"	10	"shogun_civil_core_epic_architecture"
"alltech_lowest"	810	"shogun_civil_core_tax_reform"
"alltech_lowest"	810	"shogun_civil_core_tea_ceremony"
"alltech_lowest"	7290	"shogun_civil_core_todofuken"
"alltech_lowest"	90	"shogun_civil_core_traditional_building"
"alltech_lowest"	21870	"shogun_civil_core_way_of_chi"
"alltech_lowest"	7290	"shogun_civil_core_zen"
"alltech_lowest"	2430	"shogun_civil_loyalty_noh"
"alltech_lowest"	270	"shogun_civil_loyalty_sumo_tournament"
"alltech_lowest"	2430	"shogun_civil_metsuke_secret_police"
"alltech_lowest"	30	"shogun_civil_metsuke_sword_hunt"
"alltech_lowest"	30	"shogun_civil_ninja_ninjutsu_mastery"
"alltech_lowest"	270	"shogun_civil_ninja_school_of_shinobi"
"alltech_lowest"	270	"shogun_civil_province_chonindo"
"alltech_lowest"	2430	"shogun_civil_province_equal_fields"
"alltech_lowest"	30	"shogun_civil_province_kinza_mint"
"alltech_lowest"	2430	"shogun_civil_religion_essence_of_the_spirit"
"alltech_lowest"	30	"shogun_civil_religion_neo_confucianism"
"alltech_lowest"	2430	"shogun_civil_religion_otomo_essence_of_the_spirit"
"alltech_lowest"	30	"shogun_civil_religion_religious_propagation"
"alltech_lowest"	270	"shogun_civil_religion_religious_self_sufficiency"
"alltech_lowest"	270	"shogun_civil_religion_scholarship"
"alltech_lowest"	270	"shogun_military_bow_bow_expertise"
"alltech_lowest"	30	"shogun_military_bow_kyujutsu_mastery"
"alltech_lowest"	2430	"shogun_military_bow_way_of_the_bow"
"alltech_lowest"	21870	"shogun_military_core_bushido"
"alltech_lowest"	810	"shogun_military_core_form"
"alltech_lowest"	810	"shogun_military_core_heaven_and_earth"
"alltech_lowest"	90	"shogun_military_core_horse_mastery"
"alltech_lowest"	10	"shogun_military_core_shih"
"alltech_lowest"	7290	"shogun_military_core_strategy_of_attack"
"alltech_lowest"	7290	"shogun_military_core_strategy_of_defence"
"alltech_lowest"	90	"shogun_military_core_the_five_elements"
"alltech_lowest"	270	"shogun_military_musket_attack_by_fire"
"alltech_lowest"	30	"shogun_military_musket_teppo_mastery"
"alltech_lowest"	30	"shogun_military_naval_mastery_of_the_waves"
"alltech_lowest"	270	"shogun_military_naval_naval_expertise"
"alltech_lowest"	2430	"shogun_military_naval_way_of_the_sea"
"alltech_lowest"	30	"shogun_military_spear_sojutsu_mastery"
"alltech_lowest"	270	"shogun_military_spear_spear_expertise"
"alltech_lowest"	2430	"shogun_military_spear_way_of_the_spear"
"alltech_lowest"	30	"shogun_military_sword_kenjutsu_mastery"
"alltech_lowest"	270	"shogun_military_sword_sword_expertise"
"alltech_lowest"	2430	"shogun_military_sword_way_of_the_sword"
"base"	100	"shogun_civil_core_way_of_chi"
"base"	100	"shogun_military_core_bushido"
"bos_civil_charter_oath"	10	"boshin_civil_abolition_of_land_restriction"
"bos_civil_charter_oath"	10	"boshin_civil_capitalist_production"
"bos_civil_charter_oath"	10	"boshin_civil_charter_oath"
"bos_civil_conversion"	50	"boshin_civil_domain_and_the_realm"
"bos_civil_conversion"	10	"boshin_civil_kokutai"
"bos_civil_conversion"	50	"boshin_civil_private_academies"
"bos_civil_foreign_veteran"	10	"boshin_civil_consular_court"
"bos_civil_foreign_veteran"	10	"boshin_civil_cordial_relations"
"bos_civil_foreign_veteran"	10	"boshin_civil_foreign_affairs"
"bos_civil_geisha"	10	"boshin_civil_administrative_training"
"bos_civil_geisha"	10	"boshin_civil_epic_architecture"
"bos_civil_geisha"	10	"boshin_civil_tea_ceremony"
"bos_civil_happiness"	10	"boshin_civil_capitalist_production"
"bos_civil_happiness"	50	"boshin_civil_censorship"
"bos_civil_happiness"	10	"boshin_civil_seclusion"
"bos_civil_high_level_income"	50	"boshin_civil_central_reforms"
"bos_civil_high_level_income"	25	"boshin_civil_revised_land_tax"
"bos_civil_inspector"	10	"boshin_civil_administrative_training"
"bos_civil_inspector"	10	"boshin_civil_epic_architecture"
"bos_civil_inspector"	10	"boshin_civil_surveillance"
"bos_civil_level_1"	25	"boshin_civil_administrative_training"
"bos_civil_level_1"	50	"boshin_civil_consular_court"
"bos_civil_level_1"	50	"boshin_civil_epic_architecture"
"bos_civil_new_core"	10	"boshin_civil_consular_court"
"bos_civil_new_core"	10	"boshin_civil_cordial_relations"
"bos_civil_new_money"	15	"boshin_civil_central_reforms"
"bos_civil_new_money"	50	"boshin_civil_consular_court"
"bos_civil_new_money"	50	"boshin_civil_gold_standard"
"bos_civil_new_money"	50	"boshin_civil_merchant_houses"
"bos_civil_new_money"	10	"boshin_civil_revised_land_tax"
"bos_civil_old_income"	10	"boshin_civil_administrative_training"
"bos_civil_old_income"	10	"boshin_civil_domain_and_the_realm"
"bos_civil_old_income"	10	"boshin_civil_epic_architecture"
"bos_civil_old_income"	10	"boshin_civil_merchant_house_selection"
"bos_level_1"	15	"boshin_civil_administrative_training"
"bos_level_1"	30	"boshin_civil_consular_court"
"bos_level_1"	50	"boshin_civil_epic_architecture"
"bos_level_1"	15	"boshin_military_arms_deals"
"bos_level_1"	50	"boshin_military_shih"
"bos_level_1"	15	"boshin_military_shipyard_research"
"bos_level_2"	25	"boshin_civil_abolition_of_land_restriction"
"bos_level_2"	50	"boshin_civil_cordial_relations"
"bos_level_2"	50	"boshin_civil_domain_and_the_realm"
"bos_level_2"	10	"boshin_civil_merchant_houses"
"bos_level_2"	10	"boshin_civil_restoration_of_the_domain"
"bos_level_2"	10	"boshin_civil_surveillance"
"bos_level_2"	10	"boshin_civil_tea_ceremony"
"bos_level_2"	10	"boshin_military_common_shell"
"bos_level_2"	50	"boshin_military_copper_plating"
"bos_level_2"	10	"boshin_military_imported_guns"
"bos_level_2"	25	"boshin_military_improved_defences"
"bos_level_2"	25	"boshin_military_modern_rifles"
"bos_level_2"	10	"boshin_military_school_of_shinobi"
"bos_military_abilities"	10	"boshin_military_kneel_fire"
"bos_military_abilities"	10	"boshin_military_suppression_fire"
"bos_military_artillery"	10	"boshin_military_arms_deals"
"bos_military_artillery"	10	"boshin_military_imported_guns"
"bos_military_cavalry"	10	"boshin_military_carbine_cavalry"
"bos_military_cavalry"	10	"boshin_military_sabre_cavalry"
"bos_military_defences"	10	"boshin_military_gatling_gun"
"bos_military_defences"	10	"boshin_military_improved_defences"
"bos_military_defences"	10	"boshin_military_late_line_infantry"
"bos_military_level_1"	25	"boshin_military_arms_deals"
"bos_military_level_1"	50	"boshin_military_shih"
"bos_military_level_1"	25	"boshin_military_shipyard_research"
"bos_military_modern_army"	10	"boshin_military_arms_deals"
"bos_military_modern_army"	10	"boshin_military_imported_guns"
"bos_military_modern_army"	10	"boshin_military_modern_army"
"bos_military_modern_army"	10	"boshin_military_modern_rifles"
"bos_military_naval_hull"	10	"boshin_military_copper_plating"
"bos_military_naval_hull"	10	"boshin_military_iron_plating"
"bos_military_naval_other"	10	"boshin_military_ramming"
"bos_military_naval_other"	10	"boshin_military_torpedo_upgrade"
"bos_military_naval_shell "	10	"boshin_military_advanced_segment_shell"
"bos_military_naval_shell "	10	"boshin_military_common_shell"
"bos_military_naval_shell "	10	"boshin_military_segment_shell"
"bos_military_rifles"	10	"boshin_military_modern_rifles"
"bos_military_shinobi"	10	"boshin_military_school_of_shinobi"
"bos_military_shinobi"	10	"boshin_military_shih"
"bow_tier1"	20	"shogun_military_bow_way_of_the_bow"
"bow_tier1"	10	"shogun_military_core_strategy_of_attack"
"bow_tier2"	30	"shogun_military_bow_bow_expertise"
"bow_tier2"	20	"shogun_military_core_form"
"bow_tier3"	40	"shogun_military_bow_kyujutsu_mastery"
"bow_tier3"	30	"shogun_military_core_horse_mastery"
"bushido"	10	"shogun_military_core_bushido"
"civil_tier1"	20	"shogun_civil_core_todofuken"
"civil_tier1"	10	"shogun_civil_core_way_of_chi"
"civil_tier1"	20	"shogun_civil_core_zen"
"civil_tier1"	30	"shogun_civil_loyalty_noh"
"civil_tier1"	30	"shogun_civil_metsuke_secret_police"
"civil_tier1"	30	"shogun_civil_province_equal_fields"
"civil_tier1"	30	"shogun_civil_religion_essence_of_the_spirit"
"civil_tier1"	30	"shogun_civil_religion_otomo_essence_of_the_spirit"
"civil_tier2"	20	"shogun_civil_core_tax_reform"
"civil_tier2"	20	"shogun_civil_core_tea_ceremony"
"civil_tier2"	30	"shogun_civil_loyalty_sumo_tournament"
"civil_tier2"	30	"shogun_civil_ninja_school_of_shinobi"
"civil_tier2"	30	"shogun_civil_province_chonindo"
"civil_tier2"	30	"shogun_civil_religion_religious_self_sufficiency"
"civil_tier2"	30	"shogun_civil_religion_scholarship"
"civil_tier3"	40	"shogun_civil_core_calligraphy"
"civil_tier3"	60	"shogun_civil_core_epic_architecture"
"civil_tier3"	40	"shogun_civil_core_traditional_building"
"civil_tier3"	50	"shogun_civil_metsuke_sword_hunt"
"civil_tier3"	50	"shogun_civil_ninja_ninjutsu_mastery"
"civil_tier3"	50	"shogun_civil_province_kinza_mint"
"civil_tier3"	50	"shogun_civil_religion_neo_confucianism"
"civil_tier3"	50	"shogun_civil_religion_religious_propagation"
"epic_architecture"	10	"shogun_civil_core_calligraphy"
"epic_architecture"	20	"shogun_civil_core_epic_architecture"
"epic_architecture"	10	"shogun_civil_core_tax_reform"
"epic_architecture"	10	"shogun_civil_core_tea_ceremony"
"epic_architecture"	10	"shogun_civil_core_todofuken"
"epic_architecture"	10	"shogun_civil_core_traditional_building"
"epic_architecture"	10	"shogun_civil_core_zen"
"essence_of_spirit"	30	"shogun_civil_core_calligraphy"
"essence_of_spirit"	20	"shogun_civil_core_tea_ceremony"
"essence_of_spirit"	10	"shogun_civil_core_zen"
"essence_of_spirit"	20	"shogun_civil_religion_essence_of_the_spirit"
"essence_of_spirit"	40	"shogun_civil_religion_neo_confucianism"
"essence_of_spirit"	20	"shogun_civil_religion_otomo_essence_of_the_spirit"
"essence_of_spirit"	40	"shogun_civil_religion_religious_propagation"
"essence_of_spirit"	30	"shogun_civil_religion_religious_self_sufficiency"
"essence_of_spirit"	30	"shogun_civil_religion_scholarship"
"gem_all_balanced"	50	"gempei_civil_admin_direct_land_tax"
"gem_all_balanced"	70	"gempei_civil_admin_police_office"
"gem_all_balanced"	30	"gempei_civil_admin_provincial_officials"
"gem_all_balanced"	10	"gempei_civil_core_chinese_learning"
"gem_all_balanced"	20	"gempei_civil_core_poetry_and_literature"
"gem_all_balanced"	20	"gempei_civil_core_rice_loans"
"gem_all_balanced"	60	"gempei_civil_core_tang_military"
"gem_all_balanced"	40	"gempei_civil_core_taoist_thinking"
"gem_all_balanced"	40	"gempei_civil_core_tax_quota"
"gem_all_balanced"	60	"gempei_civil_core_todofuken"
"gem_all_balanced"	80	"gempei_civil_core_way_of_chi"
"gem_all_balanced"	50	"gempei_civil_development_clan_identity"
"gem_all_balanced"	30	"gempei_civil_development_court_of_pleasure"
"gem_all_balanced"	70	"gempei_civil_development_sumo_retainers"
"gem_all_balanced"	50	"gempei_civil_loyalty_keppan"
"gem_all_balanced"	30	"gempei_civil_loyalty_kishomon"
"gem_all_balanced"	70	"gempei_civil_province_animal_husbandry"
"gem_all_balanced"	30	"gempei_civil_province_iron_manufacturing"
"gem_all_balanced"	50	"gempei_civil_province_plough_and_oxen"
"gem_all_balanced"	70	"gempei_civil_religion_calligraphy"
"gem_all_balanced"	50	"gempei_civil_religion_ceremony_and_ritual"
"gem_all_balanced"	30	"gempei_civil_religion_confucianism"
"gem_all_balanced"	70	"gempei_military_attack_mastery_of_attack"
"gem_all_balanced"	50	"gempei_military_attack_strategy_of_attack"
"gem_all_balanced"	50	"gempei_military_bow_bow_expertise"
"gem_all_balanced"	70	"gempei_military_bow_kyujutsu_mastery"
"gem_all_balanced"	30	"gempei_military_bow_way_of_the_bow"
"gem_all_balanced"	10	"gempei_military_core_budo"
"gem_all_balanced"	20	"gempei_military_core_bushi"
"gem_all_balanced"	80	"gempei_military_core_bushido"
"gem_all_balanced"	20	"gempei_military_core_koryu"
"gem_all_balanced"	60	"gempei_military_core_old_way_mastery"
"gem_all_balanced"	60	"gempei_military_core_samurai_code"
"gem_all_balanced"	40	"gempei_military_core_samurai_way"
"gem_all_balanced"	40	"gempei_military_core_the_old_way"
"gem_all_balanced"	70	"gempei_military_defence_mastery_of_defence"
"gem_all_balanced"	50	"gempei_military_defence_strategy_of_defence"
"gem_all_balanced"	30	"gempei_military_general_forms_of_the_earth"
"gem_all_balanced"	70	"gempei_military_general_the_nine_transformations"
"gem_all_balanced"	30	"gempei_military_horse_form"
"gem_all_balanced"	70	"gempei_military_horse_horse_mastery"
"gem_all_highest"	810	"gempei_civil_admin_direct_land_tax"
"gem_all_highest"	7290	"gempei_civil_admin_police_office"
"gem_all_highest"	90	"gempei_civil_admin_provincial_officials"
"gem_all_highest"	10	"gempei_civil_core_chinese_learning"
"gem_all_highest"	30	"gempei_civil_core_poetry_and_literature"
"gem_all_highest"	30	"gempei_civil_core_rice_loans"
"gem_all_highest"	2430	"gempei_civil_core_tang_military"
"gem_all_highest"	270	"gempei_civil_core_taoist_thinking"
"gem_all_highest"	270	"gempei_civil_core_tax_quota"
"gem_all_highest"	2430	"gempei_civil_core_todofuken"
"gem_all_highest"	21870	"gempei_civil_core_way_of_chi"
"gem_all_highest"	810	"gempei_civil_development_clan_identity"
"gem_all_highest"	90	"gempei_civil_development_court_of_pleasure"
"gem_all_highest"	7290	"gempei_civil_development_sumo_retainers"
"gem_all_highest"	810	"gempei_civil_loyalty_keppan"
"gem_all_highest"	90	"gempei_civil_loyalty_kishomon"
"gem_all_highest"	7290	"gempei_civil_province_animal_husbandry"
"gem_all_highest"	90	"gempei_civil_province_iron_manufacturing"
"gem_all_highest"	810	"gempei_civil_province_plough_and_oxen"
"gem_all_highest"	7290	"gempei_civil_religion_calligraphy"
"gem_all_highest"	810	"gempei_civil_religion_ceremony_and_ritual"
"gem_all_highest"	90	"gempei_civil_religion_confucianism"
"gem_all_highest"	7290	"gempei_military_attack_mastery_of_attack"
"gem_all_highest"	810	"gempei_military_attack_strategy_of_attack"
"gem_all_highest"	810	"gempei_military_bow_bow_expertise"
"gem_all_highest"	7290	"gempei_military_bow_kyujutsu_mastery"
"gem_all_highest"	90	"gempei_military_bow_way_of_the_bow"
"gem_all_highest"	10	"gempei_military_core_budo"
"gem_all_highest"	30	"gempei_military_core_bushi"
"gem_all_highest"	21870	"gempei_military_core_bushido"
"gem_all_highest"	30	"gempei_military_core_koryu"
"gem_all_highest"	2430	"gempei_military_core_old_way_mastery"
"gem_all_highest"	2430	"gempei_military_core_samurai_code"
"gem_all_highest"	270	"gempei_military_core_samurai_way"
"gem_all_highest"	270	"gempei_military_core_the_old_way"
"gem_all_highest"	7290	"gempei_military_defence_mastery_of_defence"
"gem_all_highest"	810	"gempei_military_defence_strategy_of_defence"
"gem_all_highest"	90	"gempei_military_general_forms_of_the_earth"
"gem_all_highest"	7290	"gempei_military_general_the_nine_transformations"
"gem_all_highest"	90	"gempei_military_horse_form"
"gem_all_highest"	7290	"gempei_military_horse_horse_mastery"
"gem_all_lowest"	270	"gempei_civil_admin_direct_land_tax"
"gem_all_lowest"	30	"gempei_civil_admin_police_office"
"gem_all_lowest"	2430	"gempei_civil_admin_provincial_officials"
"gem_all_lowest"	21870	"gempei_civil_core_chinese_learning"
"gem_all_lowest"	7290	"gempei_civil_core_poetry_and_literature"
"gem_all_lowest"	7290	"gempei_civil_core_rice_loans"
"gem_all_lowest"	90	"gempei_civil_core_tang_military"
"gem_all_lowest"	810	"gempei_civil_core_taoist_thinking"
"gem_all_lowest"	810	"gempei_civil_core_tax_quota"
"gem_all_lowest"	90	"gempei_civil_core_todofuken"
"gem_all_lowest"	10	"gempei_civil_core_way_of_chi"
"gem_all_lowest"	270	"gempei_civil_development_clan_identity"
"gem_all_lowest"	2430	"gempei_civil_development_court_of_pleasure"
"gem_all_lowest"	30	"gempei_civil_development_sumo_retainers"
"gem_all_lowest"	270	"gempei_civil_loyalty_keppan"
"gem_all_lowest"	2430	"gempei_civil_loyalty_kishomon"
"gem_all_lowest"	30	"gempei_civil_province_animal_husbandry"
"gem_all_lowest"	2430	"gempei_civil_province_iron_manufacturing"
"gem_all_lowest"	270	"gempei_civil_province_plough_and_oxen"
"gem_all_lowest"	30	"gempei_civil_religion_calligraphy"
"gem_all_lowest"	270	"gempei_civil_religion_ceremony_and_ritual"
"gem_all_lowest"	2430	"gempei_civil_religion_confucianism"
"gem_all_lowest"	30	"gempei_military_attack_mastery_of_attack"
"gem_all_lowest"	270	"gempei_military_attack_strategy_of_attack"
"gem_all_lowest"	270	"gempei_military_bow_bow_expertise"
"gem_all_lowest"	30	"gempei_military_bow_kyujutsu_mastery"
"gem_all_lowest"	2430	"gempei_military_bow_way_of_the_bow"
"gem_all_lowest"	21870	"gempei_military_core_budo"
"gem_all_lowest"	7290	"gempei_military_core_bushi"
"gem_all_lowest"	10	"gempei_military_core_bushido"
"gem_all_lowest"	7290	"gempei_military_core_koryu"
"gem_all_lowest"	90	"gempei_military_core_old_way_mastery"
"gem_all_lowest"	90	"gempei_military_core_samurai_code"
"gem_all_lowest"	810	"gempei_military_core_samurai_way"
"gem_all_lowest"	810	"gempei_military_core_the_old_way"
"gem_all_lowest"	30	"gempei_military_defence_mastery_of_defence"
"gem_all_lowest"	270	"gempei_military_defence_strategy_of_defence"
"gem_all_lowest"	2430	"gempei_military_general_forms_of_the_earth"
"gem_all_lowest"	30	"gempei_military_general_the_nine_transformations"
"gem_all_lowest"	2430	"gempei_military_horse_form"
"gem_all_lowest"	30	"gempei_military_horse_horse_mastery"
"gem_archery"	1	"gempei_military_bow_bow_expertise"
"gem_archery"	1	"gempei_military_bow_kyujutsu_mastery"
"gem_archery"	1	"gempei_military_bow_way_of_the_bow"
"gem_base"	100	"gempei_civil_core_chinese_learning"
"gem_base"	100	"gempei_military_core_budo"
"gem_civil_first_3"	10	"gempei_civil_core_chinese_learning"
"gem_civil_first_3"	20	"gempei_civil_core_poetry_and_literature"
"gem_civil_first_3"	20	"gempei_civil_core_rice_loans"
"gem_core_chinese"	1	"gempei_civil_core_poetry_and_literature"
"gem_core_chinese"	1	"gempei_civil_core_tang_military"
"gem_core_chinese"	1	"gempei_civil_core_taoist_thinking"
"gem_core_civil"	10	"gempei_civil_core_chinese_learning"
"gem_core_civil"	20	"gempei_civil_core_poetry_and_literature"
"gem_core_civil"	20	"gempei_civil_core_rice_loans"
"gem_core_civil"	40	"gempei_civil_core_tang_military"
"gem_core_civil"	30	"gempei_civil_core_taoist_thinking"
"gem_core_civil"	30	"gempei_civil_core_tax_quota"
"gem_core_civil"	40	"gempei_civil_core_todofuken"
"gem_core_civil"	50	"gempei_civil_core_way_of_chi"
"gem_core_military"	10	"gempei_military_core_budo"
"gem_core_military"	20	"gempei_military_core_bushi"
"gem_core_military"	50	"gempei_military_core_bushido"
"gem_core_military"	20	"gempei_military_core_koryu"
"gem_core_military"	40	"gempei_military_core_old_way_mastery"
"gem_core_military"	40	"gempei_military_core_samurai_code"
"gem_core_military"	30	"gempei_military_core_samurai_way"
"gem_core_military"	30	"gempei_military_core_the_old_way"
"gem_core_old"	1	"gempei_military_core_koryu"
"gem_core_old"	1	"gempei_military_core_old_way_mastery"
"gem_core_old"	1	"gempei_military_core_the_old_way"
"gem_core_samurai"	1	"gempei_military_core_bushi"
"gem_core_samurai"	1	"gempei_military_core_samurai_code"
