version 1, schema agent_voice_events_junctions_tables, guid ceaf20f3-5d18-4415-b034-60e538d484c0
agent_id(string)	voice(string)	event(string)
"gempei_inspector"	"campaign_voices_Request_Allegiance_Junsatsushi"	"Campaign_Voices_Request_Allegiance"
"gempei_inspector"	"campaign_voices_Bribe_Ordered_Junsatsushi"	"campaign_voices_bribe_army"
"gempei_inspector"	"campaign_voices_City_Bribe_Ordered_Junsatsushi"	"campaign_voices_bribe_garrison"
"gempei_inspector"	"campaign_voices_level_up_Junsatsushi"	"campaign_voices_character_level_up"
"gempei_inspector"	"campaign_voices_Oversee_Army_Ordered_Junsatsushi"	"campaign_voices_join_army"
"gempei_monk"	"campaign_voices_Inspire_Army_Ordered_Monk"	"CAMPAIGN_INSPIRE_ARMY"
"gempei_monk"	"campaign_voices_Inspire_Army_Ordered_Sou"	"CAMPAIGN_INSPIRE_ARMY"
"gempei_monk"	"campaign_voices_Minister_Settlement_Ordered_Sou"	"CAMPAIGN_MINISTER_SETTLEMENT"
"gempei_monk"	"campaign_voices_Indoctrinate_Sou"	"Campaign_Voices_Indoctrinate"
"gempei_monk"	"campaign_voices_level_up_Sou"	"campaign_voices_character_level_up"
"gempei_monk"	"campaign_voices_Demoralise_Army_Ordered_Sou"	"campaign_voices_demoralise"
"gempei_monk"	"campaign_voices_Incite_Revolt_Ordered_Sou"	"campaign_voices_incite_revolt"
"gempei_spy"	"campaign_voices_Scouting_Ordered_Monomi"	"CAMPAIGN_SCOUTING"
"gempei_spy"	"campaign_voices_Spy_Network_Ordered_Monomi"	"Campaign_Voices_Spy_Network_Ordered"
"gempei_spy"	"campaign_voices_Subvert_Ordered_Monomi"	"Campaign_Voices_Subvert_Ordered"
"gempei_spy"	"campaign_voices_Assassination_Ordered_Monomi"	"campaign_voices_assassination"
"gempei_spy"	"campaign_voices_Sabotage_Ordered_Monomi"	"campaign_voices_blackops"
"gempei_spy"	"campaign_voices_level_up_Monomi"	"campaign_voices_character_level_up"
"ikko_monk"	"campaign_voices_Inspire_Army_Ordered_Monk"	"CAMPAIGN_INSPIRE_ARMY"
"ikko_monk"	"campaign_voices_Minister_Settlement_Ordered_Monk"	"CAMPAIGN_MINISTER_SETTLEMENT"
"ikko_monk"	"campaign_voices_Demoralise_Army_Ordered_Monk"	"campaign_voices_demoralise"
"ikko_monk"	"campaign_voices_Incite_Revolt_Ordered_Monk"	"campaign_voices_incite_revolt"
"metsuke"	"campaign_voices_Trail_Ordered_Metsuke"	"CAMPAIGN_INSPIRE_ARMY"
"metsuke"	"campaign_voices_Oversee_Army_Ordered_Metsuke"	"CAMPAIGN_OVERSEE_ARMY"
"metsuke"	"campaign_voices_Oversee_Settlement_Ordered_Metsuke"	"CAMPAIGN_OVERSEE_SETTLEMENT"
"metsuke"	"campaign_voices_City_Bribe_Ordered_Junsatsushi"	"campaign_voices_bribe_army"
"metsuke"	"campaign_voices_city_bribe_ordered_metsuke"	"campaign_voices_bribe_garrison"
"metsuke"	"campaign_voices_selected_Metsuke"	"campaign_voices_character_level_up"
"missionary"	"campaign_voices_Inspire_Army_Ordered_Missionary"	"CAMPAIGN_INSPIRE_ARMY"
"missionary"	"campaign_voices_Minister_Settlement_Ordered_Missionary"	"CAMPAIGN_MINISTER_SETTLEMENT"
"missionary"	"campaign_voices_Movement_Ordered_Missionary"	"CAMPAIGN_OVERSEE_ARMY"
"missionary"	"campaign_voices_level_up_missionary"	"campaign_voices_character_level_up"
"missionary"	"campaign_voices_Demoralise_Army_Ordered_Missionary"	"campaign_voices_demoralise"
"missionary"	"campaign_voices_Incite_Revolt_Ordered_Missionary"	"campaign_voices_incite_revolt"
"monk"	"campaign_voices_Inspire_Army_Ordered_Monk"	"CAMPAIGN_INSPIRE_ARMY"
"monk"	"campaign_voices_Minister_Settlement_Ordered_Monk"	"CAMPAIGN_MINISTER_SETTLEMENT"
"monk"	"campaign_voices_level_up_monk"	"campaign_voices_character_level_up"
"monk"	"campaign_voices_Demoralise_Army_Ordered_Monk"	"campaign_voices_demoralise"
"monk"	"campaign_voices_Incite_Revolt_Ordered_Monk"	"campaign_voices_incite_revolt"
"ninja"	"campaign_voices_Death_Ninja"	"campaign_voices_assassinated"
"ninja"	"campaign_voices_Assassination_Ordered_Ninja"	"campaign_voices_assassination"
"ninja"	"campaign_voices_Sabotage_Ordered_Ninja"	"campaign_voices_blackops"
"ninja"	"campaign_voices_level_up_ninja"	"campaign_voices_character_level_up"
