version 2, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)	unknown6(int)
"east_euro_house05b"	"house"	"east_euro_house05b"	"brick"	150	nil	nil	500
"east_euro_house06"	"house"	"east_euro_house06"	"brick"	150	nil	nil	500
"east_euro_house06b"	"house"	"east_euro_house06b"	"brick"	150	nil	nil	500
"east_euro_house07"	"house"	"east_euro_house07"	"brick"	150	nil	nil	500
"east_euro_house07b"	"house"	"east_euro_house07b"	"brick"	150	nil	nil	500
"east_euro_house08"	"house"	"east_euro_house08"	"brick"	150	nil	nil	500
"east_euro_house08b"	"house"	"east_euro_house08b"	"brick"	150	nil	nil	500
"east_euro_house09"	"house"	"east_euro_house09"	"brick"	150	nil	nil	500
"east_euro_house09b"	"house"	"east_euro_house09b"	"brick"	150	nil	nil	500
"east_euro_hut01"	"house"	"east_euro_hut01"	"wood"	150	nil	nil	500
"east_euro_hut02"	"house"	"east_euro_hut02"	"wood"	150	nil	nil	500
"east_euro_hut03"	"house"	"east_euro_hut03"	"wood"	150	nil	nil	500
"east_euro_hut04"	"house"	"east_euro_hut04"	"wood"	150	nil	nil	500
"east_euro_hut05"	"house"	"east_euro_hut05"	"wood"	150	nil	nil	500
"east_euro_monument"	"incidental"	"east_euro_monument"	"stone"	500	nil	nil	500
"east_euro_ruins"	"ruins"	"east_euro_ruins"	"stone"	500	nil	nil	500
"east_euro_rural01"	"house"	"east_euro_rural01"	"wood"	150	nil	nil	500
"east_euro_rural02"	"house"	"east_euro_rural02"	"wood"	150	nil	nil	500
"east_euro_rural03"	"house"	"east_euro_rural03"	"wood"	150	nil	nil	500
"east_euro_stone_bridge"	"bridge"	"east_euro_stone_bridge"	"stone"	500	nil	nil	500
"east_euro_windmill"	"windmill"	"east_euro_windmill"	"wood"	150	nil	nil	500
"egy_jetty_a"	"house"	"egy_jetty_a"	"stone"	15	nil	nil	500
"egy_jetty_b"	"house"	"egy_jetty_b"	"stone"	15	nil	nil	500
"egy_riverboata"	"house"	"egy_riverboata"	"stone"	15	nil	nil	500
"egy_riverboatb"	"house"	"egy_riverboatb"	"stone"	15	nil	nil	500
"egy_riverboatc"	"house"	"egy_riverboatc"	"stone"	15	nil	nil	500
"egy_riverboatd"	"house"	"egy_riverboatd"	"stone"	15	nil	nil	500
"egy_riverboate"	"house"	"egy_riverboate"	"stone"	15	nil	nil	500
"egy_riverboatf"	"house"	"egy_riverboatf"	"stone"	15	nil	nil	500
"egy_riverboatg"	"house"	"egy_riverboatg"	"stone"	15	nil	nil	500
"flatrock_type00"	"boulder"	"flatrock_type00"	"stone"	15	nil	nil	500
"flatrock_type01"	"boulder"	"flatrock_type01"	"stone"	15	nil	nil	500
"flatrock_type02"	"boulder"	"flatrock_type02"	"stone"	15	nil	nil	500
"flatrock_type03"	"boulder"	"flatrock_type03"	"stone"	15	nil	nil	500
"flatrockset_type00"	"boulder"	"flatrockset_type00"	"stone"	15	nil	nil	500
"fmv_cross2"	"house"	"fmv_cross2"	"stone"	15	nil	nil	500
"fmv_cross3"	"house"	"fmv_cross3"	"stone"	15	nil	nil	500
"fmv_cross4"	"house"	"fmv_cross4"	"stone"	15	nil	nil	500
"fmv_mayflower"	"house"	"fmv_mayflower"	"stone"	15	nil	nil	500
"fmv_rowboat"	"house"	"fmv_rowboat"	"stone"	15	nil	nil	500
"fmv_thirdrate"	"house"	"fmv_thirdrate"	"stone"	15	nil	nil	500
"fort_euro_wooden"	"fort"	"fort_euro_wooden"	"wood"	500	"fort_12_pounder"	nil	500
"fort_indian"	"fort"	"fort_indian"	"stone"	650	"fort_32_pounder"	nil	500
"fort_indian_small"	"fort"	"fort_indian_small"	"stone"	500	"fort_24_pounder"	nil	500
"fort_jamestown"	"fort"	"fort_jamestown"	"wood"	500	"fort_12_pounder"	nil	500
"fort_ottoman"	"fort"	"fort_ottoman"	"stone"	650	"fort_32_pounder"	nil	500
"fort_ottoman_small"	"fort"	"fort_ottoman_small"	"stone"	500	"fort_32_pounder"	nil	500
"fort_star"	"fort"	"fort_star"	"stone"	800	"fort_32_pounder"	nil	500
"fort_stockade"	"fort"	"fort_stockade"	"wood"	500	"fort_12_pounder"	nil	500
"fort_town"	"fort"	"fort_town"	"stone"	650	"fort_24_pounder"	nil	500
"indian_church"	"church"	"indian_church"	"stone"	800	nil	nil	500
"indian_farmhouse"	"farmhouse"	"indian_farmhouse"	"stone"	350	nil	nil	500
"indian_fort_command_hq"	"command_HQ"	"indian_fort_command_hq"	"stone"	800	nil	nil	500
"indian_house01"	"house"	"indian_house01"	"stone"	300	nil	nil	500
"indian_house01b"	"house"	"indian_house01b"	"stone"	300	nil	nil	500
"indian_house02"	"house"	"indian_house02"	"stone"	300	nil	nil	500
"indian_house02b"	"house"	"indian_house02b"	"stone"	300	nil	nil	500
"indian_house03"	"house"	"indian_house03"	"stone"	300	nil	nil	500
"indian_house03b"	"house"	"indian_house03b"	"stone"	300	nil	nil	500
"indian_house04"	"house"	"indian_house04"	"stone"	300	nil	nil	500
"indian_house04b"	"house"	"indian_house04b"	"stone"	300	nil	nil	500
"indian_house05"	"house"	"indian_house05"	"stone"	300	nil	nil	500
"indian_house05b"	"house"	"indian_house05b"	"stone"	300	nil	nil	500
"indian_house06"	"house"	"indian_house06"	"stone"	300	nil	nil	500
"indian_house06b"	"house"	"indian_house06b"	"stone"	300	nil	nil	500
"indian_house07"	"house"	"indian_house07"	"stone"	300	nil	nil	500
"indian_hut01"	"hut"	"indian_hut01"	"stone"	150	nil	nil	500
"indian_hut02"	"hut"	"indian_hut02"	"stone"	150	nil	nil	500
"indian_hut03"	"hut"	"indian_hut03"	"stone"	150	nil	nil	500
"indian_hut04"	"hut"	"indian_hut04"	"stone"	150	nil	nil	500
"indian_hut05"	"hut"	"indian_hut05"	"stone"	150	nil	nil	500
"indian_ruins"	"ruins"	"indian_ruins"	"stone"	500	nil	nil	500
"indian_rural01"	"rural"	"indian_rural01"	"stone"	200	nil	nil	500
"indian_rural02"	"rural"	"indian_rural02"	"stone"	200	nil	nil	500
"indian_rural03"	"rural"	"indian_rural03"	"stone"	200	nil	nil	500
"indian_stone_bridge"	"bridge"	"indian_stone_bridge"	"stone"	500	nil	nil	500
"indian_town_hall"	"townhall"	"indian_town_hall"	"stone"	600	nil	nil	500
"indian_warehouse01"	"warehouse"	"indian_warehouse01"	"stone"	600	nil	nil	500
"indian_warehouse01b"	"warehouse"	"indian_warehouse01b"	"stone"	600	nil	nil	500
"indian_warehouse02"	"house"	"indian_warehouse02"	"stone"	150	nil	nil	500
"jamestown_church"	"church"	"jamestown_church"	"wood"	500	nil	nil	500
"jamestown_house01"	"house"	"jamestown_house01"	"wood"	150	nil	nil	500
"jamestown_house02"	"house"	"jamestown_house02"	"wood"	150	nil	nil	500
"native_house01"	"house"	"native_house01"	"wood"	150	nil	nil	500
"native_house02"	"house"	"native_house02"	"wood"	15	nil	nil	500
"native_house02b"	"house"	"native_house02b"	"wood"	15	nil	nil	500
"native_house03"	"house"	"native_house03"	"wood"	150	nil	nil	500
"native_house03b"	"house"	"native_house03b"	"wood"	150	nil	nil	500
"native_house04"	"house"	"native_house04"	"wood"	150	nil	nil	500
"native_house05"	"house"	"native_house05"	"wood"	150	nil	nil	500
"native_house06"	"house"	"native_house06"	"wood"	150	nil	nil	500
"native_house07"	"house"	"native_house07"	"wood"	150	nil	nil	500
"native_house08"	"house"	"native_house08"	"wood"	150	nil	nil	500
"native_house09"	"house"	"native_house09"	"wood"	150	nil	nil	500
"native_house10"	"house"	"native_house10"	"wood"	150	nil	nil	500
"native_longhouse01"	"house"	"native_longhouse01"	"wood"	150	nil	nil	500
"native_longhouse02"	"house"	"native_longhouse02"	"wood"	150	nil	nil	500
"native_longhouse03"	"house"	"native_longhouse03"	"wood"	150	nil	nil	500
"native_teepee01"	"house"	"native_teepee01"	"wood"	150	nil	nil	500
"native_teepee02"	"house"	"native_teepee02"	"wood"	150	nil	nil	500
"native_townhall"	"house"	"native_townhall"	"wood"	30	nil	nil	500
"north_euro_church"	"church"	"north_euro_church"	"brick"	500	nil	nil	500
"north_euro_church02"	"church"	"north_euro_church02"	"brick"	500	nil	nil	500
"north_euro_clock_tower"	"house"	"north_euro_clock_tower"	"brick"	300	nil	nil	500
"north_euro_house01"	"house"	"north_euro_house01"	"brick"	150	nil	nil	500
"north_euro_house01b"	"house"	"north_euro_house01b"	"brick"	150	nil	nil	500
"north_euro_house02"	"house"	"north_euro_house02"	"brick"	150	nil	nil	500
"north_euro_house02b"	"house"	"north_euro_house02b"	"brick"	150	nil	nil	500
"north_euro_house03"	"house"	"north_euro_house03"	"brick"	150	nil	nil	500
"north_euro_house03b"	"house"	"north_euro_house03b"	"brick"	150	nil	nil	500
"north_euro_house04"	"house"	"north_euro_house04"	"brick"	150	nil	nil	500
"north_euro_house04b"	"house"	"north_euro_house04b"	"brick"	150	nil	nil	500
"north_euro_house05"	"house"	"north_euro_house05"	"brick"	150	nil	nil	500
"north_euro_house05b"	"house"	"north_euro_house05b"	"brick"	150	nil	nil	500
"north_euro_house06"	"house"	"north_euro_house06"	"stone"	150	nil	nil	500
"north_euro_house06b"	"house"	"north_euro_house06b"	"stone"	150	nil	nil	500
"north_euro_house07"	"house"	"north_euro_house07"	"brick"	300	nil	nil	500
"north_euro_house07a"	"house"	"north_euro_house07a"	"brick"	300	nil	nil	500
"north_euro_house07b"	"house"	"north_euro_house07b"	"brick"	300	nil	nil	500
"north_euro_house08"	"house"	"north_euro_house08"	"brick"	300	nil	nil	500
"north_euro_house08a"	"house"	"north_euro_house08a"	"brick"	300	nil	nil	500
"north_euro_house08b"	"house"	"north_euro_house08b"	"brick"	300	nil	nil	500
"north_euro_house08c"	"house"	"north_euro_house08c"	"brick"	300	nil	nil	500
"north_euro_house09"	"house"	"north_euro_house09"	"brick"	300	nil	nil	500
"north_euro_house09a"	"house"	"north_euro_house09a"	"brick"	300	nil	nil	500
"north_euro_house09b"	"house"	"north_euro_house09b"	"brick"	300	nil	nil	500
"north_euro_house10"	"house"	"north_euro_house10"	"brick"	300	nil	nil	500
"north_euro_house11"	"house"	"north_euro_house11"	"brick"	300	nil	nil	500
"north_euro_house11a"	"house"	"north_euro_house11a"	"brick"	300	nil	nil	500
"north_euro_house11b"	"house"	"north_euro_house11b"	"brick"	300	nil	nil	500
"north_euro_house12"	"house"	"north_euro_house12"	"brick"	300	nil	nil	500
"north_euro_house12a"	"house"	"north_euro_house12a"	"brick"	300	nil	nil	500
"north_euro_house12b"	"house"	"north_euro_house12b"	"brick"	300	nil	nil	500
"north_euro_house12c"	"house"	"north_euro_house12c"	"brick"	300	nil	nil	500
"north_euro_house13"	"house"	"north_euro_house13"	"brick"	300	nil	nil	500
"north_euro_house13a"	"house"	"north_euro_house13a"	"brick"	300	nil	nil	500
"north_euro_hut01"	"hut"	"north_euro_hut01"	"wood"	100	nil	nil	500
"north_euro_hut02"	"hut"	"north_euro_hut02"	"wood"	150	nil	nil	500
"north_euro_hut03"	"hut"	"north_euro_hut03"	"wood"	150	nil	nil	500
"north_euro_hut04"	"hut"	"north_euro_hut04"	"wood"	150	nil	nil	500
"north_euro_hut05"	"hut"	"north_euro_hut05"	"wood"	150	nil	nil	500
"north_euro_hut06"	"hut"	"north_euro_hut06"	"wood"	150	nil	nil	500
"north_euro_ruins"	"ruins"	"north_euro_ruins"	"stone"	500	nil	nil	500
"north_euro_rural01"	"rural"	"north_euro_rural01"	"wood"	100	nil	nil	500
"north_euro_rural02"	"rural"	"north_euro_rural02"	"brick"	250	nil	nil	500
"north_euro_rural03"	"rural"	"north_euro_rural03"	"wood"	150	nil	nil	500
"north_euro_rural04"	"rural"	"north_euro_rural04"	"wood"	150	nil	nil	500
"north_euro_stone_bridge"	"bridge"	"north_euro_stone_bridge"	"stone"	500	nil	nil	500
"north_euro_townhall"	"townhall"	"north_euro_townhall"	"stone"	650	nil	nil	500
"nwe_euro_ruins02"	"ruins"	"nwe_euro_ruins02"	"stone"	500	nil	nil	500
"ottoman_farmhouse"	"farmhouse"	"ottoman_farmhouse"	"brick"	500	nil	nil	500
"ottoman_fort_command_hq"	"command_HQ"	"ottoman_fort_command_hq"	"stone"	800	nil	nil	500
"ottoman_house01"	"house"	"ottoman_house01"	"stone"	150	nil	nil	500
"ottoman_house01b"	"house"	"ottoman_house01b"	"stone"	150	nil	nil	500
"ottoman_house02"	"house"	"ottoman_house02"	"stone"	150	nil	nil	500
"ottoman_house02b"	"house"	"ottoman_house02b"	"stone"	150	nil	nil	500
"ottoman_house03"	"house"	"ottoman_house03"	"stone"	150	nil	nil	500
"ottoman_house03b"	"house"	"ottoman_house03b"	"stone"	150	nil	nil	500
"ottoman_house04"	"house"	"ottoman_house04"	"stone"	150	nil	nil	500
"ottoman_house04b"	"house"	"ottoman_house04b"	"stone"	150	nil	nil	500
"ottoman_house05"	"house"	"ottoman_house05"	"stone"	150	nil	nil	500
"ottoman_house05b"	"house"	"ottoman_house05b"	"stone"	150	nil	nil	500
"ottoman_house06"	"house"	"ottoman_house06"	"stone"	150	nil	nil	500
"ottoman_house06b"	"house"	"ottoman_house06b"	"stone"	150	nil	nil	500
"ottoman_house07"	"house"	"ottoman_house07"	"stone"	150	nil	nil	500
"ottoman_hut01"	"house"	"ottoman_hut01"	"stone"	150	nil	nil	500
"ottoman_hut02"	"house"	"ottoman_hut02"	"stone"	150	nil	nil	500
"ottoman_hut03"	"house"	"ottoman_hut03"	"stone"	150	nil	nil	500
"reeds_1"	"boulder"	"reeds_1"	"stone"	15	nil	nil	500
"ottoman_hut04"	"house"	"ottoman_hut04"	"stone"	150	nil	nil	500
"ottoman_hut05"	"house"	"ottoman_hut05"	"stone"	150	nil	nil	500
"ottoman_hut06"	"house"	"ottoman_hut06"	"stone"	300	nil	nil	500
"ottoman_ruins"	"ruins"	"ottoman_ruins"	"stone"	500	nil	nil	500
"ottoman_ruins01"	"ruins"	"ottoman_ruins01"	"stone"	500	nil	nil	500
"ottoman_rural01"	"rural"	"ottoman_rural01"	"stone"	150	nil	nil	500
"ottoman_rural02"	"rural"	"ottoman_rural02"	"stone"	200	nil	nil	500
"ottoman_rural03"	"rural"	"ottoman_rural03"	"stone"	150	nil	nil	500
"ottoman_stone_bridge"	"bridge"	"ottoman_stone_bridge"	"stone"	500	nil	nil	500
"prop_field_applebarrels"	"incidental"	"prop_field_applebarrels"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_cart"	"incidental"	"prop_field_cart"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_fallen_oak_log01"	"incidental"	"prop_field_fallen_oak_log01"	"wood"	50	nil	nil	500
"prop_field_fallen_oak_log02"	"incidental"	"prop_field_fallen_oak_log02"	"wood"	50	nil	nil	500
"prop_field_fallen_oak_log03"	"incidental"	"prop_field_fallen_oak_log03"	"wood"	50	nil	nil	500
"prop_field_fallen_pine_tree01"	"incidental"	"prop_field_fallen_pine_tree01"	"wood"	1	nil	nil	500
"prop_field_fallen_pine_tree02"	"incidental"	"prop_field_fallen_pine_tree02"	"wood"	50	nil	nil	500
"prop_field_fallen_pine_tree03"	"incidental"	"prop_field_fallen_pine_tree03"	"wood"	50	nil	nil	500
"prop_field_fire_pit"	"incidental"	"prop_field_fire_pit"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haybale"	"incidental"	"prop_field_haybale"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haybale_bundle01"	"incidental"	"prop_field_haybale_bundle01"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haybale_bundle02"	"incidental"	"prop_field_haybale_bundle02"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haybale_bundle03"	"incidental"	"prop_field_haybale_bundle03"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haysheaf"	"incidental"	"prop_field_haysheaf"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_haysheaf_alpahtest"	"incidental"	"prop_field_haysheaf_alpahtest"	"wood"	1	nil	nil	500
"prop_field_log_pile01"	"incidental"	"prop_field_log_pile01"	"wood"	1	nil	nil	500
"prop_field_log_pile02"	"incidental"	"prop_field_log_pile02"	"wood"	1	nil	nil	500
"prop_field_log_pile03"	"incidental"	"prop_field_log_pile03"	"wood"	1	nil	nil	500
"prop_field_stepladder"	"incidental"	"prop_field_stepladder"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_tent_large"	"incidental"	"prop_field_tent_large"	"wood"	1	nil	nil	500
"prop_field_tent_med"	"incidental"	"prop_field_tent_med"	"wood"	1	nil	nil	500
"prop_field_tent_small"	"incidental"	"prop_field_tent_small"	"wood"	1	nil	nil	500
"prop_field_treestump"	"incidental"	"prop_field_treestump"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_treestump_large"	"incidental"	"prop_field_treestump_large"	"wood"	1	nil	nil	500
"prop_field_treestump_small"	"incidental"	"prop_field_treestump_small"	"wood"	1	nil	nil	500
"prop_field_trough"	"incidental"	"prop_field_trough"	"wood"	1	nil	"terrain_rotation"	500
"prop_field_wagon_covered"	"incidental"	"prop_field_wagon_covered"	"wood"	1	nil	nil	500
"prop_field_wagon_uncovered"	"incidental"	"prop_field_wagon_uncovered"	"wood"	1	nil	nil	500
"prop_field_wheat_bundle"	"incidental"	"prop_field_wheat_bundle"	"wood"	1	nil	nil	500
"prop_field_wheelbarrow"	"incidental"	"prop_field_wheelbarrow"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_fire_pit"	"incidental"	"prop_town_fire_pit"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_flagpole"	"incidental"	"prop_town_flagpole"	"stone"	1	nil	"terrain_threshold_upright"	500
"prop_town_food_baskets"	"incidental"	"prop_town_food_baskets"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_gravestone01"	"incidental"	"prop_town_gravestone01"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_gravestone02"	"incidental"	"prop_town_gravestone02"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_gravestone03"	"incidental"	"prop_town_gravestone03"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_market_stall01"	"incidental"	"prop_town_market_stall01"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_market_stall02"	"incidental"	"prop_town_market_stall02"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_market_stall03"	"incidental"	"prop_town_market_stall03"	"wood"	50	nil	nil	500
"prop_town_market_stall04"	"incidental"	"prop_town_market_stall04"	"wood"	50	nil	nil	500
"prop_town_market_stall05"	"incidental"	"prop_town_market_stall05"	"wood"	50	nil	nil	500
"prop_town_native_totempole01"	"incidental"	"prop_town_native_totempole01"	"wood"	1	nil	nil	500
"prop_town_ott_stall04"	"incidental"	"prop_town_ott_stall04"	"stone"	100	nil	nil	500
"prop_town_ott_stall05"	"incidental"	"prop_town_ott_stall05"	"stone"	100	nil	nil	500
"prop_town_ott_stall06"	"incidental"	"prop_town_ott_stall06"	"stone"	150	nil	nil	500
"prop_town_ottoman_food_baskets"	"incidental"	"prop_town_ottoman_food_baskets"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_ottoman_pagoda"	"incidental"	"prop_town_ottoman_pagoda"	"stone"	1	nil	"terrain_threshold_upright"	500
"prop_town_ottoman_stall01"	"incidental"	"prop_town_ottoman_stall01"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_ottoman_stall02"	"incidental"	"prop_town_ottoman_stall02"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_ottoman_stall03"	"incidental"	"prop_town_ottoman_stall03"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_ottoman_stone_bench"	"incidental"	"prop_town_ottoman_stone_bench"	"stone"	1	nil	"terrain_threshold_upright"	500
"prop_town_pile_of_stones"	"incidental"	"prop_town_pile_of_stones"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_plant_pot01"	"incidental"	"prop_town_plant_pot01"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_plant_pot02"	"incidental"	"prop_town_plant_pot02"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_plant_pot03"	"incidental"	"prop_town_plant_pot03"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_pulley"	"incidental"	"prop_town_pulley"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_scaffolding"	"incidental"	"prop_town_scaffolding"	"wood"	1	nil	"terrain_threshold_upright"	500
"prop_town_signpost"	"incidental"	"prop_town_signpost"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_stack_of_barrels"	"incidental"	"prop_town_stack_of_barrels"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_stack_of_trunks"	"incidental"	"prop_town_stack_of_trunks"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_stone_bench"	"incidental"	"prop_town_stone_bench"	"wood"	15	nil	"terrain_threshold_upright"	500
"prop_town_stone_pillar"	"incidental"	"prop_town_stone_pillar"	"wood"	50	nil	"terrain_threshold_upright"	500
"prop_town_street_lamp"	"incidental"	"prop_town_street_lamp"	"stone"	1	nil	"terrain_threshold_upright"	500
"prop_town_urn01"	"incidental"	"prop_town_urn01"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_urn02"	"incidental"	"prop_town_urn02"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_urn03"	"incidental"	"prop_town_urn03"	"stone"	1	nil	"terrain_rotation"	500
"prop_town_wicker_baskets"	"incidental"	"prop_town_wicker_baskets"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_wooden_bench"	"incidental"	"prop_town_wooden_bench"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_wooden_boards"	"incidental"	"prop_town_wooden_boards"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_wooden_pole"	"incidental"	"prop_town_wooden_pole"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_wooden_shack"	"incidental"	"prop_town_wooden_shack"	"wood"	1	nil	"terrain_rotation"	500
"prop_town_woodenstructure"	"incidental"	"prop_town_woodenstructure"	"wood"	1	nil	nil	500
"rock_temperate_small_type01"	"boulder"	"rock_temperate_small_type01"	"stone"	15	nil	nil	500
"rock_temperate_small_type02"	"boulder"	"rock_temperate_small_type02"	"stone"	15	nil	nil	500
"rock_temperate_small_type03"	"boulder"	"rock_temperate_small_type03"	"stone"	15	nil	nil	500
"rock_temperate_small_type04"	"boulder"	"rock_temperate_small_type04"	"stone"	15	nil	nil	500
"rock_temperate_small_type05"	"boulder"	"rock_temperate_small_type05"	"stone"	15	nil	nil	500
"rock_temperate_small_type06"	"boulder"	"rock_temperate_small_type06"	"stone"	15	nil	nil	500
"rock_temperate_small_type07"	"boulder"	"rock_temperate_small_type07"	"stone"	15	nil	nil	500
"rock_temperate_small_type08"	"boulder"	"rock_temperate_small_type08"	"stone"	15	nil	nil	500
"rocks1_type00"	"boulder"	"rocks1_type00"	"stone"	15	nil	nil	500
"rocks1_type01"	"boulder"	"rocks1_type01"	"stone"	15	nil	nil	500
"rocks1_type02"	"boulder"	"rocks1_type02"	"stone"	15	nil	nil	500
"rocks1_type03"	"boulder"	"rocks1_type03"	"stone"	15	nil	nil	500
"rocks1_type04"	"boulder"	"rocks1_type04"	"stone"	15	nil	nil	500
"rocks1set_type00"	"boulder"	"rocks1set_type00"	"stone"	15	nil	nil	500
"rocks2_small_type01"	"boulder"	"rocks2_small_type01"	"stone"	15	nil	nil	500
"rocks2_small_type02"	"boulder"	"rocks2_small_type02"	"stone"	15	nil	nil	500
"rocks2_small_type03"	"boulder"	"rocks2_small_type03"	"stone"	15	nil	nil	500
"rocks2_small_type04"	"boulder"	"rocks2_small_type04"	"stone"	15	nil	nil	500
"rocks2_type00"	"boulder"	"rocks2_type00"	"stone"	15	nil	nil	500
