version 1, schema unit_stats_naval_crew_to_factions_tables
Faction_IDRef(string)	Crew_IDRef(string)	Crew_IDRef2(string)	Crew_IDRef3(string)	Crew_IDRef4(string)	Crew_IDRef5(string)	Crew_IDRef6(string)	Crew_IDRef7(string)
"colombia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"cossack_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"courland"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"crimean_khanate"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"denmark"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"dutch_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"european_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"france"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"french_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"french_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"genoa"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"georgia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"greece"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"greek_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"hannover"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"hessen"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"holstein_gottorp"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"hungary"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"huron"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"india_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"inuit"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"ireland"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"iroquoi"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"italian_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"khanate_khiva"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"knights_stjohn"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"louisiana"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"mamelukes"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"maratha"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"maratha_rebels"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"mecklenburg"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"mexico"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"middle_east_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"morocco"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"mughal"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"mughal_rebels"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"mysore"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"naples_sicily"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"netherlands"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"new_spain"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"norway"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"ottoman_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"ottomans"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"papal_states"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"persian_rebels"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"piedmont_savoy"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"pirates"	"pirate_marine"	"pirate_seaman"	"pirate_guncrew"	"euro_pirate_captain"	"euro_pirate_captain"	"euro_pirate_lieutenant"	"euro_pirate_bosun"
"plains"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"poland_lithuania"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"portugal"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"portugese_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"powhatan"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"prussia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"prussian_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"pueblo"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"punjab"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"quebec"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"russia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"safavids"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"saxony"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"scandinavian_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"scotland"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"sikh_rebels"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"	"eastern_naval_officer"
"slavic_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"spain"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"spanish_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"spanish_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"sweden"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"swiss_confederation"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"thirteen_colonies"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"tuscany"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"united_states"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"venice"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"virginia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"virginia_colonists"	"euro_marine"	"pr_custom_crate_dudes"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"westphalia"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"wurttemberg"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
