version 1, schema building_factionwide_effects_junctions_tables, guid 0408d4dd-2077-4c6b-a0ce-73e430aea41d
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"SHO_Castle_2_Stronghold"	"research_points_bonus_military"	1
"SHO_Castle_3_Fortress"	"research_points_bonus_military"	2
"SHO_Castle_4_Castle"	"research_points_bonus_military"	4
"SHO_Castle_5_Citadel"	"research_points_bonus_military"	10
"SHO_Christian_1_Chapel"	"agent_cap_missionary"	1
"SHO_Christian_1_Chapel"	"research_points_bonus_civil"	5
"SHO_Christian_2_Hospital"	"agent_cap_missionary"	1
"SHO_Christian_2_Hospital"	"research_points_bonus_civil"	5
"SHO_Christian_2_Mission"	"agent_cap_missionary"	1
"SHO_Christian_2_Mission"	"research_points_bonus_civil"	10
"SHO_Christian_3_Church"	"agent_cap_missionary"	1
"SHO_Christian_3_Church"	"research_points_bonus_civil"	15
"SHO_Christian_3_Jesuit_Seminar"	"agent_cap_missionary"	1
"SHO_Christian_3_Jesuit_Seminar"	"research_points_bonus_civil"	5
"SHO_Christian_4_Cathedral"	"agent_cap_missionary"	1
"SHO_Christian_4_Cathedral"	"research_points_bonus_civil"	25
"SHO_Christian_4_Jesuit_College"	"agent_cap_missionary"	1
"SHO_Christian_4_Jesuit_College"	"research_points_bonus_civil"	5
"SHO_Crafts_1_Market"	"agent_cap_metsuke"	1
"SHO_Crafts_2_Rice_Exchange"	"agent_cap_metsuke"	1
"SHO_Crafts_3_Merchant_Guild"	"agent_cap_metsuke"	1
"SHO_Crafts_4_Kanabukama"	"agent_cap_metsuke"	1
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"agent_cap_ikko_monk"	1
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"research_points_bonus_civil"	2
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"agent_cap_ikko_monk"	1
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"research_points_bonus_civil"	4
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"agent_cap_ikko_monk"	1
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"research_points_bonus_civil"	6
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	"agent_cap_ikko_monk"	1
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	"research_points_bonus_civil"	10
"SHO_Region_Specialty_Intellectual_Centre_1_School"	"research_points"	10
"SHO_Region_Specialty_Intellectual_Centre_2_Library"	"research_points"	20
"SHO_Region_Specialty_Intellectual_Centre_2_Magistr"	"research_points"	10
"SHO_Region_Specialty_Intellectual_Centre_3_Academy"	"research_points"	33
"SHO_Region_Specialty_Intellectual_Centre_3_Law_Cou"	"research_points"	10
"SHO_Region_Specialty_Naval_1_Merchant_Colony"	"trade_income_mod"	3
"SHO_Region_Specialty_Naval_2_Pirate_Lair"	"trade_income_mod"	3
"SHO_Region_Specialty_Naval_2_Warehouses"	"trade_income_mod"	4
"SHO_Region_Specialty_Naval_3_Pirate_Fortress"	"trade_income_mod"	3
"SHO_Region_Specialty_Naval_3_Red_Seal_Company"	"trade_income_mod"	5
"SHO_Stealth_1_Sake_Den"	"agent_cap_minja"	1
"SHO_Stealth_2_Gambling_Hall"	"agent_cap_minja"	1
"SHO_Stealth_3_Criminal_Syndicate"	"agent_cap_minja"	1
"SHO_Stealth_4_Mizu_Shobai"	"agent_cap_geisha"	1
"SHO_Stealth_4_Mizu_Shobai"	"agent_cap_minja"	1
"bos_artillery_3_artillery_academy"	"bos_modernisation"	2
"bos_artillery_4_arsenal"	"bos_modernisation"	3
"bos_castle_6_star_fort"	"bos_modernisation"	2
"bos_criminal_1_inn"	"bos_agent_cap_geisha"	1
"bos_criminal_2_gambling_den"	"bos_agent_cap_geisha"	1
"bos_criminal_2_gambling_den"	"bos_modernisation"	-1
"bos_criminal_2_market"	"bos_agent_cap_geisha"	1
"bos_criminal_2_market"	"bos_modernisation"	1
"bos_criminal_3_financial_district"	"bos_agent_cap_geisha"	1
"bos_criminal_3_financial_district"	"bos_modernisation"	2
"bos_criminal_3_richi_mahjong_parlour"	"bos_agent_cap_geisha"	1
"bos_criminal_3_richi_mahjong_parlour"	"bos_modernisation"	-1
"bos_criminal_4_junin_ryogae"	"bos_agent_cap_geisha"	1
"bos_criminal_4_junin_ryogae"	"bos_modernisation"	4
"bos_criminal_4_yakuza_hideout"	"bos_agent_cap_geisha"	1
"bos_criminal_4_yakuza_hideout"	"bos_modernisation"	-2
"bos_defenses_4_gatling_gun_towers"	"bos_modernisation"	2
"bos_defenses_5_wall_guns_and_gatling_gun_towers"	"bos_modernisation"	4
"bos_farming_3_private-held_fields"	"bos_modernisation"	1
"bos_farming_4_zaibatsu_fields"	"bos_modernisation"	2
"bos_foundation_2_large_town"	"bos_modernisation"	1
"bos_foundation_3_city"	"bos_modernisation"	3
"bos_foundation_4_municipalty"	"bos_modernisation"	5
"bos_foundation_5_prefecture"	"bos_modernisation"	7
"bos_industry_1_cottage_industry"	"bos_modernisation"	1
"bos_industry_2_cotton_mill"	"bos_modernisation"	3
"bos_industry_2_craft_workshop"	"bos_modernisation"	2
"bos_industry_2_silk_weavers_shop"	"bos_modernisation"	1
"bos_industry_3_manufactory"	"bos_modernisation"	3
"bos_industry_4_cotton_processing_plant"	"bos_modernisation"	6
"bos_industry_4_silk_manufactory"	"bos_modernisation"	4
"bos_modern_1_muster_field"	"bos_modernisation"	1
"bos_modern_2_barracks"	"bos_modernisation"	2
"bos_modern_3_infantry_barracks"	"bos_modernisation"	3
"bos_modern_4_military_academy"	"bos_modernisation"	4
"bos_port_3_military_port"	"bos_agent_cap_veteran"	1
"bos_port_3_trading_port"	"bos_agent_cap_veteran"	1
"bos_port_3_trading_port"	"bos_modernisation"	2
"bos_port_3_trading_port"	"bos_western_port_hidden"	1
"bos_port_4_american_trading_district"	"bos_agent_cap_veteran"	1
"bos_port_4_american_trading_district"	"bos_modernisation"	4
"bos_port_4_american_trading_district"	"bos_western_port_hidden"	1
"bos_port_4_british_trading_district"	"bos_agent_cap_veteran"	1
"bos_port_4_british_trading_district"	"bos_modernisation"	4
"bos_port_4_british_trading_district"	"bos_western_port_hidden"	1
"bos_port_4_drydock"	"bos_agent_cap_veteran"	1
"bos_port_4_french_trading_district"	"bos_agent_cap_veteran"	1
"bos_port_4_french_trading_district"	"bos_modernisation"	4
"bos_port_4_french_trading_district"	"bos_western_port_hidden"	1
"bos_propaganda_1_constabulary"	"bos_agent_cap_ishinshishi"	1
"bos_propaganda_1_constabulary"	"bos_agent_cap_shinsengumi"	1
"bos_propaganda_2_police_office"	"bos_agent_cap_ishinshishi"	1
"bos_propaganda_2_police_office"	"bos_agent_cap_shinsengumi"	1
"bos_propaganda_3_shikoyoku_office"	"bos_agent_cap_ishinshishi"	1
"bos_propaganda_3_special_police"	"bos_agent_cap_shinsengumi"	1
"bos_propaganda_4_mainichi_shimbun"	"bos_agent_cap_ishinshishi"	1
"bos_propaganda_4_military_society"	"bos_religion_conversion_no_non_state"	100
"bos_propaganda_4_shinsengumi_headquarters"	"bos_agent_cap_shinsengumi"	1
"bos_region_spec_clay_3_brickworks"	"bos_minister_construction_cost_global"	-5
"bos_region_spec_clay_3_brickworks"	"bos_modernisation"	3
"bos_region_spec_clay_3_pottery_kiln"	"bos_minister_construction_cost_global"	-5
"bos_region_spec_coal_mining_2_coal_preparation_pla"	"bos_modernisation"	2
"bos_region_spec_coal_mining_3_deep-seam_coal_mine"	"bos_modernisation"	3
"bos_region_spec_coal_mining_3_deep-seam_coal_mine"	"bos_tech_unit_ship_cost_mod"	-1
"bos_region_spec_copper_mining_3_anode_furnace"	"bos_modernisation"	3
"bos_region_spec_copper_mining_3_anode_furnace"	"bos_unit_modern_cost_mod_global"	-5
"bos_region_spec_copper_mining_3_copper_refinery"	"bos_unit_modern_cost_mod_global"	-5
"bos_region_spec_gold_mining_3_ore_processing_plant"	"bos_modernisation"	3
"bos_region_spec_holy_site_1_buddhist_shrine"	"bos_modernisation"	-1
"bos_region_spec_holy_site_2_buddhist_temple"	"bos_modernisation"	-1
"bos_region_spec_holy_site_3_buddhist_temple_comple"	"bos_modernisation"	-2
"bos_region_spec_holy_site_3_buddhist_temple_comple"	"bos_unit_traditional_cost_mod_global"	-5
"bos_region_spec_iron_mining_3_iron_smelter"	"bos_recruitment_cost_mod_category_artillery_global"	-5
"bos_region_spec_iron_mining_3_steel_mill"	"bos_modernisation"	3
"bos_region_spec_iron_mining_3_steel_mill"	"bos_recruitment_cost_mod_category_artillery_global"	-5
"bos_region_spec_railroad_2_train_station"	"bos_modernisation"	2
"bos_region_spec_railroad_3_nippon_railway_company"	"bos_modernisation"	4
"bos_region_spec_silver_mining_3_silver_smelting_pl"	"bos_modernisation"	3
"bos_region_spec_smithing_3_armour_makers"	"bos_modernisation"	-2
"bos_region_spec_smithing_3_riflemakers"	"bos_modernisation"	3
"bos_region_spec_smugglers_1_smugglers_cove"	"trade_income_mod"	1
"bos_region_spec_smugglers_2_criminal_den"	"trade_income_mod"	3
"bos_region_spec_smugglers_3_yakuza_headquarters"	"trade_income_mod"	5
"bos_region_specialtea_3_sayama_corporation_depot"	"bos_modernisation"	3
"bos_traditional_1_traditional_dojo"	"bos_agent_cap_shinobi"	1
"bos_traditional_1_traditional_dojo"	"bos_modernisation"	-1
"bos_traditional_2_samurai_dojo"	"bos_agent_cap_shinobi"	1
"bos_traditional_2_samurai_dojo"	"bos_modernisation"	-1
"bos_traditional_3_samurai_master_dojo"	"bos_agent_cap_shinobi"	1
"bos_traditional_3_samurai_master_dojo"	"bos_modernisation"	-2
"bos_traditional_4_legendary_samurai_master_dojo"	"bos_agent_cap_shinobi"	1
"bos_traditional_4_legendary_samurai_master_dojo"	"bos_modernisation"	-3
