version 1, schema campaign_ai_character_skill_tree_manager_agent_junctions_tables, guid 097e0e52-afbd-49a0-ab2d-538bc608fffb
unknown1(string)	unknown2(string)	unknown3(string)
"gem_dancer_skills"	"default"	"strategist"
"gem_general_skills"	"default"	"strategist"
"gem_inspector_skills"	"default"	"strategist"
"gem_monk_skills"	"default"	"strategist"
"gem_spy_skills"	"default"	"strategist"
"general_skills"	"general_strategist"	"strategist"
"metsuke_skills"	"default"	"strategist"
"missionary_skills"	"default"	"strategist"
"monk_skills"	"default"	"strategist"
"ninja_skills"	"default"	"strategist"
"bos_geisha_skills"	"default"	"warrior"
"bos_general_skills"	"default"	"warrior"
"bos_ishinshishi_skills"	"default"	"warrior"
"bos_shinobi_skills"	"default"	"warrior"
"bos_shinsengumi_skills"	"default"	"warrior"
"bos_veteran_skills"	"default"	"warrior"
"geisha_skills"	"default"	"warrior"
"gem_dancer_skills"	"default"	"warrior"
"gem_general_skills"	"default"	"warrior"
"gem_inspector_skills"	"default"	"warrior"
"gem_monk_skills"	"default"	"warrior"
"gem_spy_skills"	"default"	"warrior"
"general_skills"	"general_warrior"	"warrior"
"metsuke_skills"	"default"	"warrior"
"missionary_skills"	"default"	"warrior"
"monk_skills"	"default"	"warrior"
"ninja_skills"	"default"	"warrior"
