version 1, schema uniform_to_faction_colours_tables
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(int)	unknown5(int)	unknown6(int)	unknown7(int)	unknown8(int)	unknown9(int)	unknown10(int)	unknown11(int)
"Austrian_Rebels_Inf_Militia_Landwehr"	"austrian_rebels"	103	69	27	191	28	22	57	130	218
"Austrian_Rebels_Inf_Mob_Armed_Citizenry"	"austrian_rebels"	20	85	19	255	255	255	173	173	173
"Austrian_Rebels_Inf_Skirm_Jager"	"austrian_rebels"	143	144	152	191	28	22	143	144	152
"Bavaria_Art_Foot_6_lber"	"bavaria"	45	44	84	54	54	54	255	255	255
"Bavaria_Art_Horse_6_lber"	"bavaria"	45	44	84	54	54	54	255	255	255
"Bavaria_Cav_Heavy_Dragoons"	"bavaria"	255	255	255	191	28	22	173	173	173
"Bavaria_Cav_Stand_Chevauxlegers"	"bavaria"	63	85	53	54	54	54	255	255	255
"Bavaria_Gen_Generals_Staff"	"bavaria"	118	164	223	195	49	71	255	255	255
"Bavaria_Inf_Elite_Life_Regiment"	"bavaria"	118	164	223	195	49	71	255	255	255
"Bavaria_Inf_Elite_Republican_Guards"	"bavaria"	118	164	223	195	49	71	255	255	255
"Bavaria_Inf_Gren_Grenadiers"	"bavaria"	118	164	223	54	54	54	255	255	255
"Bavaria_Inf_Light_Light_Infantry"	"bavaria"	63	85	53	170	0	68	173	173	173
"Bavaria_Inf_Line_Line_Infantry"	"bavaria"	118	164	223	255	234	0	255	255	255
"Bavaria_Inf_Militia_Landwehr"	"bavaria"	118	164	223	195	49	71	173	173	173
"Bavaria_Art_Foot_7_lber_Howitzer"	"bavaria"	45	44	84	54	54	54	255	255	255
"Bavaria_Inf_Skirm_Jager"	"bavaria"	42	59	42	54	54	54	173	173	173
"Bedouin_Cav_Light_Bedouin_Camel_Warriors"	"egy_bedouin"	255	255	255	191	28	22	255	255	255
"Bedouin_Cav_Miss_Bedouin_Camel_Gunners"	"egy_bedouin"	54	54	54	191	28	22	255	255	255
"Bedouin_Gen_Generals_Bodyguard"	"egy_bedouin"	255	255	255	170	0	0	255	255	255
"Bedouin_Inf_Mob_Armed_Populace"	"egy_bedouin"	49	65	100	191	28	22	255	255	255
"Belgium_Art_Foot_12_lber"	"belgium"	30	35	67	54	54	54	173	173	173
"Belgium_Art_Foot_6_lber"	"belgium"	30	35	67	54	54	54	173	173	173
"Belgium_Art_Foot_7_lber_Howitzer"	"belgium"	30	35	67	54	54	54	173	173	173
"Belgium_Art_Horse_6_lber"	"belgium"	30	35	67	54	54	54	173	173	173
"Belgium_Cav_Heavy_Carabiniers"	"belgium"	30	35	67	191	28	22	173	173	173
"Belgium_Cav_Light_Hussars"	"belgium"	49	66	122	191	28	22	173	173	173
"Belgium_Cav_Stand_Chevauxlegers"	"belgium"	42	59	42	255	234	0	173	173	173
"Belgium_Gen_Generals_Staff"	"belgium"	30	35	67	255	234	0	173	173	173
"Belgium_Inf_Gren_Grenadiers"	"belgium"	30	35	67	255	255	255	173	173	173
"Belgium_Inf_Light_Dutch_Flanquers"	"belgium"	30	35	67	255	255	255	173	173	173
"Belgium_Inf_Line_Line_Infantry"	"belgium"	30	35	67	255	255	255	255	255	255
"Belgium_Inf_Militia_Militia"	"belgium"	255	255	255	255	234	0	173	173	173
"Belgium_Inf_Mob_Armed_Citizenry"	"belgium"	141	107	49	255	234	0	255	255	255
"Britain_Art_Fix_British_Rocket_Troop"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Art_Foot_British_5_In_Howitzer"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Art_Foot_British_6_lber"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Art_Foot_British_9_lber"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Art_Foot_British_Experimental_Howitzer"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Art_Horse_British_6_lber"	"britain"	45	44	84	191	28	22	173	173	173
"Bavaria_Inf_Mob_Armed_Citizenry"	"bavaria"	103	75	44	170	0	0	255	255	255
"Britain_Cav_Heavy_British_Dragoon_Guards"	"britain"	191	28	22	45	44	84	255	255	255
"Britain_Cav_Heavy_British_Dragoons"	"britain"	191	28	22	255	234	0	162	162	162
"Britain_Cav_Heavy_British_Horse_Guards"	"britain"	37	48	90	191	28	22	255	255	255
"Britain_Cav_Heavy_British_Horse_Guards_Uxbridge"	"britain"	37	48	90	191	28	22	173	173	173
"Britain_Cav_Heavy_British_KGL_Dragoons"	"britain"	191	28	22	45	44	84	162	162	162
"Britain_Cav_Heavy_British_Life_Guards"	"britain"	191	28	22	45	44	84	173	173	173
"Britain_Cav_Heavy_British_Royal_Scots_Greys"	"britain"	170	0	0	45	44	84	172	172	172
"Britain_Cav_Heavy_Republican_Horse_Guards"	"britain"	191	28	22	45	44	84	173	173	173
"Britain_Cav_Light_British_15th_Hussars"	"britain"	45	44	84	191	28	22	255	255	255
"Britain_Cav_Light_British_KGL_Light_Dragoons"	"britain"	45	44	84	45	44	84	173	173	173
"Britain_Cav_Light_British_Light_Dragoons"	"britain"	45	44	84	191	28	22	173	173	173
"Britain_Cav_Light_Dutch_Light_Dragoons"	"britain"	30	35	67	191	28	22	162	162	162
"Britain_Egy_Art_Foot_British_6_lber"	"egy_britain"	45	44	84	191	28	22	255	255	255
"Britain_Egy_Cav_Light_British_Light_Dragoons"	"egy_britain"	45	44	84	255	234	0	255	255	255
"Britain_Egy_Gen_Generals_Staff"	"egy_britain"	191	28	22	45	44	84	255	255	255
"Britain_Egy_Inf_Elite_British_Black_Watch"	"egy_britain"	191	28	22	45	44	84	16	56	12
"Britain_Egy_Inf_Line_British_Foot"	"egy_britain"	191	28	22	255	233	123	255	255	255
"Britain_Egy_Inf_Mob_Armed_Citizenry"	"egy_britain"	255	255	255	45	44	84	255	255	255
"Britain_Gen_Duke_of_Wellington"	"britain"	191	28	22	45	44	84	162	162	162
"Britain_Gen_Generals_Staff"	"britain"	191	28	22	45	44	84	173	173	173
"Britain_Gen_Picton"	"britain"	191	28	22	45	44	84	173	173	173
"Britain_Gen_Prince_of_Orange"	"britain"	26	26	66	168	80	3	173	173	173
"Britain_Inf_Elite_British_Black_Watch"	"britain"	191	28	22	45	44	84	20	85	19
"Britain_Inf_Elite_British_Foot_Guards"	"britain"	191	28	22	45	44	84	255	255	255
"Britain_Inf_Elite_Republican_Guards"	"britain"	191	28	22	45	44	84	255	255	255
"Britain_Inf_Light_British_Dutch_Flanquers"	"britain"	30	35	67	255	255	255	173	173	173
"Britain_Inf_Light_British_KGL_Light_Foot"	"britain"	42	59	42	54	54	54	173	173	173
"Britain_Inf_Light_British_Light_Foot"	"britain"	191	34	13	20	85	19	170	170	170
"Britain_Inf_Line_British_88th_Foot"	"britain"	191	28	22	255	234	0	255	255	255
"Britain_Inf_Line_British_Foot"	"britain"	191	34	13	255	233	123	255	255	255
"Britain_Inf_Line_British_Highland_Foot"	"britain"	191	28	22	54	91	47	78	85	72
"Britain_Inf_Line_British_KGL_Foot"	"britain"	191	28	22	45	44	84	104	106	111
"Britain_Inf_Line_Brunswick_Line_Infantry"	"britain"	39	39	39	146	199	255	42	42	42
"Britain_Inf_Line_Dutch_Line_Infantry"	"britain"	30	35	67	255	255	255	173	173	173
"Britain_Inf_Militia_British_Fencibles"	"britain"	191	28	22	255	255	255	173	173	173
"Britain_Inf_Militia_Militiamen"	"britain"	30	35	67	213	145	8	173	173	173
"Britain_Inf_Mob_Armed_Citizenry"	"britain"	255	255	255	34	31	77	255	255	255
"Britain_Inf_Skirm_British_Rifles"	"britain"	42	59	42	54	54	54	173	173	173
"Britain_Inf_Skirm_Nassau_Jager"	"britain"	66	99	65	54	54	54	66	99	65
"Britain_Spa_Cav_Heavy_British_KGL_Dragoons"	"spa_britain"	191	28	22	45	44	84	45	44	84
"Britain_Spa_Cav_Light_British_KGL_Light_Dragoons"	"spa_britain"	45	44	84	255	255	255	255	255	255
"Britain_Spa_Cav_Light_British_Light_Dragoons"	"spa_britain"	45	44	84	191	28	22	255	255	255
"Britain_Spa_Inf_Elite_British_Foot_Guards"	"spa_britain"	191	28	22	45	44	84	255	255	255
"Britain_Spa_Inf_Light_British_Light_Foot"	"spa_britain"	191	28	22	40	79	37	255	255	255
"Britain_Spa_Inf_Line_British_Foot"	"spa_britain"	191	28	22	255	233	123	255	255	255
"British_Rebels_Art_Foot_6_lber"	"british_rebels"	45	44	84	191	28	22	255	255	255
"British_Rebels_Art_Foot_7_lber_Howitzer"	"british_rebels"	45	44	84	191	28	22	255	255	255
"British_Rebels_Art_Horse_6_lber"	"british_rebels"	45	44	84	191	28	22	173	173	173
"British_Rebels_Cav_Heavy_Dragoons"	"british_rebels"	191	28	22	45	44	84	255	255	255
"British_Rebels_Cav_Light_Light_Dragoons"	"british_rebels"	45	44	84	255	234	0	255	255	255
"British_Rebels_Gen_Generals_Staff"	"british_rebels"	191	28	22	45	44	84	255	255	255
"British_Rebels_Inf_Light_Light_Infantry"	"british_rebels"	191	28	22	20	85	19	255	255	255
"British_Rebels_Inf_Militia_Militia"	"british_rebels"	191	28	22	191	28	22	255	255	255
"British_Rebels_Inf_Mob_Armed_Citizenry"	"british_rebels"	45	44	84	191	28	22	255	255	255
"Brittany_Art_Foot_12_lber"	"brittany"	255	255	255	54	54	54	255	255	255
"Brittany_Cav_Heavy_Dragoons"	"brittany"	49	65	100	170	0	0	255	255	255
"Brittany_Cav_Light_Hussars"	"brittany"	54	54	54	191	28	22	173	173	173
"Brittany_Gen_Generals_Staff"	"brittany"	54	54	54	191	28	22	255	255	255
"Brittany_Inf_Gren_Grenadiers"	"brittany"	255	255	255	54	54	54	255	255	255
"Brittany_Inf_Light_Light_Infantry"	"brittany"	42	59	42	54	54	54	42	59	42
"Brittany_Inf_Mob_Armed_Citizenry"	"brittany"	170	0	0	54	54	54	255	255	255
"Catalonia_Art_Foot_12_lber"	"catalonia"	191	28	22	255	220	92	255	255	255
"Catalonia_Art_Foot_6_lber"	"catalonia"	191	28	22	255	220	92	255	255	255
"Catalonia_Art_Foot_7_lber_Howitzer"	"catalonia"	191	28	22	255	220	92	255	255	255
"Catalonia_Art_Horse_6_lber"	"catalonia"	191	28	22	255	220	92	173	173	173
"Catalonia_Cav_Heavy_Dragoons"	"catalonia"	255	220	92	54	54	54	255	255	255
"Catalonia_Cav_Light_Hussars"	"catalonia"	90	140	43	255	220	92	173	173	173
"Catalonia_Inf_Gren_Grenadiers"	"catalonia"	49	65	100	191	28	22	255	255	255
"Catalonia_Inf_Light_Light_Infantry"	"catalonia"	103	64	45	191	28	22	103	64	45
"Catalonia_Inf_Line_Line_Infantry"	"catalonia"	49	65	100	191	28	22	49	65	100
"Catalonia_Inf_Mob_Armed_Citizenry"	"catalonia"	255	255	255	255	220	92	255	255	255
"Cossack_Rebels_Art_Foot_12_lber"	"cossack_rebels"	49	65	100	54	54	54	255	255	255
"Cossack_Rebels_Art_Foot_7_lber_Howitzer"	"cossack_rebels"	49	65	100	54	54	54	255	255	255
"Cossack_Rebels_Art_Horse_6_lber"	"cossack_rebels"	49	65	100	54	54	54	173	173	173
"Cossack_Rebels_Cav_Heavy_Dragoons"	"cossack_rebels"	49	65	100	255	255	255	173	173	173
"Cossack_Rebels_Cav_Lancer_Russian_Cossack_Cavalry"	"cossack_rebels"	30	35	67	191	28	22	173	173	173
"Cossack_Rebels_Cav_Light_Hussars"	"cossack_rebels"	173	173	173	173	173	173	173	173	173
"Cossack_Rebels_Gen_Generals_Staff"	"cossack_rebels"	49	65	100	63	85	53	255	255	255
"Cossack_Rebels_Inf_Gren_Grenadiers"	"cossack_rebels"	49	65	100	191	28	22	255	255	255
"Cossack_Rebels_Inf_Line_Musketeers"	"cossack_rebels"	49	65	100	255	255	255	255	255	255
"Cossack_Rebels_Inf_Militia_Militia"	"cossack_rebels"	49	65	100	191	28	22	49	65	100
"Cossack_Rebels_Inf_Mob_Armed_Citizenry"	"cossack_rebels"	170	0	0	255	255	255	255	255	255
"Cossack_Rebels_Inf_Skirm_Jager"	"cossack_rebels"	63	85	53	42	59	42	255	255	255
"Courland_Art_Foot_12_lber"	"courland"	217	47	41	54	54	54	255	255	255
"Courland_Art_Foot_6_lber"	"courland"	217	47	41	54	54	54	255	255	255
"Courland_Art_Foot_7_lber_Howitzer"	"courland"	217	47	41	54	54	54	255	255	255
"Courland_Art_Horse_6_lber"	"courland"	217	47	41	54	54	54	173	173	173
"Courland_Cav_Heavy_Dragoons"	"courland"	217	47	41	255	255	255	173	173	173
"Courland_Cav_Lancer_Lancers"	"courland"	45	44	84	71	143	206	255	255	255
"Courland_Cav_Light_Hussars"	"courland"	54	54	54	71	143	206	173	173	173
"Courland_Gen_Generals_Staff"	"courland"	217	47	41	255	255	255	255	255	255
"Courland_Inf_Gren_Grenadiers"	"courland"	217	47	41	45	44	84	255	255	255
"Courland_Inf_Militia_Militia"	"courland"	217	47	41	66	99	65	255	255	255
"Courland_Inf_Mob_Armed_Citizenry"	"courland"	45	44	84	71	143	206	255	255	255
"Crimean_Khanate_Art_Foot_12_lber"	"crimean_khanate"	255	255	255	54	54	54	255	255	255
"Crimean_Khanate_Art_Foot_6_lber"	"crimean_khanate"	255	255	255	54	54	54	255	255	255
"Crimean_Khanate_Cav_Heavy_Dragoons"	"crimean_khanate"	45	44	84	255	255	255	173	173	173
"Crimean_Khanate_Cav_Lancer_Russian_Cossack_Cavalry"	"crimean_khanate"	45	44	84	170	0	0	30	35	67
"Crimean_Khanate_Cav_Light_Hussars"	"crimean_khanate"	255	255	255	247	223	34	173	173	173
"Crimean_Khanate_Gen_Generals_Staff"	"crimean_khanate"	255	255	255	76	125	189	173	173	173
"Crimean_Khanate_Inf_Gren_Grenadiers"	"crimean_khanate"	255	255	255	76	125	189	255	255	255
"Crimean_Khanate_Inf_Line_Line_Infantry"	"crimean_khanate"	255	255	255	76	125	189	255	255	255
"Crimean_Khanate_Inf_Militia_Militia"	"crimean_khanate"	255	255	255	76	125	189	255	255	255
"Crimean_Khanate_Inf_Mob_Armed_Citizenry"	"crimean_khanate"	191	28	22	191	28	22	255	255	255
"Crimean_Khanate_Inf_Skirm_Jager"	"crimean_khanate"	63	85	53	76	125	189	255	255	255
"Denmark_Art_Foot_12_lber"	"denmark"	214	38	38	54	55	127	54	55	127
"Denmark_Art_Foot_6_lber"	"denmark"	214	38	38	54	55	127	54	55	127
"Denmark_Art_Foot_7_lber_Howitzer"	"denmark"	214	38	38	54	55	127	54	55	127
"Denmark_Art_Horse_6_lber"	"denmark"	214	38	38	54	55	127	216	171	93
"Denmark_Cav_Heavy_Dragoons"	"denmark"	214	38	38	43	113	45	54	55	127
"Denmark_Cav_Heavy_Life_Guards_of_Horse"	"denmark"	255	233	123	170	0	0	216	171	93
"Denmark_Cav_Heavy_Republican_Horse_Guards"	"denmark"	255	233	123	170	0	0	216	171	93
"Denmark_Cav_Light_Light_Dragoons"	"denmark"	214	38	38	43	113	45	54	55	127
"Denmark_Gen_Ernst_Paymann"	"denmark"	214	38	38	76	125	189	54	55	127
"Denmark_Gen_Generals_Staff"	"denmark"	214	38	38	76	125	189	54	55	127
"Denmark_Gen_Joachim_Melchior_Holten_Castenschiold"	"denmark"	20	85	19	54	54	54	255	233	123
"Denmark_Gen_Prince_Frederick_of_Hessen"	"denmark"	214	38	38	76	125	189	54	55	127
"Denmark_Inf_Elite_Life_Guards_of_Foot"	"denmark"	214	38	38	76	125	189	54	55	127
"Denmark_Inf_Elite_Republican_Guards"	"denmark"	214	38	38	76	125	189	54	55	127
"Denmark_Inf_Gren_Grenadiers"	"denmark"	214	38	38	54	54	54	255	255	255
"Denmark_Inf_Line_Line_Infantry"	"denmark"	214	38	38	54	54	54	162	162	162
"Denmark_Inf_Militia_Militia"	"denmark"	214	38	38	255	255	255	162	162	162
"Denmark_Inf_Mob_Armed_Citizenry"	"denmark"	103	69	27	54	54	54	255	255	255
"Denmark_Inf_Skirm_Jager"	"denmark"	214	38	38	54	54	54	162	162	162
"Denmark_Inf_Skirm_Norwegian_Ski_Troops"	"denmark"	49	66	122	255	234	0	54	55	127
"Denmark_Inf_Skirm_Sharpshooters"	"denmark"	44	99	48	54	54	54	162	162	162
"France_Art_Fix_French_Rocket_Troop"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_12_lber"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_6_In_Howitzer"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_6_lber"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_8_lber"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_Artillerie_a_Pied"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_French_Experimental_Howitzer"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Foot_Grand_Battery_Convention"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Horse_French_6_lber"	"france"	49	65	100	170	0	0	49	65	100
"France_Art_Horse_French_Artillerie_a_Cheval"	"france"	49	65	100	170	0	0	49	65	100
"France_Cav_Heavy_French_Carabiniers"	"france"	255	255	255	76	125	189	255	255	255
"France_Cav_Heavy_French_Cuirassiers"	"france"	49	65	100	255	243	64	255	255	255
"France_Cav_Heavy_French_Cuirassiers_Murat"	"france"	49	65	100	170	0	0	255	255	255
"France_Cav_Heavy_French_Cuirassiers_Ney"	"france"	49	65	100	49	65	100	255	255	255
"France_Cav_Heavy_French_Dragoons"	"france"	39	70	37	162	23	18	162	162	162
"France_Cav_Heavy_French_Grenadiers_a_Cheval"	"france"	49	65	100	170	0	0	255	255	255
"France_Cav_Lancer_French_7th_Lancers"	"france"	49	66	122	255	234	0	49	66	122
"France_Cav_Lancer_French_Cheveau_Legers_Lancers"	"france"	29	70	29	75	192	255	29	70	29
"France_Cav_Light_French_5e_Hussards"	"france"	76	125	189	255	255	255	191	28	22
"France_Cav_Light_French_Chasseurs_a_Cheval"	"france"	29	70	29	191	28	22	29	70	29
"France_Gen_D_Erlon"	"france"	49	65	100	170	0	0	255	255	255
"France_Gen_Generals_Staff"	"france"	49	65	100	170	0	0	255	255	255
"France_Inf_Elite_French_Old_Guard"	"france"	49	60	100	170	0	0	255	255	255
"France_Inf_Elite_French_Young_Guard"	"france"	49	65	100	170	0	0	255	255	255
"France_Inf_Gren_French_Grenadiers"	"france"	49	65	100	170	0	0	255	255	255
"France_Inf_Light_French_6th_Legere"	"france"	49	66	122	170	0	0	255	255	255
"France_Inf_Light_French_Chasseurs"	"france"	49	66	122	170	0	0	49	66	122
"France_Inf_Line_French_Fusiliers"	"france"	49	65	100	170	0	0	255	255	255
"France_Inf_Line_Polish_Legion"	"france"	30	35	67	255	255	62	30	35	67
"France_Inf_Line_Swiss_Foot"	"france"	191	28	22	255	227	65	255	255	255
"France_Inf_Militia_French_National_Guard"	"france"	49	65	100	170	0	0	255	255	255
"France_Inf_Mob_Armed_Citizenry"	"france"	170	0	39	49	65	100	255	255	255
"France_Inf_Skirm_French_Voltiguers"	"france"	49	66	122	170	0	0	255	255	255
"France_Spa_Art_Foot_French_12_lber"	"spa_france"	49	65	100	170	0	0	49	65	100
"France_Spa_Inf_Gren_French_Grenadiers"	"spa_france"	49	65	100	170	0	0	255	255	255
"France_Spa_Inf_Light_French_Chasseurs"	"spa_france"	49	66	122	170	0	0	255	255	255
"France_Spa_Inf_Line_French_Fusiliers"	"spa_france"	49	65	100	170	0	0	139	139	139
"France_Spa_Inf_Skirm_French_Voltiguers"	"spa_france"	49	65	100	255	228	21	255	255	255
"French_Rebels_Art_Foot_12_lber"	"french_rebels"	49	65	100	191	28	22	49	65	100
"French_Rebels_Art_Foot_7_lber_Howitzer"	"french_rebels"	49	65	100	170	0	0	49	65	100
"French_Rebels_Art_Horse_6_lber"	"french_rebels"	49	65	100	170	0	0	49	65	100
"French_Rebels_Cav_Heavy_Cuirassiers"	"french_rebels"	42	59	42	170	0	0	255	255	255
"French_Rebels_Cav_Heavy_Dragoons"	"french_rebels"	49	65	100	170	0	0	173	173	173
"French_Rebels_Cav_Light_Hussars"	"french_rebels"	63	85	53	170	0	0	63	85	53
"French_Rebels_Gen_Generals_Staff"	"french_rebels"	191	28	22	49	65	100	255	255	255
"French_Rebels_Inf_Gren_Grenadiers"	"french_rebels"	191	28	22	49	65	100	255	255	255
"French_Rebels_Inf_Light_Light_Infantry"	"french_rebels"	63	85	53	49	65	100	63	85	53
"French_Rebels_Inf_Line_Line_Infantry"	"french_rebels"	255	255	255	49	65	100	255	255	255
"French_Rebels_Inf_Militia_Militia"	"french_rebels"	255	255	255	191	28	22	255	255	255
"French_Rebels_Inf_Mob_Armed_Citizenry"	"french_rebels"	170	0	0	49	65	100	255	255	255
"French_Rep_Egy_Art_Foot_French_12_lber"	"egy_french_republic"	29	33	100	170	0	0	255	255	255
"French_Rep_Egy_Art_Foot_French_6_In_Howitzer"	"egy_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Egy_Art_Foot_French_6_lber"	"egy_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Egy_Art_Foot_French_8_lber"	"egy_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Egy_Art_Horse_French_6_lber"	"egy_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Egy_Cav_Heavy_French_Dragoons"	"egy_french_republic"	41	85	41	170	25	25	255	255	255
"French_Rep_Egy_Cav_Light_Bedouin_Camel_Warriors"	"egy_french_republic"	255	255	255	170	0	0	255	255	255
"French_Rep_Egy_Cav_Light_French_Chasseurs_a_Cheval"	"egy_french_republic"	90	140	43	191	130	6	90	140	43
