version 1, schema technology_faction_junctions_tables
Tech_IDRef(string)	Faction_IDRef(string)
"enlightenment_free_trade_doctrine"	"huron"
"enlightenment_free_trade_doctrine"	"india_settler_rebels"
"enlightenment_free_trade_doctrine"	"inuit"
"enlightenment_free_trade_doctrine"	"ireland"
"enlightenment_free_trade_doctrine"	"iroquoi"
"enlightenment_free_trade_doctrine"	"italian_rebels"
"enlightenment_free_trade_doctrine"	"khanate_khiva"
"enlightenment_free_trade_doctrine"	"knights_stjohn"
"enlightenment_free_trade_doctrine"	"louisiana"
"enlightenment_free_trade_doctrine"	"mamelukes"
"enlightenment_free_trade_doctrine"	"maratha"
"enlightenment_free_trade_doctrine"	"maratha_rebels"
"enlightenment_free_trade_doctrine"	"mecklenburg"
"enlightenment_free_trade_doctrine"	"mexico"
"enlightenment_free_trade_doctrine"	"middle_east_settler_rebels"
"enlightenment_free_trade_doctrine"	"morocco"
"enlightenment_free_trade_doctrine"	"mughal"
"enlightenment_free_trade_doctrine"	"mughal_rebels"
"enlightenment_free_trade_doctrine"	"mysore"
"enlightenment_free_trade_doctrine"	"naples_sicily"
"enlightenment_free_trade_doctrine"	"netherlands"
"enlightenment_free_trade_doctrine"	"new_spain"
"enlightenment_free_trade_doctrine"	"norway"
"enlightenment_free_trade_doctrine"	"ottoman_rebels"
"enlightenment_free_trade_doctrine"	"ottomans"
"enlightenment_free_trade_doctrine"	"papal_states"
"enlightenment_free_trade_doctrine"	"persian_rebels"
"enlightenment_free_trade_doctrine"	"piedmont_savoy"
"enlightenment_free_trade_doctrine"	"pirates"
"enlightenment_free_trade_doctrine"	"plains"
"enlightenment_free_trade_doctrine"	"poland_lithuania"
"enlightenment_free_trade_doctrine"	"portugal"
"enlightenment_free_trade_doctrine"	"portugese_rebels"
"enlightenment_free_trade_doctrine"	"powhatan"
"enlightenment_free_trade_doctrine"	"prussia"
"enlightenment_free_trade_doctrine"	"prussian_rebels"
"enlightenment_free_trade_doctrine"	"pueblo"
"enlightenment_free_trade_doctrine"	"punjab"
"enlightenment_free_trade_doctrine"	"quebec"
"enlightenment_free_trade_doctrine"	"russia"
"enlightenment_free_trade_doctrine"	"safavids"
"enlightenment_free_trade_doctrine"	"saxony"
"enlightenment_free_trade_doctrine"	"scandinavian_rebels"
"enlightenment_free_trade_doctrine"	"scotland"
"enlightenment_free_trade_doctrine"	"sikh_rebels"
"enlightenment_free_trade_doctrine"	"slavic_rebels"
"enlightenment_free_trade_doctrine"	"spain"
"enlightenment_free_trade_doctrine"	"spanish_rebels"
"enlightenment_free_trade_doctrine"	"spanish_settler_rebels"
"enlightenment_free_trade_doctrine"	"sweden"
"enlightenment_free_trade_doctrine"	"swiss_confederation"
"enlightenment_free_trade_doctrine"	"thirteen_colonies"
"enlightenment_free_trade_doctrine"	"tuscany"
"enlightenment_free_trade_doctrine"	"united_states"
"enlightenment_free_trade_doctrine"	"venice"
"enlightenment_free_trade_doctrine"	"virginia"
"enlightenment_free_trade_doctrine"	"virginia_colonists"
"enlightenment_free_trade_doctrine"	"westphalia"
"enlightenment_free_trade_doctrine"	"wurttemberg"
"enlightenment_government_by_consent"	"afghanistan"
"enlightenment_government_by_consent"	"american_rebels"
"enlightenment_government_by_consent"	"amerind_rebels"
"enlightenment_government_by_consent"	"austria"
"enlightenment_government_by_consent"	"austrian_rebels"
"enlightenment_government_by_consent"	"barbary_rebels"
"enlightenment_government_by_consent"	"barbary_states"
"enlightenment_government_by_consent"	"bavaria"
"enlightenment_government_by_consent"	"britain"
"enlightenment_classical_economics"	"holstein_gottorp"
"enlightenment_classical_economics"	"hungary"
"enlightenment_classical_economics"	"huron"
"enlightenment_classical_economics"	"india_settler_rebels"
"enlightenment_classical_economics"	"inuit"
"enlightenment_classical_economics"	"ireland"
"enlightenment_classical_economics"	"iroquoi"
"enlightenment_classical_economics"	"italian_rebels"
"enlightenment_classical_economics"	"khanate_khiva"
"enlightenment_classical_economics"	"knights_stjohn"
"enlightenment_classical_economics"	"louisiana"
"enlightenment_classical_economics"	"mamelukes"
"enlightenment_classical_economics"	"maratha"
"enlightenment_classical_economics"	"maratha_rebels"
"enlightenment_classical_economics"	"mecklenburg"
"enlightenment_classical_economics"	"mexico"
"enlightenment_classical_economics"	"middle_east_settler_rebels"
"enlightenment_classical_economics"	"morocco"
"enlightenment_classical_economics"	"mughal"
"enlightenment_classical_economics"	"mughal_rebels"
"enlightenment_classical_economics"	"mysore"
"enlightenment_classical_economics"	"naples_sicily"
"enlightenment_classical_economics"	"netherlands"
"enlightenment_classical_economics"	"new_spain"
"enlightenment_classical_economics"	"norway"
"enlightenment_classical_economics"	"ottoman_rebels"
"enlightenment_classical_economics"	"ottomans"
"enlightenment_classical_economics"	"papal_states"
"enlightenment_classical_economics"	"persian_rebels"
"enlightenment_classical_economics"	"piedmont_savoy"
"enlightenment_classical_economics"	"pirates"
"enlightenment_classical_economics"	"plains"
"enlightenment_classical_economics"	"poland_lithuania"
"enlightenment_classical_economics"	"portugal"
"enlightenment_classical_economics"	"portugese_rebels"
"enlightenment_classical_economics"	"powhatan"
"enlightenment_classical_economics"	"prussia"
"enlightenment_classical_economics"	"prussian_rebels"
"enlightenment_classical_economics"	"pueblo"
"enlightenment_classical_economics"	"punjab"
"enlightenment_classical_economics"	"quebec"
"enlightenment_classical_economics"	"russia"
"enlightenment_classical_economics"	"safavids"
"enlightenment_classical_economics"	"saxony"
"enlightenment_classical_economics"	"scandinavian_rebels"
"enlightenment_classical_economics"	"scotland"
"enlightenment_classical_economics"	"sikh_rebels"
"enlightenment_classical_economics"	"slavic_rebels"
"enlightenment_classical_economics"	"spain"
"enlightenment_classical_economics"	"spanish_rebels"
"enlightenment_classical_economics"	"spanish_settler_rebels"
"enlightenment_classical_economics"	"sweden"
"enlightenment_classical_economics"	"swiss_confederation"
"enlightenment_classical_economics"	"thirteen_colonies"
"enlightenment_classical_economics"	"tuscany"
"enlightenment_classical_economics"	"united_states"
"enlightenment_classical_economics"	"venice"
"enlightenment_classical_economics"	"virginia"
"enlightenment_classical_economics"	"virginia_colonists"
"enlightenment_classical_economics"	"westphalia"
"enlightenment_classical_economics"	"wurttemberg"
"enlightenment_division_of_labour"	"afghanistan"
"enlightenment_division_of_labour"	"american_rebels"
"enlightenment_division_of_labour"	"amerind_rebels"
"enlightenment_division_of_labour"	"austria"
"enlightenment_division_of_labour"	"austrian_rebels"
"enlightenment_division_of_labour"	"barbary_rebels"
"enlightenment_division_of_labour"	"barbary_states"
"enlightenment_division_of_labour"	"bavaria"
"enlightenment_division_of_labour"	"britain"
"enlightenment_division_of_labour"	"british_rebels"
"enlightenment_division_of_labour"	"british_settler_rebels"
"enlightenment_division_of_labour"	"chechenya_dagestan"
"enlightenment_division_of_labour"	"cherokee"
"enlightenment_division_of_labour"	"colombia"
"enlightenment_division_of_labour"	"cossack_rebels"
"enlightenment_division_of_labour"	"courland"
"enlightenment_division_of_labour"	"crimean_khanate"
"enlightenment_division_of_labour"	"denmark"
"enlightenment_division_of_labour"	"dutch_rebels"
"enlightenment_division_of_labour"	"european_settler_rebels"
"enlightenment_division_of_labour"	"france"
"enlightenment_division_of_labour"	"french_rebels"
"enlightenment_division_of_labour"	"french_settler_rebels"
"enlightenment_division_of_labour"	"genoa"
"enlightenment_division_of_labour"	"georgia"
"enlightenment_division_of_labour"	"greece"
"enlightenment_division_of_labour"	"greek_rebels"
"enlightenment_division_of_labour"	"hannover"
"enlightenment_division_of_labour"	"hessen"
"enlightenment_division_of_labour"	"holstein_gottorp"
"enlightenment_division_of_labour"	"hungary"
"enlightenment_division_of_labour"	"huron"
"enlightenment_division_of_labour"	"india_settler_rebels"
"enlightenment_division_of_labour"	"inuit"
"enlightenment_division_of_labour"	"ireland"
"enlightenment_division_of_labour"	"iroquoi"
"enlightenment_division_of_labour"	"italian_rebels"
"enlightenment_division_of_labour"	"khanate_khiva"
"enlightenment_division_of_labour"	"knights_stjohn"
"enlightenment_division_of_labour"	"louisiana"
"enlightenment_division_of_labour"	"mamelukes"
"enlightenment_division_of_labour"	"maratha"
"enlightenment_division_of_labour"	"maratha_rebels"
"enlightenment_division_of_labour"	"mecklenburg"
"enlightenment_division_of_labour"	"mexico"
"enlightenment_division_of_labour"	"middle_east_settler_rebels"
"enlightenment_division_of_labour"	"morocco"
"enlightenment_division_of_labour"	"mughal"
"enlightenment_division_of_labour"	"mughal_rebels"
"enlightenment_division_of_labour"	"mysore"
"enlightenment_division_of_labour"	"naples_sicily"
"enlightenment_division_of_labour"	"netherlands"
"enlightenment_division_of_labour"	"new_spain"
"enlightenment_division_of_labour"	"norway"
"enlightenment_division_of_labour"	"ottoman_rebels"
"enlightenment_division_of_labour"	"ottomans"
"enlightenment_division_of_labour"	"papal_states"
"enlightenment_division_of_labour"	"persian_rebels"
"enlightenment_division_of_labour"	"piedmont_savoy"
"enlightenment_division_of_labour"	"pirates"
"enlightenment_division_of_labour"	"plains"
"enlightenment_division_of_labour"	"poland_lithuania"
"enlightenment_division_of_labour"	"portugal"
"enlightenment_division_of_labour"	"portugese_rebels"
"enlightenment_division_of_labour"	"powhatan"
"enlightenment_division_of_labour"	"prussia"
"enlightenment_division_of_labour"	"prussian_rebels"
"enlightenment_division_of_labour"	"pueblo"
"enlightenment_division_of_labour"	"punjab"
"enlightenment_division_of_labour"	"quebec"
"enlightenment_division_of_labour"	"russia"
"enlightenment_division_of_labour"	"safavids"
"enlightenment_division_of_labour"	"saxony"
"enlightenment_division_of_labour"	"scandinavian_rebels"
"enlightenment_division_of_labour"	"scotland"
"enlightenment_division_of_labour"	"sikh_rebels"
"enlightenment_division_of_labour"	"slavic_rebels"
"enlightenment_division_of_labour"	"spain"
"enlightenment_division_of_labour"	"spanish_rebels"
"enlightenment_division_of_labour"	"spanish_settler_rebels"
"enlightenment_division_of_labour"	"sweden"
"enlightenment_division_of_labour"	"swiss_confederation"
"enlightenment_division_of_labour"	"thirteen_colonies"
"enlightenment_division_of_labour"	"tuscany"
"enlightenment_division_of_labour"	"united_states"
"enlightenment_division_of_labour"	"venice"
"enlightenment_division_of_labour"	"virginia"
"enlightenment_division_of_labour"	"virginia_colonists"
"enlightenment_division_of_labour"	"westphalia"
"enlightenment_division_of_labour"	"wurttemberg"
"enlightenment_empiricism"	"afghanistan"
"enlightenment_empiricism"	"american_rebels"
"enlightenment_empiricism"	"amerind_rebels"
"enlightenment_empiricism"	"austria"
"enlightenment_empiricism"	"austrian_rebels"
"enlightenment_empiricism"	"barbary_rebels"
"enlightenment_empiricism"	"barbary_states"
"enlightenment_empiricism"	"bavaria"
"enlightenment_empiricism"	"britain"
"enlightenment_empiricism"	"british_rebels"
"enlightenment_empiricism"	"british_settler_rebels"
"enlightenment_empiricism"	"chechenya_dagestan"
"enlightenment_empiricism"	"cherokee"
"enlightenment_empiricism"	"colombia"
"enlightenment_empiricism"	"cossack_rebels"
"enlightenment_empiricism"	"courland"
"enlightenment_empiricism"	"crimean_khanate"
"enlightenment_empiricism"	"denmark"
"enlightenment_empiricism"	"dutch_rebels"
"enlightenment_empiricism"	"european_settler_rebels"
"enlightenment_empiricism"	"france"
"enlightenment_empiricism"	"french_rebels"
"enlightenment_empiricism"	"french_settler_rebels"
"enlightenment_empiricism"	"genoa"
"enlightenment_empiricism"	"georgia"
"enlightenment_empiricism"	"greece"
"enlightenment_empiricism"	"greek_rebels"
"enlightenment_empiricism"	"hannover"
"enlightenment_empiricism"	"hessen"
"enlightenment_empiricism"	"holstein_gottorp"
"enlightenment_empiricism"	"hungary"
"enlightenment_empiricism"	"huron"
"enlightenment_empiricism"	"india_settler_rebels"
"enlightenment_empiricism"	"inuit"
"enlightenment_empiricism"	"ireland"
"enlightenment_empiricism"	"iroquoi"
"enlightenment_empiricism"	"italian_rebels"
"enlightenment_empiricism"	"khanate_khiva"
"enlightenment_empiricism"	"knights_stjohn"
"enlightenment_empiricism"	"louisiana"
"enlightenment_empiricism"	"mamelukes"
"enlightenment_empiricism"	"maratha"
"enlightenment_empiricism"	"maratha_rebels"
"enlightenment_empiricism"	"mecklenburg"
"enlightenment_empiricism"	"mexico"
"enlightenment_empiricism"	"middle_east_settler_rebels"
"enlightenment_empiricism"	"morocco"
"enlightenment_empiricism"	"mughal"
"enlightenment_empiricism"	"mughal_rebels"
"enlightenment_empiricism"	"mysore"
"enlightenment_empiricism"	"naples_sicily"
"enlightenment_empiricism"	"netherlands"
"enlightenment_empiricism"	"new_spain"
"enlightenment_empiricism"	"norway"
"enlightenment_empiricism"	"ottoman_rebels"
"enlightenment_empiricism"	"ottomans"
"enlightenment_empiricism"	"papal_states"
"enlightenment_empiricism"	"persian_rebels"
"enlightenment_empiricism"	"piedmont_savoy"
"enlightenment_empiricism"	"pirates"
"enlightenment_empiricism"	"plains"
"enlightenment_empiricism"	"poland_lithuania"
"enlightenment_empiricism"	"portugal"
"enlightenment_empiricism"	"portugese_rebels"
"enlightenment_empiricism"	"powhatan"
"enlightenment_empiricism"	"prussia"
"enlightenment_empiricism"	"prussian_rebels"
"enlightenment_empiricism"	"pueblo"
"enlightenment_empiricism"	"punjab"
"enlightenment_empiricism"	"quebec"
"enlightenment_empiricism"	"russia"
"enlightenment_empiricism"	"safavids"
"enlightenment_empiricism"	"saxony"
"enlightenment_empiricism"	"scandinavian_rebels"
"enlightenment_empiricism"	"scotland"
"enlightenment_empiricism"	"sikh_rebels"
"enlightenment_empiricism"	"slavic_rebels"
"enlightenment_empiricism"	"spain"
"enlightenment_joint_stock_companies"	"afghanistan"
"enlightenment_joint_stock_companies"	"american_rebels"
"enlightenment_joint_stock_companies"	"amerind_rebels"
"enlightenment_joint_stock_companies"	"austria"
"enlightenment_joint_stock_companies"	"austrian_rebels"
"enlightenment_joint_stock_companies"	"barbary_rebels"
"enlightenment_joint_stock_companies"	"barbary_states"
"enlightenment_joint_stock_companies"	"bavaria"
"enlightenment_joint_stock_companies"	"britain"
