version 1, schema trigger_effects_tables
unknown1(string)	unknown2(string)	Trait_IDRef(string)	unknown4(int)	unknown5(int)
"287804766"	"C_Minister_Created_Trigger"	"C_Personal_Piety"	15	1
"441565543"	"C_Admiral_Bad_Trigger"	"C_Admiral_Bad"	1	100
"460127417"	"C_Minister_Created_Trigger"	"C_Minister_Upright"	7	3
"474103616"	"C_Minister_Created_Trigger"	"C_Minister_Upright"	14	3
"587625532"	"C_Minister_Created_Trigger"	"C_Personal_Piety"	5	1
"643261634"	"C_General_Created_Trigger"	"C_General_Martinet"	1	1
"647921474"	"C_Minister_Created_Trigger"	"C_Personal_Piety"	5	2
"789753627"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Inbred"	1	1
"827310031"	"C_Minister_Created_Trigger"	"C_Feck_Vice"	2	1
"868910250"	"C_Admiral_Brave_Trigger"	"C_Admiral_Brave"	1	100
"878830794"	"C_Leader_M_Trigger"	"C_Personal_Piety"	1	1
"899567312"	"C_Leader_Philistine_Trigger"	"C_Leader_Philistine"	1	1
"929802185"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Foreign_Tastes"	1	1
"966487303"	"C_Missionary_Created_Trigger"	"C_Personal_Piety"	1	1
"-1066131991"	"C_Minister_Created_Trigger"	"C_Minister_Fiscal_Genius"	5	3
"1005261910"	"C_Leader_Or_Heir_Female_Created_Trigger"	"C_Leader_Foreign_Tastes"	1	3
"1224751825"	"C_Admiral_Attacker_Bad_Trigger"	"C_Admiral_Attacker_Bad"	1	100
"1224843832"	"C_General_Created_Trigger"	"C_General_Slacker"	1	1
"1225202403"	"C_Leader_Or_Heir_Female_Created_Trigger"	"C_Leader_Clever_Stick"	1	3
"1225284318"	"C_Missionary_Created_Trigger"	"C_Missionary_Touched_By_God"	1	1
"1225364279"	"U_Magic_Talismans_Trigger"	"U_Magic_Talismans"	1	1
"1230029419"	"C_Leader_Navy_Buff_Trigger"	"C_Leader_Navy_Buff"	1	1
"1231243411"	"C_Minister_Created_Trigger"	"C_Minister_Corrupt"	10	4
"1231264671"	"C_Minister_Created_Trigger"	"C_Minister_Corrupt"	20	2
"1231265253"	"C_Minister_Created_Trigger"	"C_Minister_Entertainer"	10	2
"1268955793"	"C_Minister_Army_Good_Trigger"	"C_Minister_Army_Good"	1	1
"1349476947"	"C_Minister_Created_Trigger"	"C_Minister_Radical"	1	6
"1389613769"	"C_Admiral_Bad_Trigger"	"C_Admiral_Boring_Speaker"	1	50
"1675404118"	"C_Admiral_Created_Trigger"	"C_Admiral_Martinet"	1	1
"1708409325"	"C_Admiral_Blockader_Good_Trigger"	"C_Admiral_Blockader_Good"	1	100
"1716129251"	"C_Admiral_British_Drakes_Drum_Trigger"	"C_Admiral_British_Drakes_Drum"	1	100
"1735998918"	"C_Minister_Created_Trigger"	"C_Sausage_Vice"	2	1
"1763843262"	"C_Admiral_Attacker_Good_Trigger"	"C_Admiral_Attacker_Good"	1	100
"1806359192"	"C_Minister_Created_Trigger"	"C_Minister_Reactionary"	1	6
"1806846636"	"U_Magic_Talismans_Trigger"	"U_Magic_Talismans"	1	1
"1874865765"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Humanist"	1	1
"1879570975"	"C_Admiral_Created_Trigger"	"C_Admiral_Mathematician"	2	2
"1941102512"	"C_Minister_Created_Trigger"	"C_Sausage_Vice"	15	1
"2039170422"	"C_Rake_Created_Trigger"	"C_Rake_Born_Bounder"	1	2
"2048438628"	"C_Minister_Created_Trigger"	"C_Sausage_Vice"	4	1
"2143371272"	"C_General_Created_Trigger"	"C_Personal_Piety"	1	1
"1231782632"	"C_Admiral_Created_Trigger"	"C_Admiral_Sobriety"	10	2
"-1316850999"	"C_Admiral_Created_Trigger"	"C_Admiral_Sobriety"	10	1
"-330382506"	"C_Admiral_Created_Trigger"	"C_Admiral_Slacker"	4	1
"-187196897"	"C_Admiral_Created_Trigger"	"C_Admiral_Slacker"	4	1
"-350359180"	"C_Admiral_Created_Trigger"	"C_Admiral_Martinet"	3	1
"1412540773"	"C_Admiral_Created_Trigger"	"C_Admiral_Martinet"	3	1
"-1960082238"	"C_Admiral_Created_Trigger"	"C_Admiral_Mathematician"	1	2
"1986830875"	"C_Admiral_Cruisers_Trigger"	"C_Admiral_Cruisers"	1	100
"-1434664768"	"C_Admiral_Defend_Bad_Trigger"	"C_Admiral_Defender_Bad"	1	100
"2098880961"	"C_Admiral_Defend_Good_Trigger"	"C_Admiral_Defender_Good"	1	100
"481727726"	"C_Admiral_Drunkard_Trigger"	"C_Admiral_Drunkard"	1	1
"728105431"	"C_Admiral_Dutch_Seamanship_Trigger"	"C_Admiral_Dutch_Seamanship"	2	2
"-917144372"	"C_Admiral_Dutch_Seamanship_Trigger"	"C_Admiral_Dutch_Seamanship"	2	2
"1764112349"	"C_Admiral_Dutch_Seamanship_Trigger"	"C_Admiral_Dutch_Seamanship"	1	2
"942170074"	"C_Admiral_Good_Trigger"	"C_Admiral_Good"	1	100
"1505146195"	"C_Admiral_Lampooned_Trigger"	"C_Admiral_Lampooned"	1	50
"-507088488"	"C_Admiral_Mad_Trigger"	"C_Admiral_Mad"	1	1
"1743816633"	"C_Admiral_Press_Hero_Trigger"	"C_Admiral_Press_Hero"	1	30
"1886916998"	"C_Admiral_Rated_Ships_Trigger"	"C_Admiral_Rated_Ships"	1	50
"-396789617"	"C_Admiral_Spanish_National_Pride_Trigger"	"C_Admiral_Spanish_National_Pride"	1	5
"-758469852"	"C_Admiral_Spanish_National_Pride_Trigger"	"C_Admiral_Spanish_National_Pride"	2	2
"945974613"	"C_Admiral_Spanish_National_Pride_Trigger"	"C_Admiral_Spanish_National_Pride"	1	5
"-1010330126"	"C_Admiral_Swashbuckling_Trigger"	"C_Admiral_Swashbuckling"	1	20
"-45299829"	"C_Agent_Secret_Police_Trigger"	"C_Agent_Secret_Police"	1	15
"-309987984"	"C_Agent_Spy_Network_Trigger"	"C_Agent_Spy_Network"	1	15
"1192150193"	"C_Feck_Vice_Trigger"	"C_Feck_Vice"	1	1
"965712158"	"C_General_Ambush_Bad_Trigger"	"C_General_Ambusher_Bad"	1	100
"1397677639"	"C_General_Ambush_Good_Trigger"	"C_General_Ambush_Good"	1	100
"-279913348"	"C_General_Americas_Bad_Trigger"	"C_General_Americas_Bad"	1	100
"1783507405"	"C_General_Americas_Good_Trigger"	"C_General_Americas_Good"	1	100
"462128906"	"C_General_Attacker_Bad_Trigger"	"C_General_Attacker_Bad"	1	100
"1129953475"	"C_General_Attacker_Good_Trigger"	"C_General_Attacker_Good"	1	100
"344239176"	"C_General_Bad_Field_Commander_Trigger"	"C_General_Bad_Field_Commander"	1	50
"2015033513"	"C_General_Bloody_Trigger"	"C_General_Bloody"	1	15
"-177894474"	"C_General_Brave_Trigger"	"C_General_Brave"	1	3
"1038029567"	"C_General_Coward_Trigger"	"C_General_Coward"	1	18
"1342664916"	"C_General_Coward_Trigger"	"C_General_Bad_Field_Commander"	1	1
"-777171643"	"C_General_Defender_Bad_Trigger"	"C_General_Defender_Bad"	1	100
"1193448226"	"C_General_Defender_Good_Trigger"	"C_General_Defender_Good"	1	100
"801401083"	"C_General_Drunkard_Trigger"	"C_General_Drunkard"	1	1
"1939338784"	"C_General_French_Elan_Trigger"	"C_General_French_Elan"	1	3
"-1059650655"	"C_General_French_Elan_Trigger"	"C_General_French_Elan"	2	1
"-1773254322"	"C_General_French_Elan_Trigger"	"C_General_French_Elan"	1	1
"253687479"	"C_General_Good_Field_Commander_Trigger"	"C_General_Good_Field_Commander"	1	50
"-723924948"	"C_General_India_Bad_Trigger"	"C_General_India_Bad"	1	50
"1126152125"	"C_General_India_Good_Trigger"	"C_General_India_Good"	1	50
"1239882298"	"C_General_Lampooned_Trigger"	"C_General_Lampooned"	1	20
"-1951418317"	"C_General_Mad_Trigger"	"C_General_Mad"	1	1
"-1155452168"	"C_General_of_Artillery_Trigger"	"C_General_of_Artillery"	1	33
"-1633630823"	"C_General_of_Cavalry_Trigger"	"C_General_of_Cavalry"	1	33
"2097820134"	"C_General_of_Infantry_Trigger"	"C_General_of_Infantry"	1	7
"-1625331345"	"C_General_Polish_Stubborn_Trigger"	"C_General_Polish_Stubborn"	1	1
"-1577106812"	"C_General_Press_Hero_Trigger"	"C_General_Press_Hero"	1	20
"-593409739"	"C_General_Prussian_Blue_Trigger"	"C_General_Prussian_Blue"	1	3
"-1268810670"	"C_General_Prussian_Blue_Trigger"	"C_General_Prussian_Blue"	2	1
"2029684331"	"C_General_Prussian_Blue_Trigger"	"C_General_Prussian_Blue"	1	2
"479052496"	"C_General_Russian_Vodka_Trigger"	"C_General_Russian_Vodka"	1	3
"99753617"	"C_General_Russian_Vodka_Trigger"	"C_General_Russian_Vodka"	2	2
"574989694"	"C_General_Russian_Vodka_Trigger"	"C_General_Russian_Vodka"	1	1
"40717095"	"C_General_US_Backwoodsman_Trigger"	"C_General_US_Backwoodsman"	1	2
"-444907556"	"C_General_US_Backwoodsman_Trigger"	"C_General_US_Backwoodsman"	2	1
"-1123425875"	"C_General_US_Backwoodsman_Trigger"	"C_General_US_Backwoodsman"	1	1
"-440526486"	"C_General_Warlord_Trigger"	"C_General_Warlord"	2	20
"-171986013"	"C_General_Warlord_Trigger"	"C_General_Warlord"	2	10
"1742144936"	"C_General_Warlord_Trigger"	"C_General_Warlord"	2	10
"-1847529847"	"C_Gent_Created_Trigger"	"C_Gent_Research_Economics"	1	2
"1880687638"	"C_Gent_Created_Trigger"	"C_Gent_Research_Industry"	1	2
"1167162335"	"C_Gent_Created_Trigger"	"C_Gent_Research_Military"	1	2
"-862117836"	"C_Gent_Created_Trigger"	"C_Gent_Research_Navy"	1	2
"730685733"	"C_Gent_Created_Trigger"	"C_Gent_Research_Philosophy"	1	2
"-43953790"	"C_Gent_Created_Trigger"	"C_Gent_Science_Club"	1	2
"1339432923"	"C_Gent_Created_Trigger"	"C_Gent_Duelling_Pistol"	1	2
"1493326720"	"C_Gent_Created_Trigger"	"C_Gent_Duelling_Sword"	1	2
"597628289"	"C_Gent_Duelling_Pistol_Trigger"	"C_Gent_Duelling_Pistol"	1	60
"-880235090"	"C_Gent_Duelling_Sword_Trigger"	"C_Gent_Duelling_Sword"	1	60
"412146583"	"C_Leader_Enlightened_Despot_Trigger"	"C_Leader_Enlightened_Despot"	1	12
"-1451211892"	"C_Missionary_Gone_Native_Trigger"	"C_Missionary_Gone_Native"	1	5
"792438685"	"C_Missionary_Hate_America_Trigger"	"C_Missionary_Hate_America"	1	1
"2085848218"	"C_Rake_Assassin_Good_Trigger"	"C_Rake_Assassin_Good"	1	30
"-2007979245"	"C_Rake_Counter_Spy_Trigger"	"C_Rake_Counter_Spy"	1	90
"362882136"	"C_Rake_Created_Trigger"	"C_Rake_Born_Bounder"	1	2
"-235244679"	"C_Rake_Created_Trigger"	"C_Rake_Im_A_Laydee"	1	2
"-838532538"	"C_Rake_Spy_Good_Trigger"	"C_Rake_Naughty_Club"	1	10
"1785481807"	"C_Rake_Sabot_Good_Trigger"	"C_Rake_Sabot_Good"	1	90
"1231875720"	"C_Minister_Created_Trigger"	"C_Minister_Unjust"	2	2
"-729245706"	"C_Minister_Created_Trigger"	"C_Minister_Fiscal_Genius"	10	2
"-1005995457"	"C_Minister_Created_Trigger"	"C_Minister_Trader"	1	2
"-943040748"	"C_Minister_Created_Trigger"	"C_Minister_Trader"	1	2
"1238189701"	"C_Minister_Created_Trigger"	"C_Minister_Physiocrat"	1	2
"783344482"	"C_Minister_Created_Trigger"	"C_Minister_Physiocrat"	1	2
"-1881013189"	"C_Minister_Created_Trigger"	"C_Minister_Miser"	5	3
"-2109226912"	"C_Rake_Assassin_Good_Trigger"	"C_Rake_Naughty_Club"	1	4
"-1787621151"	"C_Rake_Counter_Spy_Trigger"	"C_Rake_Naughty_Club"	1	4
"967056782"	"C_Rake_Sabot_Good_Trigger"	"C_Rake_Naughty_Club"	1	4
"-1310276105"	"C_Rake_Spy_Good_Trigger"	"C_Rake_Spy_Good"	1	65
