version 1, schema trees_climates_jct_tables
Tree_IDRef(string)	Tree(string)	unknown2(int)
"lc_am_se_usa"	"lc_am_se_usa-Cinnamon_Fern_shrub"	1
"lc_am_se_usa"	"lc_am_se_usa-Low_Brush_shrub"	1
"lc_am_se_usa"	"lc_am_se_usa-Swamp_Cypress_tree"	1
"lc_am_se_usa"	"lc_am_se_usa-Tulip_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Balsa_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Bamboo_Cluster_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Banana_Tree_shrub"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Caribbean_Pine_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Cecropia_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Cinnamon_Fern_shrub"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Jungle_Brush_shrub"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Kapok_tree"	1
"lc_am_tropical_humid"	"lc_am_tropical_humid-Queen_Palm_tree"	1
"lc_am_us_central"	"lc_am_us_central-Blue_Spruce_tree"	1
"lc_am_us_central"	"lc_am_us_central-Burford_Holly_shrub"	1
"lc_am_us_central"	"lc_am_us_central-Creeping_Juniper_shrub"	1
"lc_am_us_central"	"lc_am_us_central-Narrow_Leaved_Ash_tree"	1
"lc_am_us_central"	"lc_am_us_central-Scarlet_Oak_tree"	1
"lc_am_us_central"	"lc_am_us_central-Silver_Maple_tree"	1
"lc_am_us_central"	"lc_am_us_central-Sorrel_tree"	1
"lc_am_us_central"	"lc_am_us_central-Thicket_shrub"	1
"lc_am_us_east"	"lc_am_us_east-American_Beech_tree"	1
"lc_am_us_east"	"lc_am_us_east-American_Holly_shrub"	1
"lc_am_us_east"	"lc_am_us_east-Blue_Spruce_tree"	1
"lc_am_us_east"	"lc_am_us_east-Cinnamon_Fern_shrub"	1
"lc_am_us_east"	"lc_am_us_east-Creeping_Juniper_shrub"	1
"lc_am_us_east"	"lc_am_us_east-Red_Oak_tree"	1
"lc_am_us_east"	"lc_am_us_east-Silver_Maple_tree"	1
"lc_am_us_east"	"lc_am_us_east-White_Oak_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Agarwood_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Banana_Tree_shrub"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Creeping_Juniper_shrub"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Dogwood_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Japanese_Stewartia_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Leaved_Ash_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Queen_Palm_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Queens_Crepe_Myrtle_tree"	1
"lc_as_temp_humid"	"lc_as_temp_humid-Thicket_shrub"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Bristle_Cone_tree"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Carolina_Buckthorn_shrub"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Ghost_Gum_tree"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Gimlet_tree"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Low_Brush_shrub"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Queens_Crepe_Myrtle_tree"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Thicket_shrub"	1
"lc_as_temp_s_arid"	"lc_as_temp_s_arid-Weeping_Fig_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Agarwood_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Agarwood2_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Coconut_Palm_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Curly_Palm_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-General_Fan_Palm_tree"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Jungle_Brush_shrub"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Low_brush_shrub"	1
"lc_as_trop_humid"	"lc_as_trop_humid-Thicket_shrub"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Agarwood_tree"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Agarwoord2_tree"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Carolina_Buckthorn_shrub"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Large_Bush_tree"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Low_Brush_tree"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Portia_tree"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Thicket_shrub"	1
"lc_as_trop_s_arid"	"lc_as_trop_s_arid-Thingham_tree"	1
"lc_boreal"	"lc_boreal-Austrian_Pine_tree"	1
"lc_boreal"	"lc_boreal-Blue_Spruce_tree"	1
"lc_boreal"	"lc_boreal-Chrsitmas_Scotch_Pine_tree"	1
"lc_boreal"	"lc_boreal-Creeping_Juniper_shrub"	1
"lc_boreal"	"lc_boreal-Low_Brush_shrub"	1
"lc_boreal"	"lc_boreal-Norway_Spruce_tree"	1
"lc_boreal"	"lc_boreal-Thicket_shrub"	1
"lc_boreal"	"lc_boreal-Western_Red_Cedar_tree"	1
"lc_desert"	"lc_desert-Coconut_Palm_tree"	1
"lc_desert"	"lc_desert-Curly_Palm_tree"	1
"lc_desert"	"lc_desert-Date_Palm_tree"	1
"lc_desert"	"lc_desert-Dead_tree_1_tree"	1
"lc_desert"	"lc_desert-Dead_tree_2_tree"	1
"lc_desert"	"lc_desert-General_Fan_Palm_tree"	1
"lc_desert"	"lc_desert-Low_Brush_shrub"	1
"lc_desert"	"lc_desert-Restharrow_shrub"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Common_Juniper_tree"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Creeping_Juniper_shrub"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Elm_tree"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Fern_shrub"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Horse_Chestnut_tree"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Low_brush_shrub"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Narrow_Leaved_Ash_tree"	1
"lc_eu_central_humid"	"lc_eu_central_humid-Western_Red_Cedar_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-American_Boxwood_shrub"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Azalea_shrub"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Blue_Spruce_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Common_Alder_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Common_Alder2_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Elm_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-English_Oak_tree"	1
"lc_eu_north_humid"	"lc_eu_north_humid-Fern_shrub"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Blue_Spruce_tree"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Burford_Holly_shrub"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-English_Oak_tree"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Hazel_Humid_shrub"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Lombardy_Poplar_tree"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Norway_Maple_tree"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Restharrow_shrub"	1
"lc_eu_north_s_arid"	"lc_eu_north_s_arid-Silver_Birch_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-American_Boxwood_shrub"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Azalea_shrub"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Blue_Spruce_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Elm_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-European_Aspen_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Horse_Chestnut_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Lombardy_Poplar_tree"	1
"lc_eu_south_humid"	"lc_eu_south_humid-Thicket_shrub"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Burford_Holly_shrub"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Common_Olive_tree"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Hazel_Humid_shrub"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Horse_Chestnut_tree"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Lombardy_Poplar_tree"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Low_Brush_shrub"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Narrow_Leaved_Ash_tree"	1
"lc_eu_south_s_arid"	"lc_eu_south_s_arid-Stone_Pine_tree"	1
"lc_mediterranean"	"lc_mediterranean-Common_Olive_tree"	1
"lc_mediterranean"	"lc_mediterranean-Ficus_tree"	1
"lc_mediterranean"	"lc_mediterranean-Italian_Cypress_tree"	1
"lc_mediterranean"	"lc_mediterranean-Narrow_leaved_Ash_shrub"	1
"lc_mediterranean"	"lc_mediterranean-Restharrow_shrub"	1
"lc_mediterranean"	"lc_mediterranean-Thicket_shrub"	1
"lc_sand_desert"	"lc_sand_desert-Cocunut_Palm_tree"	1
"lc_sand_desert"	"lc_sand_desert-Curly_Palm_tree"	1
"lc_sand_desert"	"lc_sand_desert-Date_Palm_tree"	1
"lc_sand_desert"	"lc_sand_desert-Dead_Tree_1_tree"	1
"lc_sand_desert"	"lc_sand_desert-Dead_Tree_2_tree"	1
"lc_sand_desert"	"lc_sand_desert-General_Fan_Palm_tree"	1
"lc_sand_desert"	"lc_sand_desert-Low_Brush_shrub"	1
"lc_sand_desert"	"lc_sand_desert-Restharrow_shrub"	1
"lc_sand_desert"	"lc_sand_desert-Thicket_shrub"	1
"lc_steppe"	"lc_steppe-American_Boxwood_shrub"	1
"lc_steppe"	"lc_steppe-Common_Juniper_tree"	1
"lc_steppe"	"lc_steppe-Creeping_Juniper_shrub"	1
"lc_steppe"	"lc_steppe-Low_Brush_shrub"	1
"lc_steppe"	"lc_steppe-Norway_Spruce_tree"	1
"lc_steppe"	"lc_steppe-Thicket_shrub"	1
"lc_tundra"	"lc_tundra-Alaska_Cedar_tree"	1
"lc_tundra"	"lc_tundra-Austrian_pine_tree"	1
"lc_tundra"	"lc_tundra-Blue_Spruce_tree"	1
"lc_tundra"	"lc_tundra-Christmas_Scotch_Pine_tree"	1
"lc_tundra"	"lc_tundra-Creeping_Juniper_shrub"	1
"lc_tundra"	"lc_tundra-Low_Brush_shrub"	1
"lc_tundra"	"lc_tundra-Norway_Spruce_tree"	1
"lc_tundra"	"lc_tundra-Thicket_shrub"	1
