version 1, schema names_royalty_tables
Faction_IDRef(string)	Name(string)	unknown1(int)	gender(string)	unknown2(int)	unknown3(int)
"ireland"	"Donchad"	1	"m"	1	245851759
"ireland"	"Malachy"	1	"m"	1	-1439384700
"ireland"	"Rory"	1	"m"	1	1718492152
"ireland"	"Turlough"	1	"m"	1	343653017
"ita_austrian_alliance"	"Franz"	2	"m"	1	-1147086577
"ita_modena"	"Ercole"	3	"m"	1	1236115118
"ita_papal_states"	"Benedict"	1	"m"	1	311657242
"ita_papal_states"	"Clement"	1	"m"	1	764001804
"ita_papal_states"	"Innocent"	1	"m"	1	150286365
"ita_papal_states"	"Pius"	6	"m"	1	-1875417197
"ita_piedmont"	"Victor Amadeus"	3	"m"	0	-2018545815
"ita_tuscany"	"Ferdinand"	3	"m"	0	86961014
"italy_kingdom"	"Eugène"	1	"m"	1	1483937254
"mecklenburg"	"Adolf Friedrich"	1	"m"	5	-1824672846
"mecklenburg"	"Christian Ludwig"	1	"m"	1	-600587001
"mecklenburg"	"Friedrich Wilhelm"	1	"m"	1	1540428510
"mecklenburg"	"Georg"	1	"m"	1	929581360
"mecklenburg"	"Karl"	1	"m"	1	1137345099
"mecklenburg"	"Karl Leopold"	1	"m"	1	-887751311
"naples"	"Carlo"	1	"m"	3	-204540272
"naples"	"Ferdinand"	1	"m"	3	427729195
"naples"	"Ferdinando"	1	"m"	1	-1570289240
"naples"	"Filippo"	1	"m"	1	-1595492527
"naples"	"Vittorio"	1	"m"	1	-1870594242
"netherlands"	"Willem"	1	"m"	1	-835356866
"norway"	"Eirik"	1	"m"	1	-881815766
"norway"	"Frederick"	1	"m"	1	1382285258
"norway"	"Håkon"	1	"m"	1	1702793703
"norway"	"Magnus"	1	"m"	1	-988467300
"norway"	"Olav"	1	"m"	1	-2004908435
"oldenburg"	"Wilhelm"	1	"m"	1	-1778942667
"ottomans"	"Mahmud"	1	"m"	1	1822926459
"ottomans"	"Selim"	1	"m"	1	1257944738
"piedmont_savoy"	"Charles Emmanuel"	1	"m"	1	-474267838
"piedmont_savoy"	"Victor Amedeus"	1	"m"	1	-1414832667
"poland_lithuania"	"Aleksander"	1	"m"	1	566038646
"poland_lithuania"	"Anna"	1	"f"	1	-431686563
"poland_lithuania"	"Anna Zofia"	1	"f"	1	2065427034
"poland_lithuania"	"August"	1	"m"	1	-1598267839
"poland_lithuania"	"Jan"	1	"m"	1	-1179844800
"poland_lithuania"	"Konstancja"	1	"f"	1	649744983
"poland_lithuania"	"Krystyna"	1	"f"	1	1467654988
"poland_lithuania"	"Ludwika"	1	"f"	1	121569304
"poland_lithuania"	"Michał"	1	"m"	1	1228892827
"poland_lithuania"	"Stanisław"	1	"m"	1	-1995770002
"poland_lithuania"	"Zofia"	1	"f"	1	217386451
"portugal"	"Alfonso"	1	"m"	1	-1911012907
"portugal"	"Francisca"	1	"f"	1	-1205554806
"portugal"	"Francisca Josefa"	1	"f"	1	-2039140029
"portugal"	"Isabel Luísa"	1	"f"	1	63770189
"portugal"	"João"	1	"m"	5	1848153145
"portugal"	"José"	1	"m"	2	1852987663
"portugal"	"Maria"	1	"f"	1	1591550372
"portugal"	"Maria Francisca"	1	"f"	1	-1332851001
"portugal"	"Maria Isabel"	1	"f"	1	-455027728
"portugal"	"Maria Josefa"	1	"f"	1	-2047942351
"portugal"	"Maria Luísa"	1	"f"	1	-777457550
"portugal"	"Maria Sofia"	1	"f"	1	-225795332
"portugal"	"Maria Teresa"	1	"f"	1	1083153310
"portugal"	"Mariana"	1	"f"	1	87601163
"portugal"	"Pedro"	1	"m"	5	-2087894010
"portugal"	"Teodósio"	1	"m"	1	781966024
"prussia"	"Amalia"	1	"f"	1	-1898876549
"prussia"	"Augusta"	1	"f"	1	1624344375
"prussia"	"Elisabeth Charlotte"	1	"f"	1	-1048736350
"prussia"	"Elisabeth Christine"	1	"f"	1	742211617
"prussia"	"Frederika Louisa"	1	"f"	1	-241046578
"prussia"	"Friedrich"	1	"m"	3	32843049
"prussia"	"Friedrich Wilhelm"	1	"m"	3	-725983690
"prussia"	"Louise"	1	"f"	10	-1394440364
"prussia"	"Louise Henriette"	1	"f"	1	442974661
"prussia"	"Sophia Dorothea"	1	"f"	2	2122675360
"prussia"	"Wilhelm"	1	"m"	1	-723053697
"russia"	"Aleksandr"	1	"m"	1	1127263979
"russia"	"Anna"	1	"f"	1	1386121711
"russia"	"Elena"	1	"f"	1	-249136367
"russia"	"Ivan"	1	"m"	1	109771012
"russia"	"Konstantin"	1	"m"	1	-260710064
"russia"	"Maria"	1	"f"	1	630515710
"russia"	"Nikolay"	1	"m"	1	-1385856108
"russia"	"Olga"	1	"f"	1	-316998745
"russia"	"Pavel"	1	"m"	1	1281103570
"russia"	"Pyotr"	1	"m"	3	-832237031
"russia"	"Yekaterina"	1	"f"	3	-549018522
"russia"	"Yelizaveta"	1	"f"	1	791109045
"sardinia"	"Vittorio Emanuele"	1	"m"	1	-714914852
"saxony"	"Anton"	1	"m"	1	87262099
"saxony"	"Friedrich August"	1	"m"	5	-393548771
"saxony"	"Friedrich Christian"	1	"m"	3	-422736102
"saxony"	"Johann Georg"	1	"m"	1	2013541080
"scotland"	"Anne"	1	"f"	1	1224141205
"scotland"	"Charles"	1	"m"	1	1550516217
"scotland"	"James"	1	"m"	1	1107866822
"scotland"	"Mary"	1	"f"	1	1097968335
"scotland"	"William"	1	"m"	1	-1993277340
"sicily"	"Ferdinando"	1	"m"	1	-881476246
"spa_britain"	"George"	3	"m"	1	-717676471
"spa_france"	"Napoleon"	1	"m"	1	-1250240920
"spa_portugal"	"Alfonso"	1	"m"	1	149822700
"spa_portugal"	"Francisca"	1	"f"	1	517414269
"spa_portugal"	"Francisca Josefa"	1	"f"	1	1586396410
"spa_portugal"	"Isabel Luísa"	1	"f"	1	2144637939
"spa_portugal"	"João"	1	"m"	5	-217427016
"spa_portugal"	"José"	1	"m"	2	1443366745
"spa_portugal"	"Maria"	1	"f"	1	792936614
"spa_portugal"	"Maria Francisca"	1	"f"	1	644317487
"spa_portugal"	"Maria Isabel"	1	"f"	1	1593962308
"spa_portugal"	"Maria Josefa"	1	"f"	1	-313645323
"spa_portugal"	"Maria Luísa"	1	"f"	1	-1577257198
"spa_portugal"	"Maria Sofia"	1	"f"	1	-1443784149
"spa_portugal"	"Maria Teresa"	1	"f"	1	-474301552
"spa_portugal"	"Mariana"	1	"f"	1	-531212207
"spa_portugal"	"Pedro"	1	"m"	5	1103514686
"spa_portugal"	"Teodósio"	1	"m"	1	299571943
"spa_spain"	"Carlos"	5	"m"	1	986737270
"spa_spain"	"Felipe"	1	"m"	1	1707653823
"spa_spain"	"Ferdinand"	7	"m"	1	1919418211
"spa_spain"	"Fernando"	1	"m"	1	1892707732
"spa_spain"	"Isabel"	1	"f"	1	-1743373563
"spa_spain"	"Isabella"	1	"f"	1	489610722
"spa_spain"	"Luis"	1	"m"	1	-887747397
"spa_spain"	"Luisa Isabel"	1	"f"	1	1242578656
"spa_spain"	"María Antonieta"	1	"f"	1	-178762399
"spa_spain"	"María Luisa"	1	"f"	1	-1454718962
"spa_spain"	"Mariana Victoria"	1	"f"	1	674256503
"spain"	"Carlos"	1	"m"	1	1971684593
"spain"	"Felipe"	1	"m"	1	-444404430
"spain"	"Fernando"	1	"m"	1	140910256
"spain"	"Isabel"	1	"f"	1	-958621561
"spain"	"Isabella"	1	"f"	1	739118586
"spain"	"Luis"	1	"m"	1	-878797365
"spain"	"Luisa Isabel"	1	"f"	1	-460318276
"spain"	"María Antonieta"	1	"f"	1	-429259190
"spain"	"María Luisa"	1	"f"	1	-450304930
"spain"	"Mariana Victoria"	1	"f"	1	1735618061
"sweden"	"Adolf Fredrik"	1	"m"	1	-1813741834
"sweden"	"Augusta Maria"	1	"f"	1	-390507551
"sweden"	"Fredrik"	1	"m"	1	-1140915991
"sweden"	"Gustav"	1	"m"	1	-1195682497
"sweden"	"Hedvig Eleonora"	1	"f"	1	474256916
"sweden"	"Karl"	1	"m"	4	1657378563
"sweden"	"Louise Dorothea"	1	"f"	1	64043618
"sweden"	"Sophia Albertina"	1	"f"	1	-725921989
"sweden"	"Sophia Magdalena"	1	"f"	1	-1780748448
"sweden"	"Sophie Amalie"	1	"f"	1	-1209771643
"sweden"	"Ulrika Eleonora"	1	"f"	3	1826373000
"wurttemberg"	"Eberhard Ludwig"	1	"m"	1	-1507752967
"wurttemberg"	"Friedrich"	1	"m"	1	612535347
"wurttemberg"	"Friedrich Eugen"	1	"m"	1	188591509
"wurttemberg"	"Karl Alexander"	1	"m"	1	834005190
"wurttemberg"	"Karl Eugen"	1	"m"	1	-6566193
"wurttemberg"	"Ludwig Eugen"	1	"m"	1	-755936156
