version 1, schema battle_groundcover_density_maps_tables
key(string)	unknown2(string)	unknown3(string)
"lc_am_desert"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_dense_forest"
"lc_am_desert"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_desert"
"lc_am_desert"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_grassland"
"lc_am_desert"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_hills"
"lc_am_desert"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_hilly_light_forest"
"lc_am_desert"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_jungle"
"lc_am_jungle"	"hilly_light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_hilly_light_forest"
"lc_am_jungle"	"light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_light_forest"
"lc_am_jungle"	"Marsh_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_marsh"
"lc_am_jungle"	"Plains_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_plains"
"lc_am_jungle"	"Swamp_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_swamp"
"lc_am_jungle"	"Tundra_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_tundra"
"lc_am_s_arid"	"grassland_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_grassland"
"lc_am_s_arid"	"hills_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_hills"
"lc_am_s_arid"	"hilly_light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_hilly_light_forest"
"lc_am_s_arid"	"light_forest_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_light_forest"
"lc_am_s_arid"	"Marsh_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_marsh"
"lc_am_s_arid"	"Plains_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_plains"
"lc_am_s_arid"	"Swamp_cold_att"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_swamp"
"lc_am_desert"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_light_forest"
"lc_am_desert"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_marsh"
"lc_am_desert"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_plains"
"lc_am_desert"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_swamp"
"lc_am_desert"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_desert_tundra"
"lc_am_great_plains"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_dense_forest"
"lc_am_great_plains"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_desert"
"lc_am_great_plains"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_grassland"
"lc_am_great_plains"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_hills"
"lc_am_great_plains"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_hilly_light_forest"
"lc_am_great_plains"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_jungle"
"lc_am_great_plains"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_light_forest"
"lc_am_great_plains"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_marsh"
"lc_am_great_plains"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_plains"
"lc_am_great_plains"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_swamp"
"lc_am_great_plains"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_great_plains_tundra"
"lc_am_jungle"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_dense_forest"
"lc_am_jungle"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_desert"
"lc_am_jungle"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_grassland"
"lc_am_jungle"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_hills"
"lc_am_jungle"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_hilly_light_forest"
"lc_am_jungle"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_jungle"
"lc_am_jungle"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_light_forest"
"lc_am_jungle"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_marsh"
"lc_am_jungle"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_plains"
"lc_am_jungle"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_swamp"
"lc_am_jungle"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_jungle_tundra"
"lc_am_s_arid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_dense_forest"
"lc_am_s_arid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_desert"
"lc_am_s_arid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_grassland"
"lc_am_s_arid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_hills"
"lc_am_s_arid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_hilly_light_forest"
"lc_am_s_arid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_jungle"
"lc_am_s_arid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_light_forest"
"lc_am_s_arid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_marsh"
"lc_am_s_arid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_plains"
"lc_am_s_arid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_swamp"
"lc_am_s_arid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_s_arid_tundra"
"lc_am_se_usa"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_dense_forest"
"lc_am_se_usa"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_desert"
"lc_am_se_usa"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_grassland"
"lc_am_se_usa"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_hills"
"lc_am_se_usa"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_hilly_light_forest"
"lc_am_se_usa"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_jungle"
"lc_am_se_usa"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_light_forest"
"lc_am_se_usa"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_marsh"
"lc_am_se_usa"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_plains"
"lc_am_se_usa"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_swamp"
"lc_am_se_usa"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_se_usa_tundra"
"lc_am_tropical_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_dense_forest"
"lc_am_tropical_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_desert"
"lc_am_tropical_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_grassland"
"lc_am_tropical_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_hills"
"lc_am_tropical_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_hilly_light_forest"
"lc_am_tropical_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_jungle"
"lc_am_tropical_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_light_forest"
"lc_am_tropical_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_marsh"
"lc_am_tropical_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_plains"
"lc_am_tropical_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_swamp"
"lc_am_tropical_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_tropical_humid_tundra"
"lc_am_us_central"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_dense_forest"
"lc_am_us_central"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_desert"
"lc_am_us_central"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_grassland"
"lc_am_us_central"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_hills"
"lc_am_us_central"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_hilly_light_forest"
"lc_am_us_central"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_jungle"
"lc_am_us_central"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_light_forest"
"lc_am_us_central"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_marsh"
"lc_am_us_central"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_plains"
"lc_am_us_central"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_swamp"
"lc_am_us_central"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_central_tundra"
"lc_am_us_east"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_dense_forest"
"lc_am_us_east"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_desert"
"lc_am_us_east"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_grassland"
"lc_am_us_east"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_hills"
"lc_am_us_east"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_hilly_light_forest"
"lc_am_us_east"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_jungle"
"lc_am_us_east"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_light_forest"
"lc_am_us_east"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_marsh"
"lc_am_us_east"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_plains"
"lc_am_us_east"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_swamp"
"lc_am_us_east"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_am_us_east_tundra"
"lc_as_temp_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_dense_forest"
"lc_as_temp_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_desert"
"lc_as_temp_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_grassland"
"lc_as_temp_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_hills"
"lc_as_temp_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_hilly_light_forest"
"lc_as_temp_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_jungle"
"lc_as_temp_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_light_forest"
"lc_as_temp_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_marsh"
"lc_as_temp_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_plains"
"lc_as_temp_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_swamp"
"lc_as_temp_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_humid_tundra"
"lc_as_temp_s_arid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_dense_forest"
"lc_as_temp_s_arid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_desert"
"lc_as_temp_s_arid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_grassland"
"lc_as_temp_s_arid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_hills"
"lc_as_temp_s_arid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_hilly_light_forest"
"lc_as_temp_s_arid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_jungle"
"lc_as_temp_s_arid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_light_forest"
"lc_as_temp_s_arid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_marsh"
"lc_as_temp_s_arid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_plains"
"lc_as_temp_s_arid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_swamp"
"lc_as_temp_s_arid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_temp_s_arid_tundra"
"lc_as_trop_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_dense_forest"
"lc_as_trop_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_desert"
"lc_as_trop_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_grassland"
"lc_as_trop_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_hills"
"lc_as_trop_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_hilly_light_forest"
"lc_as_trop_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_jungle"
"lc_as_trop_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_light_forest"
"lc_as_trop_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_marsh"
"lc_as_trop_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_plains"
"lc_as_trop_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_swamp"
"lc_as_trop_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_humid_tundra"
"lc_as_trop_s_arid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_dense_forest"
"lc_as_trop_s_arid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_desert"
"lc_as_trop_s_arid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_grassland"
"lc_as_trop_s_arid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_hills"
"lc_as_trop_s_arid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_hilly_light_forest"
"lc_as_trop_s_arid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_jungle"
"lc_as_trop_s_arid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_light_forest"
"lc_as_trop_s_arid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_marsh"
"lc_as_trop_s_arid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_plains"
"lc_as_trop_s_arid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_swamp"
"lc_as_trop_s_arid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_as_trop_s_arid_tundra"
"lc_boreal"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_dense_forest"
"lc_boreal"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_desert"
"lc_boreal"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_grassland"
"lc_boreal"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_hills"
"lc_boreal"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_hilly_light_forest"
"lc_boreal"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_jungle"
"lc_boreal"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_light_forest"
"lc_boreal"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_marsh"
"lc_boreal"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_plains"
"lc_boreal"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_swamp"
"lc_boreal"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_boreal_tundra"
"lc_desert"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_dense_forest"
"lc_desert"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_desert"
"lc_desert"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_grassland"
"lc_desert"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_hills"
"lc_desert"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_hilly_light_forest"
"lc_desert"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_jungle"
"lc_desert"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_light_forest"
"lc_desert"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_marsh"
"lc_desert"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_plains"
"lc_desert"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_swamp"
"lc_desert"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_desert_tundra"
"lc_eu_central_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_dense_forest"
"lc_eu_central_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_desert"
"lc_eu_central_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_grassland"
"lc_eu_central_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_hills"
"lc_eu_central_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_hilly_light_forest"
"lc_eu_central_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_jungle"
"lc_eu_central_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_light_forest"
"lc_eu_central_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_marsh"
"lc_eu_central_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_plains"
"lc_eu_central_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_swamp"
"lc_eu_central_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_central_humid_tundra"
"lc_eu_north_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_dense_forest"
"lc_eu_north_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_desert"
"lc_eu_north_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_grassland"
"lc_eu_north_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_hills"
"lc_eu_north_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_hilly_light_forest"
"lc_eu_north_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_jungle"
"lc_eu_north_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_light_forest"
"lc_eu_north_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_marsh"
"lc_eu_north_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_plains"
"lc_eu_north_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_swamp"
"lc_eu_north_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_humid_tundra"
"lc_eu_north_s_arid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_dense_forest"
"lc_eu_north_s_arid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_desert"
"lc_eu_north_s_arid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_grassland"
"lc_eu_north_s_arid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_hills"
"lc_eu_north_s_arid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_hilly_light_forest"
"lc_eu_north_s_arid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_jungle"
"lc_eu_north_s_arid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_light_forest"
"lc_eu_north_s_arid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_marsh"
"lc_eu_north_s_arid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_plains"
"lc_eu_north_s_arid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_swamp"
"lc_eu_north_s_arid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_north_s_arid_tundra"
"lc_eu_south_humid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_dense_forest"
"lc_eu_south_humid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_desert"
"lc_eu_south_humid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_grassland"
"lc_eu_south_humid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_hills"
"lc_eu_south_humid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_hilly_light_forest"
"lc_eu_south_humid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_jungle"
"lc_eu_south_humid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_light_forest"
"lc_eu_south_humid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_marsh"
"lc_eu_south_humid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_plains"
"lc_eu_south_humid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_swamp"
"lc_eu_south_humid"	"tundra"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_humid_tundra"
"lc_eu_south_s_arid"	"dense_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_dense_forest"
"lc_eu_south_s_arid"	"desert"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_desert"
"lc_eu_south_s_arid"	"grassland"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_grassland"
"lc_eu_south_s_arid"	"hills"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_hills"
"lc_eu_south_s_arid"	"hilly_light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_hilly_light_forest"
"lc_eu_south_s_arid"	"jungle"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_jungle"
"lc_eu_south_s_arid"	"light_forest"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_light_forest"
"lc_eu_south_s_arid"	"marsh"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_marsh"
"lc_eu_south_s_arid"	"plains"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_plains"
"lc_eu_south_s_arid"	"swamp"	"BattleTerrain\\groundcover_denisty_maps\\lc_eu_south_s_arid_swamp"
