version 1, schema building_upgrades_junction_tables, guid 4cbdec64-e7d6-467c-9be0-18b82b6582b0
Building_IDRef(string)	Upgrade(string)
"GEM_Region_Specialty_Smithing_1_Blacksmith"	"GEM_Region_Specialty_Smithing_2_Armourer"
"GEM_Region_Specialty_Smithing_1_Blacksmith"	"GEM_Region_Specialty_Smithing_2_Weaponsmith"
"GEM_Region_Specialty_Smithing_2_Armourer"	"GEM_Region_Specialty_Smithing_3_Master_Armourer"
"GEM_Region_Specialty_Smithing_2_Weaponsmith"	"GEM_Region_Specialty_Smithing_3_Master_Weaponsmith"
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	"GEM_Region_Specialty_Timber_2_Lumberyard"
"GEM_Region_Specialty_Timber_2_Lumberyard"	"GEM_Region_Specialty_Timber_3_Sawmills"
"SHO_Archery_1_Archery_Dojo"	"SHO_Archery_2_Foot_Archery"
"SHO_Archery_2_Foot_Archery"	"SHO_Archery_3_Bow_Master_Dojo"
"SHO_Archery_3_Bow_Master_Dojo"	"SHO_Archery_4_Legendary_Dojo"
"SHO_Buddhist_1_Temple"	"SHO_Buddhist_2_Monastery"
"SHO_Buddhist_2_Monastery"	"SHO_Buddhist_3_Temple_Complex"
"SHO_Buddhist_3_Temple_Complex"	"SHO_Buddhist_4_Legendary_Temple"
"SHO_Buff_1_Encampment"	"SHO_Buff_2_Armoury"
"SHO_Buff_1_Encampment"	"SHO_Buff_2_Barracks"
"SHO_Buff_1_Encampment"	"SHO_Buff_2_Hunting_Lodge"
"SHO_Buff_1_Encampment"	"SHO_Buff_2_Jiujutsu_Dojo"
"SHO_Buff_1_Encampment"	"SHO_Buff_2_Proving_Grounds"
"SHO_Castle_1_Fort"	"SHO_Castle_2_Stronghold"
"SHO_Castle_2_Stronghold"	"SHO_Castle_3_Fortress"
"SHO_Castle_3_Fortress"	"SHO_Castle_4_Castle"
"SHO_Castle_4_Castle"	"SHO_Castle_5_Citadel"
"SHO_Cavalry_1_Stables"	"SHO_Cavalry_2_Warhorse_Stables"
"SHO_Cavalry_2_Warhorse_Stables"	"SHO_Cavalry_3_Bajutsu_Master"
"SHO_Cavalry_3_Bajutsu_Master"	"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"
"SHO_Christian_1_Chapel"	"SHO_Christian_2_Hospital"
"SHO_Christian_1_Chapel"	"SHO_Christian_2_Mission"
"SHO_Christian_2_Hospital"	"SHO_Christian_3_Jesuit_Seminar"
"SHO_Christian_2_Mission"	"SHO_Christian_3_Church"
"SHO_Christian_3_Church"	"SHO_Christian_4_Cathedral"
"SHO_Christian_3_Jesuit_Seminar"	"SHO_Christian_4_Jesuit_College"
"SHO_Crafts_1_Market"	"SHO_Crafts_2_Rice_Exchange"
"SHO_Crafts_2_Rice_Exchange"	"SHO_Crafts_3_Merchant_Guild"
"SHO_Crafts_3_Merchant_Guild"	"SHO_Crafts_4_Kanabukama"
"SHO_Farming_1_Rice_Paddies"	"SHO_Farming_2_Irrigation"
"SHO_Farming_2_Irrigation"	"SHO_Farming_3_Terraces"
"SHO_Farming_3_Terraces"	"SHO_Farming_4_Consolidation"
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"
"SHO_Infrastructure_0_Trails"	"SHO_Infrastructure_1_Roads"
"SHO_Infrastructure_1_Roads"	"SHO_Infrastructure_2_Post_Stations"
"SHO_Infrastructure_2_Post_Stations"	"SHO_Infrastructure_3_Imperial_Roads"
"SHO_Port_0_Coastal_Village"	"SHO_Port_1_Harbour"
"SHO_Port_1_Harbour"	"SHO_Port_2_Trading_Port"
"SHO_Port_2_Trading_Port"	"SHO_Port_3_Military_Port"
"SHO_Port_2_Trading_Port"	"SHO_Port_3_Nanban_Trade_Port"
"SHO_Port_3_Military_Port"	"SHO_Port_4_Drydock"
"SHO_Port_3_Nanban_Trade_Port"	"SHO_Port_4_Nanban_Quarter"
"SHO_Region_Specialty_Craftwork_1_Artisans"	"SHO_Region_Specialty_Craftwork_2_Fletchers"
"SHO_Region_Specialty_Craftwork_1_Artisans"	"SHO_Region_Specialty_Craftwork_2_Paper_Mills"
"SHO_Region_Specialty_Craftwork_2_Fletchers"	"SHO_Region_Specialty_Craftwork_3_Master_Bowmaker"
"SHO_Region_Specialty_Craftwork_2_Paper_Mills"	"SHO_Region_Specialty_Craftwork_3_Laquerware"
"SHO_Region_Specialty_Gold_Mining_1_Surface_Mining"	"SHO_Region_Specialty_Gold_Mining_2_Open_Pit"
"SHO_Region_Specialty_Gold_Mining_2_Open_Pit"	"SHO_Region_Specialty_Gold_Mining_3_Mining_Complex"
"SHO_Region_Specialty_Holy_Site_1_Holy_Site"	"SHO_Region_Specialty_Holy_Site_2_Mountain_Hermitag"
"SHO_Region_Specialty_Holy_Site_1_Holy_Site"	"SHO_Region_Specialty_Holy_Site_2_Pilgrim_Hostel"
"SHO_Region_Specialty_Holy_Site_2_Mountain_Hermitag"	"SHO_Region_Specialty_Holy_Site_3_Fortified_Monaste"
"SHO_Region_Specialty_Holy_Site_2_Pilgrim_Hostel"	"SHO_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"
"SHO_Region_Specialty_Horses_1_Pastures"	"SHO_Region_Specialty_Horses_2_Breeders"
"SHO_Region_Specialty_Horses_2_Breeders"	"SHO_Region_Specialty_Horses_3_Warhorse_Breeders"
"SHO_Region_Specialty_Intellectual_Centre_1_School"	"SHO_Region_Specialty_Intellectual_Centre_2_Library"
"SHO_Region_Specialty_Intellectual_Centre_1_School"	"SHO_Region_Specialty_Intellectual_Centre_2_Magistr"
"SHO_Region_Specialty_Intellectual_Centre_2_Library"	"SHO_Region_Specialty_Intellectual_Centre_3_Academy"
"SHO_Region_Specialty_Intellectual_Centre_2_Magistr"	"SHO_Region_Specialty_Intellectual_Centre_3_Law_Cou"
"SHO_Region_Specialty_Iron_Mining_1_Iron_Mine"	"SHO_Region_Specialty_Iron_Mining_2_Deep_Mine"
"SHO_Region_Specialty_Iron_Mining_2_Deep_Mine"	"SHO_Region_Specialty_Iron_Mining_3_Mining_Complex"
"SHO_Region_Specialty_Naval_1_Merchant_Colony"	"SHO_Region_Specialty_Naval_2_Pirate_Lair"
"SHO_Region_Specialty_Naval_1_Merchant_Colony"	"SHO_Region_Specialty_Naval_2_Warehouses"
"SHO_Region_Specialty_Naval_2_Pirate_Lair"	"SHO_Region_Specialty_Naval_3_Pirate_Fortress"
"SHO_Region_Specialty_Naval_2_Warehouses"	"SHO_Region_Specialty_Naval_3_Red_Seal_Company"
"SHO_Region_Specialty_Ninja_1_Hideout"	"SHO_Region_Specialty_Ninja_2_Burakumin"
"SHO_Region_Specialty_Ninja_1_Hideout"	"SHO_Region_Specialty_Ninja_2_Ninjutsu_School"
"SHO_Region_Specialty_Ninja_2_Burakumin"	"SHO_Region_Specialty_Ninja_3_Smuggling_Network"
"SHO_Region_Specialty_Ninja_2_Ninjutsu_School"	"SHO_Region_Specialty_Ninja_3_Clan_Fortress"
"SHO_Region_Specialty_Smithing_1_Blacksmith"	"SHO_Region_Specialty_Smithing_2_Armourer"
"SHO_Region_Specialty_Smithing_1_Blacksmith"	"SHO_Region_Specialty_Smithing_2_Weaponsmith"
"SHO_Region_Specialty_Smithing_2_Armourer"	"SHO_Region_Specialty_Smithing_3_Master_Armourer"
"SHO_Region_Specialty_Smithing_2_Weaponsmith"	"SHO_Region_Specialty_Smithing_3_Master_Weaponsmith"
"SHO_Region_Specialty_Stone_1_Stonemason"	"SHO_Region_Specialty_Stone_2_Quarry"
"SHO_Region_Specialty_Stone_2_Quarry"	"SHO_Region_Specialty_Stone_3_Stoneworls"
"SHO_Region_Specialty_Timber_1_Lumbercamp"	"SHO_Region_Specialty_Timber_2_Lumberyards"
"SHO_Region_Specialty_Timber_2_Lumberyards"	"SHO_Region_Specialty_Timber_3_Sawmills"
"SHO_Siege_1_Workshop"	"SHO_Siege_2_Powder_Maker"
"SHO_Siege_2_Powder_Maker"	"SHO_Siege_3_Gunsmith"
"SHO_Siege_3_Gunsmith"	"SHO_Siege_4_Arsenal"
"SHO_Stealth_1_Sake_Den"	"SHO_Stealth_2_Gambling_Hall"
"SHO_Stealth_2_Gambling_Hall"	"SHO_Stealth_3_Criminal_Syndicate"
"SHO_Stealth_3_Criminal_Syndicate"	"SHO_Stealth_4_Mizu_Shobai"
"SHO_Sword_1_Sword_School"	"SHO_Sword_2_Nodachi"
"SHO_Sword_2_Nodachi"	"SHO_Sword_3_Master_Dojo"
"SHO_Sword_3_Master_Dojo"	"SHO_Sword_4_Legendary_Dojo"
"SHO_Yari_1_Drill_Yard"	"SHO_Yari_2_Naginata_Dojo"
"SHO_Yari_2_Naginata_Dojo"	"SHO_Yari_3_Master_Dojo"
"SHO_Yari_3_Master_Dojo"	"SHO_Yari_4_Legendary_School"
"bos_artillery_1_artillery_range"	"bos_artillery_2_artillery_school"
"bos_artillery_2_artillery_school"	"bos_artillery_3_artillery_academy"
"bos_artillery_3_artillery_academy"	"bos_artillery_4_arsenal"
"bos_buff_1_training_camp"	"bos_buff_2_drill_school"
"bos_buff_1_training_camp"	"bos_buff_2_firing_range"
"bos_buff_1_training_camp"	"bos_buff_2_headquarters"
"bos_buff_1_training_camp"	"bos_buff_2_jujutsu_hall"
"bos_buff_1_training_camp"	"bos_buff_2_military_hospital"
"bos_castle_2_stronghold"	"bos_castle_3_fortress"
"bos_castle_3_fortress"	"bos_castle_4_castle"
"bos_castle_4_castle"	"bos_castle_5_citadel"
"bos_castle_5_citadel"	"bos_castle_6_star_fort"
"bos_criminal_1_inn"	"bos_criminal_2_gambling_den"
"bos_criminal_1_inn"	"bos_criminal_2_market"
"bos_criminal_2_gambling_den"	"bos_criminal_3_richi_mahjong_parlour"
"bos_criminal_2_market"	"bos_criminal_3_financial_district"
"bos_criminal_3_financial_district"	"bos_criminal_4_junin_ryogae"
"bos_criminal_3_richi_mahjong_parlour"	"bos_criminal_4_yakuza_hideout"
"bos_defenses_3_matchlock_towers"	"bos_defenses_4_gatling_gun_towers"
"bos_defenses_4_gatling_gun_towers"	"bos_defenses_5_wall_guns_and_gatling_gun_towers"
"bos_farming_1_outfields"	"bos_farming_2_tenant_fields"
"bos_farming_2_tenant_fields"	"bos_farming_3_private-held_fields"
"bos_farming_3_private-held_fields"	"bos_farming_4_zaibatsu_fields"
"bos_foundation_1_town"	"bos_foundation_2_large_town"
"bos_foundation_2_large_town"	"bos_foundation_3_city"
"bos_foundation_3_city"	"bos_foundation_4_municipalty"
"bos_foundation_4_municipalty"	"bos_foundation_5_prefecture"
"bos_industry_1_cottage_industry"	"bos_industry_2_cotton_mill"
"bos_industry_1_cottage_industry"	"bos_industry_2_craft_workshop"
"bos_industry_1_cottage_industry"	"bos_industry_2_silk_weavers_shop"
"bos_industry_2_cotton_mill"	"bos_industry_3_manufactory"
"bos_industry_2_craft_workshop"	"bos_industry_3_manufactory"
"bos_industry_2_silk_weavers_shop"	"bos_industry_3_manufactory"
"bos_industry_3_manufactory"	"bos_industry_4_cotton_processing_plant"
"bos_industry_3_manufactory"	"bos_industry_4_silk_manufactory"
"bos_modern_1_muster_field"	"bos_modern_2_barracks"
"bos_modern_2_barracks"	"bos_modern_3_infantry_barracks"
"bos_modern_3_infantry_barracks"	"bos_modern_4_military_academy"
"bos_port_1_harbour"	"bos_port_2_port"
"bos_port_2_port"	"bos_port_3_military_port"
"bos_port_2_port"	"bos_port_3_trading_port"
"bos_port_3_military_port"	"bos_port_4_drydock"
"bos_port_3_trading_port"	"bos_port_4_american_trading_district"
"bos_port_3_trading_port"	"bos_port_4_british_trading_district"
"bos_port_3_trading_port"	"bos_port_4_french_trading_district"
"bos_propaganda_1_constabulary"	"bos_propaganda_2_police_office"
"bos_propaganda_2_police_office"	"bos_propaganda_3_secret_society"
"bos_propaganda_2_police_office"	"bos_propaganda_3_shikoyoku_office"
"bos_propaganda_2_police_office"	"bos_propaganda_3_special_police"
"bos_propaganda_3_secret_society"	"bos_propaganda_4_military_society"
"bos_propaganda_3_shikoyoku_office"	"bos_propaganda_4_mainichi_shimbun"
"bos_propaganda_3_special_police"	"bos_propaganda_4_shinsengumi_headquarters"
"bos_region_spec_clay_1_claypits"	"bos_region_spec_clay_2_clay_kiln"
"bos_region_spec_clay_2_clay_kiln"	"bos_region_spec_clay_3_brickworks"
"bos_region_spec_clay_2_clay_kiln"	"bos_region_spec_clay_3_pottery_kiln"
"bos_region_spec_coal_mining_1_open-pit_coal_face"	"bos_region_spec_coal_mining_2_coal_preparation_pla"
"bos_region_spec_coal_mining_2_coal_preparation_pla"	"bos_region_spec_coal_mining_3_deep-seam_coal_mine"
"bos_region_spec_copper_mining_1_open-pit_copper_mi"	"bos_region_spec_copper_mining_2_smelting_mill"
"bos_region_spec_copper_mining_2_smelting_mill"	"bos_region_spec_copper_mining_3_anode_furnace"
"bos_region_spec_copper_mining_2_smelting_mill"	"bos_region_spec_copper_mining_3_copper_refinery"
"bos_region_spec_gold_mining_1_placer_deposits"	"bos_region_spec_gold_mining_2_goldfields"
"bos_region_spec_gold_mining_2_goldfields"	"bos_region_spec_gold_mining_3_coin_mint"
"bos_region_spec_gold_mining_2_goldfields"	"bos_region_spec_gold_mining_3_ore_processing_plant"
"bos_region_spec_holy_site_1_buddhist_shrine"	"bos_region_spec_holy_site_2_buddhist_temple"
"bos_region_spec_holy_site_2_buddhist_temple"	"bos_region_spec_holy_site_3_buddhist_temple_comple"
"bos_region_spec_iron_mining_1_iron_mine"	"bos_region_spec_iron_mining_2_deep_iron_mine"
"bos_region_spec_iron_mining_2_deep_iron_mine"	"bos_region_spec_iron_mining_3_iron_smelter"
"bos_region_spec_iron_mining_2_deep_iron_mine"	"bos_region_spec_iron_mining_3_steel_mill"
"bos_region_spec_railroad_1_telegraph_office"	"bos_region_spec_railroad_2_train_station"
"bos_region_spec_railroad_2_train_station"	"bos_region_spec_railroad_3_nippon_railway_company"
"bos_region_spec_silk_1_silk_farm"	"bos_region_spec_silk_2_raw_silk_threadmaker"
"bos_region_spec_silk_2_raw_silk_threadmaker"	"bos_region_spec_silk_3_sericultist"
"bos_region_spec_silver_mining_1_lead_ore_mine"	"bos_region_spec_silver_mining_2_silver_smelters"
"bos_region_spec_silver_mining_2_silver_smelters"	"bos_region_spec_silver_mining_3_silver_smelting_pl"
"bos_region_spec_silver_mining_2_silver_smelters"	"bos_region_spec_silver_mining_3_silver_vault"
"bos_region_spec_smithing_1_blacksmith"	"bos_region_spec_smithing_2_ironsmith"
"bos_region_spec_smithing_2_ironsmith"	"bos_region_spec_smithing_3_armour_makers"
"bos_region_spec_smithing_2_ironsmith"	"bos_region_spec_smithing_3_riflemakers"
"bos_region_spec_smugglers_1_smugglers_cove"	"bos_region_spec_smugglers_2_criminal_den"
"bos_region_spec_smugglers_2_criminal_den"	"bos_region_spec_smugglers_3_yakuza_headquarters"
"bos_region_specialtea_1_tea_plantation"	"bos_region_specialtea_2_tea_baler_facility"
"bos_region_specialtea_2_tea_baler_facility"	"bos_region_specialtea_3_sayama_corporation_depot"
"bos_traditional_1_traditional_dojo"	"bos_traditional_2_samurai_dojo"
"bos_traditional_2_samurai_dojo"	"bos_traditional_3_samurai_master_dojo"
"bos_traditional_3_samurai_master_dojo"	"bos_traditional_4_legendary_samurai_master_dojo"
