version 2, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)
"1st_rate_russian"	10	20	220	"1st_rate_admiral_russian"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	270	0.7	3	420	0.7	5	595	0.95	3	420	0.7	5	595	0.95	1	30	0.1	5	595	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	70	0.95	false	false	false	"Low"	8368
"1st_rate_spanish"	10	20	220	"1st_rate_admiral_spanish"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	270	0.7	3	420	0.7	5	595	0.95	3	420	0.7	5	595	0.95	1	30	0.1	5	595	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	70	0.95	false	false	false	"Low"	8368
"2nd_rate"	10	17	190	"1st_rate_admiral"	"naval_6_pounder"	nil	nil	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	28	28	168	30	10	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	8	12	0.8	22	0.7	135	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.8	4	4.5	5	4.5	4	2.9	1.2	true	3	235	0.7	3	370	0.7	5	520	0.95	3	370	0.7	5	520	0.95	1	28	0.1	5	520	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	70	0.95	false	false	false	"Low"	6486
"2nd_rate_american"	11	17	190	"1st_rate_admiral_american"	"naval_6_pounder"	nil	nil	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	28	28	168	30	20	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	8	12	0.8	22	0.7	135	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.8	4	4.5	5	4.5	4	2.9	1.2	true	3	246	0.7	3	388	0.7	5	546	0.95	3	388	0.7	5	546	0.95	1	29	0.1	5	546	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	73	0.95	false	false	false	"Low"	6796
"2nd_rate_british"	11	17	190	"1st_rate_admiral_british"	"naval_6_pounder"	nil	nil	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	28	28	168	30	25	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	10	12	0.8	22	0.7	137	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.8	4	4.5	5	4.5	4	2.9	1.2	true	3	246	0.7	3	388	0.7	5	546	0.95	3	388	0.7	5	546	0.95	1	29	0.1	5	546	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	73	0.95	false	false	false	"Low"	6796
"2nd_rate_french"	10	17	190	"1st_rate_admiral_french"	"naval_6_pounder"	nil	nil	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	28	28	168	40	10	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	8	13	1	22	0.7	135	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	1.89	4.2	4.725	5.25	4.725	4.2	3.045	1.26	true	3	235	0.7	3	370	0.7	5	520	0.95	3	370	0.7	5	520	0.95	1	28	0.1	5	520	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	70	0.95	false	false	false	"Low"	6620
"2nd_rate_spanish"	10	17	190	"1st_rate_admiral_spanish"	"naval_6_pounder"	nil	nil	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	28	28	168	30	10	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	8	12	0.8	22	0.7	135	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.8	4	4.5	5	4.5	4	2.9	1.2	true	3	235	0.7	3	370	0.7	5	520	0.95	3	370	0.7	5	520	0.95	1	28	0.1	5	520	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	70	0.95	false	false	false	"Low"	6486
"3rd_rate"	10	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	160	0.7	3	230	0.7	4	318	0.95	3	230	0.7	4	318	0.95	1	20	0.1	4	318	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	70	0.95	false	false	false	"Low"	4582
"3rd_rate_admiral"	9	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	true	false	"Low"	5280
"3rd_rate_admiral_american"	11	14	160	"3rd_rate_admiral_american"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	25	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	176	0.7	3	253	0.7	4	349	0.95	3	253	0.7	4	349	0.95	1	22	0.1	4	349	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	77	0.95	false	true	false	"Low"	5544
"3rd_rate_admiral_british"	12	14	160	"3rd_rate_admiral_british"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	30	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	176	0.7	3	253	0.7	4	349	0.95	3	253	0.7	4	349	0.95	1	22	0.1	4	349	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	77	0.95	false	true	false	"Low"	5544
"3rd_rate_admiral_french"	11	14	160	"3rd_rate_admiral_french"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	50	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	15	1.1	21	0.8	138	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	2.1525	4.4625	4.9875	5.5125	4.9875	4.4625	3.3075	1.365	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	true	false	"Low"	5422
"3rd_rate_admiral_russian"	11	14	160	"3rd_rate_admiral_russian"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	true	false	"Low"	5280
"3rd_rate_admiral_spanish"	11	14	160	"3rd_rate_admiral_spanish"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	true	false	"Low"	5280
