version 1, schema campaign_ai_technology_manager_path_junctions_tables, guid 3d5c2884-ba14-4660-b642-8fd41322c26e
unknown1(string)	unknown2(string)	unknown3(int)
"bos_aizu"	"bos_military_level_1"	25
"bos_aizu"	"bos_military_naval_hull"	15
"bos_aizu"	"bos_military_naval_other"	5
"bos_aizu"	"bos_military_naval_shell "	15
"bos_choshu"	"bos_civil_conversion"	25
"bos_choshu"	"bos_civil_foreign_veteran"	35
"bos_choshu"	"bos_civil_new_core"	80
"bos_choshu"	"bos_civil_new_money"	50
"bos_choshu"	"bos_level_1"	5
"bos_choshu"	"bos_military_defences"	15
"bos_choshu"	"bos_military_modern_army"	150
"bos_choshu"	"bos_military_naval_hull"	10
"bos_choshu"	"bos_military_naval_other"	10
"bos_choshu"	"bos_military_naval_shell "	10
"bos_jozai"	"bos_civil_foreign_veteran"	200
"bos_jozai"	"bos_civil_geisha"	5
"bos_jozai"	"bos_civil_level_1"	10
"bos_jozai"	"bos_civil_old_income"	25
"bos_jozai"	"bos_level_2"	50
"bos_jozai"	"bos_military_abilities"	15
"bos_jozai"	"bos_military_level_1"	50
"bos_jozai"	"bos_military_shinobi"	15
"bos_minor_civil"	"bos_civil_charter_oath"	50
"bos_minor_civil"	"bos_civil_conversion"	50
"bos_minor_civil"	"bos_civil_foreign_veteran"	50
"bos_minor_civil"	"bos_civil_geisha"	50
"bos_minor_civil"	"bos_civil_happiness"	50
"bos_minor_civil"	"bos_civil_level_1"	50
"bos_minor_civil"	"bos_civil_new_money"	50
"bos_minor_civil"	"bos_civil_old_income"	50
"bos_minor_civil"	"bos_civil_production"	50
"bos_minor_civil"	"bos_civil_sakoku"	50
"bos_minor_military"	"bos_civil_foreign_veteran"	200
"bos_minor_military"	"bos_military_abilities"	50
"bos_minor_military"	"bos_military_artillery"	50
"bos_minor_military"	"bos_military_cavalry"	50
"bos_minor_military"	"bos_military_defences"	50
"bos_minor_military"	"bos_military_level_1"	50
"bos_minor_military"	"bos_military_modern_army"	50
"bos_minor_military"	"bos_military_naval_hull"	50
"bos_minor_military"	"bos_military_naval_other"	50
"bos_minor_military"	"bos_military_naval_shell "	50
"bos_minor_military"	"bos_military_rifles"	50
"bos_minor_military"	"bos_military_shinobi"	50
"bos_minor"	"bos_civil_foreign_veteran"	200
"bos_minor"	"bos_civil_level_1"	50
"bos_minor"	"bos_level_1"	50
"bos_minor"	"bos_level_2"	50
"bos_minor"	"bos_military_level_1"	50
"bos_nagaoka"	"bos_civil_foreign_veteran"	200
"bos_nagaoka"	"bos_civil_level_1"	100
"bos_nagaoka"	"bos_level_1"	10
"bos_nagaoka"	"bos_level_2"	5
"bos_nagaoka"	"bos_military_level_1"	20
"bos_obama"	"bos_civil_charter_oath"	25
"bos_obama"	"bos_civil_conversion"	100
"bos_obama"	"bos_civil_foreign_veteran"	200
"bos_obama"	"bos_civil_happiness"	100
"bos_obama"	"bos_civil_high_level_income"	10
"bos_obama"	"bos_civil_inspector"	100
"bos_obama"	"bos_military_defences"	25
"bos_obama"	"bos_military_naval_hull"	5
"bos_saga"	"bos_civil_conversion"	10
"bos_saga"	"bos_civil_foreign_veteran"	15
"bos_saga"	"bos_civil_high_level_income"	20
"bos_saga"	"bos_civil_level_1"	25
"bos_saga"	"bos_civil_new_money"	35
"bos_saga"	"bos_level_2"	5
"bos_saga"	"bos_military_abilities"	20
"bos_saga"	"bos_military_defences"	15
"bos_saga"	"bos_military_modern_army"	70
"bos_saga"	"bos_military_naval_hull"	50
"bos_saga"	"bos_military_naval_other"	50
"bos_saga"	"bos_military_naval_shell "	50
"bos_satsuma"	"bos_civil_charter_oath"	10
"bos_satsuma"	"bos_civil_conversion"	5
"bos_satsuma"	"bos_civil_foreign_veteran"	200
"bos_satsuma"	"bos_civil_inspector"	25
"bos_satsuma"	"bos_civil_level_1"	25
"bos_satsuma"	"bos_civil_new_core"	60
"bos_satsuma"	"bos_military_cavalry"	5
"bos_satsuma"	"bos_military_defences"	15
"bos_satsuma"	"bos_military_level_1"	5
"bos_satsuma"	"bos_military_modern_army"	25
"bos_satsuma"	"bos_military_naval_hull"	10
"bos_satsuma"	"bos_military_naval_shell "	10
"bos_sendai"	"bos_civil_conversion"	15
"bos_sendai"	"bos_civil_foreign_veteran"	200
"bos_sendai"	"bos_civil_geisha"	20
"bos_sendai"	"bos_civil_happiness"	35
"bos_sendai"	"bos_civil_new_money"	15
"bos_sendai"	"bos_military_cavalry"	10
"bos_sendai"	"bos_military_modern_army"	25
"bos_sendai"	"bos_military_naval_hull"	50
"bos_sendai"	"bos_military_naval_other"	50
"bos_sendai"	"bos_military_naval_shell "	50
"bos_tosa"	"bos_civil_charter_oath"	10
"bos_tosa"	"bos_civil_foreign_veteran"	200
"bos_tosa"	"bos_civil_new_core"	50
"bos_tosa"	"bos_level_1"	5
"bos_tosa"	"bos_level_2"	5
"bos_tosa"	"bos_military_modern_army"	50
"bos_tosa"	"bos_military_naval_hull"	500
"bos_tosa"	"bos_military_naval_other"	500
"bos_tosa"	"bos_military_naval_shell "	500
"bos_tsu"	"bos_civil_foreign_veteran"	200
"bos_tsu"	"bos_civil_happiness"	20
"bos_tsu"	"bos_civil_high_level_income"	15
"bos_tsu"	"bos_civil_inspector"	75
"bos_tsu"	"bos_civil_level_1"	20
"bos_tsu"	"bos_military_level_1"	20
"bos_tsu"	"bos_military_modern_army"	5
"bos_tsu"	"bos_military_shinobi"	100
"default"	"base"	100
"gem_fujiwara_hiraizumi"	"gem_money"	50
"gem_fujiwara_hiraizumi"	"gem_old_way"	20
"gem_fujiwara_hiraizumi"	"gem_tier_1_civil"	50
"gem_fujiwara_hiraizumi"	"gem_tier_1_military"	20
"gem_fujiwara_kubota"	"gem_base"	100
"gem_fujiwara_kubota"	"gem_core_civil"	10
"gem_fujiwara_kubota"	"gem_core_old"	15
"gem_fujiwara_kubota"	"gem_core_tax"	50
"gem_minamoto_kamakura"	"gem_archery"	80
"gem_minamoto_kamakura"	"gem_base"	100
"gem_minamoto_kamakura"	"gem_civil_first_3"	10
"gem_minamoto_kamakura"	"gem_horse"	80
"gem_minamoto_kamakura"	"gem_military_first_3"	100
"gem_minamoto_kamakura"	"gem_tier_1_civil"	5
"gem_minamoto_kamakura"	"gem_tier_1_military"	20
"gem_minamoto_kiso"	"gem_archery"	100
"gem_minamoto_kiso"	"gem_civil_first_3"	10
"gem_minamoto_kiso"	"gem_core_tax"	25
"gem_minamoto_kiso"	"gem_military_first_3"	50
"gem_minor_civil"	"gem_tier_1_civil"	80
"gem_minor_civil"	"gem_tier_1_military"	30
"gem_minor_civil"	"gem_tier_2_civil"	50
"gem_minor_civil"	"gem_tier_2_military"	20
"gem_minor_civil"	"gem_tier_3_civil"	30
"gem_minor_civil"	"gem_tier_3_military"	10
"gem_minor_military"	"gem_tier_1_civil"	30
"gem_minor_military"	"gem_tier_1_military"	80
"gem_minor_military"	"gem_tier_2_civil"	20
"gem_minor_military"	"gem_tier_2_military"	50
"gem_minor_military"	"gem_tier_3_civil"	10
"gem_minor_military"	"gem_tier_3_military"	30
"gem_minor_school"	"gem_civil_first_3"	50
"gem_minor_school"	"gem_core_chinese"	40
"gem_minor_school"	"gem_military_first_3"	10
"gem_minor"	"gem_civil_first_3"	100
"gem_minor"	"gem_military_first_3"	100
"gem_taira_fukuhara"	"gem_base"	100
"gem_taira_fukuhara"	"gem_core_chinese"	10
"gem_taira_fukuhara"	"gem_core_old"	10
"gem_taira_fukuhara"	"gem_core_samurai"	50
"gem_taira_fukuhara"	"gem_core_tax"	30
"gem_taira_fukuhara"	"gem_farm"	20
"gem_taira_yashima"	"gem_base"	100
"gem_taira_yashima"	"gem_core_chinese"	10
"gem_taira_yashima"	"gem_core_old"	10
"gem_taira_yashima"	"gem_core_samurai"	50
"gem_taira_yashima"	"gem_core_tax"	50
"generic_balanced"	"alltech_balanced"	1
"generic_balanced"	"base"	100
"generic_highest"	"alltech_highest"	1
"generic_highest"	"base"	100
"generic_lowest"	"alltech_lowest"	1
"generic_lowest"	"base"	100
