version 2, schema character_skill_node_links_tables, guid dbe4c12c-61d9-4be4-b5e8-e9690ed8b671
unknown1(string)	unknown2(int)	unknown3(string)	unknown4(int)	unknown5(int)
"bos_shinobi_node_3_assassin"	1	"bos_shinobi_node_1_criminal_agent"	-1	0
"bos_shinobi_node_3_thief"	1	"bos_shinobi_node_1_criminal_agent"	0	0
"bos_shinobi_node_2_finesse"	1	"bos_shinobi_node_1_military_spy"	-1	0
"bos_shinobi_node_3_covert_agent"	1	"bos_shinobi_node_1_military_spy"	0	0
"bos_shinobi_node_3_saboteur"	1	"bos_shinobi_node_1_military_spy"	1	0
"bos_shinobi_node_4_poison_making"	1	"bos_shinobi_node_3_assassin"	1	0
"bos_shinobi_node_5_master_ninpo"	1	"bos_shinobi_node_3_assassin"	-1	1
"bos_shinobi_node_5_notorious_outlaw"	1	"bos_shinobi_node_3_assassin"	0	-1
"bos_shinobi_node_4_evasion"	1	"bos_shinobi_node_3_covert_agent"	-1	0
"bos_shinobi_node_5_infiltrator"	1	"bos_shinobi_node_3_covert_agent"	0	-1
"bos_shinobi_node_4_powder_making"	1	"bos_shinobi_node_3_saboteur"	-1	0
"bos_shinobi_node_5_infiltrator"	1	"bos_shinobi_node_3_saboteur"	0	1
"bos_shinobi_node_5_master_ninpo"	1	"bos_shinobi_node_3_saboteur"	1	-1
"bos_shinobi_node_4_altruism"	1	"bos_shinobi_node_3_thief"	1	0
"bos_shinobi_node_5_notorious_outlaw"	1	"bos_shinobi_node_3_thief"	0	1
"bos_shinsengumi_node_2_professionalism"	1	"bos_shinsengumi_node_1_enforcer"	-1	0
"bos_shinsengumi_node_3_intimidator"	1	"bos_shinsengumi_node_1_enforcer"	0	0
"bos_shinsengumi_node_3_taskmaster"	1	"bos_shinsengumi_node_1_enforcer"	1	0
"bos_shinsengumi_node_2_counter_espionage"	1	"bos_shinsengumi_node_1_investigator"	1	0
"bos_shinsengumi_node_3_provocateur"	1	"bos_shinsengumi_node_1_investigator"	0	0
"bos_shinsengumi_node_3_vindicator"	1	"bos_shinsengumi_node_1_investigator"	-1	0
"bos_shinsengumi_node_4_extortion"	1	"bos_shinsengumi_node_3_intimidator"	-1	0
"bos_shinsengumi_node_5_oppressor"	1	"bos_shinsengumi_node_3_intimidator"	0	-1
"bos_shinsengumi_node_4_antagonism"	1	"bos_shinsengumi_node_3_provocateur"	1	0
"bos_shinsengumi_node_5_secret_agent"	1	"bos_shinsengumi_node_3_provocateur"	0	1
"bos_shinsengumi_node_4_discipline"	1	"bos_shinsengumi_node_3_taskmaster"	-1	0
"bos_shinsengumi_node_5_oppressor"	1	"bos_shinsengumi_node_3_taskmaster"	0	1
"bos_shinsengumi_node_5_shoguns_hand"	1	"bos_shinsengumi_node_3_taskmaster"	1	-1
"bos_shinsengumi_node_4_ardour"	1	"bos_shinsengumi_node_3_vindicator"	1	0
"bos_shinsengumi_node_5_secret_agent"	1	"bos_shinsengumi_node_3_vindicator"	0	-1
"bos_shinsengumi_node_5_shoguns_hand"	1	"bos_shinsengumi_node_3_vindicator"	-1	1
"bos_veteran_node_2_intelligence"	1	"bos_veteran_node_1_officer"	1	0
"bos_veteran_node_3_drillmaster"	1	"bos_veteran_node_1_officer"	0	0
"bos_veteran_node_3_duelist"	1	"bos_veteran_node_1_officer"	-1	0
"bos_veteran_node_2_training"	1	"bos_veteran_node_1_soldier"	-1	0
"bos_veteran_node_3_ordnance_expert"	1	"bos_veteran_node_1_soldier"	0	0
"bos_veteran_node_3_sharpshooter"	1	"bos_veteran_node_1_soldier"	1	0
"bos_veteran_node_4_relentlessness"	1	"bos_veteran_node_3_drillmaster"	1	0
"bos_veteran_node_5_military_advisor"	1	"bos_veteran_node_3_drillmaster"	0	1
"bos_veteran_node_4_bravado"	1	"bos_veteran_node_3_duelist"	1	0
"bos_veteran_node_5_military_advisor"	1	"bos_veteran_node_3_duelist"	0	-1
"bos_veteran_node_5_seasoned_fighter"	1	"bos_veteran_node_3_duelist"	-1	1
"bos_veteran_node_4_gunnery"	1	"bos_veteran_node_3_ordnance_expert"	-1	0
"bos_veteran_node_5_guerrilla"	1	"bos_veteran_node_3_ordnance_expert"	0	-1
"bos_veteran_node_4_marksmanship"	1	"bos_veteran_node_3_sharpshooter"	-1	0
"bos_veteran_node_5_guerrilla"	1	"bos_veteran_node_3_sharpshooter"	0	1
"bos_veteran_node_5_seasoned_fighter"	1	"bos_veteran_node_3_sharpshooter"	1	-1
"geisha_node_fox_lady"	0	"geisha_node_courtesan"	0	0
"geisha_node_seduction"	0	"geisha_node_courtesan"	1	-1
"geisha_node_politics"	0	"geisha_node_entertainer"	1	-1
"geisha_node_seduction"	0	"geisha_node_entertainer"	0	0
"geisha_node_politics"	0	"geisha_node_flattery"	0	0
"geisha_node_culted_lady"	0	"geisha_node_fox_lady"	0	0
"geisha_node_agent"	0	"geisha_node_politics"	0	0
"geisha_node_agent"	0	"geisha_node_seduction"	1	-1
"geisha_node_culted_lady"	0	"geisha_node_seduction"	-1	1
"geisha_node_poisoner"	0	"geisha_node_seduction"	0	0
"gem_dancer_node_fox"	0	"gem_dancer_node_charmer"	-1	0
"gem_dancer_node_seduction"	0	"gem_dancer_node_charmer"	1	-1
"gem_dancer_node_agent"	1	"gem_dancer_node_connected"	0	1
"gem_dancer_node_connected"	0	"gem_dancer_node_courtier"	1	0
"gem_dancer_node_cultured"	0	"gem_dancer_node_courtier"	-1	0
"gem_dancer_node_agent"	1	"gem_dancer_node_cultured"	0	-1
"gem_dancer_node_courtier"	0	"gem_dancer_node_entertainer"	1	0
"gem_dancer_node_seduction"	0	"gem_dancer_node_entertainer"	-1	1
"gem_dancer_node_temptress"	2	"gem_dancer_node_fox"	0	-1
"gem_dancer_node_golddigger"	1	"gem_dancer_node_seduction"	1	0
"gem_dancer_node_temptress"	1	"gem_dancer_node_seduction"	-1	1
"gem_general_node_pirate"	0	"gem_general_node_deceiver"	0	-1
"gem_general_node_master_bowman"	1	"gem_general_node_diehard_fighter"	0	0
"gem_general_node_master_horseman"	0	"gem_general_node_diehard_fighter"	1	0
"gem_general_node_master_swordsman"	0	"gem_general_node_diehard_fighter"	-1	0
"gem_general_node_glorious_strategist"	0	"gem_general_node_guardian"	0	0
"gem_general_node_inspiring_leader"	1	"gem_general_node_guardian"	-1	1
"gem_general_node_partisan"	0	"gem_general_node_leader"	-1	0
"gem_general_node_strategist"	0	"gem_general_node_leader"	1	-1
"gem_general_node_legendary_warrior"	0	"gem_general_node_master_bowman"	0	0
"gem_general_node_legendary_warrior"	1	"gem_general_node_master_horseman"	0	1
"gem_general_node_legendary_warrior"	1	"gem_general_node_master_swordsman"	1	-1
"gem_general_node_pirate"	0	"gem_general_node_master_swordsman"	-1	1
"gem_general_node_inspiring_leader"	0	"gem_general_node_paragon"	0	0
"gem_general_node_paragon"	0	"gem_general_node_partisan"	1	0
"gem_general_node_poet"	0	"gem_general_node_partisan"	-1	0
"gem_general_node_dreaded"	1	"gem_general_node_pirate"	0	1
"gem_general_node_inspiring_leader"	1	"gem_general_node_poet"	0	-1
"gem_general_node_deceiver"	0	"gem_general_node_strategist"	1	0
"gem_general_node_guardian"	0	"gem_general_node_strategist"	-1	0
"gem_general_node_vanguard"	0	"gem_general_node_strategist"	0	0
"gem_general_node_dreaded"	1	"gem_general_node_vanguard"	1	-1
"gem_general_node_glorious_strategist"	1	"gem_general_node_vanguard"	-1	1
"gem_general_node_diehard_fighter"	0	"gem_general_node_warrior"	1	0
"gem_general_node_strategist"	0	"gem_general_node_warrior"	-1	1
"gem_inspector_node_diplomat"	1	"gem_inspector_node_bribery"	0	1
"gem_inspector_node_eyes_ears"	1	"gem_inspector_node_counterspy"	1	-1
"gem_inspector_node_strength_of_will"	1	"gem_inspector_node_counterspy"	-1	1
"gem_inspector_node_strength_of_will"	1	"gem_inspector_node_iajutsu"	0	-1
"gem_inspector_node_diplomat"	1	"gem_inspector_node_magistrate"	1	-1
"gem_inspector_node_mercantile_contacts"	1	"gem_inspector_node_magistrate"	-1	0
"gem_inspector_node_eyes_ears"	1	"gem_inspector_node_mercantile_contacts"	0	1
"gem_inspector_node_bribery"	0	"gem_inspector_node_propagandist"	0	0
"gem_inspector_node_counterspy"	0	"gem_inspector_node_secret_police"	0	0
"gem_inspector_node_iajutsu"	0	"gem_inspector_node_thieftaker"	0	0
"gem_monk_node_pacifist"	0	"gem_monk_node_inspiring"	-1	0
"gem_monk_node_persuader"	0	"gem_monk_node_inspiring"	1	-1
"gem_monk_node_enlightened"	0	"gem_monk_node_meditation"	1	0
"gem_monk_node_scripture"	0	"gem_monk_node_meditation"	-1	0
"gem_monk_node_persuader"	0	"gem_monk_node_militant"	0	1
"gem_monk_node_agitator"	0	"gem_monk_node_persuader"	0	0
"gem_monk_node_meditation"	0	"gem_monk_node_pilgrim"	-1	0
"gem_monk_node_worldly"	0	"gem_monk_node_pilgrim"	1	0
"gem_spy_node_exotic_weapons"	0	"gem_spy_node_assassin"	0	0
"gem_spy_node_assassin"	0	"gem_spy_node_criminal_contacts"	-1	0
"gem_spy_node_noble_bandit"	0	"gem_spy_node_criminal_contacts"	1	0
"gem_spy_node_invisible"	1	"gem_spy_node_escape_artist"	-1	1
"gem_spy_node_ninjutsu_master"	1	"gem_spy_node_escape_artist"	1	-1
"gem_spy_node_poisoner"	0	"gem_spy_node_exotic_weapons"	0	0
"gem_spy_node_escape_artist"	0	"gem_spy_node_infiltrator"	1	0
"gem_spy_node_master_disguise"	0	"gem_spy_node_infiltrator"	-1	0
"gem_spy_node_invisible"	1	"gem_spy_node_master_disguise"	0	-1
"gem_spy_node_infiltrator"	0	"gem_spy_node_military_spy"	-1	0
"gem_spy_node_saboteur"	0	"gem_spy_node_military_spy"	1	0
"gem_spy_node_ninjutsu_master"	1	"gem_spy_node_poisoner"	-1	1
"gem_spy_node_notorious_killer"	1	"gem_spy_node_poisoner"	1	0
"gem_spy_node_explosives"	0	"gem_spy_node_saboteur"	-1	0
"gem_spy_node_ninjutsu_master"	0	"gem_spy_node_saboteur"	0	0
"general_node_pirate_ikko"	1	"general_node_admiral_ikko"	0	-1
"general_node_pirate"	1	"general_node_admiral"	0	-1
"general_node_pirate_ikko"	0	"general_node_ambush_ikko"	0	0
"general_node_pirate"	0	"general_node_ambush"	0	0
"general_node_siege_attacker_ikko"	0	"general_node_ashigaru_general_ikko"	0	0
"general_node_siege_attacker"	0	"general_node_ashigaru_general"	0	0
"general_node_field_attacker_ikko"	0	"general_node_cavalry_commander_ikko"	-1	0
"general_node_field_defender_ikko"	0	"general_node_cavalry_commander_ikko"	1	0
"general_node_field_attacker"	0	"general_node_cavalry_commander"	-1	0
"general_node_field_defender"	0	"general_node_cavalry_commander"	1	0
"general_node_master_bowman_ikko"	0	"general_node_diehard_fighter_ikko"	1	0
"general_node_master_swordsman_ikko"	0	"general_node_diehard_fighter_ikko"	-1	0
"general_node_master_bowman"	0	"general_node_diehard_fighter"	1	0
"general_node_master_swordsman"	0	"general_node_diehard_fighter"	-1	0
"general_node_intimidating_ikko"	1	"general_node_field_attacker_ikko"	0	1
"general_node_intimidating"	1	"general_node_field_attacker"	0	1
"general_node_siege_defender_ikko"	1	"general_node_field_defender_ikko"	0	-1
"general_node_siege_defender"	1	"general_node_field_defender"	0	-1
"general_node_living_treasure_ikko"	0	"general_node_honourable_ikko"	0	0
"general_node_inspirational"	1	"general_node_honourable"	-1	1
"general_node_intimidating"	1	"general_node_honourable"	0	-1
"general_node_ashigaru_general_ikko"	1	"general_node_infantry_leader_ikko"	1	0
"general_node_siege_defender_ikko"	1	"general_node_infantry_leader_ikko"	0	0
"general_node_ashigaru_general"	1	"general_node_infantry_leader"	1	0
"general_node_siege_defender"	1	"general_node_infantry_leader"	0	0
"general_node_intimidating_ikko"	1	"general_node_inspirational_ikko"	1	-1
"general_node_poet_ikko"	1	"general_node_inspirational_ikko"	-1	0
"general_node_living_treasure"	0	"general_node_inspirational"	0	0
"general_node_legendary_warrior_ikko"	1	"general_node_master_bowman_ikko"	0	1
"general_node_legendary_warrior"	1	"general_node_master_bowman"	0	1
"general_node_legendary_warrior_ikko"	1	"general_node_master_swordsman_ikko"	1	-1
"general_node_pirate_ikko"	1	"general_node_master_swordsman_ikko"	-1	1
"general_node_legendary_warrior"	1	"general_node_master_swordsman"	1	-1
"general_node_pirate"	1	"general_node_master_swordsman"	-1	1
"general_node_honourable_ikko"	0	"general_node_poet_ikko"	0	0
"general_node_honourable"	0	"general_node_poet"	1	0
"general_node_religious"	0	"general_node_poet"	-1	0
"general_node_inspirational_ikko"	0	"general_node_religious_ikko"	0	0
"general_node_inspirational"	0	"general_node_religious"	0	0
"general_node_admiral_ikko"	0	"general_node_strategist_ikko"	1	0
"general_node_cavalry_commander_ikko"	0	"general_node_strategist_ikko"	-1	0
"general_node_infantry_leader_ikko"	0	"general_node_strategist_ikko"	0	0
"general_node_admiral"	0	"general_node_strategist"	1	0
"general_node_cavalry_commander"	0	"general_node_strategist"	-1	0
"general_node_infantry_leader"	0	"general_node_strategist"	0	0
"general_node_diehard_fighter_ikko"	0	"general_node_warrior_ikko"	0	0
"general_node_diehard_fighter"	0	"general_node_warrior"	0	0
"ikko_monk_node_persuader"	0	"ikko_monk_node_agitator"	0	-1
"ikko_monk_node_agitator"	0	"ikko_monk_node_inspiring"	1	-1
"ikko_monk_node_religious_advisor"	0	"ikko_monk_node_inspiring"	-1	0
"ikko_monk_node_enlightened"	0	"ikko_monk_node_meditation"	0	0
"ikko_monk_node_scripture"	0	"ikko_monk_node_meditation"	1	0
"ikko_monk_node_agitator"	0	"ikko_monk_node_militant"	-1	1
"ikko_monk_node_worldly"	0	"ikko_monk_node_militant"	1	0
"ikko_monk_node_pacifist"	0	"ikko_monk_node_pilgrim"	1	-1
"ikko_monk_node_spiritual"	0	"ikko_monk_node_pilgrim"	0	0
"ikko_monk_node_pacifist"	0	"ikko_monk_node_religious_advisor"	0	0
"ikko_monk_node_meditation"	0	"ikko_monk_node_spiritual"	0	0
"ikko_monk_node_persuader"	0	"ikko_monk_node_worldly"	0	1
"metsuke_node_mercantile_contacts"	0	"metsuke_node_bribery"	0	0
"metsuke_node_strength_of_will"	0	"metsuke_node_censor"	0	0
"metsuke_node_investigator"	0	"metsuke_node_counter-espionage"	0	0
"metsuke_node_yakuza_contacts"	0	"metsuke_node_investigator"	0	0
"metsuke_node_secret_policeman"	0	"metsuke_node_magistrate"	0	0
"metsuke_node_censor"	0	"metsuke_node_secret_policeman"	0	0
"metsuke_node_eyes_and_ears"	0	"metsuke_node_yakuza_contacts"	1	0
"metsuke_node_legendary_thieftaker"	0	"metsuke_node_yakuza_contacts"	-1	0
"missionary_node_hellfire_and_brimstone"	0	"missionary_node_agitator"	0	0
"missionary_node_doctor_of_the_church"	1	"missionary_node_confessor"	0	-1
"missionary_node_doctor_of_the_church"	2	"missionary_node_heterodoxy"	0	1
"missionary_node_heterodoxy"	0	"missionary_node_inspiring"	-1	0
"missionary_node_purist"	0	"missionary_node_inspiring"	1	-1
"missionary_node_agitator"	0	"missionary_node_preacher"	1	-1
"missionary_node_inspiring"	0	"missionary_node_preacher"	-1	1
"missionary_node_proselytizer"	0	"missionary_node_preacher"	0	0
"missionary_node_hellfire_and_brimstone"	0	"missionary_node_proselytizer"	1	-1
"missionary_node_purist"	0	"missionary_node_proselytizer"	0	0
"missionary_node_father_of_the_church"	0	"missionary_node_purist"	0	0
"missionary_node_confessor"	0	"missionary_node_spiritual_advisor"	0	0
"missionary_node_inspiring"	0	"missionary_node_spiritual_advisor"	1	-1
"missionary_node_agitator"	0	"missionary_node_worldly"	0	0
"monk_node_agitator"	0	"monk_node_inspiring"	0	-1
"monk_node_scripture"	0	"monk_node_meditation"	0	0
"monk_node_agitator"	0	"monk_node_militant"	-1	1
"monk_node_worldly"	0	"monk_node_militant"	1	0
"monk_node_spiritual"	0	"monk_node_pilgrim"	0	0
"monk_node_persuader"	0	"monk_node_religious_advisor"	0	0
"monk_node_enlightened"	0	"monk_node_scripture"	0	0
"monk_node_meditation"	0	"monk_node_spiritual"	0	0
"monk_node_pacifist"	0	"monk_node_spiritual"	1	0
"ninja_node_exotic_weapons"	0	"ninja_node_assassin"	0	0
"ninja_node_noble_bandit"	0	"ninja_node_criminal_contacts"	0	0
"ninja_node_invisible"	0	"ninja_node_disguise"	0	0
"ninja_node_invisible"	1	"ninja_node_escape_artist"	-1	1
"ninja_node_ninjutsu"	1	"ninja_node_escape_artist"	1	-1
"ninja_node_poisoner"	0	"ninja_node_exotic_weapons"	0	0
"ninja_node_disguise"	0	"ninja_node_infiltrator"	0	0
"ninja_node_escape_artist"	0	"ninja_node_infiltrator"	1	0
"ninja_node_criminal_contacts"	0	"ninja_node_military_spy"	0	0
"ninja_node_defender_of_the_people"	0	"ninja_node_noble_bandit"	0	0
"ninja_node_ninjutsu"	1	"ninja_node_poisoner"	-1	1
"ninja_node_notorious_killer"	0	"ninja_node_poisoner"	0	0
"ninja_node_gunpowder_chemist"	0	"ninja_node_saboteur"	0	0
"ninja_node_misdirection"	0	"ninja_node_saboteur"	-1	0
"ninja_node_ninjutsu"	0	"ninja_node_saboteur"	1	0
"ninja_node_infiltrator"	0	"ninja_node_spy"	1	0
"ninja_node_military_spy"	0	"ninja_node_spy"	-1	0
