version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"blas_de_lezo"	false	"m"	"admiral"	"spain"	1707	1741	"Spanish Admiral"
"boris_sheremetev"	false	"m"	"General"	"russia"	1672	1719	"Russian General"
"bruno_de_heceta"	false	"m"	"admiral"	"spain"	1764	1807	"n"
"burkhard_christoph_von_munnich"	false	"m"	"General"	"russia"	1703	1767	"Saxon General, fought for Russia"
"button_gwinnett"	false	"m"	"gentleman"	"britain"	1755	1777	"American Gentleman, duellist"
"carl_andreas_duker"	false	"m"	"gentleman"	"westphalia"	1690	1752	"classicist1"
"carl_fredrik_pechlin"	false	"m"	"minister"	"sweden"	1740	1796	"oppositionist, conspirator"
"carl_gauss"	false	"m"	"gentleman"	"westphalia"	1797	1855	"mathematician5, all-round science genius"
"carl_gustaf_tessin"	false	"m"	"minister"	"sweden"	1715	1770	"eloquent diplomat"
"carl_linnaeus"	false	"m"	"gentleman"	"sweden"	1727	1778	"n"
"caspar_wessel"	false	"m"	"gentleman"	"denmark"	1765	1818	"math3"
"cezayirli_gazi_hasan_pasha"	false	"m"	"admiral"	"ottomans"	1733	1790	"n"
"charles_cornwallis"	true	"m"	"General"	"britain"	1758	1805	"British General"
"charles_coulomb"	false	"m"	"gentleman"	"france"	1758	1806	"physicist4 (electricity & magnetism)"
"charles_de_geer"	false	"m"	"gentleman"	"sweden"	1740	1778	"industrialist3"
"charles_de_secondat"	true	"m"	"gentleman"	"france"	1709	1755	"separation of powers, constitution"
"charles_deon"	true	"m"	"rake"	"france"	1748	1810	"French spy, diplomat, raging tranny"
"charles_fox"	false	"m"	"minister"	"britain"	1769	1806	"British Minister"
"charles_hardy"	true	"m"	"captain"	"britain"	1734	1780	"British Captain"
"charles_lewenhaupt"	false	"m"	"General"	"sweden"	1711	1743	"Swedish General"
"charles_mohun"	true	"m"	"gentleman"	"britain"	1695	1712	"British Rake, ace duellist"
"charles_talleyrand"	true	"m"	"minister"	"france"	1774	1838	"French Diplomat"
"charles_townshend"	false	"m"	"gentleman"	"britain"	1694	1738	"agriculturalis3"
"cholmeley_dering"	true	"m"	"gentleman"	"britain"	1699	1711	"British Gentleman, duellist"
"christian_august_crusius"	false	"m"	"gentleman"	"prussia"	1735	1775	"philosopher of reason, theologian"
"christian_goldbach"	false	"m"	"gentleman"	"prussia"	1710	1764	"math1"
"christian_gunther_von_bernstorff"	true	"m"	"minister"	"denmark"	1789	1835	"diplomat5"
"christian_hendrik_persoon"	false	"m"	"gentleman"	"netherlands"	1781	1836	"mycologist"
"christian_mayer"	false	"m"	"gentleman"	"austria"	1739	1783	"astronomer"
"christian_thomasius"	false	"m"	"gentleman"	"prussia"	1675	1728	"philosopher1"
"christian_wolff"	false	"m"	"gentleman"	"westphalia"	1699	1754	"philosopher3"
"claude_berthollet"	false	"m"	"gentleman"	"france"	1768	1822	"chemist1"
"claude_helvetius"	false	"m"	"gentleman"	"france"	1735	1771	"philosopher1, heretic, altruist"
"colin_maclaurin"	false	"m"	"gentleman"	"britain"	1718	1746	"math1"
"comte_de_grasse"	true	"m"	"admiral"	"france"	1742	1788	"French Admiral"
"comte_de_marsin"	true	"m"	"General"	"france"	1676	1704	"French General"
"comte_de_rochambeau"	true	"m"	"General"	"france"	1745	1807	"French General"
"comte_de_saxe"	true	"m"	"General"	"france"	1716	1750	"Saxon General, fought for France"
"cosmao_kerjulien"	false	"m"	"admiral"	"france"	1781	1825	"French Captain"
"cuthbert_collingwood"	true	"m"	"admiral"	"britain"	1768	1810	"British Admiral"
"daniel_boone"	false	"m"	"General"	"united_states"	1754	1820	"kentucky"
"daniel_carlsson_solander"	false	"m"	"gentleman"	"sweden"	1753	1782	"1"
"daniel_defoe"	false	"m"	"gentleman"	"britain"	1679	1731	"British Spy"
"daniel_morgan"	false	"m"	"General"	"united_states"	1755	1802	"American General"
"david_hume"	false	"m"	"gentleman"	"britain"	1731	1776	"philosopher4"
"david_ricardo"	false	"m"	"gentleman"	"britain"	1792	1823	"economist4"
"denis_diderot"	false	"m"	"gentleman"	"france"	1733	1784	"phil4, revolutionary, political"
"dhanaji_jadhav"	false	"m"	"General"	"maratha"	1670	1708	"n"
"dionisio_galiano"	false	"m"	"gentleman"	"spain"	1780	1805	"n"
"dmitry_ivanovich_vinogradov"	false	"m"	"gentleman"	"russia"	1740	1758	"chemist, porcelain"
"dmitry_senyavin"	false	"m"	"admiral"	"russia"	1783	1831	"admiral5"
"donatien_francois"	true	"m"	"gentleman"	"france"	1760	1800	"extreme liberalist, nihilist"
"duc_de_broglie"	true	"m"	"General"	"france"	1691	1745	"French General"
"duc_de_broglie_2"	true	"m"	"General"	"france"	1738	1800	"French General"
"duc_de_clermont-tonnerre"	true	"m"	"General"	"france"	1708	1781	"French General"
"duc_de_noailles"	true	"m"	"General"	"france"	1698	1766	"French General"
"dumanoir_le_pelley"	false	"m"	"captain"	"france"	1790	1829	"French Captain"
"durastante_natalucci"	false	"m"	"gentleman"	"papal_states"	1707	1772	"1"
"eberhard_ides"	false	"m"	"gentleman"	"denmark"	1677	1708	"n"
"edmund_burke"	false	"m"	"gentleman"	"britain"	1749	1797	"political theorist"
"edmund_cartwright"	false	"m"	"gentleman"	"britain"	1763	1823	"ind5, power loom"
"edward_boscowen"	false	"m"	"admiral"	"britain"	1731	1761	"British Admiral"
"edward_braddock"	false	"m"	"General"	"britain"	1715	1755	"British General"
"edward_despard"	false	"m"	"rake"	"britain"	1771	1803	"British Rake"
"edward_hawke"	true	"m"	"admiral"	"britain"	1725	1781	"British Admiral"
"edward_vernon"	false	"m"	"admiral"	"britain"	1704	1757	"British Admiral"
"ehrenfried_walther_von_tschirnhaus"	true	"m"	"gentleman"	"prussia"	1671	1708	"math2, porcelain"
"emanuel_swedenborg"	false	"m"	"gentleman"	"sweden"	1708	1772	"philo1, spiritualist"
"enrique_florez"	false	"m"	"gentleman"	"spain"	1721	1773	"economist3"
"erasmus_darwin"	false	"m"	"gentleman"	"britain"	1751	1802	"naturalist2"
"eric_benzelius"	false	"m"	"minister"	"sweden"	1700	1743	"n"
"erland_bring"	false	"m"	"gentleman"	"sweden"	1756	1798	"math1"
"ernst_gideon_freiherr_von_laudon"	true	"m"	"General"	"austria"	1737	1790	"general4"
"esek_hopkins"	false	"m"	"admiral"	"united_states"	1738	1802	"admiral4"
"etienne_lucas"	false	"m"	"captain"	"france"	1784	1819	"French Captain"
"eugene_aram"	false	"m"	"rake"	"britain"	1724	1759	"British Rake"
"eugenio_espejo"	false	"m"	"minister"	"spain"	1767	1795	"educator"
"eugenios_voulgaris"	false	"m"	"gentleman"	"ottomans"	1736	1800	"n"
"ewald_v_kleist"	false	"m"	"gentleman"	"prussia"	1720	1748	"leyden jar"
"felix_de_azara"	false	"m"	"gentleman"	"spain"	1766	1821	"military engineer & general"
"ferdinand_konscak"	false	"m"	"catholic_missionary"	"austria"	1723	1759	"n"
"fermin_lasuen"	false	"m"	"catholic_missionary"	"spain"	1756	1803	"n"
"fernando_rivera"	false	"m"	"General"	"spain"	1745	1781	"n"
"fracisco_de_la_cueva"	true	"m"	"minister"	"spain"	1695	1733	"n"
"francesco_algarotti"	false	"m"	"gentleman"	"venice"	1732	1764	"phil1"
"francesco_antonio_zaccaria"	false	"m"	"gentleman"	"papal_states"	1734	1795	"religious theorist"
"francesco_cetti"	false	"m"	"gentleman"	"venice"	1746	1778	"naturalist"
"francis_charteris"	false	"m"	"rake"	"britain"	1692	1735	"British Rake"
"francisco_de_miranda"	false	"m"	"gentleman"	"spain"	1770	1816	"n"
"francisco_garces"	false	"m"	"catholic_missionary"	"spain"	1758	1781	"n"
"francisco_javier_castanos_de_bailen"	true	"m"	"General"	"spain"	1778	1852	"general4"
"francois_arouet"	false	"m"	"gentleman"	"france"	1714	1778	"phil5, liberal, anti-church"
"francois_de_chevert"	false	"m"	"General"	"france"	1715	1769	"French General"
"francois_hemsterhuis"	false	"m"	"gentleman"	"netherlands"	1741	1790	"phil2"
"francois_quesnay"	false	"m"	"gentleman"	"france"	1714	1774	"econ3"
"francois_truguet"	false	"m"	"admiral"	"france"	1772	1839	"French Admiral"
"francois-paul_brueys_d'aigalliers"	true	"m"	"admiral"	"france"	1773	1798	"sea2"
"franz_aepinus"	false	"m"	"gentleman"	"prussia"	1744	1802	"naturalist"
"franz_ketterer"	false	"m"	"gentleman"	"westphalia"	1696	1749	"cuckoo clock"
"franz_xaver_von_baader"	true	"m"	"gentleman"	"bavaria"	1785	1841	"phil1, religious"
"franz_xaver_von_zach"	true	"m"	"gentleman"	"austria"	1774	1832	"astronomer"
"fray_lasierra"	false	"m"	"gentleman"	"spain"	1765	1813	"historian"
"frederic_louis_norden"	false	"m"	"General"	"denmark"	1728	1742	"egypt & nubia"
"fredric_hasselquist"	false	"m"	"gentleman"	"sweden"	1742	1752	"naturalist"
"freiherr_von_schrotter"	true	"m"	"minister"	"prussia"	1763	1815	"Prime Minister"
"friedrich_august_wolf"	false	"m"	"gentleman"	"westphalia"	1779	1824	"phil1"
"friedrich_heinrich_jacobi"	false	"m"	"gentleman"	"westphalia"	1763	1819	"phil2, religious"
"friedrich_wilhelm_von_seydlitz"	true	"m"	"General"	"prussia"	1741	1773	"land4, great cavalry"
"friedrich_wilhelm_von_steuben"	true	"m"	"General"	"prussia"	1750	1794	"gen3, rapid fire, drill"
"furst_von_hardenberg"	true	"m"	"minister"	"prussia"	1770	1822	"Prussian Minister"
"fyodor_fyodorovich_ushakov"	false	"m"	"admiral"	"russia"	1764	1817	"Russian Admiral"
"fyodor_matveyevich_apraskin"	false	"m"	"admiral"	"russia"	1681	1728	"Russian Admiral"
"gabriel_fahrenheit"	false	"m"	"gentleman"	"netherlands"	1706	1736	"physicist3"
"gaspar_de_portola"	false	"m"	"General"	"spain"	1736	1784	"n"
"gaspard_monge"	false	"m"	"gentleman"	"france"	1766	1818	"math2"
"gebhard_leberecht_von_blucher"	true	"m"	"General"	"prussia"	1762	1819	"land4, attacker, cavalry"
"georg_brandt"	false	"m"	"gentleman"	"sweden"	1714	1768	"chemist1"
"georg_forster"	false	"m"	"gentleman"	"prussia"	1774	1794	"enlightened, naturalist"
"georg_lichtenberg"	false	"m"	"gentleman"	"westphalia"	1762	1799	"naturalist"
"georg_richmann"	false	"m"	"gentleman"	"russia"	1731	1753	"physics1"
"georg_stahl"	false	"m"	"gentleman"	"westphalia"	1680	1734	"physic1"
"georg_sverdrup"	false	"m"	"gentleman"	"denmark"	1790	1850	"philologist"
"georg_wilhelm_steller"	false	"m"	"gentleman"	"russia"	1729	1746	"geologist"
"george_berkeley"	false	"m"	"gentleman"	"britain"	1705	1753	"phil3, empiricist"
"george_graham"	false	"m"	"gentleman"	"britain"	1694	1751	"clockmaker"
"george_selwyn"	false	"m"	"minister"	"britain"	1739	1791	"British Rake"
"george_stephenson"	false	"m"	"gentleman"	"britain"	1801	1848	"steam loco inventor"
"george_wade"	false	"m"	"General"	"britain"	1693	1748	"British General"
"georges_lesage"	false	"m"	"gentleman"	"france"	1744	1803	"electricity, telegraph"
"gerhard_von_scharnhorst"	true	"m"	"General"	"prussia"	1775	1813	"land5, army reformer"
"giacomo_casanova"	false	"m"	"rake"	"venice"	1745	1798	"womanizer, charm, guile"
"gilbert_la_fayette"	true	"m"	"General"	"france"	1777	1834	"French General, also fought for America"
"giovanni_antonio_scopoli"	false	"m"	"gentleman"	"venice"	1743	1788	"naturalist"
"giovanni_arduino"	false	"m"	"gentleman"	"venice"	1734	1795	"geologist2"
"giuseppe_acerbi"	false	"m"	"gentleman"	"venice"	1793	1846	"lapland"
"giuseppe_luigi_assemani"	false	"m"	"gentleman"	"papal_states"	1730	1782	"orientalist"
"gottfried_achenwall"	false	"m"	"gentleman"	"prussia"	1739	1772	"invented statistics (econ3)"
"gottfried_leibnitz"	false	"m"	"gentleman"	"westphalia"	1666	1716	"math5, genius"
"gotthold_ephraim_lessing"	false	"m"	"gentleman"	"prussia"	1749	1781	"phil4, enlightened, tolerance"
"gottlieb_sigmund_gruner"	false	"m"	"gentleman"	"swiss_confederation"	1737	1778	"cartographer"
"graf_von_abensperg_und_traun"	true	"m"	"General"	"austria"	1697	1748	"Austrian General"
"graf_von_aichelberg_frankenburg"	true	"m"	"General"	"austria"	1703	1744	"Austrian General"
"graf_von_browne"	true	"m"	"General"	"austria"	1725	1757	"Austrian General, gen3"
"graf_von_colloredo"	true	"m"	"minister"	"austria"	1752	1812	"bishop, religious, patron of mozart"
"graf_von_daun"	true	"m"	"General"	"austria"	1725	1766	"Austrian General, general3 manoeuvre, surrounding"
"graf_von_radetz"	true	"m"	"General"	"austria"	1786	1858	"land4"
"graf_von_schwerin"	true	"m"	"General"	"prussia"	1704	1757	"Prussian General"
"graf_von_seckendorff"	true	"m"	"General"	"austria"	1693	1763	"Saxon General, fought for Austria"
"graf_von_wittenberg"	true	"m"	"General"	"prussia"	1780	1824	"Prussian General"
"granville_sharpthe"	false	"m"	"gentleman"	"britain"	1755	1800	"n"
"grimur_thorkelin"	false	"m"	"gentleman"	"denmark"	1772	1829	"nordic sagas"
"gustaf_adolf_reuterholm"	false	"m"	"minister"	"sweden"	1776	1813	"monarchist"
"guy_carleton"	true	"m"	"General"	"britain"	1742	1800	"British General"
"guyton_morveau"	false	"m"	"gentleman"	"france"	1757	1816	"chemist3, chemical nomenclature"
"gwf_hegel"	false	"m"	"gentleman"	"prussia"	1790	1831	"phil5, genius"
"hans_egede"	false	"m"	"Protestant_Missionary"	"denmark"	1706	1758	"n"
"hans_joachim_von_zieten"	true	"m"	"General"	"prussia"	1719	1786	"gen5, cavalry"
"heinrich_friderich_von_stein"	true	"m"	"minister"	"prussia"	1777	1831	"Prussian Minister"
"henry_bate"	false	"m"	"rake"	"britain"	1765	1824	"British Rake"
"henry_bouquet"	false	"m"	"colonel"	"britain"	1739	1765	"British Colonel"
"henry_clinton"	true	"m"	"General"	"britain"	1750	1795	"British General"
"henry_cort"	false	"m"	"gentleman"	"britain"	1760	1800	"ind5, iron"
"henry_farquharson"	false	"m"	"gentleman"	"britain"	1695	1739	"n"
"henry_fielding"	false	"m"	"gentleman"	"britain"	1727	1754	"British Gentleman"
"henry_hayes"	true	"m"	"rake"	"britain"	1782	1832	"Irish Rake"
"henry_knox"	false	"m"	"General"	"united_states"	1740	1795	""
"henry_mill"	false	"m"	"gentleman"	"britain"	1703	1771	"typewriter"
"henry_seymour_conway"	false	"m"	"General"	"britain"	1741	1795	"British General"
"herman_boerhaave"	false	"m"	"gentleman"	"netherlands"	1688	1738	"superb physician"
"hermann_samuel_reimarus"	false	"m"	"gentleman"	"prussia"	1714	1768	"phil2, religious (deism)"
"hermann_von_der_hardt"	true	"m"	"gentleman"	"westphalia"	1680	1746	"orientalist"
"herzog_von_brunswick_luneberg"	true	"m"	"General"	"prussia"	1755	1806	"general5, absolutist"
"hilaire_rouelle"	false	"m"	"gentleman"	"france"	1738	1779	"chemist (urea)"
"honore_riqueti"	false	"m"	"minister"	"france"	1769	1791	"monarchist, political thinker"
"horatio_gates"	false	"m"	"General"	"united_states"	1745	1796	""
"horatio_nelson"	true	"m"	"admiral"	"britain"	1778	1804	"British Admiral"
"hugo_kollataj"	false	"m"	"gentleman"	"poland_lithuania"	1770	1812	"constitution"
"humphry_davy"	false	"m"	"gentleman"	"britain"	1798	1829	"mining lamp (ind3)"
"hyde_parker"	true	"m"	"admiral"	"britain"	1759	1807	"British Admiral"
"hyder_ali"	false	"m"	"General"	"mysore"	1742	1782	"gen3"
"ignacy_krasicki"	false	"m"	"gentleman"	"poland_lithuania"	1755	1801	"n"
"immanuel_kant"	false	"m"	"gentleman"	"prussia"	1744	1804	"n"
"isaac_de_pinto"	false	"m"	"gentleman"	"netherlands"	1737	1787	"n"
"israel_putnam"	false	"m"	"General"	"united_states"	1738	1790	"gen5, close combat"
"ivan_lepekhin"	false	"m"	"gentleman"	"russia"	1760	1800	"n"
"jacob_aall"	false	"m"	"minister"	"denmark"	1793	1844	"n"
"jacob_bruce"	false	"m"	"gentleman"	"russia"	1689	1755	"military tactics 3"
"jacob_roggeveen"	false	"m"	"General"	"netherlands"	1679	1729	"easter island"
"jacques_cassini"	false	"m"	"gentleman"	"france"	1697	1756	"astronomer, saturn"
"jagannatha_samrat"	false	"m"	"Eastern_Scholar"	"mughal"	1672	1744	"n"
"jakob_bernoulli"	false	"m"	"gentleman"	"swiss_confederation"	1674	1705	"math4"
"james_alexander"	false	"m"	"rake"	"britain"	1720	1760	"British Rake"
"james_brindley"	false	"m"	"gentleman"	"britain"	1736	1772	"ind5, canals"
"james_burnett"	true	"m"	"gentleman"	"britain"	1734	1799	"linguist, evolutionist"
"james_cook"	false	"m"	"captain"	"britain"	1748	1779	"great naval explorer"
"james_field"	false	"m"	"rake"	"britain"	1734	1751	"Notorious Wobber"
"james_fitzjames"	true	"m"	"General"	"france"	1690	1734	"Catholic British General, fought for France"
"james_hargreaves"	false	"m"	"gentleman"	"britain"	1740	1778	"ind4, spinning jenny"
"james_hutton"	false	"m"	"gentleman"	"britain"	1746	1797	"father of modern geology"
"james_lind"	false	"m"	"gentleman"	"britain"	1736	1794	"naval tech 4"
"james_livingston"	false	"m"	"colonel"	"united_states"	1767	1832	"American Colonel"
"james_monroe"	false	"m"	"minister"	"united_states"	1778	1831	"federalist"
"james_puckle"	false	"m"	"gentleman"	"britain"	1687	1724	"army tech 3"
"james_watt"	false	"m"	"gentleman"	"britain"	1756	1819	"ind5, steam engine, electricity"
"jan_henryk_dabrowski"	false	"m"	"General"	"poland_lithuania"	1775	1818	"n"
"jan_sniadecki"	false	"m"	"gentleman"	"poland_lithuania"	1776	1830	"phil2"
"jand_de_witte"	false	"m"	"gentleman"	"poland_lithuania"	1729	1785	"army tech 4"
"jean_d_alembert"	true	"m"	"gentleman"	"france"	1737	1783	"math3"
"jean_denis_attiret"	false	"m"	"catholic_missionary"	"france"	1722	1768	"china"
"jean_jacques_rousseau"	false	"m"	"gentleman"	"france"	1732	1778	"phil5, nationalism, socialist"
"jean_nollet"	false	"m"	"gentleman"	"france"	1720	1770	"ind1"
"jean_say"	false	"m"	"gentleman"	"france"	1787	1832	"econ4, free trade"
"jedrzej_sniadecki"	false	"m"	"gentleman"	"poland_lithuania"	1788	1838	"phil2"
"jeremy_bentham"	false	"m"	"gentleman"	"britain"	1768	1832	"phil4, utilitarianism"
"jethro_tull"	false	"m"	"gentleman"	"britain"	1694	1741	"agri4"
"joaquin_blake"	false	"m"	"General"	"spain"	1779	1827	"n"
"johan_ihre"	false	"m"	"gentleman"	"sweden"	1727	1780	"philologist"
"johan_zoutman"	false	"m"	"admiral"	"netherlands"	1744	1793	"Dutch Admiral"
"johann_august_ernesti"	false	"m"	"gentleman"	"westphalia"	1727	1781	"philologist"
"johann_augustus_eberhard"	false	"m"	"gentleman"	"westphalia"	1759	1809	"phil3"
"johann_balthasar_neumann"	false	"m"	"gentleman"	"bavaria"	1707	1753	"military engineer 4"
"johann_bernoulli"	false	"m"	"gentleman"	"swiss_confederation"	1687	1748	"math3"
"johann_elert_bode"	false	"m"	"gentleman"	"prussia"	1767	1826	"astronomer"
"johann_friedrich_blumenbach"	false	"m"	"gentleman"	"westphalia"	1772	1840	"anthropologist"
"johann_friedrich_bottger"	false	"m"	"gentleman"	"prussia"	1702	1719	"porcelain"
"johann_friedrich_gmelin"	false	"m"	"gentleman"	"westphalia"	1768	1804	"naturalist"
"johann_georg_palitzsch"	false	"m"	"gentleman"	"prussia"	1743	1788	"astronomer"
"johann_goethe"	true	"m"	"gentleman"	"westphalia"	1769	1832	"phil5, genius, humanist"
"johann_gottfried_herder"	false	"m"	"gentleman"	"prussia"	1764	1803	"phil4, romanticism, humanism"
"johann_gottfried_koehler"	false	"m"	"gentleman"	"westphalia"	1765	1801	"astronomer"
"johann_gottlieb_fichte"	false	"m"	"gentleman"	"prussia"	1782	1814	"phil3"
"johann_gottlieb_rall"	false	"m"	"colonel"	"hessen"	1746	1776	"Hessian Colonel"
"johann_gottlob_lehmann"	false	"m"	"gentleman"	"prussia"	1739	1767	"geologist"
"johann_heinrich_schulze"	false	"m"	"gentleman"	"westphalia"	1707	1744	"n"
"johann_jakob_reiske"	false	"m"	"gentleman"	"westphalia"	1736	1774	"orientalist"
"johann_joachim_winckelmann"	false	"m"	"gentleman"	"prussia"	1737	1768	"neoclassicism"
"johann_lorenz_von_mosheim"	true	"m"	"gentleman"	"prussia"	1713	1755	"church historian"
"johann_matthias_gesner"	false	"m"	"gentleman"	"prussia"	1711	1761	"classical scholar"
"johann_nikolaus_von_hontheim"	true	"m"	"gentleman"	"westphalia"	1721	1790	"historian, theologian"
"johann_philipp_baratier"	false	"m"	"gentleman"	"westphalia"	1741	1740	"child genius"
"johann_wilcke"	false	"m"	"gentleman"	"sweden"	1752	1796	"physicist1"
"john_aislabie"	false	"m"	"minister"	"britain"	1690	1742	"British Minister"
"john_andre"	false	"m"	"rake"	"britain"	1770	1780	"British Spy"
"john_armstrong"	false	"m"	"colonel"	"united_states"	1737	1795	"American Colonel"
"john_barrett"	false	"m"	"Protestant_Missionary"	"britain"	1773	1821	"British Rake"
"john_bellingham"	false	"m"	"rake"	"britain"	1789	1812	"British Rake"
"john_bevis"	false	"m"	"gentleman"	"britain"	1713	1771	"astronomer, crab nebula"
"john_blenkinsop"	false	"m"	"gentleman"	"britain"	1803	1831	"ind5"
"john_burgoyne"	false	"m"	"General"	"britain"	1742	1792	"British General"
"john_byng"	false	"m"	"admiral"	"britain"	1724	1757	"British Admiral"
"john_byron"	false	"m"	"admiral"	"britain"	1743	1786	"British Vice Admiral"
"john_campbell"	false	"m"	"gentleman"	"britain"	1728	1775	"n"
"john_fielding"	true	"m"	"minister"	"britain"	1741	1780	"British Magistrate"
"john_forbes"	false	"m"	"General"	"britain"	1730	1759	"fought natives, medicine student"
"john_gaspard_le_marchant"	false	"m"	"General"	"britain"	1786	1812	"British General"
"john_goffe"	false	"m"	"General"	"united_states"	1721	1786	"American General"
"john_hadley"	false	"m"	"gentleman"	"britain"	1702	1744	"naval tech 3"
"john_hanson"	false	"m"	"minister"	"united_states"	1735	1783	"n"
"john_harrison"	false	"m"	"gentleman"	"britain"	1713	1776	"naval tech 5"
"john_jervis"	true	"m"	"admiral"	"britain"	1755	1823	"British Admiral"
"john_kay"	false	"m"	"gentleman"	"britain"	1724	1780	"ind 4, flying shuttle"
"john_law"	false	"m"	"gentleman"	"france"	1691	1729	"econ4, trade = wealth"
"john_lethbridge"	false	"m"	"gentleman"	"britain"	1695	1759	"sci1"
"john_locke"	false	"m"	"gentleman"	"britain"	1652	1704	"phil5, empiricist"
"john_lovewell"	false	"m"	"colonel"	"britain"	1711	1725	"British Colonel"
"john_macadam"	true	"m"	"gentleman"	"britain"	1776	1836	"ind4, roads"
"john_manners"	true	"m"	"General"	"britain"	1741	1770	"British General"
"john_moore"	true	"m"	"General"	"britain"	1781	1809	"British General"
"john_paul_jones"	false	"m"	"admiral"	"united_states"	1733	1819	""
"john_peter_zenger"	false	"m"	"rake"	"britain"	1717	1746	"freedom of the press"
"john_shore"	false	"m"	"gentleman"	"britain"	1682	1752	"ind3, turning fork"
"john_smeaton"	false	"m"	"gentleman"	"britain"	1742	1792	"ind4, father of civil engineering"
"john_stark"	false	"m"	"General"	"united_states"	1748	1822	"American General"
"john_thomas_duckworth"	true	"m"	"admiral"	"britain"	1767	1817	"British Admiral"
