version 1, schema technology_faction_junctions_tables
Tech_IDRef(string)	Faction_IDRef(string)
"admin4_semaphore_lines"	"austrian_rebels"
"admin4_semaphore_lines"	"bavaria"
"admin4_semaphore_lines"	"belgium"
"admin4_semaphore_lines"	"britain"
"admin4_semaphore_lines"	"british_rebels"
"admin4_semaphore_lines"	"brittany"
"admin4_semaphore_lines"	"catalonia"
"admin4_semaphore_lines"	"cossack_rebels"
"admin4_semaphore_lines"	"courland"
"admin4_semaphore_lines"	"crimean_khanate"
"admin4_semaphore_lines"	"denmark"
"admin4_semaphore_lines"	"dutch_rebels"
"admin4_semaphore_lines"	"france"
"admin4_semaphore_lines"	"french_rebels"
"admin4_semaphore_lines"	"greece"
"admin4_semaphore_lines"	"greek_rebels"
"admin4_semaphore_lines"	"hannover"
"admin4_semaphore_lines"	"hessen"
"admin4_semaphore_lines"	"hungary"
"admin4_semaphore_lines"	"ireland"
"admin4_semaphore_lines"	"ita_austrian_alliance"
"admin4_semaphore_lines"	"ita_french_republic"
"admin4_semaphore_lines"	"ita_genoa"
"admin4_semaphore_lines"	"ita_lucca"
"admin4_semaphore_lines"	"ita_milan"
"admin4_semaphore_lines"	"ita_modena"
"admin4_semaphore_lines"	"ita_papal_states"
"admin4_semaphore_lines"	"ita_parma"
"admin4_semaphore_lines"	"ita_piedmont"
"admin4_semaphore_lines"	"ita_trent"
"admin4_semaphore_lines"	"ita_tuscany"
"admin4_semaphore_lines"	"ita_venice"
"admin4_semaphore_lines"	"italian_rebels"
"admin4_semaphore_lines"	"italy"
"admin4_semaphore_lines"	"italy_kingdom"
"admin4_semaphore_lines"	"mecklenburg"
"admin4_semaphore_lines"	"naples"
"admin4_semaphore_lines"	"netherlands"
"admin4_semaphore_lines"	"norway"
"admin4_semaphore_lines"	"oldenburg"
"admin4_semaphore_lines"	"ottoman_rebels"
"admin4_semaphore_lines"	"ottomans"
"admin4_semaphore_lines"	"piedmont_savoy"
"admin4_semaphore_lines"	"poland_lithuania"
"admin4_semaphore_lines"	"portugal"
"admin4_semaphore_lines"	"portugese_rebels"
"admin4_semaphore_lines"	"prussia"
"admin4_semaphore_lines"	"prussian_rebels"
"admin4_semaphore_lines"	"romania"
"admin4_semaphore_lines"	"russia"
"admin4_semaphore_lines"	"sardinia"
"admin4_semaphore_lines"	"saxony"
"admin4_semaphore_lines"	"scandinavian_rebels"
"admin4_semaphore_lines"	"scotland"
"admin4_semaphore_lines"	"sicily"
"admin4_semaphore_lines"	"slavic_rebels"
"admin4_semaphore_lines"	"spain"
"admin4_semaphore_lines"	"spanish_rebels"
"admin4_semaphore_lines"	"sweden"
"admin4_semaphore_lines"	"swiss_confederation"
"admin4_semaphore_lines"	"tut_britain"
"admin4_semaphore_lines"	"tut_france"
"admin4_semaphore_lines"	"tut_sardinia"
"admin4_semaphore_lines"	"tut_swiss_confederation"
"admin4_semaphore_lines"	"united_netherlands"
"admin4_semaphore_lines"	"westphalia"
"military2_mass_mobilisation"	"austria"
"military2_mass_mobilisation"	"austrian_rebels"
"military2_mass_mobilisation"	"bavaria"
"military2_mass_mobilisation"	"belgium"
"admin4_semaphore_lines"	"wurttemberg"
"admin5_national_propaganda"	"austria"
"admin5_national_propaganda"	"austrian_rebels"
"admin5_national_propaganda"	"bavaria"
"admin5_national_propaganda"	"belgium"
"admin5_national_propaganda"	"britain"
"admin5_national_propaganda"	"british_rebels"
"admin5_national_propaganda"	"brittany"
"admin5_national_propaganda"	"catalonia"
"admin5_national_propaganda"	"cossack_rebels"
"admin5_national_propaganda"	"courland"
"admin5_national_propaganda"	"crimean_khanate"
"admin5_national_propaganda"	"denmark"
"admin5_national_propaganda"	"dutch_rebels"
"admin5_national_propaganda"	"france"
"admin5_national_propaganda"	"french_rebels"
"admin5_national_propaganda"	"greece"
"admin5_national_propaganda"	"greek_rebels"
"admin5_national_propaganda"	"hannover"
"admin5_national_propaganda"	"hessen"
"admin5_national_propaganda"	"hungary"
"admin5_national_propaganda"	"ireland"
"admin5_national_propaganda"	"ita_austrian_alliance"
"admin5_national_propaganda"	"ita_french_republic"
"admin5_national_propaganda"	"ita_genoa"
"admin5_national_propaganda"	"ita_lucca"
"admin5_national_propaganda"	"ita_milan"
"admin5_national_propaganda"	"ita_modena"
"admin5_national_propaganda"	"ita_papal_states"
"admin5_national_propaganda"	"ita_parma"
"admin5_national_propaganda"	"ita_piedmont"
"admin5_national_propaganda"	"ita_trent"
"admin5_national_propaganda"	"ita_tuscany"
"admin5_national_propaganda"	"ita_venice"
"admin5_national_propaganda"	"italian_rebels"
"admin5_national_propaganda"	"italy"
"admin5_national_propaganda"	"italy_kingdom"
"admin5_national_propaganda"	"mecklenburg"
"admin5_national_propaganda"	"naples"
"admin5_national_propaganda"	"netherlands"
"admin5_national_propaganda"	"norway"
"admin5_national_propaganda"	"oldenburg"
"admin5_national_propaganda"	"ottoman_rebels"
"admin5_national_propaganda"	"ottomans"
"admin5_national_propaganda"	"piedmont_savoy"
"admin5_national_propaganda"	"poland_lithuania"
"admin5_national_propaganda"	"portugal"
"admin5_national_propaganda"	"portugese_rebels"
"admin5_national_propaganda"	"prussia"
"admin5_national_propaganda"	"prussian_rebels"
"admin5_national_propaganda"	"romania"
"admin5_national_propaganda"	"russia"
"admin5_national_propaganda"	"sardinia"
"admin5_national_propaganda"	"saxony"
"admin5_national_propaganda"	"scandinavian_rebels"
"admin5_national_propaganda"	"scotland"
"admin5_national_propaganda"	"sicily"
"admin5_national_propaganda"	"slavic_rebels"
"admin5_national_propaganda"	"spain"
"admin5_national_propaganda"	"spanish_rebels"
"admin5_national_propaganda"	"sweden"
"admin5_national_propaganda"	"swiss_confederation"
"admin5_national_propaganda"	"tut_britain"
"admin5_national_propaganda"	"tut_france"
"admin5_national_propaganda"	"tut_sardinia"
"admin5_national_propaganda"	"tut_swiss_confederation"
"admin5_national_propaganda"	"united_netherlands"
"admin5_national_propaganda"	"westphalia"
"admin5_national_propaganda"	"wurttemberg"
"admin5_passports"	"austria"
"admin5_passports"	"austrian_rebels"
"admin5_passports"	"bavaria"
"admin5_passports"	"belgium"
"admin5_passports"	"britain"
"admin5_passports"	"british_rebels"
"admin5_passports"	"brittany"
"admin5_passports"	"catalonia"
"admin5_passports"	"cossack_rebels"
"admin5_passports"	"courland"
"admin5_passports"	"crimean_khanate"
"admin5_passports"	"denmark"
"admin5_passports"	"dutch_rebels"
"admin5_passports"	"france"
"admin5_passports"	"french_rebels"
"admin2_colonial_funding"	"spa_britain"
"admin2_colonial_funding"	"spa_france"
"admin2_colonial_funding"	"spa_portugal"
"admin2_colonial_funding"	"spa_spain"
"admin5_passports"	"greece"
"admin5_passports"	"greek_rebels"
"admin5_passports"	"hannover"
"admin5_passports"	"hessen"
"admin5_passports"	"hungary"
"admin5_passports"	"ireland"
"admin5_passports"	"ita_austrian_alliance"
"admin5_passports"	"ita_french_republic"
"admin5_passports"	"ita_genoa"
"admin5_passports"	"ita_lucca"
"admin5_passports"	"ita_milan"
"admin5_passports"	"ita_modena"
"admin5_passports"	"ita_papal_states"
"admin5_passports"	"ita_parma"
"admin5_passports"	"ita_piedmont"
"admin5_passports"	"ita_trent"
"admin5_passports"	"ita_tuscany"
"admin5_passports"	"ita_venice"
"admin5_passports"	"italian_rebels"
"admin5_passports"	"italy"
"admin5_passports"	"italy_kingdom"
"admin5_passports"	"mecklenburg"
"admin5_passports"	"naples"
"admin5_passports"	"netherlands"
"admin5_passports"	"norway"
"admin5_passports"	"oldenburg"
"admin5_passports"	"ottoman_rebels"
"admin5_passports"	"ottomans"
"admin5_passports"	"piedmont_savoy"
"admin5_passports"	"poland_lithuania"
"admin5_passports"	"portugal"
"admin5_passports"	"portugese_rebels"
"admin5_passports"	"prussia"
"admin5_passports"	"prussian_rebels"
"admin5_passports"	"romania"
"admin5_passports"	"russia"
"admin5_passports"	"sardinia"
"admin5_passports"	"saxony"
"admin5_passports"	"scandinavian_rebels"
"admin5_passports"	"scotland"
"admin5_passports"	"sicily"
"admin5_passports"	"slavic_rebels"
"admin5_passports"	"spain"
"admin5_passports"	"spanish_rebels"
"admin5_passports"	"sweden"
"admin5_passports"	"swiss_confederation"
"admin5_passports"	"tut_britain"
"admin5_passports"	"tut_france"
"admin5_passports"	"tut_sardinia"
"admin5_passports"	"tut_swiss_confederation"
"admin5_passports"	"united_netherlands"
"admin5_passports"	"westphalia"
"admin5_passports"	"wurttemberg"
"economy1_bottling_canning"	"austria"
"economy1_bottling_canning"	"austrian_rebels"
"economy1_bottling_canning"	"bavaria"
"economy1_bottling_canning"	"belgium"
"economy1_bottling_canning"	"britain"
"admin2_afrancesado_propaganda"	"spa_france"
"economy1_bottling_canning"	"british_rebels"
"economy1_bottling_canning"	"brittany"
"economy1_bottling_canning"	"catalonia"
"economy1_bottling_canning"	"cossack_rebels"
"economy1_bottling_canning"	"courland"
"economy1_bottling_canning"	"crimean_khanate"
"economy1_bottling_canning"	"denmark"
"economy1_bottling_canning"	"dutch_rebels"
"economy1_bottling_canning"	"france"
"economy1_bottling_canning"	"french_rebels"
"economy1_bottling_canning"	"greece"
"economy1_bottling_canning"	"greek_rebels"
"economy1_bottling_canning"	"hannover"
"economy1_bottling_canning"	"hessen"
"economy1_bottling_canning"	"hungary"
"economy1_bottling_canning"	"ireland"
"economy1_bottling_canning"	"ita_austrian_alliance"
"economy1_bottling_canning"	"ita_french_republic"
"economy1_bottling_canning"	"ita_genoa"
"economy1_bottling_canning"	"ita_lucca"
"economy1_bottling_canning"	"ita_milan"
"economy1_bottling_canning"	"ita_modena"
"economy1_bottling_canning"	"ita_papal_states"
"economy1_bottling_canning"	"ita_parma"
"economy1_bottling_canning"	"ita_piedmont"
"economy1_bottling_canning"	"ita_trent"
"economy1_bottling_canning"	"ita_tuscany"
"economy1_bottling_canning"	"ita_venice"
"economy1_bottling_canning"	"italian_rebels"
"economy1_bottling_canning"	"italy"
"economy1_bottling_canning"	"italy_kingdom"
"economy1_bottling_canning"	"mecklenburg"
"economy1_bottling_canning"	"naples"
"economy1_bottling_canning"	"netherlands"
"economy1_bottling_canning"	"norway"
"economy1_bottling_canning"	"oldenburg"
"economy1_bottling_canning"	"ottoman_rebels"
"economy1_bottling_canning"	"ottomans"
"economy1_bottling_canning"	"piedmont_savoy"
"economy1_bottling_canning"	"poland_lithuania"
"economy1_bottling_canning"	"portugal"
"economy1_bottling_canning"	"portugese_rebels"
"economy1_bottling_canning"	"prussia"
"economy1_bottling_canning"	"prussian_rebels"
"economy1_bottling_canning"	"romania"
"economy1_bottling_canning"	"russia"
"economy1_bottling_canning"	"sardinia"
"economy1_bottling_canning"	"saxony"
"economy1_bottling_canning"	"scandinavian_rebels"
"economy1_bottling_canning"	"scotland"
"economy1_bottling_canning"	"sicily"
"economy1_bottling_canning"	"slavic_rebels"
"economy1_bottling_canning"	"spain"
"economy1_bottling_canning"	"spanish_rebels"
"admin2_anti_french_sentiment"	"spa_britain"
"admin2_anti_french_sentiment"	"spa_portugal"
"admin2_anti_french_sentiment"	"spa_spain"
"economy1_bottling_canning"	"sweden"
"economy1_bottling_canning"	"swiss_confederation"
"economy1_bottling_canning"	"tut_britain"
"economy1_bottling_canning"	"tut_france"
"economy1_bottling_canning"	"tut_sardinia"
"economy1_bottling_canning"	"tut_swiss_confederation"
"economy1_bottling_canning"	"united_netherlands"
"economy1_bottling_canning"	"westphalia"
"economy1_bottling_canning"	"wurttemberg"
"economy1_land_drainage"	"austria"
"economy1_land_drainage"	"austrian_rebels"
"economy1_land_drainage"	"bavaria"
"economy1_land_drainage"	"belgium"
"economy1_land_drainage"	"britain"
"economy1_land_drainage"	"british_rebels"
"economy1_land_drainage"	"brittany"
"economy1_land_drainage"	"catalonia"
"economy1_land_drainage"	"cossack_rebels"
"economy1_land_drainage"	"courland"
"economy1_land_drainage"	"crimean_khanate"
"economy1_land_drainage"	"denmark"
"economy1_land_drainage"	"dutch_rebels"
"economy1_land_drainage"	"france"
"economy1_land_drainage"	"french_rebels"
"economy1_land_drainage"	"greece"
"economy1_land_drainage"	"greek_rebels"
"economy1_land_drainage"	"hannover"
"economy1_land_drainage"	"hessen"
"economy1_land_drainage"	"hungary"
"economy1_land_drainage"	"ireland"
"economy1_land_drainage"	"ita_austrian_alliance"
"economy1_land_drainage"	"ita_french_republic"
"economy1_land_drainage"	"ita_genoa"
"economy1_land_drainage"	"ita_lucca"
"economy1_land_drainage"	"ita_milan"
"economy1_land_drainage"	"ita_modena"
"economy1_land_drainage"	"ita_papal_states"
"economy1_land_drainage"	"ita_parma"
"economy1_land_drainage"	"ita_piedmont"
"economy1_land_drainage"	"ita_trent"
"economy1_land_drainage"	"ita_tuscany"
"economy1_land_drainage"	"ita_venice"
"economy1_land_drainage"	"italian_rebels"
"economy1_land_drainage"	"italy"
"economy1_land_drainage"	"italy_kingdom"
"economy1_land_drainage"	"mecklenburg"
"economy1_land_drainage"	"naples"
"economy1_land_drainage"	"netherlands"
"economy1_land_drainage"	"norway"
"economy1_land_drainage"	"oldenburg"
"economy1_land_drainage"	"ottoman_rebels"
"economy1_land_drainage"	"ottomans"
"economy1_land_drainage"	"piedmont_savoy"
"economy1_land_drainage"	"poland_lithuania"
"economy1_land_drainage"	"portugal"
"economy1_land_drainage"	"portugese_rebels"
"economy1_land_drainage"	"prussia"
"economy1_land_drainage"	"prussian_rebels"
"economy1_land_drainage"	"romania"
"economy1_land_drainage"	"russia"
"economy1_land_drainage"	"sardinia"
"economy1_land_drainage"	"saxony"
"economy1_land_drainage"	"scandinavian_rebels"
"economy1_land_drainage"	"scotland"
"economy1_land_drainage"	"sicily"
"economy1_land_drainage"	"slavic_rebels"
"economy1_land_drainage"	"spain"
"economy1_land_drainage"	"spanish_rebels"
"economy1_land_drainage"	"sweden"
"economy1_land_drainage"	"swiss_confederation"
"economy1_land_drainage"	"tut_britain"
"economy1_land_drainage"	"tut_france"
"economy1_land_drainage"	"tut_sardinia"
"economy1_land_drainage"	"tut_swiss_confederation"
"economy1_land_drainage"	"united_netherlands"
"economy1_land_drainage"	"westphalia"
"economy1_land_drainage"	"wurttemberg"
"economy2_joint_stock_company"	"austria"
"economy2_joint_stock_company"	"austrian_rebels"
"economy2_joint_stock_company"	"bavaria"
"economy2_joint_stock_company"	"belgium"
"economy2_joint_stock_company"	"britain"
"economy2_joint_stock_company"	"british_rebels"
"economy2_joint_stock_company"	"brittany"
"economy2_joint_stock_company"	"catalonia"
"admin3_anti_french_propaganda"	"spa_britain"
"admin3_anti_french_propaganda"	"spa_portugal"
"admin3_anti_french_propaganda"	"spa_spain"
"economy2_joint_stock_company"	"cossack_rebels"
"economy2_joint_stock_company"	"courland"
"economy2_joint_stock_company"	"crimean_khanate"
"economy2_joint_stock_company"	"denmark"
"economy2_joint_stock_company"	"dutch_rebels"
"economy2_joint_stock_company"	"france"
"economy2_joint_stock_company"	"french_rebels"
"economy2_joint_stock_company"	"greece"
"economy2_joint_stock_company"	"greek_rebels"
"economy2_joint_stock_company"	"hannover"
"economy2_joint_stock_company"	"hessen"
"economy2_joint_stock_company"	"hungary"
"economy2_joint_stock_company"	"ireland"
"economy2_joint_stock_company"	"ita_austrian_alliance"
"economy2_joint_stock_company"	"ita_french_republic"
"economy2_joint_stock_company"	"ita_genoa"
"economy2_joint_stock_company"	"ita_lucca"
"economy2_joint_stock_company"	"ita_milan"
"economy2_joint_stock_company"	"ita_modena"
"economy2_joint_stock_company"	"ita_papal_states"
"economy2_joint_stock_company"	"ita_parma"
"economy2_joint_stock_company"	"ita_piedmont"
"economy2_joint_stock_company"	"ita_trent"
"economy2_joint_stock_company"	"ita_tuscany"
"economy2_joint_stock_company"	"ita_venice"
"economy2_joint_stock_company"	"italian_rebels"
"economy2_joint_stock_company"	"italy"
"economy2_joint_stock_company"	"italy_kingdom"
"economy2_joint_stock_company"	"mecklenburg"
"economy2_joint_stock_company"	"naples"
"economy2_joint_stock_company"	"netherlands"
"economy2_joint_stock_company"	"norway"
"economy2_joint_stock_company"	"oldenburg"
"economy2_joint_stock_company"	"ottoman_rebels"
"economy2_joint_stock_company"	"ottomans"
"economy2_joint_stock_company"	"piedmont_savoy"
"economy2_joint_stock_company"	"poland_lithuania"
"economy2_joint_stock_company"	"portugal"
"economy2_joint_stock_company"	"portugese_rebels"
"economy2_joint_stock_company"	"prussia"
"economy2_joint_stock_company"	"prussian_rebels"
"economy2_joint_stock_company"	"romania"
