version 1, schema technology_effects_junction_tables
Tech_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"admin5_homeland_recruitment"	"replenishment_percentage_bonus_global"	5
"military2_guerrilla_training_network"	"replenishment_bonus_special_guerrilla"	5
"admin1_classical_economics"	"gdp_mod_all"	3
"admin1_classical_economics"	"happy_clamour_for_reform_all_classes"	-1
"admin1_national_debt"	"tw_growth_technologies_fixed"	5
"admin1_national_debt"	"upkeep_cost_mod_land_all"	-5
"admin1_public_schooling"	"agent_cap_gentleman"	1
"admin1_public_schooling"	"research_rate_mod"	10
"admin2_national_census"	"admin_cost_mod"	-4
"admin2_national_census"	"tax_bonus_technology"	2
"admin3_abolition_of_slavery"	"happy_clamour_for_reform_lower"	1
"admin3_abolition_of_slavery"	"recruitment_cost_mod_land_all_global"	-2
"admin3_code_napoleon"	"happy_government_lower"	2
"admin3_metric_system"	"research_rate_mod"	10
"admin3_trade_unions"	"gdp_mod_industry_all"	-5
"admin3_trade_unions"	"gdp_mod_mines"	-5
"admin3_trade_unions"	"happy_government_lower"	2
"admin4_dialectics"	"diplomacy_bonus_enlightenment"	15
"admin4_dialectics"	"research_rate_mod"	10
"admin4_semaphore_lines"	"line_of_sight_mod"	10
"admin5_national_propaganda"	"diplomacy_bonus_enlightenment"	-15
"admin5_national_propaganda"	"happy_culture_all_global"	1
"admin5_national_propaganda"	"morale_bonus"	1
"admin5_passports"	"agent_cap_rake"	1
"admin5_passports"	"subterfuge_counterspying"	10
"economy1_bottling_canning"	"upkeep_cost_mod_naval_all"	-5
"economy1_division_of_labour"	"gdp_mod_all"	3
"economy1_land_drainage"	"gdp_mod_farms"	10
"economy1_poverty_control_laws"	"repression_tech_faction"	1
"economy2_joint_stock_company"	"building_cost_mod_industry"	-10
"economy2_joint_stock_company"	"tw_growth_technologies_fixed"	10
"economy2_plateways"	"gdp_mod_mines"	10
"economy2_steam_engine"	"gdp_mod_industry_all"	10
"economy3_interchangeable_parts"	"gdp_mod_all"	1
"economy3_interchangeable_parts"	"upkeep_cost_mod_land_all"	-3
"economy3_interchangeable_parts"	"upkeep_cost_mod_naval_all"	-3
"economy3_limited_liability_company"	"gdp_mod_all"	5
"economy3_limited_liability_company"	"tw_growth_technologies_fixed"	10
"economy3_steam_locomotive"	"gdp_mod_mines"	10
"economy3_steam_locomotive"	"tw_growth_technologies_fixed"	10
"economy5_mass_production"	"happy_industrialisation_lower"	-1
"economy5_mass_production"	"recruitment_cost_mod_land_all_global"	-4
"economy5_mass_production"	"recruitment_cost_mod_naval_all_global"	-4
"military1_carronade"	"enable_carronades"	1
"military1_conscription"	"happy_active_lower_gov_type"	-2
"military1_conscription"	"recruitment_points_home_region"	1
"military1_diamond_formation"	"enable_diamond_formation"	1
"military1_fire_and_advance"	"enable_fire_and_advance"	1
"military1_improved_coppering"	"enable_improved_coppering"	1
"military1_improved_coppering"	"upkeep_cost_mod_naval_all"	-5
"military2_army_corps_organisation"	"upkeep_cost_mod_land_all"	-5
"military2_grand_battery"	"enable_artillery_barrage"	1
"military2_grand_battery"	"mod_accuracy_artillery_all"	5
"military2_logistics"	"Movement_Points_All_Land"	5
"military2_logistics"	"replenishment_percentage_bonus_global"	2
"military2_mass_mobilisation"	"enable_inspire_unit"	1
"military2_mass_mobilisation"	"recruitment_cost_mod_class_line_infantry_all"	-4
"military2_mass_mobilisation"	"recruitment_cost_mod_class_militia_all"	-8
"military2_top_gallants"	"enable_top_gallants"	1
"military2_top_gallants"	"mod_ship_movement_battle_top_gallants"	10
"military2_top_gallants"	"mod_ship_movement_campaign_top_gallants"	10
"military3_carcass_shot"	"enable_carcass_shot"	1
"military3_conscript_infantry_tactics"	"mod_morale_militia"	1
"military3_conscript_infantry_tactics"	"recruitment_cost_mod_class_militia_all"	-8
"military3_field_ambulances"	"replenishment_percentage_bonus_global"	4
"military3_standardised_artillery"	"enable_artillery_accuracy_boost"	1
"military3_standardised_artillery"	"upkeep_cost_mod_category_artillery"	-15
"military4_general_staff"	"Movement_Points_All_Land"	8
"military4_modern_rifles"	"upkeep_cost_mod_class_skirmishers"	-10
"military4_quicklime"	"enable_quicklime_shells"	1
"military4_uniform_armament"	"enable_uniform_armarment"	1
"military5_iron_plating"	"education_happy_mod"	1
"military5_percussion_cap"	"mod_weapon_misfire"	-50
"military5_rifled_cannons"	"mod_ship_cannon_fire_rate"	5
"military5_rifled_cannons"	"recruitment_cost_mod_naval_all_global"	2
