version 1, schema trait_to_included_agents_tables
Trait_IDRef(string)	Agent_IDRef(string)
"C_Leader_Debauched"	"minister"
"C_Leader_Dullard"	"minister"
"C_Leader_Enlightened_Despot"	"minister"
"C_Leader_Favourites"	"minister"
"C_Leader_Fertile"	"minister"
"C_Leader_Foreign_Tastes"	"minister"
"C_Leader_Harsh_Ruler"	"minister"
"C_Leader_Humanist"	"minister"
"C_Leader_Huntin_Shootin_Fishin"	"minister"
"C_Leader_Inbred"	"minister"
"C_Leader_Infertile"	"minister"
"C_Leader_Intellectual_Pretensions"	"minister"
"C_Leader_M"	"minister"
"C_Leader_Mad"	"minister"
"C_Leader_Merit"	"minister"
"C_Leader_Mr_Waverley"	"minister"
"C_Leader_Natural_King"	"minister"
"C_Leader_Natural_President"	"minister"
"C_Leader_Navy_Buff"	"minister"
"C_Leader_Philistine"	"minister"
"C_Leader_Uncouth"	"minister"
"C_Leader_Witty"	"minister"
"C_Minister_Army_Good"	"minister"
"C_Minister_Corrupt"	"minister"
"C_Minister_Entertainer"	"minister"
"C_Minister_Fiscal_Genius"	"minister"
"C_Minister_Industrialist"	"minister"
"C_Minister_Miser"	"minister"
"C_Minister_Navy_Good"	"minister"
"C_Minister_Physiocrat"	"minister"
"C_Minister_Radical"	"minister"
"C_Minister_Reactionary"	"minister"
"C_Minister_Trader"	"minister"
"C_Minister_Unjust"	"minister"
"C_Minister_Upright"	"minister"
"C_Napoleon_Career_Artillery_Cadet"	"minister"
"C_Napoleon_Career_Corsican"	"minister"
"C_Napoleon_Career_Empereur"	"minister"
"C_Napoleon_Career_Harsh_Ruler"	"minister"
"C_Napoleon_Career_Leader"	"minister"
"C_Napoleon_Career_Legend"	"minister"
"C_Napoleon_Career_Navigator"	"minister"
"C_Napoleon_Career_Tactician"	"minister"
"C_Napoleon_Career_Traveller"	"minister"
"C_Napoleon_Emperor_Of_The_French"	"minister"
"C_Napoleon_King_Of_Italy"	"minister"
"C_Napoleon_Protector_Of_The_Rhine"	"minister"
"C_NTW_General_Anti_Looter"	"General"
"C_NTW_General_Grand_Armee"	"General"
"C_NTW_General_Grand_Armee"	"minister"
"C_NTW_General_Looter_Good"	"General"
"C_NTW_Gent_Agitator"	"gentleman"
"C_Personal_Hale"	"admiral"
"C_Personal_Hale"	"assassin"
"C_Personal_Hale"	"Eastern_Scholar"
"C_Personal_Hale"	"General"
"C_Personal_Hale"	"gentleman"
"C_Personal_Hale"	"rake"
"C_Personal_High_Personal_Security"	"admiral"
"C_Personal_High_Personal_Security"	"Eastern_Scholar"
"C_Personal_High_Personal_Security"	"General"
"C_Personal_High_Personal_Security"	"gentleman"
"C_Personal_High_Personal_Security"	"rake"
"C_Personal_Piety"	"admiral"
"C_Personal_Piety"	"Eastern_Scholar"
"C_Personal_Piety"	"General"
"C_Personal_Piety"	"gentleman"
"C_Personal_Piety"	"minister"
"C_Personal_Sickly"	"admiral"
"C_Personal_Sickly"	"assassin"
"C_Personal_Sickly"	"Eastern_Scholar"
"C_Personal_Sickly"	"General"
"C_Personal_Sickly"	"gentleman"
"C_Personal_Sickly"	"rake"
"C_Rake_Assassin_Good"	"assassin"
"C_Rake_Assassin_Good"	"rake"
"C_Rake_Born_Bounder"	"assassin"
"C_Rake_Born_Bounder"	"rake"
"C_Rake_Counter_Spy"	"rake"
"C_Rake_Im_A_Laydee"	"rake"
"C_Rake_Naughty_Club"	"gentleman"
"C_Rake_Sabot_Good"	"assassin"
"C_Rake_Sabot_Good"	"rake"
"C_Rake_Spy_Good"	"assassin"
"C_Rake_Spy_Good"	"rake"
"C_Sausage_Vice"	"admiral"
"C_Sausage_Vice"	"General"
"C_Sausage_Vice"	"gentleman"
"C_Sausage_Vice"	"rake"
"Spain_C_Agent_Provocateur_Pure_Blood"	"Protestant_Missionary"
"Spain_C_Agent_Provocateur_Radical"	"orthodox_missionary"
"Spain_C_Agent_Guerrillero_Bandit"	"guerilla"
"Spain_C_Agent_Priest_Patriot"	"catholic_missionary"
"Spain_C_Agent_Guerrillero_Former_Soldier"	"guerilla"
"Spain_C_Agent_Provocateur_Dirty_Fighter"	"Protestant_Missionary"
"Spain_C_Agent_Guerrillero_Dead_Family"	"guerilla"
"Spain_C_General_Guerrilla_Leader"	"General"
