version 1, schema diplomacy_negotiation_strings_tables
diplomacy_action(string)	culture(string)	Government_system(string)	diplomacy_strings(string)
"accept_unfriendly"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_unfriendly"
"accept_unfriendly"	"egy_middle_east"	"gov_republic"	"middle_east_republic_accept_unfriendly"
"accept_unfriendly"	"european"	"gov_absolute_monarchy"	"european_monarchy_accept_unfriendly"
"accept_unfriendly"	"european"	"gov_constitutional_monarchy"	"european_monarchy_accept_unfriendly"
"accept_unfriendly"	"european"	"gov_republic"	"european_republic_accept_unfriendly"
"accept_unfriendly"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_accept_unfriendly"
"accept_unfriendly"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_accept_unfriendly"
"accept_unfriendly"	"indian"	"gov_republic"	"indian_republic_accept_unfriendly"
"accept_unfriendly"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_unfriendly"
"accept_unfriendly"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_unfriendly"
"accept_unfriendly"	"middle_east"	"gov_republic"	"middle_east_republic_accept_unfriendly"
"accept_unfriendly"	"tribal"	"gov_absolute_monarchy"	"tribal_both_accept_unfriendly"
"accept_unfriendly"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_accept_unfriendly"
"accept_unfriendly"	"tribal"	"gov_republic"	"tribal_both_accept_unfriendly"
"accept_very_friendly"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_accept_very_friendly"
"accept_very_friendly"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_accept_very_friendly"
"accept_very_friendly"	"egy_european"	"gov_republic"	"european_republic_accept_very_friendly"
"accept_very_friendly"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_very_friendly"
"accept_very_friendly"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_very_friendly"
"accept_very_friendly"	"egy_middle_east"	"gov_republic"	"middle_east_republic_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_absolute_monarchy"	"european_monarchy_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_constitutional_monarchy"	"european_monarchy_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_republic"	"european_republic_accept_very_friendly"
"accept_very_friendly"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_accept_very_friendly"
"accept_very_friendly"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_accept_very_friendly"
"accept_very_friendly"	"indian"	"gov_republic"	"indian_republic_accept_very_friendly"
"accept_very_friendly"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_very_friendly"
"accept_very_friendly"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_very_friendly"
"accept_very_friendly"	"middle_east"	"gov_republic"	"middle_east_republic_accept_very_friendly"
"accept_very_friendly"	"tribal"	"gov_absolute_monarchy"	"tribal_both_accept_very_friendly"
"accept_very_friendly"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_accept_very_friendly"
"accept_very_friendly"	"tribal"	"gov_republic"	"tribal_both_accept_very_friendly"
"acknowledge_accept"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_european"	"gov_republic"	"european_republic_acknowledge_accept"
"acknowledge_accept"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_accept"
"acknowledge_accept"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_republic"	"european_republic_acknowledge_accept"
"acknowledge_accept"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_accept"
"acknowledge_accept"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_accept"
"acknowledge_accept"	"indian"	"gov_republic"	"indian_republic_acknowledge_accept"
"acknowledge_accept"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_accept"
"acknowledge_accept"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_accept"
"acknowledge_accept"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_accept"
"acknowledge_accept"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_accept"
"acknowledge_accept"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_accept"
"acknowledge_accept"	"tribal"	"gov_republic"	"tribal_both_acknowledge_accept"
"acknowledge_cancel_alliance"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_european"	"gov_republic"	"european_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"european_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_republic"	"indian_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"tribal"	"gov_republic"	"tribal_both_acknowledge_cancel_alliance"
"acknowledge_cancel_military_access"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_european"	"gov_republic"	"european_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_republic"	"european_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"indian"	"gov_republic"	"indian_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"tribal"	"gov_republic"	"tribal_both_acknowledge_cancel_military_access"
"acknowledge_cancel_trade"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"egy_european"	"gov_republic"	"european_republic_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"european"	"gov_republic"	"european_republic_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"indian"	"gov_republic"	"indian_republic_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_cancel_trade"
"acknowledge_cancel_trade"	"tribal"	"gov_republic"	"tribal_both_acknowledge_cancel_trade"
"acknowledge_counter_accept"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_european"	"gov_republic"	"european_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_republic"	"european_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"indian"	"gov_republic"	"indian_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_counter_accept"
"acknowledge_counter_accept"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_counter_accept"
"acknowledge_counter_accept"	"tribal"	"gov_republic"	"tribal_both_acknowledge_counter_accept"
"acknowledge_counter_reject"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_european"	"gov_republic"	"european_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_republic"	"european_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"indian"	"gov_republic"	"indian_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_counter_reject"
"acknowledge_counter_reject"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_counter_reject"
"acknowledge_counter_reject"	"tribal"	"gov_republic"	"tribal_both_acknowledge_counter_reject"
"acknowledge_reject"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_reject"
"acknowledge_reject"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_reject"
"acknowledge_reject"	"egy_european"	"gov_republic"	"european_republic_acknowledge_reject"
"acknowledge_reject"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_reject"
"acknowledge_reject"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_reject"
"acknowledge_reject"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_reject"
"acknowledge_reject"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_reject"
"acknowledge_reject"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_reject"
"acknowledge_reject"	"european"	"gov_republic"	"european_republic_acknowledge_reject"
"acknowledge_reject"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_reject"
"acknowledge_reject"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_reject"
"acknowledge_reject"	"indian"	"gov_republic"	"indian_republic_acknowledge_reject"
"acknowledge_reject"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_reject"
"acknowledge_reject"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_reject"
"acknowledge_reject"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_reject"
"acknowledge_reject"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_reject"
"acknowledge_reject"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_reject"
"acknowledge_reject"	"tribal"	"gov_republic"	"tribal_both_acknowledge_reject"
"acknowledge_state_gift"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"egy_european"	"gov_republic"	"european_republic_acknowledge_state_gift"
"acknowledge_state_gift"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_state_gift"
"acknowledge_state_gift"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"european"	"gov_republic"	"european_republic_acknowledge_state_gift"
"acknowledge_state_gift"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"indian"	"gov_republic"	"indian_republic_acknowledge_state_gift"
"acknowledge_state_gift"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_state_gift"
"acknowledge_state_gift"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_state_gift"
"acknowledge_state_gift"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_state_gift"
"acknowledge_state_gift"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_state_gift"
"acknowledge_state_gift"	"tribal"	"gov_republic"	"tribal_both_acknowledge_state_gift"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"european_republic_acknowledge_war"
"acknowledge_war"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_war"
"acknowledge_war"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_war"
"acknowledge_war"	"egy_middle_east"	"gov_republic"	"middle_east_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"european_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"european_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"european_republic_acknowledge_war"
"acknowledge_war"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_acknowledge_war"
"acknowledge_war"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_acknowledge_war"
"acknowledge_war"	"indian"	"gov_republic"	"indian_republic_acknowledge_war"
"acknowledge_war"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_acknowledge_war"
"acknowledge_war"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_acknowledge_war"
"acknowledge_war"	"middle_east"	"gov_republic"	"middle_east_republic_acknowledge_war"
"acknowledge_war"	"tribal"	"gov_absolute_monarchy"	"tribal_both_acknowledge_war"
"acknowledge_war"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_acknowledge_war"
"acknowledge_war"	"tribal"	"gov_republic"	"tribal_both_acknowledge_war"
"approach_friendly"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_approach_friendly"
"approach_friendly"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_approach_friendly"
"approach_friendly"	"egy_european"	"gov_republic"	"european_republic_approach_friendly"
"approach_friendly"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_approach_friendly"
"approach_friendly"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_approach_friendly"
"approach_friendly"	"egy_middle_east"	"gov_republic"	"middle_east_republic_approach_friendly"
"approach_friendly"	"european"	"gov_absolute_monarchy"	"european_monarchy_approach_friendly"
"approach_friendly"	"european"	"gov_constitutional_monarchy"	"european_monarchy_approach_friendly"
"approach_friendly"	"european"	"gov_republic"	"european_republic_approach_friendly"
"approach_friendly"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_approach_friendly"
"approach_friendly"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_approach_friendly"
"approach_friendly"	"indian"	"gov_republic"	"indian_republic_approach_friendly"
"approach_friendly"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_approach_friendly"
"approach_friendly"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_approach_friendly"
"approach_friendly"	"middle_east"	"gov_republic"	"middle_east_republic_approach_friendly"
"approach_friendly"	"tribal"	"gov_absolute_monarchy"	"tribal_both_approach_friendly"
"approach_friendly"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_approach_friendly"
"approach_friendly"	"tribal"	"gov_republic"	"tribal_both_approach_friendly"
"approach_hostile"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_approach_hostile"
"approach_hostile"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_approach_hostile"
"approach_hostile"	"egy_european"	"gov_republic"	"european_republic_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_republic"	"middle_east_republic_approach_hostile"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"european_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"european_monarchy_approach_hostile"
