version 1, schema ancillary_to_included_agents_tables
Ancillary_IDRef(string)	Agent_IDRef(string)
"Anc_Islam_Protector"	"minister"
"Anc_Islam_Scholar"	"Eastern_Scholar"
"Anc_Islam_Sufi"	"Eastern_Scholar"
"Anc_Islam_Sufi_Teacher"	"minister"
"Anc_Islamic_Turncoat"	"admiral"
"Anc_Islamic_Turncoat"	"General"
"Anc_Journalist_Honest"	"minister"
"Anc_Judge_Bent"	"minister"
"Anc_Judge_Honest"	"minister"
"Anc_Justice_of_the_Peace"	"minister"
"Anc_Lapdog"	"minister"
"Anc_Lawyer"	"gentleman"
"Anc_Lawyer_Bent"	"minister"
"Anc_Lawyer_Honest"	"minister"
"Anc_Macaroni"	"minister"
"Anc_Magic_Cucumber"	"admiral"
"Anc_Manufacturing_Genius"	"gentleman"
"Anc_Master_Gunner"	"admiral"
"Anc_Master_of_the_Dockyards"	"minister"
"Anc_Master_of_the_Hunt"	"minister"
"Anc_Master_of_the_Stables"	"minister"
"Anc_Military_Engineer"	"General"
"Anc_Military_Expert_NOT"	"minister"
"Anc_Military_Secretary"	"minister"
"Anc_Mistress_Corrupt"	"minister"
"Anc_Mistress_Court_1"	"minister"
"Anc_Mistress_Indiscreet"	"minister"
"Anc_Mistress_Minion"	"General"
"Anc_Mistress_Officers_Wife"	"General"
"Anc_Mistress_Strumpet"	"General"
"Anc_Mistress_Waif"	"admiral"
"Anc_Mohock"	"rake"
"Anc_Moonstone"	"admiral"
"Anc_Moonstone"	"General"
"Anc_Mother_Abbess"	"rake"
"Anc_Natural_Philosopher"	"Eastern_Scholar"
"Anc_Natural_Philosopher"	"gentleman"
"Anc_Naval_Secretary"	"minister"
"Anc_Naval_Surveyor"	"minister"
"Anc_Navigator"	"admiral"
"Anc_Navy_Seaman_Able"	"admiral"
"Anc_Nobleman_Debauched"	"gentleman"
"Anc_Nobleman_Exile"	"gentleman"
"Anc_Nobleman_Louche"	"rake"
"Anc_Order_Austria"	"admiral"
"Anc_Order_Austria"	"General"
"Anc_Order_Denmark"	"General"
"Anc_Order_England"	"General"
"Anc_Order_France_1"	"admiral"
"Anc_Order_France_1"	"General"
"Anc_Order_France_2"	"admiral"
"Anc_Order_France_2"	"General"
"Anc_Order_Holland"	"admiral"
"Anc_Order_Holland"	"General"
"Anc_Order_Ottoman"	"admiral"
"Anc_Order_Ottoman"	"General"
"Anc_Order_Poland"	"admiral"
"Anc_Order_Poland"	"General"
"Anc_Order_Prussia_1"	"admiral"
"Anc_Order_Prussia_1"	"General"
"Anc_Order_Prussia_2"	"admiral"
"Anc_Order_Prussia_2"	"General"
"Anc_Order_Russia"	"admiral"
"Anc_Order_Russia"	"General"
"Anc_Order_Scotland"	"admiral"
"Anc_Order_Scotland"	"General"
"Anc_Order_Spain"	"admiral"
"Anc_Order_Spain"	"General"
"Anc_Order_Sweden_1"	"admiral"
"Anc_Order_Sweden_1"	"General"
"Anc_Order_Sweden_2"	"minister"
"Anc_Order_Sweden_3"	"gentleman"
"Anc_Order_US"	"admiral"
"Anc_Order_US"	"General"
"Anc_Ottoman_Interpreter"	"minister"
"Anc_Overseer_of_Works"	"minister"
"Anc_Pet_Dog"	"General"
"Anc_Physician_Euro"	"gentleman"
"Anc_Physician_Euro"	"rake"
"Anc_Pilot"	"admiral"
"Anc_Piper"	"General"
"Anc_Press_Gang_Captain"	"minister"
"Anc_Priest_Defrocked"	"rake"
"Anc_Priest_Disgraced"	"rake"
"Anc_Rakehell"	"rake"
"Anc_Research_Cabinet"	"gentleman"
"Anc_Research_Library"	"gentleman"
"Anc_Royal_Favourite_Popular"	"minister"
"Anc_Royal_Favourite_Unpopular"	"minister"
"Anc_Seaman_Powder_Monkey"	"admiral"
"Anc_Servant_Mameluke"	"admiral"
"Anc_Servant_Mameluke"	"assassin"
"Anc_Servant_Mameluke"	"Eastern_Scholar"
"Anc_Servant_Mameluke"	"General"
"Anc_Sharpshooter"	"General"
"Anc_Shipwright"	"minister"
"Anc_Siege_Engineer"	"General"
"Anc_Signals_Lieutenant"	"admiral"
"Anc_Tailor_Euro"	"minister"
"Anc_Turkish_Bey"	"minister"
"Anc_Turkish_Jani_Admin"	"minister"
"Anc_Turkish_Jani_Com"	"General"
"Anc_Turkish_Jani_Sec"	"minister"
"Anc_Turkish_Masseur"	"admiral"
"Anc_Turkish_Masseur"	"assassin"
"Anc_Turkish_Masseur"	"Eastern_Scholar"
"Anc_Turkish_Masseur"	"General"
"Anc_Turkish_Pasha"	"minister"
"Anc_Turnip"	"General"
"Anc_Voivode_1"	"minister"
"Anc_Voivode_2"	"minister"
"Anc_Voter"	"minister"
"Anc_Wife_Faithful"	"minister"
"Anc_Wife_Intelligent"	"minister"
"Anc_Wife_Malaprop"	"General"
"Anc_Wife_Matchmaker_Euro"	"minister"
"Anc_Wife_Unfaithful"	"minister"
"Ancillary_African_Servant"	"gentleman"
"Ancillary_Air_Loom_Operator"	"rake"
"Ancillary_Amazing_Wine_Cellar"	"minister"
"Ancillary_Amusing_Cad"	"minister"
"Ancillary_Army_ADC"	"General"
"Ancillary_Army_Aide_Nephew"	"admiral"
"Ancillary_Army_Aide_Nephew"	"General"
"Ancillary_Army_Cleric"	"General"
"Ancillary_Army_Drillmaster"	"General"
"Ancillary_Army_European_Turncoat"	"General"
"Ancillary_Army_Exploring_Officer"	"General"
"Ancillary_Army_Galloper"	"General"
"Ancillary_Army_Hagiographer"	"General"
"Ancillary_Army_Merc_Artilleryman"	"General"
"Ancillary_Army_Merc_Cavalryman"	"General"
"Ancillary_Army_Merc_Infantryman"	"General"
"Ancillary_Army_Military_Artist"	"General"
"Ancillary_Army_Military_Surveyor"	"General"
"Ancillary_Army_Ottoman_Turncoat"	"General"
"Ancillary_Army_Pox_Doctor"	"admiral"
"Ancillary_Army_Pox_Doctor"	"General"
"Ancillary_Army_Pox_Doctor"	"gentleman"
"Ancillary_Army_Pox_Doctor"	"rake"
"Ancillary_Army_Quartermaster"	"General"
"Ancillary_Army_Surgeon"	"General"
"Ancillary_Army_Waggonmaster"	"General"
"Ancillary_Artillery_Expert"	"General"
"Ancillary_Barber"	"General"
"Ancillary_Bodysnatcher"	"gentleman"
"Ancillary_Boxer"	"General"
"Ancillary_Duelling_Hidalgo_Fop"	"gentleman"
"Ancillary_Duelling_Hidalgo_Fop"	"rake"
"Ancillary_Duelling_Minx"	"gentleman"
"Ancillary_Duelling_Minx"	"rake"
"Ancillary_Duelling_Pistols"	"gentleman"
"Ancillary_Duelling_Pistols"	"rake"
"Ancillary_Duelling_Pistols_Manton"	"gentleman"
"Ancillary_Duelling_Pistols_Manton"	"rake"
"Ancillary_Foodtaster"	"admiral"
"Ancillary_Foodtaster"	"General"
"Ancillary_Garden_Hermit"	"minister"
"Ancillary_Government_Architect"	"minister"
"Ancillary_Government_Comptroller"	"minister"
"Ancillary_Government_Controller"	"minister"
"Ancillary_Government_Crimper"	"minister"
"Ancillary_Government_Cypher"	"rake"
"Ancillary_Government_Executioner_Nasty"	"minister"
"Ancillary_Government_Guardian"	"admiral"
"Ancillary_Government_Guardian"	"General"
"Ancillary_Government_Secret_Policeman"	"minister"
"Ancillary_Government_Secretary_Efficient"	"minister"
"Ancillary_Government_Secretary_Gobby"	"minister"
"Ancillary_Government_Spymaster"	"minister"
"Ancillary_Government_Thieftaker"	"minister"
"Ancillary_Government_Vampire_Hunter"	"minister"
"Ancillary_Government_Wrestler"	"minister"
"Ancillary_Great_Composer"	"minister"
"Ancillary_Grizzly_Adams"	"General"
"Ancillary_Historian"	"minister"
"Ancillary_Inventive_Genius_Astronomer"	"gentleman"
"Ancillary_Inventive_Genius_Loony"	"gentleman"
"Ancillary_Inventive_Genius_Mill_Worker"	"gentleman"
"Ancillary_Justice_Witness"	"minister"
"Ancillary_Landscape_Gardener"	"minister"
"Ancillary_Madman"	"Eastern_Scholar"
"Ancillary_Madman"	"gentleman"
"Ancillary_Master_of_Lunacy"	"minister"
"Ancillary_Merchant_Corn_Factor"	"minister"
"Ancillary_Military_Riding_Master"	"General"
"Ancillary_Mistress_Actress"	"admiral"
"Ancillary_Mistress_Actress"	"General"
"Ancillary_Mistress_Circassian"	"admiral"
"Ancillary_Mistress_Circassian"	"General"
"Ancillary_Mistress_Common_Floozy"	"minister"
"Ancillary_Mistress_Gorgeous"	"minister"
"Ancillary_Mistress_Molly"	"minister"
"Ancillary_Mistress_Noble"	"minister"
"Ancillary_Mistress_Spycatcher_Lady"	"minister"
"Ancillary_Mistress_Spymistress"	"minister"
"Ancillary_Mystic_Mysterious"	"minister"
"Ancillary_Mystic_Useful"	"General"
"Ancillary_Navy_Cleric"	"admiral"
"Ancillary_Navy_Flag_Lieutenant"	"admiral"
"Ancillary_Navy_Merc_Sea_Captain"	"admiral"
"Ancillary_Navy_Naval_Architect"	"minister"
"Ancillary_Navy_Naval_Surveryor"	"minister"
"Ancillary_Navy_Prize_Agent_Good"	"admiral"
"Ancillary_Navy_Purser"	"admiral"
"Ancillary_Navy_Sailing_Master"	"admiral"
"Ancillary_Navy_Surgeon"	"admiral"
"Ancillary_Navy_Watch"	"admiral"
"Ancillary_Numismatist"	"minister"
"Ancillary_Outstanding_Choirmaster"	"minister"
"Ancillary_Pamphleteer_Government"	"minister"
"Ancillary_Pamphleteer_Radical"	"rake"
"Ancillary_Personal_Physician"	"gentleman"
"Ancillary_Pet_Monkey"	"assassin"
"Ancillary_Poet"	"minister"
"Ancillary_Police_Torturer"	"minister"
"Ancillary_Presentation_Sword_1"	"General"
"Ancillary_Presentation_Sword_2"	"admiral"
"Ancillary_Rake_Bawd"	"rake"
"Ancillary_Rake_Professional_Second"	"gentleman"
"Ancillary_Rake_Professional_Second"	"rake"
"Ancillary_Religion_Bishop"	"minister"
"Ancillary_Religion_Imam_Learned"	"minister"
"Ancillary_Religion_Imam_Rabblerouser"	"assassin"
"Ancillary_Religion_Methodist"	"rake"
"Ancillary_Research_Librarian"	"gentleman"
"Ancillary_Research_Lunatic_Jack"	"rake"
"Ancillary_Research_Taxonomist"	"gentleman"
"Ancillary_Tax_Farmer"	"minister"
"Ancillary_Wife_Ambitious"	"minister"
"Ancillary_Wife_Unpleasant"	"minister"
"Ancilllary_Dead_Parrot_Pirate"	"admiral"
"Ancilllary_Pet_Parrot_Nasty"	"admiral"
"Ancilllary_Pet_Parrot_Ordinary"	"admiral"
"Government_Spying_Locksmith"	"assassin"
"Government_Spying_Locksmith"	"rake"
"Spain_Anc_Guitarist_Son"	"General"
"Spain_Anc_Guitarist"	"General"
"Spain_Catalonian_Servant"	"General"
"Spain_Catalonian_Servant"	"gentleman"
"Spain_Catalonian_Servant"	"guerilla"
"Spain_Catalonian_Servant"	"rake"
"Spain_Catalonian_Servant"	"Protestant_Missionary"
"Spain_Catalonian_Servant"	"orthodox_missionary"
