version 2, schema cdir_events_mission_payloads_tables, guid 5a58fd43-979c-4520-88b3-3baa49289294
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)
1205	0	"m_bos_shogun_incite_revolt"	"p_bos_better_shinsengumi"	"SUCCESS"	"DURATION[12];GLOBAL"
1208	0	"m_bos_shogun_kill_character"	"p_bos_inspired_endeavours_global"	"SUCCESS"	"DURATION[12];GLOBAL"
1209	0	"m_bos_shogun_kill_daimyo_in_battle"	"p_bos_war_fervour"	"SUCCESS"	"DURATION[12];GLOBAL"
1211	0	"m_bos_shogun_military_expedition"	"p_bos_lord_of_war"	"SUCCESS"	"DURATION[12];GLOBAL"
1215	0	"m_bos_shogun_military_expedition"	"p_bos_call_to_arms"	"SUCCESS"	"DURATION[6];GLOBAL"
1220	0	"m_bos_old_ways"	"p_bos_samurai_satisfaction"	"SUCCESS"	"DURATION[12];GLOBAL"
1225	0	"m_bos_naval_power"	"p_bos_rule_the_waves"	"SUCCESS"	"DURATION[12];GLOBAL"
1231	0	"m_bos_naval_power"	"p_bos_master_shipwrights"	"SUCCESS"	"DURATION[6];GLOBAL"
1232	0	"bos_intro_1_mission_clan_level"	"p_bos_inspired_endeavours_global"	"SUCCESS"	"DURATION[12];GLOBAL"
1236	0	"bos_intro_2a_mission_expand_shogun"	"p_bos_shoguns_authority"	"SUCCESS"	"DURATION[12];GLOBAL"
1246	0	"bos_intro_2b_mission_expand_imperial"	"p_bos_emperors_mandate"	"SUCCESS"	"DURATION[12];GLOBAL"
126	0	"m_benefits_trade"	"p_thriving_markets"	"SUCCESS"	"DURATION[8]"
128	0	"m_business_of_peace"	"p_nanban_ambassador"	"SUCCESS"	"DURATION[4];GLOBAL"
1284	0	"jap_otomo_intro_mission_two"	"p_master_gunners"	"SUCCESS"	"DURATION[10]"
1288	0	"jap_otomo_intro_mission_three"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Missile_Portuguese_Tercos]"
1297	0	"m_otomo_persecution"	"SPAWN_AGENT"	"SUCCESS"	"AGENT[missionary]"
1307	0	"m_otomo_persecution"	"TARGET"	"SUCCESS"	"CAPITAL"
1315	0	"jap_otomo_intro_mission_three"	"TARGET"	"SUCCESS"	"CAPITAL"
136	0	"m_business_of_peace"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Missile_Imported_Matchlock_Ashigaru]"
144	0	"m_cold_blood"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
147	0	"m_common_cause"	"p_way_words"	"SUCCESS"	"DURATION[4]"
157	0	"m_common_cause"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[4]"
161	0	"m_constant_foe"	"p_war_fervour"	"SUCCESS"	"DURATION[8]"
164	0	"m_counterattack"	"p_vigilance_global"	"SUCCESS"	"DURATION[6]"
165	0	"m_crippling_trade"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
169	0	"m_cultural_development"	"p_administrative_insight"	"SUCCESS"	"DURATION[4]"
174	0	"m_daimyo_assassin"	"p_master_ninja"	"SUCCESS"	"DURATION[8];GLOBAL"
18	0	"m_balance_of_strength_artillery"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Art_Fire_Projecting_Mangonels]"
180	0	"m_delusions_grandeur"	"p_shogunal_deputy"	"SUCCESS"	"DURATION[4];GLOBAL"
182	0	"m_delusions_grandeur"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Sword_Katana_Samurai];GLOBAL"
185	0	"m_demoralising_enemies_buddhist"	"p_master_monks"	"SUCCESS"	"DURATION[6];GLOBAL"
187	0	"m_demoralising_enemies_christian"	"p_master_missionaries"	"SUCCESS"	"DURATION[6];GLOBAL"
189	0	"m_enemies_progress"	"p_nanban_ambassador"	"SUCCESS"	"DURATION[4];GLOBAL"
19	0	"m_balance_of_strength_ashigaru"	"p_master_ashigaru"	"SUCCESS"	"DURATION[6];GLOBAL"
198	0	"m_enemies_progress"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Missile_Matchlock_Ashigaru]"
205	0	"m_enemy_tradition"	"p_shogunal_deputy"	"SUCCESS"	"DURATION[4];GLOBAL"
211	0	"m_enemy_tradition"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Sword_Katana_Samurai]"
219	0	"m_eye_for_eye"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
223	0	"m_eye_for_eye"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[4]"
224	0	"m_false_justice"	"p_master_metsuke"	"SUCCESS"	"DURATION[6];GLOBAL"
227	0	"m_firebrand_missionary"	"p_master_missionaries"	"SUCCESS"	"DURATION[6];GLOBAL"
234	0	"m_firebrand_monk"	"p_master_monks"	"SUCCESS"	"DURATION[6];GLOBAL"
236	0	"m_fortification"	"p_master_builders"	"SUCCESS"	"DURATION[6];GLOBAL"
244	0	"m_hard_times"	"p_prosperity_global"	"SUCCESS"	"DURATION[4];GLOBAL"
246	0	"m_home_guard"	"p_vigilance_local"	"SUCCESS"	"DURATION[8]"
254	0	"m_indomitable"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
255	0	"m_insurgency"	"p_iron_fist"	"SUCCESS"	"DURATION[8]"
257	0	"m_intellectual_matters"	"p_research"	"SUCCESS"	"DURATION[4]"
26	0	"m_balance_of_strength_ashigaru"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Spear_Yari_Ashigaru]"
261	0	"m_into_fold_buddhist"	"p_religious_zeal"	"SUCCESS"	"DURATION[6]"
265	0	"m_into_fold_christian"	"p_religious_zeal"	"SUCCESS"	"DURATION[6]"
271	0	"m_naval_dominance"	"p_rule_the_waves"	"SUCCESS"	"DURATION[4]"
274	0	"m_naval_obstruction"	"p_rule_the_waves"	"SUCCESS"	"DURATION[4]"
283	0	"m_need_for_allies"	"p_way_words"	"SUCCESS"	"DURATION[4]"
291	0	"m_need_for_allies"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[4]"
292	0	"m_offensive"	"p_aggressive_ardour"	"SUCCESS"	"DURATION[6]"
299	0	"m_pressing_attack"	"p_aggressive_ardour"	"SUCCESS"	"DURATION[6]"
302	0	"m_preventive_measures"	"p_staunch_defence"	"SUCCESS"	"DURATION[6]"
309	0	"m_preying_weak"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
318	0	"m_proof_might"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
320	0	"m_resource_management_goods"	"p_prosperity_global"	"SUCCESS"	"DURATION[6];GLOBAL"
323	0	"m_resource_management_iron"	"p_master_smithies"	"SUCCESS"	"DURATION[6];GLOBAL"
325	0	"m_resource_management_stone"	"p_master_builders"	"SUCCESS"	"DURATION[6];GLOBAL"
329	0	"m_resource_management_warhorses"	"p_master_horsebreeders"	"SUCCESS"	"DURATION[6];GLOBAL"
336	0	"m_resource_management_wood"	"p_master_shipwrights"	"SUCCESS"	"DURATION[6];GLOBAL"
342	0	"m_schism"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
346	0	"m_strengthen_borders"	"p_staunch_defence"	"SUCCESS"	"DURATION[6]"
35	0	"m_balance_of_strength_cavalry"	"p_master_horsebreeders"	"SUCCESS"	"DURATION[6];GLOBAL"
355	0	"m_stuff_of_legend_archery"	"p_master_archers"	"SUCCESS"	"DURATION[6];GLOBAL"
359	0	"m_stuff_of_legend_archery"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Missile_Bow_Samurai]"
362	0	"m_stuff_of_legend_cathedral"	"p_master_missionaries"	"SUCCESS"	"DURATION[6];GLOBAL"
370	0	"m_stuff_of_legend_cathedral"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Art_European_Cannons]"
374	0	"m_stuff_of_legend_crafts"	"p_prosperity_global"	"SUCCESS"	"DURATION[4];GLOBAL"
384	0	"m_stuff_of_legend_crafts"	"TREASURY"	"SUCCESS"	"AMOUNT[1000]"
391	0	"m_stuff_of_legend_horse"	"p_master_cavalry"	"SUCCESS"	"DURATION[6];GLOBAL"
392	0	"m_stuff_of_legend_horse"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Cav_Spear_Yari_Cavalry]"
399	0	"m_stuff_of_legend_siege"	"p_master_siegecraft"	"SUCCESS"	"DURATION[6];GLOBAL"
404	0	"m_stuff_of_legend_siege"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Art_Fire_Projecting_Mangonels]"
408	0	"m_stuff_of_legend_stealth"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
410	0	"m_stuff_of_legend_stealth"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Special_Kisho_Ninjas]"
416	0	"m_stuff_of_legend_sword"	"p_master_swordsmen"	"SUCCESS"	"DURATION[6];GLOBAL"
417	0	"m_stuff_of_legend_sword"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Sword_Nodachi_Samurai]"
427	0	"m_stuff_of_legend_temple"	"p_master_monks"	"SUCCESS"	"DURATION[6];GLOBAL"
43	0	"m_balance_of_strength_cavalry"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Cav_Spear_Yari_Cavalry]"
433	0	"m_stuff_of_legend_temple"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Heavy_Naginata_Warrior_Monks]"
438	0	"m_stuff_of_legend_yari"	"p_master_spearmen"	"SUCCESS"	"DURATION[6];GLOBAL"
448	0	"m_stuff_of_legend_yari"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Spear_Yari_Samurai]"
457	0	"m_subversive_strategies"	"p_dreaded_force"	"SUCCESS"	"DURATION[6];GLOBAL"
461	0	"m_supporting_endeavours"	"p_prosperity_global"	"SUCCESS"	"DURATION[6];GLOBAL"
467	0	"m_territorial_expansion_early"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6]"
476	0	"m_territorial_expansion_late"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6]"
478	0	"m_territorial_expansion_middle"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6]"
484	0	"m_thirst_for_battle"	"p_aggressive_ardour"	"SUCCESS"	"DURATION[6]"
492	0	"m_thwarting_nanban"	"p_shogunal_deputy"	"SUCCESS"	"DURATION[4];GLOBAL"
498	0	"m_thwarting_nanban"	"TREASURY"	"SUCCESS"	"AMOUNT[1000]"
499	0	"m_trade_disruption"	"p_lucrative_shipping"	"SUCCESS"	"DURATION[4]"
500	0	"m_turned_against_them"	"p_master_metsuke"	"SUCCESS"	"DURATION[6];GLOBAL"
506	0	"m_undermining_economy"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
512	0	"m_undermining_economy"	"TREASURY"	"SUCCESS"	"AMOUNT[1000]"
52	0	"m_balance_of_strength_heavy_naval"	"p_rule_the_waves"	"SUCCESS"	"DURATION[6];GLOBAL"
522	0	"m_unification_of_japan"	"p_shogunal_deputy"	"SUCCESS"	"DURATION[6];GLOBAL"
528	0	"m_unification_of_japan"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Sword_Katana_Samurai]"
530	0	"m_united_we_stand"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
539	0	"m_unscrupulous"	"p_master_metsuke"	"SUCCESS"	"DURATION[6];GLOBAL"
544	0	"m_war_weariness"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6]"
548	0	"m_war_weariness"	"p_way_words"	"SUCCESS"	"DURATION[4]"
557	0	"m_war_words_buddhist"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
560	0	"m_war_words_christian"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
561	0	"m_way_of_the_warrior"	"p_martial_wisdom"	"SUCCESS"	"DURATION[4]"
567	0	"m_worthy_adversary"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
572	0	"m_instruments_of_war"	"p_ample_supplies"	"SUCCESS"	"DURATION[6]"
580	0	"m_keeping_peace"	"p_iron_fist"	"SUCCESS"	"DURATION[4]"
581	0	"m_instrument_of_justice"	"p_master_metsuke"	"SUCCESS"	"DURATION[6];GLOBAL"
582	0	"m_march_kyoto"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6]"
584	0	"m_master_of_artifice"	"p_master_ninja"	"SUCCESS"	"DURATION[6];GLOBAL"
593	0	"m_protecting_our_interests"	"p_able_sailors"	"SUCCESS"	"DURATION[6]"
599	0	"m_servant_of_heaven"	"p_master_missionaries"	"SUCCESS"	"DURATION[6];GLOBAL"
603	0	"m_spiritual_unity_buddhist"	"p_compassion_buddha_local"	"SUCCESS"	"DURATION[6]"
61	0	"m_balance_of_strength_heavy_naval"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Heavy_Ship_Heavy_Bune]"
613	0	"m_spiritual_unity_christian"	"p_word_of_god_local"	"SUCCESS"	"DURATION[6]"
616	0	"m_advocate_of_enlightenment"	"p_master_monks"	"SUCCESS"	"DURATION[6];GLOBAL"
620	0	"m_breaking_the_blockade"	"p_rule_the_waves"	"SUCCESS"	"DURATION[6]"
622	0	"m_balance_of_strength_artillery"	"TARGET"	"SUCCESS"	"CAPITAL"
623	0	"m_balance_of_strength_ashigaru"	"TARGET"	"SUCCESS"	"CAPITAL"
628	0	"m_balance_of_strength_cavalry"	"TARGET"	"SUCCESS"	"CAPITAL"
634	0	"m_balance_of_strength_heavy_naval"	"TARGET"	"SUCCESS"	"CAPITAL"
642	0	"m_balance_of_strength_infantry_melee"	"TARGET"	"SUCCESS"	"CAPITAL"
646	0	"m_balance_of_strength_infantry_ranged"	"TARGET"	"SUCCESS"	"CAPITAL"
656	0	"m_balance_of_strength_light_naval"	"TARGET"	"SUCCESS"	"CAPITAL"
661	0	"m_balance_of_strength_medium_naval"	"TARGET"	"SUCCESS"	"CAPITAL"
663	0	"m_balance_of_strength_samurai"	"TARGET"	"SUCCESS"	"CAPITAL"
668	0	"m_business_of_peace"	"TARGET"	"SUCCESS"	"CAPITAL"
670	0	"m_delusions_grandeur"	"TARGET"	"SUCCESS"	"CAPITAL"
674	0	"m_enemies_progress"	"TARGET"	"SUCCESS"	"CAPITAL"
684	0	"m_enemy_tradition"	"TARGET"	"SUCCESS"	"CAPITAL"
685	0	"m_stuff_of_legend_archery"	"TARGET"	"SUCCESS"	"CAPITAL"
691	0	"m_stuff_of_legend_horse"	"TARGET"	"SUCCESS"	"CAPITAL"
694	0	"m_stuff_of_legend_siege"	"TARGET"	"SUCCESS"	"CAPITAL"
697	0	"m_stuff_of_legend_sword"	"TARGET"	"SUCCESS"	"CAPITAL"
70	0	"m_balance_of_strength_infantry_melee"	"p_aggressive_ardour"	"SUCCESS"	"DURATION[6];GLOBAL"
705	0	"m_stuff_of_legend_yari"	"TARGET"	"SUCCESS"	"CAPITAL"
712	0	"m_unification_of_japan"	"TARGET"	"SUCCESS"	"CAPITAL"
719	0	"m_stuff_of_legend_cathedral"	"TARGET"	"SUCCESS"	"CAPITAL"
727	0	"m_stuff_of_legend_stealth"	"TARGET"	"SUCCESS"	"CAPITAL"
731	0	"m_stuff_of_legend_temple"	"TARGET"	"SUCCESS"	"CAPITAL"
732	0	"m_spiritual_unity_christian"	"TARGET"	"SUCCESS"	"EVENT"
734	0	"m_spiritual_unity_buddhist"	"TARGET"	"SUCCESS"	"EVENT"
74	0	"m_balance_of_strength_infantry_melee"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Heavy_Naginata_Samurai]"
743	0	"m_home_guard"	"TARGET"	"SUCCESS"	"EVENT"
758	0	"m_path_of_liberation"	"p_compassion_buddha_global"	"SUCCESS"	"DURATION[4];GLOBAL"
766	0	"m_good_fight"	"p_word_of_god_global"	"SUCCESS"	"DURATION[4];GLOBAL"
77	0	"m_balance_of_strength_infantry_ranged"	"p_master_archers"	"SUCCESS"	"DURATION[6];GLOBAL"
771	0	"m_spiritual_unity_ikko"	"p_wisdom_shinran_local"	"SUCCESS"	"DURATION[6]"
778	0	"m_spiritual_unity_ikko"	"TARGET"	"SUCCESS"	"EVENT"
787	0	"m_demoralising_enemies_ikko"	"p_master_ikko_monks"	"SUCCESS"	"DURATION[6];GLOBAL"
792	0	"m_war_words_ikko"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
793	0	"m_into_fold_ikko"	"p_religious_zeal"	"SUCCESS"	"DURATION[6]"
800	0	"m_gem_acts_sabotage"	"p_gem_master_spy"	"SUCCESS"	"DURATION[6];GLOBAL"
805	0	"m_gem_advocate_of_enlightenment"	"p_gem_master_monk"	"SUCCESS"	"DURATION[6];GLOBAL"
813	0	"m_gem_all_assassinate_general"	"p_dreaded_force"	"SUCCESS"	"DURATION[6];GLOBAL"
820	0	"m_gem_convert_province_own"	"p_gem_propaganda"	"SUCCESS"	"DURATION[8];GLOBAL"
823	0	"m_gem_delusions_grandeur"	"p_war_fervour"	"SUCCESS"	"DURATION[6];GLOBAL"
825	0	"m_gem_demoralising_enemies"	"p_gem_master_monk"	"SUCCESS"	"DURATION[6];GLOBAL"
831	0	"m_gem_fuj_capture_yamato"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6];GLOBAL"
837	0	"m_gem_fuj_capture_kyoto"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6];GLOBAL"
843	0	"m_gem_fuj_construct_propaganda"	"p_gem_propaganda"	"SUCCESS"	"DURATION[8];GLOBAL"
845	0	"m_gem_fuj_convert_province_neighbour"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
849	0	"m_gem_incite_revolt"	"p_gem_master_monk"	"SUCCESS"	"DURATION[6];GLOBAL"
857	0	"m_gem_instrument_of_justice"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
859	0	"m_gem_intellectual_matters"	"p_research"	"SUCCESS"	"DURATION[4];GLOBAL"
86	0	"m_balance_of_strength_infantry_ranged"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Inf_Missile_Bow_Samurai]"
861	0	"m_gem_irresistible_charm"	"p_gem_master_dancer"	"SUCCESS"	"DURATION[6];GLOBAL"
870	0	"m_gem_master_of_artifice"	"p_gem_master_spy"	"SUCCESS"	"DURATION[6];GLOBAL"
871	0	"m_gem_min_capture_kyoto"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6];GLOBAL"
879	0	"m_gem_min_construct_propaganda"	"p_gem_propaganda"	"SUCCESS"	"DURATION[8];GLOBAL"
888	0	"m_gem_preventive_measures"	"p_staunch_defence"	"SUCCESS"	"DURATION[6];GLOBAL"
896	0	"m_gem_request_allegiance"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6];GLOBAL"
903	0	"m_gem_seduce_character"	"p_gem_master_dancer"	"SUCCESS"	"DURATION[6];GLOBAL"
904	0	"m_gem_subversive_strategies"	"p_dreaded_force"	"SUCCESS"	"DURATION[6];GLOBAL"
910	0	"m_gem_tai_capture_kyoto"	"p_inspired_endeavours_global"	"SUCCESS"	"DURATION[6];GLOBAL"
917	0	"m_gem_tai_construct_propaganda"	"p_gem_propaganda"	"SUCCESS"	"DURATION[8];GLOBAL"
924	0	"m_gem_tai_convert_province_neighbour"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
93	0	"m_balance_of_strength_light_naval"	"p_rule_the_waves"	"SUCCESS"	"DURATION[6];GLOBAL"
932	0	"m_gem_min_convert_province_neighbour"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
934	0	"m_gem_turned_against_them"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
938	0	"m_gem_unscrupulous"	"p_gem_master_inspector"	"SUCCESS"	"DURATION[6];GLOBAL"
941	0	"m_gem_war_words"	"p_dreaded_force"	"SUCCESS"	"DURATION[6]"
949	0	"m_gem_worthy_adversary"	"p_war_fervour"	"SUCCESS"	"DURATION[6]"
954	0	"m_bos_construct_financial"	"TREASURY"	"SUCCESS"	"AMOUNT[1500]"
963	0	"m_bos_construct_financial"	"p_bos_thriving_markets"	"SUCCESS"	"DURATION[6];GLOBAL"
966	0	"m_bos_imperial_kill_daimyo_in_battle"	"p_bos_war_fervour"	"SUCCESS"	"DURATION[12];GLOBAL"
972	0	"m_bos_imperial_capture_edo"	"p_bos_emperors_mandate"	"SUCCESS"	"DURATION[6];GLOBAL"
98	0	"m_balance_of_strength_light_naval"	"SPAWN_UNIT"	"SUCCESS"	"UNIT[Light_Ship_Bow_Kobaya]"
981	0	"m_bos_imperial_capture_kyoto"	"p_bos_emperors_mandate"	"SUCCESS"	"DURATION[6];GLOBAL"
990	0	"m_bos_imperial_capture_region"	"p_bos_war_fervour"	"SUCCESS"	"DURATION[12];GLOBAL"
997	0	"m_bos_imperial_convert_other_region"	"p_bos_better_ishinshishi"	"SUCCESS"	"DURATION[12];GLOBAL"
