version 1, schema ancillaries_tables
Ancillary_ID(string)	Ancillary_Type_IDRef(string)	applies_to(string)	transferrable(boolean)	unique_to_world(boolean)	unique_to_faction(boolean)	precedence(int)	Start_Date(int)	End_Date(int)
"Ancillary_Rake_Bawd"	"matronly_woman"	"character"	true	false	false	6	1700	1900
"Ancillary_Rake_Professional_Second"	"florid_nobleman"	"character"	false	false	false	6	1700	1900
"Ancillary_Religion_Bishop"	"wealthy_merchant"	"character"	true	false	true	6	1700	1900
"Ancillary_Religion_Imam_Learned"	"turk_with_turban"	"character"	true	false	true	6	1700	1900
"Ancillary_Religion_Imam_Rabblerouser"	"turk_with_turban"	"character"	false	false	true	6	1700	1900
"Ancillary_Religion_Methodist"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Research_Librarian"	"clerk_type_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Research_Lunatic_Jack"	"loony"	"character"	false	false	true	6	1700	1900
"Ancillary_Research_Taxonomist"	"clerk_type_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Tax_Farmer"	"wealthy_merchant"	"character"	true	false	true	6	1700	1900
"Ancillary_Wife_Ambitious"	"matronly_woman"	"character"	false	false	false	6	1700	1900
"Ancillary_Wife_Unpleasant"	"matronly_woman"	"character"	false	false	false	6	1700	1900
"Ancilllary_Dead_Parrot_Pirate"	"naval_officer"	"character"	false	false	true	9	1700	1900
"Ancilllary_Pet_Parrot_Nasty"	"parrot"	"character"	true	false	true	6	1700	1900
"Ancilllary_Pet_Parrot_Ordinary"	"parrot"	"character"	false	false	false	6	1700	1900
"Ancilllary_Pet_Parrot_Pirate"	"parrot"	"character"	true	false	true	6	1700	1900
"Government_Spying_Locksmith"	"craftsman"	"character"	true	false	true	6	1700	1900
