version 2, schema projectiles_tables
Projectile_ID(string)	Type(string)	Shot_x0020_Type(string)	Missile_x0020_Type(string)	Model(optstring)	Projectile_Explosion_IDRef(optstring)	Trail(optstring)	Spin(string)	Number_of_Pellets(int)	In_x0020_Flight_x0020_Transition(optstring)	Trajectory_x0020_Sight(string)	Range(int)	Minimum_x0020_Range(int)	Max_x0020_Elevation(int)	Velocity(float)	Marksmanship_x0020_Bonus(float)	Maximum_deviance_x0020_from_0_to_360(float)	Damage(float)	Damage_x0020_Range_effectiveness(optstring)	Incendiary(optstring)	Blast_x0020_Effect(optstring)	Can_x0020_Bounce(boolean)	High_x0020_Air_x0020_Resistance(boolean)	Collision_x0020_Radius(float)	Base_Reload__x0020_Time_x0020__x0023_Added_to_animation(int)	Base_x0020_Misfire_x0020_Chance(int)	Weather_x0020_Effect(optstring)	Sail_x0020_Damage_x0020_Modifier(float)	Below_x0020_Waterline_x0020_Damage_x0020_Modifier(float)	Launch_x0020_Audio(string)	Hit_x0020_Audio(string)	Launch_x0020_Particle_x0020_Effect(optstring)	Projectile_x0020_Trail_x0020_Particle_x0020_Effect(optstring)	Impact(optstring)	Gun_x0020_Type(optstring)
"cannon_8_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	135	0	25	150	0	6	1	"effective_range_based"	nil	nil	false	false	0.1	20	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"	"cannon"
"cannon_8_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	520	0	30	250	0	0	25	"low"	"low"	"impact"	true	false	0.1	20	0	nil	0.1	0	"gun"	"large"	"LandGunFire_small"	nil	"default_ball"	"cannon"
"cannon_9_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	135	0	25	150	0	6	1	"effective_range_based"	nil	nil	false	false	0.1	20	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"	"cannon"
"cannon_9_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	520	0	30	250	0	0	25	"low"	"low"	"impact"	true	false	0.1	20	0	nil	0.1	0	"gun"	"large"	"LandGunFire_small"	nil	"default_ball"	"cannon"
"carcass_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	1	"n"	"low"	50	0	90	4	0	0	0.99	"low"	"high"	nil	false	true	0.1	0	0	"medium"	2	0	"boom"	"small"	nil	"carcass_fragment_trail"	"default_ball"	"none"
"chakkar"	"missile"	"chakkar_ring"	"chakram"	nil	nil	"none"	"none"	1	nil	"low"	50	0	30	24	0	0	0.99	nil	nil	nil	false	false	0.1	10	0	nil	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"none"
"ember_drifting"	"missile"	"grape"	"shrapnel"	"projectile_fragment01"	nil	"none"	"none"	1	"n"	"low"	50	0	90	23	0	0	0.1	nil	"high"	nil	false	false	0	0	0	nil	1	0	"flight"	"none"	nil	nil	"musket_ball"	"none"
"ember_propelled"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"none"	"none"	1	"n"	"low"	100	0	90	32	0	0	1	nil	"high"	nil	false	false	0.1	0	0	nil	1	0	"flight"	"small"	nil	nil	"musket_ball"	"none"
"fort_12_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	200	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"fort_12_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	250	0	0	27	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"fort_12_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_12lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	150	0	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"fort_18_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	200	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"fort_18_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	250	0	0	36	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"fort_18_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_18lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	150	0	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"fort_24_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	200	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"fort_24_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	250	0	0	40	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fort_24_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_24lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	150	0	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fort_32_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	200	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"fort_32_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	200	0	0	48	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fort_32_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_32lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	200	0	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fort_carronade_64_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	200	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"fort_carronade_64_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	250	0	0	70	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fort_carronade_64_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_64lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	200	0	10	8	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"fougasse_basic"	"special"	"fougasse"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	14	nil	"low"	50	0	90	25	0	10	50	"effective_range_based"	"high"	"explode"	false	false	0.1	0	0	nil	0.1	0	"boom"	"large"	"fougasse_default"	nil	"musket_ball"	"fougasse_basic"
"fougasse_improved"	"special"	"improved_fougasse"	"grenade"	"projectile_grenade"	"grenade"	"alpha"	"none"	14	"n"	"low"	50	0	60	25	0	10	70	nil	"high"	"explode"	true	false	0.05	0	0	nil	0.1	0	"boom"	"large"	"fougasse_default"	nil	"musket_ball"	"fougasse_improved"
"grappling_hook"	"missile"	"grappling_hook"	"grapple"	"grapple"	nil	"none"	"none"	1	nil	"low"	15	0	90	13	0	0	0	nil	nil	nil	false	false	0.1	12	0	"medium"	0.1	0	"grapple"	"small"	nil	nil	"musket_ball"	"none"
"grenade"	"missile"	"grenade"	"grenade"	"projectile_grenade"	"grenade"	"none"	"grenade_spin"	1	"shrapnel"	"fixed"	35	5	50	16	-100	0	0	nil	"medium"	nil	true	false	0.01	20	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"grenade"
"grenade_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha_shrapnel"	"grenade_spin"	1	nil	"low"	5	0	30	25	0	0	0.2	nil	nil	nil	true	true	0.007999999448657036	0	0	nil	0.1	0	"boom"	"small"	nil	nil	"musket_ball"	"none"
"grenade_improved"	"missile"	"improved_grenade"	"grenade"	"projectile_grenade"	"grenade_improved"	"none"	"grenade_spin"	1	"shrapnel"	"fixed"	35	5	50	16	-100	0	0	nil	"medium"	nil	true	false	0.01	20	5	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"grenade"
"grenade_launched"	"missile"	"bullet"	"grenade"	"projectile_grenade"	"grenade"	"alpha"	"grenade_spin"	1	"shrapnel"	"low"	70	5	90	30	0	0	0	nil	"medium"	nil	true	false	0.01	20	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"grenade_launched"
"grenade_launched_improved"	"missile"	"bullet"	"grenade"	"projectile_grenade"	"grenade_improved"	"alpha"	"grenade_spin"	1	"shrapnel"	"fixed"	70	5	90	30	0	0	0	nil	"medium"	nil	true	false	0.01	20	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"grenade_launched"
"howitzer_5_In_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	35	nil	"low"	100	25	15	150	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"howitzer"
"howitzer_5_In_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	100	20	200	-50	0	18	"high"	"medium"	"explode"	false	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"howitzer_6_In_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	35	nil	"low"	100	25	15	150	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"howitzer"
"howitzer_6_In_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	100	20	200	-50	0	18	"high"	"medium"	"explode"	false	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"howitzer_7_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	35	nil	"low"	100	25	15	150	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"howitzer"
"howitzer_7_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	100	20	200	-50	0	18	"high"	"medium"	"explode"	false	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"howitzer_experimental_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_12lb"	"alpha"	"none"	1	nil	"fixed"	400	100	20	50	-50	0	18	"low"	"high"	"carcass"	true	false	0.1	35	0	nil	1	0	"gun"	"large"	"LandGunFire_howitzer"	"carcass_trail"	"default_ball"	"howitzer"
"howitzer_experimental_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_12lb"	"alpha"	"none"	1	"n"	"fixed"	400	100	20	81	-50	0	18	nil	nil	nil	false	false	0.1	35	0	nil	0.1	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"javelin"	"missile"	"javelin"	"javelin"	nil	nil	"none"	"none"	1	nil	"low"	40	0	44	20	0	0	0.99	nil	nil	nil	false	false	0.1	12	0	nil	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"none"
"mortar_4_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_4_mortar"	"alpha"	"none"	1	"n"	"fixed"	700	200	45	86	0	0	18	nil	nil	nil	false	false	0.1	25	0	nil	0.1	0	"gun"	"large"	"LandGunFire_mortar"	"quicklime_trail"	"default_ball"	"mortar"
"mortar_4_shell"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_shell"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	700	200	45	86	0	0	18	"high"	"high"	"explode"	true	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"mortar"
"mortar_4_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"fixed"	700	200	45	86	0	0	42	"high"	"low"	"impact"	false	false	0.1	25	0	nil	0.1	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"mortar"
"mortar_8_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_8_mortar"	"alpha"	"none"	1	"n"	"fixed"	750	250	45	86	0	0	24	nil	nil	nil	false	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_mortar"	"quicklime_trail"	"default_ball"	"mortar"
"mortar_8_shell"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"mortar_8_shell"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	750	250	45	86	0	0	36	"high"	"high"	"explode"	true	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"mortar"
"mortar_8_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"fixed"	750	250	45	86	0	0	70	"high"	"low"	"impact"	false	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"mortar"
"musket_breech_loader"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	125	0	88	200	0	0	0.75	"ap"	nil	nil	false	false	0.1	10	1	"medium"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_breech"
"musket_carbine"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	"n"	"low"	80	0	88	150	0	0	0.75	"ap"	nil	nil	false	false	0.1	15	1	"medium"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_carbine"
"musket_double"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	2	"n"	"low"	80	0	88	150	0	1	0.75	"ap"	nil	nil	false	false	0.1	30	1	"medium"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket"
"musket_flintlock"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	80	0	88	150	0	0	0.75	"ap"	nil	nil	false	false	0.1	20	1	"medium"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_flintlock"
"musket_light_infantry_flintlock"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	100	0	88	150	0	0	0.75	"ap"	nil	nil	false	false	0.1	20	1	"medium"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_flintlock"
"musket_matchlock"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	80	0	88	150	0	0	0.75	"ap"	nil	nil	false	false	0.1	20	1	"high"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_matchlock"
"musket_matchlock_tutorial"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	"n"	"low"	80	0	88	150	0	0	0.99	"ap"	nil	nil	false	false	0.1	15	1	"high"	0.1	0	"small_arm"	"small"	"MusketFire"	nil	"musket_ball"	"musket_matchlock"
"musket_rifle"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	125	0	88	200	0	0	0.75	"ap"	nil	nil	false	false	0.1	45	1	"medium"	0.1	0	"small_arm"	"small"	"rifleFire"	nil	"musket_ball"	"musket"
"naval_12_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	nil	"low"	300	0	30	150	25	0	4	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_chain_lr"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	350	0	30	150	25	0	6	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	nil	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_12_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	12	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_shot_lr"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	12	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_shot_lr_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	50	0	12	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_shot_lr_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	12	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_12_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	nil	"low"	300	0	30	150	25	0	4	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_chain_lr"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	nil	"low"	350	0	30	150	25	0	6	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	nil	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_18_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_shot_lr"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_shot_lr_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	50	0	18	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_shot_lr_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	18	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_18_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	30	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
