version 1, schema building_effects_junction_tables, guid f65a0a55-fa7a-4052-a17d-97c166e84b96
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"GEM_Clan_4_Taira_Palace"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_4_Taira_Palace"	"gem_agent_xp_mod_dancer"	1
"GEM_Clan_4_Taira_Palace"	"gem_conversion_clan_influence_gem_taira"	5
"GEM_Clan_4_Taira_Palace"	"gem_conversion_clan_influence_osmosis_gem_taira"	1
"GEM_Clan_4_Taira_Palace"	"tax_bonus_building"	20
"GEM_Economy_1_Barter"	"gdp_industry"	200
"GEM_Economy_1_Barter"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_1_Barter"	"tw_growth_industry"	5
"GEM_Economy_2_Food_Stores"	"food_provision"	1
"GEM_Economy_2_Food_Stores"	"gdp_industry"	200
"GEM_Economy_2_Food_Stores"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_2_Food_Stores"	"tw_growth_industry"	10
"GEM_Economy_2_Market"	"gdp_industry"	500
"GEM_Economy_2_Market"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_2_Market"	"tw_growth_industry"	5
"GEM_Economy_3_Goods_Exchange"	"gdp_industry"	800
"GEM_Economy_3_Goods_Exchange"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_3_Goods_Exchange"	"tw_growth_industry"	5
"GEM_Economy_3_Granary"	"food_provision"	2
"GEM_Economy_3_Granary"	"gdp_industry"	200
"GEM_Economy_3_Granary"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_3_Granary"	"tw_growth_industry"	15
"GEM_Economy_4_Grain_Warehouse"	"food_provision"	3
"GEM_Economy_4_Grain_Warehouse"	"gdp_industry"	400
"GEM_Economy_4_Grain_Warehouse"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_4_Grain_Warehouse"	"tw_growth_industry"	30
"GEM_Economy_4_Merchant_Guild"	"gdp_industry"	1500
"GEM_Economy_4_Merchant_Guild"	"gem_agent_availability_quality_inspector"	1
"GEM_Economy_4_Merchant_Guild"	"gem_agent_xp_mod_inspector"	1
"GEM_Economy_4_Merchant_Guild"	"tw_growth_industry"	10
"GEM_Farming_1_Fields"	"food_provision"	1
"GEM_Farming_1_Fields"	"gdp_farm"	200
"GEM_Farming_1_Fields"	"tw_growth_industry"	1
"GEM_Farming_2_Dry_Field_Agriculture"	"food_provision"	2
"GEM_Farming_2_Dry_Field_Agriculture"	"gdp_farm"	340
"GEM_Farming_2_Dry_Field_Agriculture"	"tw_growth_industry"	1
"GEM_Farming_2_Pastures"	"food_provision"	1
"GEM_Farming_2_Pastures"	"gdp_farm"	280
"GEM_Farming_2_Pastures"	"gem_enables_cavalry_recruitment"	1
"GEM_Farming_2_Pastures"	"tw_growth_industry"	1
"GEM_Farming_3_Horse_Breeders"	"food_provision"	1
"GEM_Farming_3_Horse_Breeders"	"gdp_farm"	320
"GEM_Farming_3_Horse_Breeders"	"gem_enables_cavalry_recruitment"	1
"GEM_Farming_3_Horse_Breeders"	"mod_unit_xp_cavalry"	1
"GEM_Farming_3_Horse_Breeders"	"tw_growth_industry"	1
"GEM_Farming_3_Rice_Paddies"	"food_provision"	3
"GEM_Farming_3_Rice_Paddies"	"gdp_farm"	420
"GEM_Farming_3_Rice_Paddies"	"tw_growth_industry"	1
"GEM_Farming_4_Improved_Irrigation"	"food_provision"	4
"GEM_Farming_4_Improved_Irrigation"	"gdp_farm"	700
"GEM_Farming_4_Improved_Irrigation"	"tw_growth_industry"	1
"GEM_Farming_4_Warhorse_Studs"	"food_provision"	1
"GEM_Farming_4_Warhorse_Studs"	"gdp_farm"	500
"GEM_Farming_4_Warhorse_Studs"	"gem_enables_cavalry_recruitment"	1
"GEM_Farming_4_Warhorse_Studs"	"mod_unit_xp_cavalry"	2
"GEM_Farming_4_Warhorse_Studs"	"tw_growth_industry"	1
"GEM_Gov_1_Tadokoro"	"recruitment_points"	1
"GEM_Gov_1_Tadokoro"	"repression_building"	4
"GEM_Gov_2_Muster_Field"	"recruitment_points"	1
"GEM_Gov_2_Muster_Field"	"repression_building"	5
"GEM_Gov_2_Training_Grounds"	"recruitment_points"	2
"GEM_Gov_2_Training_Grounds"	"replenishment_percentage_bonus"	4
"GEM_Gov_2_Training_Grounds"	"repression_building"	4
"GEM_Gov_3_Barracks"	"recruitment_points"	2
"GEM_Gov_3_Barracks"	"replenishment_percentage_bonus"	10
"GEM_Gov_3_Barracks"	"repression_building"	4
"GEM_Gov_3_Militia_Hall"	"recruitment_points"	1
"GEM_Gov_3_Militia_Hall"	"repression_building"	6
"GEM_Gov_4_Arsenal"	"recruitment_points"	3
"GEM_Gov_4_Arsenal"	"replenishment_percentage_bonus"	20
"GEM_Gov_4_Arsenal"	"repression_building"	4
"GEM_Gov_4_Kondeidokoro"	"recruitment_points"	1
"GEM_Gov_4_Kondeidokoro"	"repression_building"	7
"GEM_Infrastructure_1_Trails"	"road_level_zero"	0
"GEM_Infrastructure_2_Roads"	"replenishment_percentage_bonus"	2
"GEM_Infrastructure_2_Roads"	"road_level_one"	0
"GEM_Infrastructure_2_Roads"	"tw_growth_roads"	4
"GEM_Infrastucture_3_Post_stations"	"replenishment_percentage_bonus"	5
"GEM_Infrastucture_3_Post_stations"	"road_level_two"	0
"GEM_Infrastucture_3_Post_stations"	"tw_growth_roads"	10
"GEM_Infrastucture_4_Imperial_Roads"	"replenishment_percentage_bonus"	10
"GEM_Infrastucture_4_Imperial_Roads"	"road_level_three"	0
"GEM_Infrastucture_4_Imperial_Roads"	"tw_growth_roads"	15
"GEM_Koryu_3_Koryu_Dojo"	"gem_mod_unit_recruit_time_naginata"	-1
"GEM_Koryu_4_Legendary_Koryu_Dojo"	"gem_mod_unit_recruit_time_naginata"	-1
"GEM_Port_1_Coastal_Village"	"gdp_port"	100
"GEM_Port_1_Coastal_Village"	"naval_recruitment_points"	1
"GEM_Port_1_Coastal_Village"	"tw_growth_port"	1
"GEM_Port_2_Harbour"	"export_capacity_port"	80
"GEM_Port_2_Harbour"	"gdp_port"	200
"GEM_Port_2_Harbour"	"naval_recruitment_points"	1
"GEM_Port_2_Harbour"	"trade_routes_mod_max_sea"	1
"GEM_Port_2_Harbour"	"tw_growth_port"	3
"GEM_Port_2_Military_Port"	"gdp_port"	100
"GEM_Port_2_Military_Port"	"naval_recruitment_points"	2
"GEM_Port_2_Military_Port"	"tw_growth_port"	1
"GEM_Port_3_Drydock"	"gdp_port"	200
"GEM_Port_3_Drydock"	"naval_recruitment_points"	3
"GEM_Port_3_Drydock"	"tw_growth_port"	1
"GEM_Port_3_Trading_Port"	"export_capacity_port"	160
"GEM_Port_3_Trading_Port"	"gdp_port"	400
"GEM_Port_3_Trading_Port"	"naval_recruitment_points"	1
"GEM_Port_3_Trading_Port"	"trade_routes_mod_max_sea"	2
"GEM_Port_3_Trading_Port"	"tw_growth_port"	10
"GEM_Region_Specialty_Craftwork_1_Artisans"	"gdp_industry"	150
"GEM_Region_Specialty_Craftwork_1_Artisans"	"gem_commodity_prod_crafts"	10
"GEM_Region_Specialty_Craftwork_1_Artisans"	"mod_unit_accuracy_all_local"	6
"GEM_Region_Specialty_Craftwork_2_Fletcher"	"gdp_industry"	150
"GEM_Region_Specialty_Craftwork_2_Fletcher"	"gem_commodity_prod_crafts"	10
"GEM_Region_Specialty_Craftwork_2_Fletcher"	"mod_unit_accuracy_all_local"	13
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	"gdp_industry"	300
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	"gem_commodity_prod_crafts"	25
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	"mod_unit_accuracy_all_local"	6
"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"	"gdp_industry"	600
"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"	"gem_commodity_prod_crafts"	50
"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"	"mod_unit_accuracy_all_local"	6
"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"	"gdp_industry"	150
"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"	"gem_commodity_prod_crafts"	10
"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"	"mod_unit_accuracy_all_local"	20
"GEM_Region_Specialty_Gold_Mining_1_Placer_Gold_Min"	"gdp_mine"	500
"GEM_Region_Specialty_Gold_Mining_2_Gold_Lodes"	"gdp_mine"	1000
"GEM_Region_Specialty_Gold_Mining_3_Gold_Mine"	"gdp_mine"	1500
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"gem_mod_unit_xp_warrior_monks"	1
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"happy_culture_all"	1
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"mod_unit_morale_regional"	1
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	"gem_mod_unit_xp_warrior_monks"	2
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	"happy_culture_all"	2
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	"mod_unit_morale_regional"	1
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	"gem_mod_unit_xp_warrior_monks"	1
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	"happy_culture_all"	2
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	"mod_unit_morale_regional"	2
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"gem_mod_unit_xp_warrior_monks"	4
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"happy_culture_all"	3
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"mod_unit_morale_regional"	1
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"gem_mod_unit_xp_warrior_monks"	1
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"happy_culture_all"	3
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"mod_unit_morale_regional"	3
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	"gdp_mine"	150
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	"gem_commodity_prod_iron"	10
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	"mod_unit_recruitment_cost_all"	-10
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	"gdp_mine"	300
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	"gem_commodity_prod_iron"	20
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	"mod_unit_recruitment_cost_all"	-15
"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"	"gdp_mine"	450
"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"	"gem_commodity_prod_iron"	30
"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"	"mod_unit_recruitment_cost_all"	-20
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	"gdp_port"	200
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	"mod_unit_xp_ships"	1
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	"tw_growth_port"	2
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	"gdp_port"	300
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	"mod_unit_xp_ships"	2
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	"tw_growth_port"	4
"GEM_Region_Specialty_Naval_3_Pirate_Den"	"gdp_port"	500
"GEM_Region_Specialty_Naval_3_Pirate_Den"	"mod_unit_xp_ships"	3
"GEM_Region_Specialty_Naval_3_Pirate_Den"	"tw_growth_port"	6
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	"gdp_industry"	200
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	"gem_agent_availability_quality_spy"	1
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	"gdp_industry"	400
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	"gem_agent_availability_quality_spy"	1
"GEM_Region_Specialty_Ninja_3_Smuggling_Network"	"gdp_industry"	600
"GEM_Region_Specialty_Ninja_3_Smuggling_Network"	"gem_agent_availability_quality_spy"	2
"GEM_Region_Specialty_Silk_1_Silk_Workshop"	"gdp_industry"	250
"GEM_Region_Specialty_Silk_1_Silk_Workshop"	"gem_commodity_prod_silk"	10
"GEM_Region_Specialty_Silk_2_Silk_Spinner"	"gdp_industry"	450
"GEM_Region_Specialty_Silk_2_Silk_Spinner"	"gem_commodity_prod_silk"	20
"GEM_Region_Specialty_Silk_3_Master_Silk_Spinner"	"gdp_industry"	650
"GEM_Region_Specialty_Silk_3_Master_Silk_Spinner"	"gem_commodity_prod_silk"	30
"GEM_Region_Specialty_Smithing_1_Blacksmith"	"gem_mod_unit_armour_all"	1
"GEM_Region_Specialty_Smithing_1_Blacksmith"	"gem_mod_unit_melee_all_local"	3
"GEM_Region_Specialty_Smithing_2_Armourer"	"gem_mod_unit_armour_all"	2
"GEM_Region_Specialty_Smithing_2_Armourer"	"gem_mod_unit_melee_all_local"	3
"GEM_Region_Specialty_Smithing_2_Weaponsmith"	"gem_mod_unit_armour_all"	1
"GEM_Region_Specialty_Smithing_2_Weaponsmith"	"gem_mod_unit_melee_all_local"	4
"GEM_Region_Specialty_Smithing_3_Master_Armourer"	"gem_mod_unit_armour_all"	3
"GEM_Region_Specialty_Smithing_3_Master_Armourer"	"gem_mod_unit_melee_all_local"	3
"GEM_Region_Specialty_Smithing_3_Master_Weaponsmith"	"gem_mod_unit_armour_all"	1
"GEM_Region_Specialty_Smithing_3_Master_Weaponsmith"	"gem_mod_unit_melee_all_local"	5
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	"gdp_industry"	120
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	"gem_commodity_prod_wood"	10
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	"mod_unit_recruitment_cost_ships_local"	-10
"GEM_Region_Specialty_Timber_2_Lumberyard"	"gdp_industry"	280
"GEM_Region_Specialty_Timber_2_Lumberyard"	"gem_commodity_prod_wood"	20
"GEM_Region_Specialty_Timber_2_Lumberyard"	"mod_unit_recruitment_cost_ships_local"	-20
"GEM_Region_Specialty_Timber_3_Sawmills"	"gdp_industry"	450
"GEM_Region_Specialty_Timber_3_Sawmills"	"gem_commodity_prod_wood"	30
"GEM_Region_Specialty_Timber_3_Sawmills"	"mod_unit_recruitment_cost_ships_local"	-30
"SHO_Archery_3_Bow_Master_Dojo"	"unit_mod_samurai_archer_recruit_time"	-1
"SHO_Archery_4_Legendary_Dojo"	"mod_unit_accuracy_all_local"	2
"SHO_Archery_4_Legendary_Dojo"	"unit_mod_samurai_archer_recruit_time"	-1
"SHO_Buddhist_1_Temple"	"agent_availability_quality_monk"	1
"SHO_Buddhist_1_Temple"	"conversion_buddhist"	0.5
"SHO_Buddhist_1_Temple"	"happy_religion_buddhist"	1
"SHO_Buddhist_2_Monastery"	"agent_availability_quality_monk"	1
"SHO_Buddhist_2_Monastery"	"conversion_buddhist"	1.5
"SHO_Buddhist_2_Monastery"	"conversion_buddhist_osmosis"	1
"SHO_Buddhist_2_Monastery"	"happy_religion_buddhist"	1
"SHO_Buddhist_3_Temple_Complex"	"agent_availability_quality_monk"	1
"SHO_Buddhist_3_Temple_Complex"	"conversion_buddhist"	3.5
"SHO_Buddhist_3_Temple_Complex"	"conversion_buddhist_osmosis"	2.5
"SHO_Buddhist_3_Temple_Complex"	"happy_religion_buddhist"	2
"SHO_Buddhist_4_Legendary_Temple"	"agent_XP_mod_monk"	2
"SHO_Buddhist_4_Legendary_Temple"	"agent_availability_quality_monk"	1
"SHO_Buddhist_4_Legendary_Temple"	"conversion_buddhist"	5.5
"SHO_Buddhist_4_Legendary_Temple"	"conversion_buddhist_osmosis"	5
"SHO_Buddhist_4_Legendary_Temple"	"happy_religion_buddhist"	2
"SHO_Buddhist_4_Legendary_Temple"	"tax_bonus_building"	25
"SHO_Buff_1_Encampment"	"recruitment_cost_mod_land_all"	-10
"SHO_Buff_1_Encampment"	"replenishment_percentage_bonus"	10
"SHO_Buff_2_Armoury"	"mod_unit_armour_all_local"	2
"SHO_Buff_2_Armoury"	"recruitment_cost_mod_land_all"	-10
"SHO_Buff_2_Armoury"	"replenishment_percentage_bonus"	10
"SHO_Buff_2_Barracks"	"recruitment_cost_mod_land_all"	-20
"SHO_Buff_2_Barracks"	"replenishment_percentage_bonus"	20
"SHO_Buff_2_Hunting_Lodge"	"mod_unit_accuracy_all_local"	5
"SHO_Buff_2_Hunting_Lodge"	"recruitment_cost_mod_land_all"	-10
"SHO_Buff_2_Hunting_Lodge"	"replenishment_percentage_bonus"	10
"SHO_Buff_2_Jiujutsu_Dojo"	"mod_unit_melee_all_local"	2
"SHO_Buff_2_Jiujutsu_Dojo"	"recruitment_cost_mod_land_all"	-10
"SHO_Buff_2_Jiujutsu_Dojo"	"replenishment_percentage_bonus"	10
"SHO_Buff_2_Proving_Grounds"	"mod_unit_charge_all_local"	5
"SHO_Buff_2_Proving_Grounds"	"recruitment_cost_mod_land_all"	-10
"SHO_Buff_2_Proving_Grounds"	"replenishment_percentage_bonus"	10
"SHO_Castle_1_Fort"	"food_consumption"	1
"SHO_Castle_1_Fort"	"recruitment_points"	1
"SHO_Castle_1_Fort"	"repression_building"	4
"SHO_Castle_2_Stronghold"	"castle_slot_addition"	0
"SHO_Castle_2_Stronghold"	"food_consumption"	2
"SHO_Castle_2_Stronghold"	"recruitment_points"	1
"SHO_Castle_2_Stronghold"	"replenishment_percentage_bonus"	5
"SHO_Castle_2_Stronghold"	"repression_building"	5
"SHO_Castle_3_Fortress"	"castle_slot_addition"	0
"SHO_Castle_3_Fortress"	"food_consumption"	3
"SHO_Castle_3_Fortress"	"recruitment_points"	2
"SHO_Castle_3_Fortress"	"replenishment_percentage_bonus"	8
"SHO_Castle_3_Fortress"	"repression_building"	6
"SHO_Castle_4_Castle"	"castle_slot_addition"	0
"SHO_Castle_4_Castle"	"food_consumption"	4
"SHO_Castle_4_Castle"	"recruitment_points"	3
"SHO_Castle_4_Castle"	"replenishment_percentage_bonus"	12
"SHO_Castle_4_Castle"	"repression_building"	8
"SHO_Castle_5_Citadel"	"castle_slot_addition"	0
"SHO_Castle_5_Citadel"	"food_consumption"	5
"SHO_Castle_5_Citadel"	"recruitment_points"	5
"SHO_Castle_5_Citadel"	"replenishment_percentage_bonus"	25
"SHO_Castle_5_Citadel"	"repression_building"	12
"SHO_Cavalry_3_Bajutsu_Master"	"unit_mod_samurai_cavalry_recruit_time"	-1
"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"	"unit_mod_samurai_cavalry_recruit_time"	-1
"SHO_Christian_1_Chapel"	"agent_availability_quality_missionary"	1
"SHO_Christian_1_Chapel"	"conversion_catholic"	1.5
"SHO_Christian_1_Chapel"	"conversion_catholic_osmosis"	1.5
"SHO_Christian_1_Chapel"	"happy_religion_catholic"	1
"SHO_Christian_1_Chapel"	"tw_growth_mod_all"	2
"SHO_Christian_2_Hospital"	"agent_availability_quality_missionary"	1
"SHO_Christian_2_Hospital"	"conversion_catholic"	5.5
"SHO_Christian_2_Hospital"	"conversion_catholic_osmosis"	1.5
"SHO_Christian_2_Hospital"	"happy_religion_catholic"	1
"SHO_Christian_2_Hospital"	"replenishment_percentage_bonus"	2
"SHO_Christian_2_Hospital"	"siege_defend_time_mod"	1
"SHO_Christian_2_Hospital"	"tw_growth_mod_all"	2
"SHO_Christian_2_Mission"	"agent_availability_quality_missionary"	1
"SHO_Christian_2_Mission"	"conversion_catholic"	3.5
"SHO_Christian_2_Mission"	"conversion_catholic_osmosis"	3
"SHO_Christian_2_Mission"	"happy_religion_catholic"	1
"SHO_Christian_2_Mission"	"tw_growth_mod_all"	4
"SHO_Christian_3_Church"	"agent_availability_quality_missionary"	1
"SHO_Christian_3_Church"	"conversion_catholic"	5.5
"SHO_Christian_3_Church"	"conversion_catholic_osmosis"	4.5
"SHO_Christian_3_Church"	"happy_religion_catholic"	2
"SHO_Christian_3_Church"	"tw_growth_mod_all"	5
"SHO_Christian_3_Jesuit_Seminar"	"agent_availability_quality_missionary"	1
"SHO_Christian_3_Jesuit_Seminar"	"conversion_catholic"	7.5
"SHO_Christian_3_Jesuit_Seminar"	"conversion_catholic_osmosis"	1.5
"SHO_Christian_3_Jesuit_Seminar"	"happy_religion_catholic"	1
"SHO_Christian_3_Jesuit_Seminar"	"replenishment_percentage_bonus"	4
"SHO_Christian_3_Jesuit_Seminar"	"siege_defend_time_mod"	2
"SHO_Christian_3_Jesuit_Seminar"	"tw_growth_mod_all"	2
"SHO_Christian_4_Cathedral"	"agent_XP_mod_missionary"	2
"SHO_Christian_4_Cathedral"	"agent_availability_quality_missionary"	1
"SHO_Christian_4_Cathedral"	"conversion_catholic"	7.5
"SHO_Christian_4_Cathedral"	"conversion_catholic_osmosis"	6
"SHO_Christian_4_Cathedral"	"happy_religion_catholic"	3
"SHO_Christian_4_Cathedral"	"tw_growth_mod_all"	10
"SHO_Christian_4_Jesuit_College"	"agent_XP_mod_missionary"	3
"SHO_Christian_4_Jesuit_College"	"agent_availability_quality_missionary"	1
"SHO_Christian_4_Jesuit_College"	"conversion_catholic"	10
"SHO_Christian_4_Jesuit_College"	"conversion_catholic_osmosis"	1.5
"SHO_Christian_4_Jesuit_College"	"happy_religion_catholic"	1
"SHO_Christian_4_Jesuit_College"	"replenishment_percentage_bonus"	10
"SHO_Christian_4_Jesuit_College"	"siege_defend_time_mod"	4
"SHO_Christian_4_Jesuit_College"	"tw_growth_mod_all"	2
"SHO_Crafts_1_Market"	"agent_availability_quality_metsuke"	1
"SHO_Crafts_1_Market"	"gdp_industry"	200
"SHO_Crafts_1_Market"	"tw_growth_industry"	5
"SHO_Crafts_2_Rice_Exchange"	"agent_availability_quality_metsuke"	1
"SHO_Crafts_2_Rice_Exchange"	"food_consumption"	1
"SHO_Crafts_2_Rice_Exchange"	"gdp_industry"	500
"SHO_Crafts_2_Rice_Exchange"	"tw_growth_industry"	10
"SHO_Crafts_3_Merchant_Guild"	"agent_availability_quality_metsuke"	1
"SHO_Crafts_3_Merchant_Guild"	"food_consumption"	2
"SHO_Crafts_3_Merchant_Guild"	"gdp_industry"	1000
"SHO_Crafts_3_Merchant_Guild"	"tw_growth_industry"	20
"SHO_Crafts_4_Kanabukama"	"agent_XP_mod_mesuke"	2
"SHO_Crafts_4_Kanabukama"	"agent_availability_quality_metsuke"	1
"SHO_Crafts_4_Kanabukama"	"food_consumption"	2
"SHO_Crafts_4_Kanabukama"	"gdp_industry"	2000
"SHO_Crafts_4_Kanabukama"	"tw_growth_industry"	35
"SHO_Farming_1_Rice_Paddies"	"food_provision"	1
"SHO_Farming_1_Rice_Paddies"	"gdp_farm"	600
"SHO_Farming_2_Irrigation"	"food_provision"	2
"SHO_Farming_2_Irrigation"	"gdp_farm"	750
"SHO_Farming_3_Terraces"	"food_provision"	3
"SHO_Farming_3_Terraces"	"gdp_farm"	850
"SHO_Farming_4_Consolidation"	"food_provision"	4
"SHO_Farming_4_Consolidation"	"gdp_farm"	950
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"agent_availability_quality_ikko_monk"	1
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"conversion_ikko"	2.5
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"conversion_ikko_osmosis"	1
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"happy_religion_ikko"	1
