version 1, schema units_to_groupings_military_permissions_tables, guid e1c851d9-114d-4e74-bfd7-99edfe952abf
Unit_IDRef(string)	Military_x0020_Group(string)
"Boshin_Cav_Sword_Sabre_Cavalry_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Sword_Sabre_Cavalry"	"boshin"
"Boshin_Cav_Sword_Sabre_Cavalry"	"boshin_rebels"
"Boshin_Corvette_Kaiten_Copper_Plated"	"boshin"
"Boshin_Corvette_Kaiten_Iron_Plated"	"boshin"
"Boshin_Corvette_Kaiten_MP"	"multiplayer_boshin_avatar"
"Boshin_Corvette_Kaiten"	"boshin"
"Boshin_Corvette_Kanko_Maru_Copper_Plated"	"boshin"
"Boshin_Corvette_Kanko_Maru_Iron_Plated"	"boshin"
"Boshin_Corvette_Kanko_Maru_MP"	"multiplayer_boshin_avatar"
"Boshin_Corvette_Kanko_Maru"	"boshin"
"Boshin_Corvette_Kanrin_Maru_Copper_Plated"	"boshin"
"Boshin_Corvette_Kanrin_Maru_Iron_Plated"	"boshin"
"Boshin_Corvette_Kanrin_Maru_MP"	"multiplayer_boshin_avatar"
"Boshin_Corvette_Kanrin_Maru"	"boshin"
"Boshin_Corvette_Kasuga_Copper_Plated"	"boshin"
"Boshin_Corvette_Kasuga_Iron_Plated_MP"	"multiplayer_boshin_avatar"
"Boshin_Corvette_Kasuga_Iron_Plated"	"boshin"
"Boshin_Corvette_Kasuga_MP"	"multiplayer_boshin_avatar"
"Boshin_Corvette_Kasuga"	"boshin"
"Boshin_Frigate_Kaiyo_Maru_Copper_Plated"	"boshin"
"Boshin_Frigate_Kaiyo_Maru_Iron_Plated_MP"	"multiplayer_boshin_avatar"
"Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	"boshin"
"Boshin_Frigate_Kaiyo_Maru_MP"	"multiplayer_boshin_avatar"
"Boshin_Frigate_Kaiyo_Maru"	"boshin"
"Boshin_Gen_Generals_Bodyguard_MP"	"multiplayer_boshin_avatar"
"Boshin_Gen_Generals_Bodyguard"	"boshin"
"Boshin_Gen_Generals_Hatamoto_MP"	"multiplayer_boshin_avatar"
"Boshin_Gen_Generals_Hatamoto"	"boshin"
"Boshin_Gen_Ironclad_Kotetsu_MP"	"multiplayer_boshin_avatar"
"Boshin_Gun_Boat_Chiyodagata_MP"	"multiplayer_boshin_avatar"
"Boshin_Gun_Boat_Chiyodagata"	"boshin"
"Boshin_Inf_Elite_Imperial_Guard_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"boshin"
"Boshin_Inf_Elite_Infanterie_de_marine_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_Infanterie_de_marine"	"boshin"
"Boshin_Inf_Elite_Kihetai_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_Republican_Guard_Infantry"	"boshin"
"Boshin_Inf_Elite_Royal_Marines_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_Royal_Marines"	"boshin"
"Boshin_Inf_Elite_Shogunate_Guard_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"boshin"
"Boshin_Inf_Elite_United_States_Marines_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Elite_United_States_Marines"	"boshin"
"Boshin_Inf_Garrison_Infantry"	"boshin"
"Boshin_Inf_Light_Sharpshooters_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Light_Sharpshooters"	"boshin"
"Boshin_Inf_Light_Tosa_Riflemen_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Light_Yugekitai_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Azure_Dragon_Force_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Black_Bear_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Black_Tortoise_Force_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Imperial_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Imperial_Infantry"	"boshin"
"Boshin_Inf_Line_Infantry"	"boshin"
"Boshin_Inf_Line_Infantry"	"boshin_rebels"
"Boshin_Inf_Line_Red_Bear_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Republican_Infantry"	"boshin"
"Boshin_Inf_Line_Shinsengumi_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Shogunate_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_Shogunate_Infantry"	"boshin"
"Boshin_Inf_Line_Vermilion_Bird_Force_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_White_Bear_Infantry_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Line_White_Tiger_Force_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Militia_Levy_Infantry_Garrison"	"boshin"
"Boshin_Inf_Militia_Levy_Infantry"	"boshin"
"Boshin_Inf_Militia_Levy_Infantry"	"boshin_rebels"
"Boshin_Inf_Missile_Bow_Kachi_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Missile_Bow_Kachi"	"boshin"
"Boshin_Inf_Missile_Matchlock_Kachi_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Missile_Matchlock_Kachi"	"boshin"
"Boshin_Inf_Spear_Kyoto_Police_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Spear_Kyoto_Police"	"boshin"
"Boshin_Inf_Spear_Levy_Garrison"	"boshin"
"Boshin_Inf_Spear_Levy_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Spear_Levy"	"boshin"
"Boshin_Inf_Spear_Levy"	"boshin_rebels"
"Boshin_Inf_Spear_Yari_Kachi_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Spear_Yari_Kachi"	"boshin"
"Boshin_Inf_Spear_Yari_Kachi"	"boshin_rebels"
"Boshin_Inf_Special_Kisho_Ninjas_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Special_Kisho_Ninjas"	"boshin"
"Boshin_Inf_Sword_Katana_Kachi_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Sword_Katana_Kachi"	"boshin"
"Boshin_Inf_Sword_Katana_Kachi"	"boshin_rebels"
"Boshin_Inf_Sword_Shogitai_MP"	"multiplayer_boshin_avatar"
"Boshin_Inf_Sword_Shogitai"	"boshin"
"Boshin_Ironclad_HMS_Warrior_MP"	"multiplayer_boshin_avatar"
"Boshin_Ironclad_HMS_Warrior"	"boshin"
"Boshin_Ironclad_Kotetsu_MP"	"multiplayer_boshin_avatar"
"Boshin_Ironclad_Kotetsu"	"boshin"
"Boshin_Ironclad_L'Ocean_MP"	"multiplayer_boshin_avatar"
"Boshin_Ironclad_L'Ocean"	"boshin"
"Boshin_Ironclad_USS_Roanoke_MP"	"multiplayer_boshin_avatar"
"Boshin_Ironclad_USS_Roanoke"	"boshin"
"Boshin_Torpedo_Boat_Chiyodagata_MP"	"multiplayer_boshin_avatar"
"Boshin_Torpedo_Boat_Chiyodagata"	"boshin"
"Cannon_Ship_Cannon_Bune_MP"	"multiplayer_avatar"
"Cannon_Ship_Cannon_Bune"	"christian_rebels"
"Cannon_Ship_Cannon_Bune"	"japan"
"Cav_Missile_Bow_Cavalry_MP"	"multiplayer_avatar"
"Cav_Missile_Bow_Cavalry"	"christian_rebels"
"Cav_Missile_Bow_Cavalry"	"japan"
"Cav_Missile_Donderbuss_Cavalry_MP"	"multiplayer_avatar"
"Cav_Spear_Great_Guard_MP"	"multiplayer_avatar"
"Cav_Spear_Great_Guard"	"japan"
"Cav_Spear_Light_Cavalry_MP"	"multiplayer_avatar"
"Cav_Spear_Light_Cavalry"	"buddhist_rebels"
"Cav_Spear_Light_Cavalry"	"christian_rebels"
"Cav_Spear_Light_Cavalry"	"ikko_ikki"
"Cav_Spear_Light_Cavalry"	"japan"
"Cav_Spear_Naginata_Warrior_Monk_Cavalry_MP"	"multiplayer_avatar"
"Cav_Spear_Naginata_Warrior_Monk_Cavalry"	"ikko_ikki"
"Cav_Spear_Yari_Cavalry_Dojo"	"japan"
"Cav_Spear_Yari_Cavalry_MP"	"multiplayer_avatar"
"Cav_Spear_Yari_Cavalry"	"christian_rebels"
"Cav_Spear_Yari_Cavalry"	"japan"
"Cav_Sword_Katana_Cavalry_MP"	"multiplayer_avatar"
"Cav_Sword_Katana_Cavalry"	"christian_rebels"
"Cav_Sword_Katana_Cavalry"	"japan"
"Galleon_Caravel"	"japan"
"Gen_Shimotsuma_Nakayuki"	"ikko_ikki"
"Gen_Taisho_Bow_MP"	"multiplayer_avatar"
"Gen_Taisho_Mp"	"multiplayer_avatar"
"Gen_Taisho"	"buddhist_rebels"
"Gen_Taisho"	"christian_rebels"
"Gen_Taisho"	"ikko_ikki"
"Gen_Taisho"	"japan"
"Gen_Taisho"	"pirates"
"Genpei_Cav_Missile_Onna_Bushi_Heroine_MP"	"multiplayer_avatar"
"Genpei_Cav_Missile_Onna_Bushi_Heroine"	"genpei"
"Genpei_Cav_Missile_Samurai_Cavalry_MP"	"multiplayer_avatar"
"Genpei_Cav_Missile_Samurai_Cavalry"	"genpei"
"Genpei_Cav_Missile_Samurai_Hero_MP"	"multiplayer_avatar"
"Genpei_Cav_Missile_Samurai_Hero"	"genpei"
"Genpei_Cav_Spear_Naginata_Cavalry_MP"	"multiplayer_avatar"
"Genpei_Cav_Spear_Naginata_Cavalry"	"genpei"
"Genpei_Gen_Bodyguard"	"genpei"
"Genpei_Heavy_Ship_Heavy_Ship_Attendants"	"genpei"
"Genpei_Heavy_Ship_Heavy_Ship_Samurai_MP"	"multiplayer_avatar"
"Genpei_Heavy_Ship_Heavy_Ship_Samurai"	"genpei"
"Genpei_Inf_Heavy_Naginata_Attendants_MP"	"multiplayer_avatar"
"Genpei_Inf_Heavy_Naginata_Attendants"	"genpei"
"Genpei_Inf_Heavy_Naginata_Levy_Garrison"	"genpei"
"Genpei_Inf_Heavy_Naginata_Levy"	"genpei"
"Genpei_Inf_Heavy_Naginata_Levy"	"genpei_pirates"
"Genpei_Inf_Heavy_Naginata_Warrior_Monk_Hero"	"genpei"
"Genpei_Inf_Heavy_Naginata_Warrior_Monks"	"genpei"
"Genpei_Inf_Heavy_Onna_Bushi"	"genpei"
"Genpei_Inf_Heavy_Tetsubo_Warrior_Monks_MP"	"multiplayer_avatar"
"Genpei_Inf_Heavy_Tetsubo_Warrior_Monks"	"genpei"
"Genpei_Inf_Missile_Bow_Attendants"	"genpei"
"Genpei_Inf_Missile_Bow_Levy_Garrison"	"genpei"
"Genpei_Inf_Missile_Bow_Levy"	"genpei"
"Genpei_Inf_Missile_Bow_Levy"	"genpei_pirates"
"Genpei_Inf_Missile_Bow_Warrior_Monks"	"genpei"
"Genpei_Inf_Missile_Samurai_Infantry_Garrison"	"genpei"
"Genpei_Inf_Missile_Samurai_Infantry_MP"	"multiplayer_avatar"
"Genpei_Inf_Missile_Samurai_Infantry"	"genpei"
"Genpei_Inf_Special_Fire_Bomb_Throwers"	"genpei"
"Genpei_Inf_Sword_Sword_Attendants_MP"	"multiplayer_avatar"
"Genpei_Inf_Sword_Sword_Attendants"	"genpei"
"Genpei_Light_Ship_Light_Ship_Attendants"	"genpei"
"Genpei_Light_Ship_Light_Ship_Pirate"	"genpei_pirates"
"Genpei_Light_Ship_Light_Ship_Samurai_MP"	"multiplayer_avatar"
"Genpei_Light_Ship_Light_Ship_Samurai"	"genpei"
"Genpei_Medium_Ship_Fire_Bomb_Medium_Ship_MP"	"multiplayer_avatar"
"Genpei_Medium_Ship_Fire_Bomb_Medium_Ship"	"genpei"
"Genpei_Medium_Ship_Medium_Ship_Attendants"	"genpei"
"Genpei_Medium_Ship_Medium_Ship_Pirate"	"genpei_pirates"
"Genpei_Medium_Ship_Medium_Ship_Samurai_MP"	"multiplayer_avatar"
"Genpei_Medium_Ship_Medium_Ship_Samurai"	"genpei"
"Genpei_Trade_Ship_Trade_Ship"	"genpei"
"Heavy_Ship_Heavy_Bune_MP"	"multiplayer_avatar"
"Heavy_Ship_Heavy_Bune"	"buddhist_rebels"
"Heavy_Ship_Heavy_Bune"	"christian_rebels"
"Heavy_Ship_Heavy_Bune"	"ikko_ikki"
"Heavy_Ship_Heavy_Bune"	"japan"
"Heavy_Ship_Nihon_Maru_MP"	"multiplayer_avatar"
"Heavy_Ship_Nihon_Maru"	"japan"
"Heavy_Ship_O_Ataka_Bune_MP"	"multiplayer_avatar"
"Heavy_Ship_O_Ataka_Bune"	"christian_rebels"
"Heavy_Ship_O_Ataka_Bune"	"japan"
"Inf_Heavy_Naginata_Samurai_MP"	"multiplayer_avatar"
"Inf_Heavy_Naginata_Samurai"	"christian_rebels"
"Inf_Heavy_Naginata_Samurai"	"japan"
"Inf_Heavy_Naginata_Warrior_Monk_Hero_Ikko_Ikki"	"ikko_ikki"
"Inf_Heavy_Naginata_Warrior_Monk_Hero_MP"	"multiplayer_avatar"
"Inf_Heavy_Naginata_Warrior_Monk_Hero"	"japan"
"Inf_Heavy_Naginata_Warrior_Monks_Citizenry"	"ikko_ikki"
"Inf_Heavy_Naginata_Warrior_Monks_Ikko_Ikki"	"ikko_ikki"
"Inf_Heavy_Naginata_Warrior_Monks_MP"	"multiplayer_avatar"
"Inf_Heavy_Naginata_Warrior_Monks"	"buddhist_rebels"
"Inf_Heavy_Naginata_Warrior_Monks"	"japan"
"Inf_Heavy_Onna_Bushi"	"christian_rebels"
"Inf_Heavy_Onna_Bushi"	"japan"
"Inf_Heavy_Warrior_Nuns_MP"	"multiplayer_avatar"
"Inf_Heavy_Warrior_Nuns"	"japan"
"Inf_Missile_Bow_Ashigaru_Citizenry"	"buddhist_rebels"
"Inf_Missile_Bow_Ashigaru_Citizenry"	"christian_rebels"
"Inf_Missile_Bow_Ashigaru_Citizenry"	"ikko_ikki"
"Inf_Missile_Bow_Ashigaru_Citizenry"	"japan"
"Inf_Missile_Bow_Ashigaru_Ikko_Ikki"	"ikko_ikki"
"Inf_Missile_Bow_Ashigaru_MP"	"multiplayer_avatar"
"Inf_Missile_Bow_Ashigaru"	"buddhist_rebels"
"Inf_Missile_Bow_Ashigaru"	"christian_rebels"
"Inf_Missile_Bow_Ashigaru"	"japan"
"Inf_Missile_Bow_Hero_MP"	"multiplayer_avatar"
"Inf_Missile_Bow_Hero"	"japan"
"Inf_Missile_Bow_Ronin"	"ikko_ikki"
"Inf_Missile_Bow_Samurai_Dojo"	"japan"
"Inf_Missile_Bow_Samurai_MP"	"multiplayer_avatar"
"Inf_Missile_Bow_Samurai"	"christian_rebels"
"Inf_Missile_Bow_Samurai"	"japan"
"Inf_Missile_Bow_Wako"	"pirates"
"Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki"	"ikko_ikki"
"Inf_Missile_Bow_Warrior_Monks_MP"	"multiplayer_avatar"
"Inf_Missile_Bow_Warrior_Monks"	"buddhist_rebels"
"Inf_Missile_Bow_Warrior_Monks"	"japan"
"Inf_Missile_Imported_Matchlock_Ashigaru"	"christian_rebels"
"Inf_Missile_Imported_Matchlock_Ashigaru"	"ikko_ikki"
"Inf_Missile_Imported_Matchlock_Ashigaru"	"japan"
"Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki"	"ikko_ikki"
"Inf_Missile_Matchlock_Ashigaru_MP"	"multiplayer_avatar"
"Inf_Missile_Matchlock_Ashigaru"	"buddhist_rebels"
"Inf_Missile_Matchlock_Ashigaru"	"christian_rebels"
"Inf_Missile_Matchlock_Ashigaru"	"japan"
"Inf_Missile_Matchlock_Samurai_MP"	"multiplayer_avatar"
"Inf_Missile_Matchlock_Samurai"	"christian_rebels"
"Inf_Missile_Matchlock_Samurai"	"japan"
"Inf_Missile_Matchlock_Warrior_Monks_MP"	"multiplayer_avatar"
"Inf_Missile_Matchlock_Warrior_Monks"	"buddhist_rebels"
"Inf_Missile_Matchlock_Warrior_Monks"	"ikko_ikki"
"Inf_Missile_Portuguese_Tercos_MP"	"multiplayer_avatar"
"Inf_Spear_Yari_Ashigaru_Citizenry"	"buddhist_rebels"
"Inf_Spear_Yari_Ashigaru_Citizenry"	"christian_rebels"
"Inf_Spear_Yari_Ashigaru_Citizenry"	"ikko_ikki"
"Inf_Spear_Yari_Ashigaru_Citizenry"	"japan"
"Inf_Spear_Yari_Ashigaru_Ikko_Ikki"	"ikko_ikki"
"Inf_Spear_Yari_Ashigaru_MP"	"multiplayer_avatar"
"Inf_Spear_Yari_Ashigaru"	"buddhist_rebels"
"Inf_Spear_Yari_Ashigaru"	"christian_rebels"
"Inf_Spear_Yari_Ashigaru"	"japan"
"Inf_Spear_Yari_Hero_MP"	"multiplayer_avatar"
"Inf_Spear_Yari_Hero"	"japan"
"Inf_Spear_Yari_Ronin"	"buddhist_rebels"
"Inf_Spear_Yari_Ronin"	"ikko_ikki"
"Inf_Spear_Yari_Ronin"	"pirates"
"Inf_Spear_Yari_Samurai_Dojo"	"japan"
"Inf_Spear_Yari_Samurai_MP"	"multiplayer_avatar"
"Inf_Spear_Yari_Samurai"	"christian_rebels"
"Inf_Spear_Yari_Samurai"	"japan"
"Inf_Special_Fire_Bomb_Throwers_Dojo"	"japan"
"Inf_Special_Fire_Bomb_Throwers_MP"	"multiplayer_avatar"
"Inf_Special_Fire_Bomb_Throwers"	"buddhist_rebels"
"Inf_Special_Fire_Bomb_Throwers"	"christian_rebels"
"Inf_Special_Fire_Bomb_Throwers"	"ikko_ikki"
"Inf_Special_Fire_Bomb_Throwers"	"japan"
"Inf_Special_Kisho_Ninjas_MP"	"multiplayer_avatar"
"Inf_Special_Kisho_Ninjas"	"christian_rebels"
"Inf_Special_Kisho_Ninjas"	"ikko_ikki"
"Inf_Special_Kisho_Ninjas"	"japan"
"Inf_Sword_Katana_Ashigaru_MP"	"multiplayer_avatar"
"Inf_Sword_Katana_Ashigaru"	"ikko_ikki"
"Inf_Sword_Katana_Hero_MP"	"multiplayer_avatar"
"Inf_Sword_Katana_Hero"	"christian_rebels"
"Inf_Sword_Katana_Hero"	"japan"
"Inf_Sword_Katana_Ronin"	"buddhist_rebels"
"Inf_Sword_Katana_Ronin"	"ikko_ikki"
"Inf_Sword_Katana_Ronin"	"pirates"
"Inf_Sword_Katana_Samurai_Dojo"	"japan"
"Inf_Sword_Katana_Samurai_MP"	"multiplayer_avatar"
"Inf_Sword_Katana_Samurai"	"christian_rebels"
"Inf_Sword_Katana_Samurai"	"japan"
"Inf_Sword_Katana_Wako"	"pirates"
"Inf_Sword_Nodachi_Samurai_MP"	"multiplayer_avatar"
"Inf_Sword_Nodachi_Samurai"	"christian_rebels"
"Inf_Sword_Nodachi_Samurai"	"japan"
"Inf_Sword_Samurai_Retainers"	"christian_rebels"
"Inf_Sword_Samurai_Retainers"	"japan"
"Light_Ship_Bow_Kobaya_MP"	"multiplayer_avatar"
"Light_Ship_Bow_Kobaya"	"buddhist_rebels"
"Light_Ship_Bow_Kobaya"	"christian_rebels"
"Light_Ship_Bow_Kobaya"	"ikko_ikki"
"Light_Ship_Bow_Kobaya"	"japan"
"Light_Ship_Fire_Bomb_Kobaya_MP"	"multiplayer_avatar"
"Light_Ship_Fire_Bomb_Kobaya"	"buddhist_rebels"
"Light_Ship_Fire_Bomb_Kobaya"	"christian_rebels"
"Light_Ship_Fire_Bomb_Kobaya"	"ikko_ikki"
"Light_Ship_Fire_Bomb_Kobaya"	"japan"
"Light_Ship_Matchlock_Kobaya_MP"	"multiplayer_avatar"
"Light_Ship_Matchlock_Kobaya"	"buddhist_rebels"
"Light_Ship_Matchlock_Kobaya"	"christian_rebels"
"Light_Ship_Matchlock_Kobaya"	"ikko_ikki"
"Light_Ship_Matchlock_Kobaya"	"japan"
"Light_Ship_Siege_Tower_Bune_MP"	"multiplayer_avatar"
"Light_Ship_Siege_Tower_Bune"	"christian_rebels"
"Light_Ship_Siege_Tower_Bune"	"japan"
"Medium_Ship_Medium_Bune_MP"	"multiplayer_avatar"
"Medium_Ship_Medium_Bune"	"buddhist_rebels"
"Medium_Ship_Medium_Bune"	"christian_rebels"
"Medium_Ship_Medium_Bune"	"ikko_ikki"
"Medium_Ship_Medium_Bune"	"japan"
"Medium_Ship_Sengoku_Bune_MP"	"multiplayer_avatar"
"Medium_Ship_Sengoku_Bune"	"buddhist_rebels"
"Medium_Ship_Sengoku_Bune"	"christian_rebels"
"Medium_Ship_Sengoku_Bune"	"ikko_ikki"
"Medium_Ship_Sengoku_Bune"	"japan"
"Medium_Ship_Wako_Medium_Bune"	"pirates"
"Sh_Cav_Missile_Bow_Cavalry_Hero_MP"	"multiplayer_avatar"
"Sh_Cav_Missile_Bow_Cavalry_Hero"	"japan"
"Sh_Cav_Spear_Yari_Cavalry_Hero_MP"	"multiplayer_avatar"
"Sh_Cav_Spear_Yari_Cavalry_Hero"	"japan"
"Sh_Cav_Sword_Katana_Cavalry_Hero_MP"	"multiplayer_avatar"
"Sh_Cav_Sword_Katana_Cavalry_Hero"	"japan"
"Sh_Inf_Heavy_Naginata_Hero_MP"	"multiplayer_avatar"
"Sh_Inf_Heavy_Naginata_Heroine_MP"	"multiplayer_avatar"
"Sh_Inf_Heavy_Naginata_Heroine"	"japan"
"Sh_Inf_Heavy_Naginata_Hero"	"japan"
"Sh_Inf_Heavy_Tetsubo_Hero_MP"	"multiplayer_avatar"
"Sh_Inf_Heavy_Tetsubo_Hero"	"japan"
"Sh_Inf_Missile_Matchlock_Hero_MP"	"multiplayer_avatar"
"Sh_Inf_Missile_Matchlock_Hero"	"japan"
"Sh_Inf_Special_Kisho_Ninja_Hero_MP"	"multiplayer_avatar"
"Sh_Inf_Special_Kisho_Ninja_Hero"	"japan"
"Sh_Inf_Sword_Nodachi_Hero_MP"	"multiplayer_avatar"
"Sh_Inf_Sword_Nodachi_Hero"	"japan"
"Trade_Ship_Red_Seal_Ship"	"christian_rebels"
"Trade_Ship_Red_Seal_Ship"	"japan"
"Trade_Ship_Trade_Ship"	"buddhist_rebels"
"Trade_Ship_Trade_Ship"	"christian_rebels"
"Trade_Ship_Trade_Ship"	"ikko_ikki"
"Trade_Ship_Trade_Ship"	"japan"
"Trade_Ship_Wako_Trade_Ship"	"pirates"
"UP1_Art_Hand_Mortar_MP"	"multiplayer_avatar"
"UP1_Cav_Missile_Mounted_Gunners_MP"	"multiplayer_avatar"
"UP1_Cav_Spear_Fire_Cavalry_MP"	"multiplayer_avatar"
"UP1_Inf_Heavy_Marathon_Monks_MP"	"multiplayer_avatar"
"UP1_Inf_Missile_Bandits_MP"	"multiplayer_avatar"
"UP1_Inf_Missile_Daikyu_Samurai_MP"	"multiplayer_avatar"
"UP1_Inf_Missile_Heavy_Gunner_MP"	"multiplayer_avatar"
"UP1_Inf_Spear_Long_Yari_Ashigaru_MP"	"multiplayer_avatar"
"UP1_Inf_Spear_Yari_Bulletproof_Samurai_MP"	"multiplayer_avatar"
"UP1_Inf_Sword_Wako_Raiders_MP"	"multiplayer_avatar"
