version 1, schema start_pos_family_relationships_tables, guid 3a12801e-8102-4080-bf32-96434387a505
unknown1(int)	unknown2(int)	unknown3(string)
2140781710	2140781689	"sibling"
2140781722	2140781719	"spouse"
2140781742	2140781733	"spouse"
2140781746	2140781733	"child"
2140781751	2140781733	"child"
2140781761	2140781733	"child"
2140781772	2140781763	"spouse"
2140781779	2140781763	"child"
2140781785	2140781763	"child"
2140781792	2140781763	"child"
2140781806	2140781797	"spouse"
2140781807	2140781797	"child"
2140781814	2140781797	"child"
2140781824	2140781797	"child"
2140781833	2140781827	"spouse"
2140781841	2140781827	"child"
2140781846	2140781827	"child"
2140781851	2140781827	"child"
2140782557	2140782530	"child"
2140782562	2140782530	"spouse"
2140782563	2140782522	"spouse"
2140782565	2140782511	"spouse"
2140782574	2140782511	"child"
2140782577	2140782512	"spouse"
2140782581	2140782512	"child"
2140782589	2140782501	"spouse"
2140782591	2140782501	"child"
2140782598	2140782505	"spouse"
2140782606	2140782505	"child"
2140782612	2140782505	"child"
2140782614	2140782174	"spouse"
2140782623	2140782486	"spouse"
2140782632	2140782492	"spouse"
2140782634	2140782465	"spouse"
2140782639	2140782479	"spouse"
2140782645	2140782183	"sibling"
2140782652	2140782183	"spouse"
2140782661	2140782467	"spouse"
2140782662	2140782467	"child"
2140782666	2140782474	"spouse"
2140782667	2140782474	"child"
2140782670	2140782500	"spouse"
2140782671	2140782500	"child"
2140782673	2140782187	"spouse"
2140782679	2140782187	"child"
2140782689	2140782679	"spouse"
2140782701	2140782461	"spouse"
2140782702	2140782461	"child"
2140782707	2140782431	"spouse"
2140782708	2140782431	"child"
2140782716	2140782463	"spouse"
2140782725	2140782449	"spouse"
2140782750	2140782398	"spouse"
2140782756	2140782398	"child"
2140782757	2140782355	"spouse"
2140782766	2140782355	"child"
2140782769	2140782766	"spouse"
2140782776	2140782355	"child"
2140782782	2140782766	"child"
2140782804	2140782428	"sibling"
2140782805	2140782424	"spouse"
2140782810	2140782424	"child"
2140782815	2140782424	"child"
2140782822	2140782420	"spouse"
2140782825	2140782420	"child"
2140782828	2140782412	"sibling"
2140782838	2140782412	"spouse"
2140782847	2140782412	"child"
2140782850	2140782441	"spouse"
2140782865	2140782390	"spouse"
2140782874	2140782365	"sibling"
2140782876	2140782381	"sibling"
2140782882	2140782380	"spouse"
2140782892	2140782380	"child"
2140782901	2140782380	"child"
2140782907	2140782351	"sibling"
2140782910	2140782354	"sibling"
2140782914	2140782368	"spouse"
2140782921	2140782368	"child"
2140782923	2140782921	"spouse"
2140782930	2140782921	"child"
2140782944	2140782935	"spouse"
2140782945	2140782935	"child"
2140782950	2140782343	"spouse"
2140782959	2140782343	"child"
2140782965	2140782340	"sibling"
2140782974	2140782330	"spouse"
2140782978	2140782315	"sibling"
2140782982	2140782978	"spouse"
2140782992	2140782304	"spouse"
2140782998	2140782304	"child"
2140783002	2140782279	"spouse"
2140783004	2140782279	"child"
2140783009	2140782279	"child"
2140783017	2140782270	"spouse"
2140783020	2140782270	"child"
2140783030	2140782327	"spouse"
2140783035	2140782327	"child"
2140783039	2140782312	"spouse"
2140783045	2140782297	"spouse"
2140783049	2140782297	"child"
2140783059	2140782287	"spouse"
2140783066	2140782287	"child"
2140783069	2140782269	"spouse"
2140783070	2140782269	"child"
2140783075	2140782162	"spouse"
2140783083	2140782162	"child"
2140783088	2140782263	"spouse"
2140783097	2140782258	"spouse"
2140783102	2140782258	"child"
2140783109	2140782258	"child"
2140783118	2140782250	"spouse"
2140783120	2140782250	"sibling"
2140783129	2140782175	"spouse"
2140783137	2140782175	"child"
2140783157	2140782241	"spouse"
2140783164	2140782241	"child"
2140783166	2140782241	"child"
2140783167	2140782234	"spouse"
2140783173	2140782234	"child"
2140783179	2140782234	"child"
2140783189	2140782231	"spouse"
2140783199	2140782214	"spouse"
2140783202	2140782214	"sibling"
2140783205	2140782214	"sibling"
2140783210	2140782205	"spouse"
2140783220	2140782205	"child"
2140783227	2140782537	"spouse"
2140783232	2140782537	"child"
2140783236	2140782537	"sibling"
2140783240	2140782198	"sibling"
2140783250	2140782158	"spouse"
2140783258	2140782158	"child"
2140783259	2140783258	"spouse"
2140783266	2140782195	"spouse"
2140783270	2140782195	"child"
2140783271	2140783270	"spouse"
2140783275	2140782220	"spouse"
2140783282	2140782221	"sibling"
2140783302	2140782449	"sibling"
2140783310	2140783302	"spouse"
2140783312	2140783302	"child"
2140783444	2140782522	"sibling"
