version 1, schema warscape_animated_lod_tables, guid 6d09607a-831a-43a6-8034-3d14d595ae1a
Random_Index(string)	Path(string)	Meters_to_x0020_Lod_transition(float)	Filename_x0020_WA_ID(string)
"-1389355289"	"UnitModels\\horse\\horse_A_iberian_lod2.variant_weighted_mesh"	20	"horse_iberian_light_brown"
"-1389398232"	"EngineModels/Howitzer_6/Howitzer_6_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_6_France"
"-1402814083"	"UnitModels\\horse\\horse_C_hussar_lod4.variant_weighted_mesh"	0	"horse_hussar_black"
"-1411906257"	"UnitModels\\horse\\horse_E_hussar_lod2.variant_weighted_mesh"	20	"horse_hussar_white"
"-1426932332"	"EngineModels/Naval_Cannon_32lb/Naval_Cannon_32lb_LOD3.animatable_rigid_model"	30	"Naval_Cannon_32lb"
"-1446852795"	"UnitModels\\horse\\horse_C_artillery_lod4.variant_weighted_mesh"	0	"horse_artillery_black"
"-14493896"	"EngineModels/Rocket/rocket_LOD1.animatable_rigid_model"	10	"rocket_France"
"-1469089479"	"UnitModels\\horse\\horse_F_iberian_lod4.variant_weighted_mesh"	0	"horse_iberian_brown"
"-1473336244"	"UnitModels\\horse\\horse_E_iberian_lod3.variant_weighted_mesh"	50	"horse_iberian_white"
"-1474966151"	"UnitModels\\horse\\horse_B_covered_lod4.variant_weighted_mesh"	0	"horse_covered_grey"
"-1483579861"	"UnitModels\\horse\\horse_F_hussar_lod2.variant_weighted_mesh"	20	"horse_hussar_brown"
"-1485005637"	"EngineModels/Howitzer_5/Howitzer_5_alphatest_LOD2.animatable_rigid_model"	20	"Howitzer_5"
"-1485951375"	"EngineModels/Naval_Cannon_12lb/Naval_Cannon_12lb_LOD4.animatable_rigid_model"	0	"Naval_Cannon_12lb"
"-1494017190"	"UnitModels\\horse\\horse_F_iberian_lod1.variant_weighted_mesh"	10	"horse_iberian_brown"
"-1509644979"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_12lb_Russia"
"-1518790606"	"RigidModels/artillery/Limber/limber_model_alphatest_lod2.animatable_rigid_model"	20	"limber_model_Russia"
"-1530785528"	"UnitModels\\horse\\horse_F_covered_lod3.variant_weighted_mesh"	50	"horse_covered_brown"
"-1533808271"	"UnitModels/Euro_Able_Seamen_LOD3.variant_weighted_mesh"	15	"euro_able_seamen"
"-1536959972"	"UnitModels\\Napoleon_BattleOutfit_LOD1.variant_weighted_mesh"	0	"Napoleon_BattleOutfit"
"-1539499634"	"unitmodels/barbary_pirates_lod4.variant_weighted_mesh"	0	"barbary_pirates"
"-1543615739"	"EngineModels/Naval_Cannon_32lb/Naval_Cannon_32lb_LOD4.animatable_rigid_model"	0	"Naval_Cannon_32lb"
"-1545491666"	"RigidModels/artillery/Limber/limber_model_alphatest_lod2.animatable_rigid_model"	20	"limber_model_Austria"
"-1559677222"	"RigidModels/artillery/Limber/limber_destruction.rigid_model_animation"	0	"Ammo_Caisson_destruction"
"-1571197346"	"EngineModels/Field_Cannon_9lb/field_cannon_9lb_destruction.rigid_model_animation"	0	"Field_Cannon_9lb_destruction"
"-1577400430"	"RigidModels/Naval/steam_frigate/ship_wheel_loop_anim.rigid_model_animation"	0	"steam_paddle_wheel"
"-15823414"	"UnitModels\\horse\\horse_F_covered_lod1.variant_weighted_mesh"	10	"horse_covered_brown"
"-1583754948"	"EngineModels/Naval_Cannon_18lb/Naval_Cannon_18lb_LOD3.animatable_rigid_model"	30	"Naval_Cannon_18lb"
"-1589957660"	"UnitModels\\horse\\horse_C_covered_lod3.variant_weighted_mesh"	50	"horse_covered_black"
"-1591346941"	"EngineModels/Unicorn_10/unicorn_10_destruction.rigid_model_animation"	0	"unicorn_10_destruction"
"-1603974326"	"unitmodels/ottoman_admiral_lod4.variant_weighted_mesh"	0	"ottoman_admiral"
"-1604325139"	"UnitModels\\campaign_Washington_lod1.variant_weighted_mesh"	40	"campaign_washington"
"-1607157266"	"EngineModels/Howitzer_6/Howitzer_6_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_6"
"-1620497463"	"EngineModels/Unicorn_20/Unicorn_20_alphatest_LOD2.animatable_rigid_model"	20	"unicorn_20"
"-1631058337"	"RigidModels\\Naval\\Variant\\oar_R_raise_anim.rigid_model_v2"	0	"oar_R_anim_raise"
"-1660698805"	"UnitModels\\horse\\horse_D_covered_lod2.variant_weighted_mesh"	20	"horse_covered_dark_brown"
"-1683851084"	"RigidModels\\Naval\\Variant\\oar_R_lower_anim.rigid_model_v2"	0	"oar_R_anim_lower"
"-171816203"	"UnitModels\\horse\\horse_E_hussar_lod4.variant_weighted_mesh"	0	"horse_hussar_white"
"-1738354169"	"UnitModels\\horse\\horse_E_covered_lod2.variant_weighted_mesh"	20	"horse_covered_white"
"-1744313603"	"EngineModels/Rocket/rocket_LOD3.animatable_rigid_model"	30	"rocket_Britain"
"-1755060467"	"unitmodels/ottoman_admiral_lod3.variant_weighted_mesh"	15	"ottoman_admiral"
"-1759654457"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_12lb_France"
"-1759917943"	"UnitModels\\horse\\horse_D_basic_lod4.variant_weighted_mesh"	0	"horse_basic_dark_brown"
"-1769832723"	"UnitModels\\Napoleon_GreatCoat_BattleOutfit_lod1.variant_weighted_mesh"	0	"Napoleon_GreatCoat_BattleOutfit"
"-1781477243"	"EngineModels/Rocket/rocket_destruction.rigid_model_animation"	0	"rocket_Austria_destruction"
"-1801683338"	"UnitModels\\horse\\horse_A_hussar_lod1.variant_weighted_mesh"	10	"horse_hussar_light_brown"
"-1822969890"	"EngineModels/Naval_Cannon_18lb/Naval_Cannon_18lb_LOD1.animatable_rigid_model"	10	"Naval_Cannon_18lb"
"-1824128464"	"UnitModels\\horse\\horse_D_covered_lod3.variant_weighted_mesh"	50	"horse_covered_dark_brown"
"-1837454969"	"unitmodels/ottoman_admiral_lod1.variant_weighted_mesh"	5	"ottoman_admiral"
"-1853467244"	"EngineModels/Ott_Mortar/Ottoman_mortar_LOD3.animatable_rigid_model"	30	"Ott_mortar"
"-1855534954"	"RigidModels\\Naval\\Variant\\oar_L_lower_anim.rigid_model_v2"	0	"oar_L_anim_lower"
"-1861598466"	"EngineModels/Howitzer_5/Howitzer_5_alphatest_LOD1.animatable_rigid_model"	10	"Howitzer_5_Britain"
"-1872458587"	"EngineModels/Howitzer_7/Howitzer_7_destruction.rigid_model_animation"	0	"howitzer_7_Prussia_destruction"
"-1882992404"	"EngineModels/Naval_Carronade/naval_carronade_LOD4.animatable_rigid_model"	0	"naval_carronade"
"-1910630381"	"RigidModels\\CampaignTradeRoutes\\trade_camel_lead.rigid_model_animation"	0	"trade_camel_lead"
"-1948875058"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_6lb_Prussia"
"-1952940800"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_7_Prussia"
"-1956007692"	"UnitModels\\horse\\horse_C_iberian_lod3.variant_weighted_mesh"	50	"horse_iberian_black"
"-1956399234"	"UnitModels\\horse\\horse_C_basic_lod1.variant_weighted_mesh"	10	"horse_basic_black"
"-1977921949"	"UnitModels/camel/camel_base_lod2.variant_weighted_mesh"	20	"camel_base"
"-1981148052"	"UnitModels/Euro_Able_Seamen_LOD2.variant_weighted_mesh"	10	"euro_naval_gunner"
"-1995378043"	"unitmodels/ottoman_colonel_lod3.variant_weighted_mesh"	15	"ottoman_naval_officer"
"-2002764097"	"UnitModels\\horse\\horse_A_hussar_lod2.variant_weighted_mesh"	20	"horse_hussar_light_brown"
"-2009945873"	"EngineModels/Field_Cannon_8lb/Field_Cannon_8lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_8lb_France"
"-2014129940"	"UnitModels\\horse\\horse_C_hussar_lod3.variant_weighted_mesh"	50	"horse_hussar_black"
"-2018391154"	"UnitModels/Euro_Able_Seamen_LOD4.variant_weighted_mesh"	0	"euro_naval_gunner"
"-201954537"	"RigidModels/artillery/Limber/limber_model_alphatest_lod3.animatable_rigid_model"	0	"limber_model_Austria"
"-2066075718"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_6lb_France"
"-2066345189"	"EngineModels/Field_Cannon_18lb/Field_Cannon_18lb_destruction.rigid_model_animation"	0	"field_cannon_18lb_destruction"
"-2087120593"	"EngineModels/Mortar/Mortar_LOD2.animatable_rigid_model"	20	"Mortar"
"-2087435856"	"EngineModels/Unicorn_10/unicorn_10_destruction.rigid_model_animation"	0	"unicorn_10_Russia_destruction"
"-2088533831"	"EngineModels/Howitzer_7/Howitzer_7_destruction.rigid_model_animation"	0	"howitzer_7_destruction"
"-209626505"	"EngineModels/Naval_Carronade/naval_carronade_LOD3.animatable_rigid_model"	30	"naval_carronade"
"-2099782875"	"UnitModels\\horse\\horse_E_basic_lod4.variant_weighted_mesh"	0	"horse_basic_white"
"-2104884016"	"UnitModels\\horse\\horse_B_basic_lod3.variant_weighted_mesh"	50	"horse_basic_grey"
"-2105639681"	"UnitModels\\horse\\horse_C_artillery_lod2.variant_weighted_mesh"	20	"horse_artillery_black"
"-2106873420"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_7_Austria"
"-2113029878"	"UnitModels\\horse\\horse_B_artillery_lod1.variant_weighted_mesh"	10	"horse_artillery_grey"
"-2119598879"	"unitmodels/barbary_pirates_lod3.variant_weighted_mesh"	15	"barbary_pirates"
"-2120466820"	"UnitModels\\horse\\horse_A_artillery_lod3.variant_weighted_mesh"	50	"horse_artillery_light_brown"
"-224454980"	"unitmodels/ottoman_admiral_lod2.variant_weighted_mesh"	10	"ottoman_admiral"
"-225601256"	"UnitModels\\horse\\horse_F_iberian_lod3.variant_weighted_mesh"	50	"horse_iberian_brown"
"-256789570"	"EngineModels/Ott_Field_Cannon_18lb/Ottoman_Field_Cannon_18lb_LOD1.animatable_rigid_model"	10	"Ott_Field_Cannon_18lb"
"-274467970"	"EngineModels/Field_Cannon_9lb/Field_Cannon_9lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_9lb"
"-275819803"	"UnitModels\\horse\\horse_C_iberian_lod4.variant_weighted_mesh"	0	"horse_iberian_black"
"-27971711"	"UnitModels\\horse\\horse_F_basic_lod4.variant_weighted_mesh"	0	"horse_basic_brown"
"-286042602"	"UnitModels\\horse\\horse_E_basic_lod1.variant_weighted_mesh"	10	"horse_basic_white"
"-30198536"	"UnitModels\\horse\\horse_F_artillery_lod3.variant_weighted_mesh"	50	"horse_artillery_brown"
"-309052278"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_12lb_Austria"
"-313128048"	"RigidModels/artillery/Limber/limber_model_alphatest_lod3.animatable_rigid_model"	0	"limber_model"
"-317961964"	"RigidModels/artillery/Limber/limber_destruction.rigid_model_animation"	0	"Ammo_Caisson_Russia_destruction"
"-318870340"	"EngineModels/Unicorn_20/unicorn_20_destruction.rigid_model_animation"	0	"unicorn_20_Russia_destruction"
"-321404805"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_6lb_Austria"
"-334030500"	"EngineModels/Howitzer_5/Howitzer_5_alphatest_LOD3.animatable_rigid_model"	0	"Howitzer_5_Britain"
"-3489000"	"EngineModels/Field_Cannon_12lb/field_cannon_12lb_destruction.rigid_model_animation"	0	"Field_Cannon_12lb_Russia_destruction"
"-355252653"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_7"
"-362732732"	"UnitModels\\horse\\horse_E_hussar_lod3.variant_weighted_mesh"	50	"horse_hussar_white"
"-370517276"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_7_Russia"
"-374781489"	"RigidModels/artillery/Limber/limber_model_alphatest_lod2.animatable_rigid_model"	20	"limber_model_Prussia"
"-378378109"	"UnitModels\\horse\\horse_F_covered_lod2.variant_weighted_mesh"	20	"horse_covered_brown"
"-384487536"	"UnitModels\\horse\\horse_F_hussar_lod3.variant_weighted_mesh"	50	"horse_hussar_brown"
"-391167297"	"EngineModels/Ott_Mortar/Ottoman_mortar_LOD2.animatable_rigid_model"	20	"Ott_mortar"
"-398105468"	"UnitModels\\horse\\horse_A_basic_lod3.variant_weighted_mesh"	50	"horse_basic_light_brown"
"-398667370"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD1.animatable_rigid_model"	10	"howitzer_7_Austria"
"-404360611"	"unitmodels/campaign_wellington_LOD2.variant_weighted_mesh"	0	"campaign_wellington"
"-42597713"	"EngineModels/Ott_Field_Cannon_9lb/Ottoman_Field_Cannon_9lb_LOD2.animatable_rigid_model"	20	"Ott_Field_Cannon_9lb"
"-436871106"	"UnitModels\\horse\\horse_A_iberian_lod1.variant_weighted_mesh"	10	"horse_iberian_light_brown"
"-438240481"	"EngineModels/Field_Cannon_18lb/Field_Cannon_18lb_alphatest_LOD3.animatable_rigid_model"	0	"field_cannon_18lb"
"-450134621"	"UnitModels\\horse\\horse_D_basic_lod2.variant_weighted_mesh"	20	"horse_basic_dark_brown"
"-466242848"	"UnitModels\\horse\\horse_B_hussar_lod3.variant_weighted_mesh"	50	"horse_hussar_grey"
"-475016122"	"UnitModels\\horse\\horse_C_covered_lod1.variant_weighted_mesh"	10	"horse_covered_black"
"-479084568"	"EngineModels/Unicorn_20/Unicorn_20_alphatest_LOD1.animatable_rigid_model"	10	"unicorn_20"
"-482982968"	"EngineModels/Field_Cannon_8lb/Field_Cannon_8lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_8lb"
"-501819600"	"EngineModels/Ott_Mortar/Ottoman_mortar_LOD4.animatable_rigid_model"	0	"Ott_mortar"
"-504192957"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_12lb_France"
"-510617290"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_6lb_Austria"
"-521449406"	"UnitModels\\horse\\horse_D_iberian_lod1.variant_weighted_mesh"	10	"horse_iberian_dark_brown"
"-548947936"	"UnitModels\\horse\\horse_D_artillery_lod3.variant_weighted_mesh"	50	"horse_artillery_dark_brown"
"-563162455"	"UnitModels\\horse\\horse_B_artillery_lod4.variant_weighted_mesh"	0	"horse_artillery_grey"
"-573234073"	"EngineModels/Rocket/rocket_LOD2.animatable_rigid_model"	20	"rocket_Russia"
"-575358779"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_6lb_Prussia"
"-57890535"	"unitmodels/euro_admiral_lod3.variant_weighted_mesh"	15	"euro_admiral"
"-595099762"	"EngineModels/Rocket/rocket_destruction.rigid_model_animation"	0	"rocket_Britain_destruction"
"-595843879"	"EngineModels/Rocket/rocket_LOD2.animatable_rigid_model"	20	"rocket_France"
"-605393684"	"EngineModels/Unicorn_10/Unicorn_10_alphatest_LOD3.animatable_rigid_model"	0	"unicorn_10"
"-619496735"	"EngineModels/Rocket/rocket_LOD4.animatable_rigid_model"	0	"rocket_Austria"
"-635615495"	"RigidModels/artillery/Limber/limber_model_alphatest_lod3.animatable_rigid_model"	0	"limber_model_France"
"-643168181"	"EngineModels/Rocket/rocket_LOD4.animatable_rigid_model"	0	"rocket"
"-649626356"	"RigidModels/artillery/Limber/limber_model_alphatest_lod1.animatable_rigid_model"	10	"limber_model_Britain"
"-649718979"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_6lb_Britain"
"-677817117"	"UnitModels\\campaign_Washington_Young_lod1.variant_weighted_mesh"	40	"campaign_washington_young"
"-689548274"	"EngineModels/Naval_Carronade/naval_carronade_LOD2.animatable_rigid_model"	20	"naval_carronade"
"-700077372"	"EngineModels/Rocket/rocket_destruction.rigid_model_animation"	0	"rocket_Prussia_destruction"
"-706408014"	"EngineModels/Ott_Howitzer/Ottoman_howitzer_LOD4.animatable_rigid_model"	0	"Ott_howitzer"
"-716863576"	"UnitModels\\horse\\horse_D_basic_lod3.variant_weighted_mesh"	50	"horse_basic_dark_brown"
"-723035040"	"unitmodels/barbary_pirates_lod2.variant_weighted_mesh"	10	"barbary_pirates"
"-734270530"	"EngineModels/Rocket/rocket_LOD1.animatable_rigid_model"	10	"rocket_Russia"
"-739512292"	"EngineModels/Rocket/rocket_LOD3.animatable_rigid_model"	30	"rocket_Russia"
"-740450121"	"UnitModels\\horse\\horse_E_artillery_lod2.variant_weighted_mesh"	20	"horse_artillery_white"
"-741215388"	"RigidModels/artillery/Limber/limber_model_alphatest_lod3.animatable_rigid_model"	0	"limber_model_Prussia"
"-793988033"	"RigidModels/artillery/Limber/limber_destruction.rigid_model_animation"	0	"Ammo_Caisson_Prussia_destruction"
"-797248237"	"UnitModels\\horse\\horse_B_covered_lod2.variant_weighted_mesh"	20	"horse_covered_grey"
"-801388782"	"RigidModels/artillery/Limber/limber_model_alphatest_lod1.animatable_rigid_model"	10	"limber_model"
"-80532666"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD1.animatable_rigid_model"	10	"howitzer_7_Russia"
"-806658553"	"EngineModels/Naval_Cannon_18lb/Naval_Cannon_18lb_LOD2.animatable_rigid_model"	20	"Naval_Cannon_18lb"
"-808141613"	"EngineModels/Field_Cannon_12lb/field_cannon_12lb_destruction.rigid_model_animation"	0	"Field_Cannon_12lb_Prussia_destruction"
"-81873574"	"EngineModels/Field_Cannon_12lb/field_cannon_12lb_destruction.rigid_model_animation"	0	"Field_Cannon_12lb_France_destruction"
"-821630868"	"EngineModels/Rocket/rocket_LOD2.animatable_rigid_model"	20	"rocket_Britain"
"-840372203"	"EngineModels/Ott_Field_Cannon_9lb/Ottoman_Field_Cannon_9lb_LOD4.animatable_rigid_model"	0	"Ott_Field_Cannon_9lb"
"-860492967"	"UnitModels\\horse\\horse_D_hussar_lod4.variant_weighted_mesh"	0	"horse_hussar_dark_brown"
"-863228887"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_12lb_Russia"
"-875029203"	"EngineModels/Howitzer_6/Howitzer_6_destruction.rigid_model_animation"	0	"howitzer_6_France_destruction"
"-881395684"	"EngineModels/Ott_Field_Cannon_18lb/Ottoman_Field_Cannon_18lb_LOD3.animatable_rigid_model"	30	"Ott_Field_Cannon_18lb"
"-88214939"	"EngineModels/Field_Cannon_18lb/Field_Cannon_18lb_alphatest_LOD1.animatable_rigid_model"	10	"field_cannon_18lb"
"-88478011"	"EngineModels/Rocket/rocket_large_LOD2.animatable_rigid_model"	20	"rocket_only"
"-898817519"	"EngineModels/Howitzer_5/howitzer_5_destruction.rigid_model_animation"	0	"howitzer_5_Britain_destruction"
"-904136447"	"RigidModels/artillery/Limber/limber_model_alphatest_lod1.animatable_rigid_model"	10	"limber_model_Austria"
"-905099414"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_12lb"
"-918154250"	"unitmodels/ottoman_commodore_lod4.variant_weighted_mesh"	0	"ottoman_commodore"
"-937682137"	"RigidModels\\Buildings\\north_euro_rural04\\north_euro_rural04_destruct01_anim.rigid_model_animation"	0	"north_euro_rural04_destruct01"
"-939598410"	"UnitModels\\horse\\horse_C_artillery_lod1.variant_weighted_mesh"	10	"horse_artillery_black"
"-948290084"	"EngineModels/Field_Cannon_9lb/Field_Cannon_9lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_9lb"
"-953172130"	"EngineModels/Unicorn_10/Unicorn_10_alphatest_LOD2.animatable_rigid_model"	20	"unicorn_10_Russia"
"-983432373"	"EngineModels/Ott_Howitzer/Ottoman_howitzer_LOD2.animatable_rigid_model"	20	"Ott_howitzer"
"-994243960"	"unitmodels/ottoman_commodore_lod2.variant_weighted_mesh"	10	"ottoman_commodore"
"1016350692"	"EngineModels/Naval_Cannon_9lb/Naval_Cannon_9lb_LOD3.animatable_rigid_model"	30	"Naval_Cannon_9lb"
"1017112183"	"EngineModels/Unicorn_10/Unicorn_10_alphatest_LOD2.animatable_rigid_model"	20	"unicorn_10"
"1077114526"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_12lb_Austria"
"1087134327"	"UnitModels\\horse\\horse_C_hussar_lod2.variant_weighted_mesh"	20	"horse_hussar_black"
"1102177192"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_12lb"
"1105927085"	"UnitModels\\horse\\horse_C_basic_lod4.variant_weighted_mesh"	0	"horse_basic_black"
"1113222738"	"UnitModels\\horse\\horse_B_basic_lod1.variant_weighted_mesh"	10	"horse_basic_grey"
"1116590267"	"UnitModels\\horse\\horse_B_hussar_lod2.variant_weighted_mesh"	20	"horse_hussar_grey"
"113280575"	"unitmodels/ottoman_colonel_lod1.variant_weighted_mesh"	5	"ottoman_naval_officer"
"1133258328"	"UnitModels\\horse\\horse_B_covered_lod3.variant_weighted_mesh"	50	"horse_covered_grey"
"1136449714"	"EngineModels/Ott_Howitzer/Ottoman_howitzer_LOD1.animatable_rigid_model"	10	"Ott_howitzer"
"1140734582"	"EngineModels/Naval_Cannon_32lb/Naval_Cannon_32lb_LOD1.animatable_rigid_model"	10	"Naval_Cannon_32lb"
"1164864516"	"EngineModels/Field_Cannon_8lb/Field_Cannon_8lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_8lb_France"
"1177104326"	"RigidModels/artillery/Limber/limber_model_alphatest_lod1.animatable_rigid_model"	10	"limber_model_Prussia"
"1185698982"	"UnitModels\\horse\\horse_E_hussar_lod1.variant_weighted_mesh"	10	"horse_hussar_white"
"1192635548"	"RigidModels/3DIndicators/target_marker.rigid_model_animation"	0	"target_marker"
