version 1, schema character_traits_tables
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)
"C_Infected_Leprosy"	1	false	9	"Personal"
"C_Infected_Malaria"	1	false	9	"Personal"
"C_Infected_Measles"	1	false	9	"Personal"
"C_Infected_Plague"	1	false	9	"Personal"
"C_Infected_Scurvy"	1	false	9	"Personal"
"C_Infected_Smallpox"	2	false	9	"Personal"
"C_Infected_TB"	1	false	9	"Personal"
"C_Infected_Typhus"	2	false	9	"Personal"
"C_Infected_Yellow_Fever"	2	false	9	"Personal"
"C_Leader_Agent_99"	1	false	7	"Espionage"
"C_Leader_Army_Buff"	3	false	6	"Military"
"C_Leader_Clever_Stick"	1	false	7	"Character Quirk"
"C_Leader_Debauched"	1	false	7	"Character Quirk"
"C_Leader_Dullard"	1	false	7	"Character Quirk"
"C_Leader_Enlightened_Despot"	1	false	6	"Law & Order"
"C_Leader_Favourites"	1	false	3	"Military"
"C_Leader_Fertile"	1	false	7	"Personal"
"C_Leader_Foreign_Tastes"	1	false	7	"Character Quirk"
"C_Leader_Harsh_Ruler"	3	false	5	"Law & Order"
"C_Leader_Humanist"	1	false	7	"Character Quirk"
"C_Leader_Huntin_Shootin_Fishin"	1	false	7	"Character Quirk"
"C_Leader_Inbred"	1	false	9	"Personal"
"C_Leader_Infertile"	3	false	3	"Personal"
"C_Leader_Intellectual_Pretensions"	3	false	6	"Character Quirk"
"C_Leader_M"	1	false	7	"Espionage"
"C_Leader_Mad"	1	false	9	"Character Quirk"
"C_Leader_Merit"	1	false	7	"Military"
"C_Leader_Mr_Waverley"	1	false	7	"Espionage"
"C_Leader_Natural_King"	1	false	8	"Personal"
"C_Leader_Natural_President"	1	false	8	"Personal"
"C_Leader_Navy_Buff"	3	false	6	"Naval"
"C_Leader_Philistine"	3	false	4	"Personal"
"C_Leader_Uncouth"	1	false	6	"Character Quirk"
"C_Leader_Witty"	1	false	7	"Character Quirk"
"C_Minister_Army_Good"	3	false	8	"Military"
"C_Minister_Corrupt"	1	false	3	"Finance"
"C_Minister_Entertainer"	3	false	6	"Construction"
"C_Minister_Fiscal_Genius"	1	false	8	"Finance"
"C_Minister_Industrialist"	1	false	8	"Construction"
"C_Minister_Miser"	1	false	6	"Finance"
"C_Minister_Navy_Good"	3	false	8	"Naval"
"C_Minister_Physiocrat"	1	false	6	"Construction"
"C_Minister_Radical"	1	false	7	"Personal"
"C_Minister_Reactionary"	1	false	6	"Personal"
"C_Minister_Trader"	1	false	5	"Construction"
"C_Minister_Unjust"	1	false	8	"Law & Order"
"C_Minister_Upright"	1	false	8	"Personal"
"C_Missionary_Gone_Native"	3	false	6	"Personal"
"C_Missionary_Hate_America"	2	false	7	"Personal"
"C_Missionary_Hate_Europe"	2	false	7	"Personal"
"C_Missionary_Hate_India"	2	false	7	"Personal"
"C_Missionary_Like_America"	2	false	7	"Personal"
"C_Missionary_Like_Europe"	2	false	7	"Personal"
"C_Missionary_Like_India"	2	false	7	"Personal"
"C_Missionary_Touched_By_God"	1	false	9	"Personal"
"C_Personal_Hale"	1	false	5	"Personal"
"C_Personal_High_Personal_Security"	1	false	6	"Personal"
"C_Personal_Piety"	3	false	5	"Personal"
"C_Personal_Sickly"	1	false	4	"Personal"
"C_Rake_Assassin_Good"	1	false	9	"Espionage"
"C_Rake_Born_Bounder"	1	false	9	"Espionage"
"C_Rake_Counter_Spy"	3	false	7	"Espionage"
"C_Rake_Gate_Opener"	2	false	7	"Espionage"
"C_Rake_Im_A_Laydee"	1	false	9	"Espionage"
"C_Rake_Naughty_Club"	1	false	6	"Espionage"
"C_Rake_Sabot_Good"	1	false	7	"Espionage"
"C_Rake_Spy_Good"	3	false	8	"Espionage"
"C_Sausage_Vice"	3	false	1	"Personal"
"C_Siege_Engineering"	1	false	1	"Military"
"R_Infected_Cholera"	1	true	0	"Personal"
"R_Infected_Dengue_Fever"	1	true	9	"Personal"
"R_Infected_Influenza"	1	true	9	"Personal"
"R_Infected_Leprosy"	1	true	9	"Personal"
"R_Infected_Malaria"	1	true	9	"Personal"
"R_Infected_Measles"	1	true	9	"Personal"
"R_Infected_Plague"	1	true	9	"Character Quirk"
"R_Infected_Smallpox"	1	true	9	"Personal"
"R_Infected_TB"	1	true	9	"Personal"
"R_Infected_Typhus"	1	true	9	"Personal"
"R_Infected_Yellow_Fever"	1	true	9	"Personal"
"U_Acclimatised_Americas"	1	true	9	"Military"
"U_Acclimatised_Europe"	1	false	9	"Military"
"U_Acclimatised_India"	1	false	9	"Military"
"U_Acclimatised_Middle_East"	1	false	9	"Military"
"U_American_Expert_Troops"	1	false	9	"Military"
"U_Bright_Sabres"	1	false	0	"Military"
"U_Cold_Steel"	1	false	0	"Military"
"U_European_Expert_Troops"	1	false	9	"Military"
"U_Indian_Expert_Troops"	1	false	9	"Military"
"U_Infected_Cholera"	1	false	9	"Personal"
"U_Infected_Dengue_Fever"	1	false	9	"Personal"
"U_Infected_Dysentry"	1	false	9	"Personal"
"U_Infected_Influenza"	1	false	9	"Personal"
"U_Infected_Malaria"	1	false	9	"Personal"
"U_Infected_Measles"	1	false	9	"Personal"
"U_Infected_Plague"	1	false	8	"Personal"
"U_Infected_Scurvy"	1	false	9	"Personal"
"U_Infected_Smallpox"	1	false	9	"Personal"
"U_Infected_TB"	1	false	9	"Personal"
"U_Infected_Typhus"	1	false	9	"Personal"
"U_Infected_Yellow_Fever"	1	false	9	"Personal"
"U_Magic_Talismans"	1	false	0	"Religion (Pagan)"
"U_Prime_Mover"	1	false	0	"Military"
"U_Repressive_Policing"	1	false	0	"Law & Order"
"U_Sharpshooters"	1	false	0	"Military"
"U_Ship_Boarding_Attack"	1	false	0	"Naval"
"U_Ship_Boarding_Defence"	1	false	0	"Naval"
"C_Tribal_General_Attacker_Bad"	3	false	4	"Military"
"C_Tribal_General_Attacker_Good"	3	false	4	"Military"
"C_Tribal_General_Bad_Field_Commander"	3	false	4	"Military"
"C_Tribal_General_Bloody"	3	false	4	"Military"
"C_Tribal_General_Born_Soldier"	0	false	4	"Military"
"C_Tribal_General_Brave"	3	false	4	"Military"
"C_Tribal_General_Cherokee"	1	false	4	"Character Quirk"
"C_Tribal_General_Coward"	3	false	4	"Military"
"C_Tribal_General_Defender_Bad"	3	false	4	"Military"
"C_Tribal_General_Defender_Good"	3	false	4	"Military"
"C_Tribal_General_Good_Field_Commander"	3	false	4	"Military"
"C_Tribal_General_Hates_Europeans"	4	false	4	"Personal"
"C_Tribal_General_Hates_Europeans_Reset"	1	false	4	"Personal"
"C_Tribal_General_Huron"	1	false	4	"Character Quirk"
"C_Tribal_General_Iroquois"	1	false	4	"Character Quirk"
"C_Tribal_General_Lampooned"	3	false	4	"Military"
"C_Tribal_General_Mad"	2	false	7	"Character Quirk"
"C_Tribal_General_of_Cavalry"	3	false	4	"Military"
"C_Tribal_General_Plains"	1	false	4	"Character Quirk"
"C_Tribal_General_Plains_Coup"	3	false	4	"Personal"
"C_Tribal_General_Press_Hero"	2	false	4	"Military"
"C_Tribal_General_Pueblo"	1	false	4	"Personal"
"C_Tribal_General_Siege_Attack_Bad"	3	false	4	"Military"
"C_Tribal_General_Siege_Attack_Good"	3	false	4	"Military"
"C_Tribal_General_Siege_Defend_Bad"	3	false	4	"Military"
"C_Tribal_General_Siege_Defend_Good"	3	false	4	"Military"
"C_Tribal_Leader_Catholic"	2	false	4	"Religion (Christian)"
"C_Tribal_Leader_Clever_Stick"	1	false	4	"Personal"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	3	false	4	"Personal"
"C_Tribal_Leader_Debauched"	3	false	4	"Character Quirk"
"C_Tribal_Leader_Dullard"	1	false	4	"Personal"
"C_Tribal_Leader_Foreign_Tastes"	1	false	4	"Character Quirk"
"C_Tribal_Leader_Harsh_Ruler"	1	false	4	"Law & Order"
"C_Tribal_Leader_Hindu"	2	false	4	"Religion (Pagan)"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	1	false	4	"Character Quirk"
"C_Tribal_Leader_Islamic"	2	false	4	"Religion (Islam)"
"C_Tribal_Leader_Mad"	1	false	4	"Character Quirk"
"C_Tribal_Leader_Orthodox"	2	false	4	"Religion (Christian)"
"C_Tribal_Leader_Peacemaker"	3	false	4	"Personal"
"C_Tribal_Leader_Plains_Cursed"	3	false	4	"Personal"
"C_Tribal_Leader_Protestant"	2	false	4	"Religion (Christian)"
"C_Tribal_Minister_Agriculturalist"	3	false	4	"Construction"
"C_Tribal_Minister_Army_Good"	3	false	4	"Construction"
"C_Tribal_Minister_Industrialist"	3	false	4	"Construction"
"C_Tribal_Minister_Trader"	3	false	4	"Construction"
"C_Tribal_Scout_Good_Army_Sabotage"	3	false	4	"Espionage"
"C_Tribal_Scout_Good_Assassin"	3	false	4	"Espionage"
"C_Tribal_Scout_Good_Spy"	3	false	4	"Espionage"
"C_Tribal_Scout_Sabot_Good"	3	false	4	"Espionage"
"C_Tribal_Shaman_Likes_Mushrooms"	1	false	4	"Technology"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	3	false	4	"Religion (Pagan)"
"C_Tribal_Shaman_Powwow"	2	false	4	"Personal"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	3	false	4	"Religion (Pagan)"
"C_Tribal_Shaman_Research_Military"	3	false	4	"Technology"
