version 1, schema diplomatic_relations_religion_tables
Religion_ID(string)	Religion_ID_x0020__x0028_2_x0029_(string)	DiplomaticBonus(int)	UnrestPenalty(float)
"rel_nonconformist"	"rel_buddhist"	0	0.05
"rel_nonconformist"	"rel_catholic"	-10	0.025
"rel_nonconformist"	"rel_hindu"	0	0.1
"rel_nonconformist"	"rel_islamic"	-5	0.05
"rel_nonconformist"	"rel_nonconformist"	10	0
"rel_nonconformist"	"rel_orthodox"	-5	0.025
"rel_nonconformist"	"rel_protestant"	5	0.015
"rel_nonconformist"	"rel_sikh"	0	0.05
"rel_orthodox"	"rel_animist"	-5	0.1
"rel_orthodox"	"rel_buddhist"	0	0.05
"rel_orthodox"	"rel_catholic"	0	0.015
"rel_orthodox"	"rel_hindu"	0	0.05
"rel_orthodox"	"rel_islamic"	-10	0.05
"rel_orthodox"	"rel_nonconformist"	0	0.025
"rel_orthodox"	"rel_orthodox"	10	0
"rel_orthodox"	"rel_protestant"	0	0.025
"rel_orthodox"	"rel_sikh"	0	0.05
"rel_protestant"	"rel_animist"	0	0.1
"rel_protestant"	"rel_buddhist"	0	0.05
"rel_protestant"	"rel_catholic"	-10	0.025
"rel_protestant"	"rel_hindu"	0	0.05
"rel_protestant"	"rel_islamic"	-5	0.1
"rel_protestant"	"rel_nonconformist"	5	0.015
"rel_protestant"	"rel_orthodox"	0	0.025
"rel_protestant"	"rel_protestant"	10	0
"rel_protestant"	"rel_sikh"	0	0.05
"rel_sikh"	"rel_animist"	0	0.1
"rel_sikh"	"rel_buddhist"	0	0.05
"rel_sikh"	"rel_catholic"	0	0.05
"rel_sikh"	"rel_hindu"	-5	0.05
"rel_sikh"	"rel_islamic"	-10	0.05
"rel_sikh"	"rel_nonconformist"	0	0.05
"rel_sikh"	"rel_orthodox"	0	0.05
"rel_sikh"	"rel_protestant"	0	0.05
"rel_sikh"	"rel_sikh"	15	0
"align_anti_french"	"align_pro_french"	-20	0.1
"align_pro_french"	"align_anti_french"	-20	0.1
"align_pro_french"	"align_pro_french"	20	0
"align_anti_french"	"align_anti_french"	20	0
"rel_sikh"	"align_anti_french"	0	0
"rel_sikh"	"align_pro_french"	0	0
"rel_protestant"	"align_anti_french"	0	0
"rel_protestant"	"align_pro_french"	0	0
"rel_animist"	"align_anti_french"	0	0.025
"rel_animist"	"align_pro_french"	0	0.025
"rel_buddhist"	"align_anti_french"	0	0.025
"rel_buddhist"	"align_pro_french"	0	0.025
"rel_catholic"	"align_anti_french"	0	0.025
"rel_catholic"	"align_pro_french"	0	0.025
"rel_hindu"	"align_anti_french"	0	0.025
"rel_hindu"	"align_pro_french"	0	0.025
"rel_islamic"	"align_anti_french"	0	0.025
"rel_islamic"	"align_pro_french"	0	0.025
"rel_nonconformist"	"align_anti_french"	0	0.025
"rel_nonconformist"	"align_pro_french"	0	0.025
"rel_orthodox"	"align_anti_french"	0	0.025
"rel_orthodox"	"align_pro_french"	0	0.025
"align_pro_french"	"rel_animist"	0	0.1
"align_pro_french"	"rel_buddhist"	0	0.05
"align_pro_french"	"rel_catholic"	-10	0.025
"align_pro_french"	"rel_hindu"	0	0.1
"align_pro_french"	"rel_islamic"	-5	0.05
"align_pro_french"	"rel_nonconformist"	10	0
"align_pro_french"	"rel_orthodox"	-5	0.025
"align_pro_french"	"rel_protestant"	5	0.015
"align_pro_french"	"rel_sikh"	0	0.05
"align_anti_french"	"rel_animist"	0	0.1
"align_anti_french"	"rel_buddhist"	0	0.05
"align_anti_french"	"rel_catholic"	-10	0.025
"align_anti_french"	"rel_hindu"	0	0.1
"align_anti_french"	"rel_islamic"	-5	0.05
"align_anti_french"	"rel_nonconformist"	10	0
"align_anti_french"	"rel_orthodox"	-5	0.025
"align_anti_french"	"rel_protestant"	5	0.015
"align_anti_french"	"rel_sikh"	0	0.05
