version 1, schema movie_event_strings_tables, guid 1f7d8773-2aa3-4281-8b44-0ff6ff0ad733
Event_message(string)	culture_ID(string)	Video(string)	Value(string)
"bos_realm_divide_self"	"japanese"	"FallOfTheSamurai/FALL_REALMDIV_SELF.bik"	"822"
"bos_realm_divide_shogun"	"japanese"	"FallOfTheSamurai/FALL_REALMDIV_SHOGUN.bik"	"821"
"christianity"	"japanese"	"Faction/Event/HIS_CHRIST.bik"	"188"
"faction_defeat_chosokabe"	"japanese"	"Faction/Defeat/DEF_CHO.bik"	"475"
"faction_defeat_date"	"japanese"	"Faction/Defeat/DEF_DAT.bik"	"471"
"faction_defeat_gem_fujiwara_hiraizumi"	"japanese"	"Genpei/DEF_GEN.bik"	"758"
"faction_defeat_gem_fujiwara_kubota"	"japanese"	"Genpei/DEF_GEN.bik"	"767"
"faction_defeat_gem_minamoto_kamakura"	"japanese"	"Genpei/DEF_GEN.bik"	"772"
"faction_defeat_gem_minamoto_kiso"	"japanese"	"Genpei/DEF_GEN.bik"	"776"
"faction_defeat_gem_taira_fukuhara"	"japanese"	"Genpei/DEF_GEN.bik"	"781"
"faction_defeat_gem_taira_yashima"	"japanese"	"Genpei/DEF_GEN.bik"	"786"
"faction_defeat_hojo"	"japanese"	"Faction/Defeat/DEF_HOJ.bik"	"466"
"faction_defeat_iga_ninja"	"japanese"	"Faction/Defeat/DEF_IGA.bik"	"456"
"faction_defeat_ikko_ikki"	"japanese"	"Faction/Defeat/DEF_IKO.bik"	"702"
"faction_defeat_mori"	"japanese"	"Faction/Defeat/DEF_MOR.bik"	"450"
"faction_defeat_oda"	"japanese"	"Faction/Defeat/DEF_ODA.bik"	"449"
"faction_defeat_shimazu"	"japanese"	"Faction/Defeat/DEF_SHI.bik"	"439"
"faction_defeat_takeda"	"japanese"	"Faction/Defeat/DEF_TAK.bik"	"435"
"faction_defeat_tokugawa"	"japanese"	"Faction/Defeat/DEF_TOK.bik"	"432"
"faction_defeat_uesugi"	"japanese"	"Faction/Defeat/DEF_UES.bik"	"431"
"faction_loss_chosokabe"	"japanese"	"Faction/Lose/LOS_CHO.bik"	"71"
"faction_loss_date"	"japanese"	"Faction/Lose/LOS_DAT.bik"	"73"
"faction_loss_gem_fujiwara_hiraizumi"	"japanese"	"Genpei/LOS_GEN.bik"	"787"
"faction_loss_gem_fujiwara_kubota"	"japanese"	"Genpei/LOS_GEN.bik"	"793"
"faction_loss_gem_minamoto_kamakura"	"japanese"	"Genpei/LOS_GEN.bik"	"800"
"faction_loss_gem_minamoto_kiso"	"japanese"	"Genpei/LOS_GEN.bik"	"803"
"faction_loss_gem_taira_fukuhara"	"japanese"	"Genpei/LOS_GEN.bik"	"807"
"faction_loss_gem_taira_yashima"	"japanese"	"Genpei/LOS_GEN.bik"	"815"
"faction_loss_hojo"	"japanese"	"Faction/Lose/LOS_HOJ.bik"	"74"
"faction_loss_iga_ninja"	"japanese"	"Faction/Lose/LOS_IGA.bik"	"75"
"faction_loss_ikko_ikki"	"japanese"	"Faction/Lose/LOS_IKO.bik"	"708"
"faction_loss_mori"	"japanese"	"Faction/Lose/LOS_MOR.bik"	"82"
"faction_loss_oda"	"japanese"	"Faction/Lose/LOS_ODA.bik"	"87"
"faction_loss_shimazu"	"japanese"	"Faction/Lose/LOS_SHI.bik"	"90"
"faction_loss_takeda"	"japanese"	"Faction/Lose/LOS_TAK.bik"	"93"
"faction_loss_tokugawa"	"japanese"	"Faction/Lose/LOS_TOK.bik"	"98"
"faction_loss_uesugi"	"japanese"	"Faction/Lose/LOS_UES.bik"	"108"
"faction_win_chosokabe"	"japanese"	"Faction/Win/WIN_CHO.bik"	"113"
"faction_win_date"	"japanese"	"Faction/Win/WIN_DAT.bik"	"114"
"faction_win_gem_fujiwara_hiraizumi"	"japanese"	"Genpei/WIN_GEN.bik"	"733"
"faction_win_gem_fujiwara_kubota"	"japanese"	"Genpei/WIN_GEN.bik"	"740"
"faction_win_gem_minamoto_kamakura"	"japanese"	"Genpei/WIN_GEN.bik"	"741"
"faction_win_gem_minamoto_kiso"	"japanese"	"Genpei/WIN_GEN.bik"	"748"
"faction_win_gem_taira_fukuhara"	"japanese"	"Genpei/WIN_GEN.bik"	"749"
"faction_win_gem_taira_yashima"	"japanese"	"Genpei/WIN_GEN.bik"	"757"
"faction_win_hojo"	"japanese"	"Faction/Win/WIN_HOJ.bik"	"117"
"faction_win_iga_ninja"	"japanese"	"Faction/Win/WIN_IGA.bik"	"124"
"faction_win_ikko_ikki"	"japanese"	"Faction/Win/WIN_IKO.bik"	"716"
"faction_win_mori"	"japanese"	"Faction/Win/WIN_MOR.bik"	"129"
"faction_win_oda"	"japanese"	"Faction/Win/WIN_ODA.bik"	"139"
"faction_win_otomo"	"japanese"	"Otomo/WIN_OTO.bik"	"875"
"faction_win_shimazu"	"japanese"	"Faction/Win/WIN_SHI.bik"	"148"
"faction_win_takeda"	"japanese"	"Faction/Win/WIN_TAK.bik"	"158"
"faction_win_tokugawa"	"japanese"	"Faction/Win/WIN_TOK.bik"	"163"
"faction_win_tut_chosokabe"	"japanese"	"Faction/Tut/TUT_OUT.bik"	"865"
"faction_win_uesugi"	"japanese"	"Faction/Win/WIN_UES.bik"	"167"
"hero_bow"	"japanese"	"Training/Hero/TRN_BOWSEN.bik"	"380"
"hero_ikko_ikki_naginata_warrior_monk"	"japanese"	"Training/Hero/TRN_NAGSEN.bik"	"728"
"hero_katana"	"japanese"	"Training/Hero/TRN_KATSEN.bik"	"384"
"hero_naginata_monk"	"japanese"	"Training/Hero/TRN_NAGSEN.bik"	"390"
"hero_yari"	"japanese"	"Training/Hero/TRN_YARSEN.bik"	"391"
"nanban_trade"	"japanese"	"Faction/Event/HIS_EURO.bik"	"176"
"realm_divide_cho"	"japanese"	"Faction/Event/ENE_STA_CHO.bik"	"530"
"realm_divide_dat"	"japanese"	"Faction/Event/ENE_STA_DAT.bik"	"537"
"realm_divide_hoj"	"japanese"	"Faction/Event/ENE_STA_HOJ.bik"	"541"
"realm_divide_iga"	"japanese"	"Faction/Event/ENE_STA_IGA.bik"	"551"
"realm_divide_iko"	"japanese"	"Faction/Event/ENE_STA_IKO.bik"	"723"
"realm_divide_mor"	"japanese"	"Faction/Event/ENE_STA_MOR.bik"	"560"
"realm_divide_oda"	"japanese"	"Faction/Event/ENE_STA_ODA.bik"	"570"
"realm_divide_shi"	"japanese"	"Faction/Event/ENE_STA_SHI.bik"	"574"
"realm_divide_tak"	"japanese"	"Faction/Event/ENE_STA_TAK.bik"	"578"
"realm_divide_tok"	"japanese"	"Faction/Event/ENE_STA_TOK.bik"	"587"
"realm_divide_ues"	"japanese"	"Faction/Event/ENE_STA_UES.bik"	"593"
"realm_divide"	"japanese"	"Faction/Event/ENE_STATE.bik"	"186"
"season_autumn"	"japanese"	"Environment/ENV_AUTUMN.bik"	"689"
"season_cherry"	"japanese"	"Environment/ENV_CHERRY.bik"	"671"
"season_harvest"	"japanese"	"Environment/ENV_HARVST.bik"	"680"
"season_snow"	"japanese"	"Environment/ENV_SNOW.bik"	"662"
"ship_heavy_heavy"	"japanese"	"Training/Sea/TRN_ATKBUN.bik"	"336"
"ship_heavy_nihon"	"japanese"	"Training/Sea/TRN_NIHMAR.bik"	"357"
"ship_heavy_oataka"	"japanese"	"Training/Sea/TRN_HEVBUN.bik"	"319"
"ship_light_bow"	"japanese"	"Training/Sea/TRN_BOWSHP.bik"	"327"
"ship_light_firebomb"	"japanese"	"Training/Sea/TRN_FIRESH.bik"	"334"
"ship_light_matchlock"	"japanese"	"Training/Sea/TRN_MATSHP.bik"	"344"
"ship_medium_cannon"	"japanese"	"Training/Sea/TRN_CANBUN.bik"	"330"
"ship_medium_medium"	"japanese"	"Training/Sea/TRN_MEDBUN.bik"	"350"
"ship_medium_sengoku"	"japanese"	"Training/Sea/TRN_SENBUN.bik"	"370"
"ship_medium_siege"	"japanese"	"Training/Sea/TRN_TWRBUN.bik"	"375"
"ship_merchant_redseal"	"japanese"	"Training/Sea/TRN_RDSSHP.bik"	"366"
"ship_merchant_trade"	"japanese"	"Training/Sea/TRN_TRDSHP.bik"	"373"
"unit_artillery_cannons"	"japanese"	"Training/Land/TRN_CANON.bik"	"207"
"unit_artillery_mangonels"	"japanese"	"Training/Land/TRN_MANGNL.bik"	"263"
"unit_artillery_rockets"	"japanese"	"Training/Land/TRN_ROCKET.bik"	"294"
"unit_ashigaru_bow"	"japanese"	"Training/Land/TRN_BOWASH.bik"	"189"
"unit_ashigaru_katana"	"japanese"	"Training/Land/TRN_KATASH.bik"	"247"
"unit_ashigaru_matchlock"	"japanese"	"Training/Land/TRN_MATASH.bik"	"270"
"unit_ashigaru_yari"	"japanese"	"Training/Land/TRN_YARASH.bik"	"304"
"unit_cavalry_bow"	"japanese"	"Training/Land/TRN_CAVBOW.bik"	"217"
"unit_cavalry_great_guard"	"japanese"	"Training/Land/TRN_CAVSPR.bik"	"651"
"unit_cavalry_katana"	"japanese"	"Training/Land/TRN_CAVKAT.bik"	"218"
"unit_cavalry_light"	"japanese"	"Training/Land/TRN_CAVLIG.bik"	"227"
"unit_cavalry_naginata_warrior_monk_cavalry"	"japanese"	"Training/Land/TRN_NAGCAV.bik"	"657"
"unit_cavalry_yari"	"japanese"	"Training/Land/TRN_CAVYAR.bik"	"236"
"unit_fire_bombers"	"japanese"	"Training/Land/TRN_FIREPT.bik"	"241"
"unit_katana_ronin"	"japanese"	"Training/Land/TRN_KATSAM.bik"	"698"
"unit_kisho_ninja"	"japanese"	"Training/Land/TRN_KSHNIN.bik"	"256"
"unit_monk_bow"	"japanese"	"Training/Land/TRN_BOWMON.bik"	"196"
"unit_monk_matchlock"	"japanese"	"Training/Land/TRN_MATMON.bik"	"272"
"unit_monk_naginata"	"japanese"	"Training/Land/TRN_NAGMON.bik"	"283"
"unit_samurai_bow"	"japanese"	"Training/Land/TRN_BOWSAM.bik"	"197"
"unit_samurai_katana"	"japanese"	"Training/Land/TRN_KATSAM.bik"	"255"
"unit_samurai_matchlock"	"japanese"	"Training/Land/TRN_MATSAM.bik"	"279"
"unit_samurai_naginata"	"japanese"	"Training/Land/TRN_NAGSAM.bik"	"288"
"unit_samurai_nodachi"	"japanese"	"Training/Land/TRN_NDASAM.bik"	"292"
"unit_samurai_yari"	"japanese"	"Training/Land/TRN_YARSAM.bik"	"313"
"unit_warrior_nuns"	"japanese"	"Training/Land/TRN_NUN.bik"	"692"
"unit_yari_ronin"	"japanese"	"Training/Land/TRN_YARSAM.bik"	"693"
