version 1, schema trait_to_antitraits_tables
Trait_IDRef(string)	Antitrait(string)
"C_Personal_Hale"	"C_Personal_Sickly"
"C_Tribal_General_Attacker_Bad"	"C_Tribal_General_Attacker_Good"
"C_Tribal_General_Attacker_Good"	"C_Tribal_General_Attacker_Bad"
"C_Tribal_General_Bad_Field_Commander"	"C_Tribal_General_Good_Field_Commander"
"C_Tribal_General_Bloody"	"C_Tribal_General_Coward"
"C_Tribal_General_Born_Soldier"	"C_Tribal_General_Coward"
"C_Tribal_General_Brave"	"C_Tribal_General_Coward"
"C_Tribal_General_Cherokee"	"C_Tribal_General_Huron"
"C_Tribal_General_Cherokee"	"C_Tribal_General_Iroquois"
"C_Tribal_General_Cherokee"	"C_Tribal_General_Plains"
"C_Tribal_General_Cherokee"	"C_Tribal_General_Plains_Coup"
"C_Tribal_General_Cherokee"	"C_Tribal_General_Pueblo"
"C_Tribal_General_Coward"	"C_Tribal_General_Brave"
"C_Tribal_General_Defender_Bad"	"C_Tribal_General_Defender_Good"
"C_Tribal_General_Defender_Good"	"C_Tribal_General_Defender_Bad"
"C_Tribal_General_Good_Field_Commander"	"C_Tribal_General_Bad_Field_Commander"
"C_Tribal_General_Hates_Europeans"	"C_Tribal_General_Hates_Europeans_Reset"
"C_Tribal_General_Hates_Europeans_Reset"	"C_Tribal_General_Hates_Europeans"
"C_Tribal_General_Huron"	"C_Tribal_General_Cherokee"
"C_Tribal_General_Huron"	"C_Tribal_General_Iroquois"
"C_Tribal_General_Huron"	"C_Tribal_General_Plains"
"C_Tribal_General_Huron"	"C_Tribal_General_Plains_Coup"
"C_Tribal_General_Huron"	"C_Tribal_General_Pueblo"
"C_Tribal_General_Iroquois"	"C_Tribal_General_Cherokee"
"C_Tribal_General_Iroquois"	"C_Tribal_General_Huron"
"C_Tribal_General_Iroquois"	"C_Tribal_General_Plains"
"C_Tribal_General_Iroquois"	"C_Tribal_General_Plains_Coup"
"C_Tribal_General_Iroquois"	"C_Tribal_General_Pueblo"
"C_Tribal_General_Lampooned"	"C_Tribal_General_Press_Hero"
"C_Tribal_General_of_Cavalry"	"C_Tribal_General_Bad_Field_Commander"
"C_Tribal_General_Plains"	"C_Tribal_General_Cherokee"
"C_Tribal_General_Plains"	"C_Tribal_General_Huron"
"C_Tribal_General_Plains"	"C_Tribal_General_Iroquois"
"C_Tribal_General_Plains"	"C_Tribal_General_Pueblo"
"C_Tribal_General_Plains_Coup"	"C_Tribal_General_Cherokee"
"C_Tribal_General_Plains_Coup"	"C_Tribal_General_Huron"
"C_Tribal_General_Plains_Coup"	"C_Tribal_General_Iroquois"
"C_Tribal_General_Plains_Coup"	"C_Tribal_General_Pueblo"
"C_Tribal_General_Press_Hero"	"C_Tribal_General_Coward"
"C_Tribal_General_Press_Hero"	"C_Tribal_General_Lampooned"
"C_Tribal_General_Pueblo"	"C_Tribal_General_Cherokee"
"C_Tribal_General_Pueblo"	"C_Tribal_General_Huron"
"C_Tribal_General_Pueblo"	"C_Tribal_General_Iroquois"
"C_Tribal_General_Pueblo"	"C_Tribal_General_Plains"
"C_Tribal_General_Pueblo"	"C_Tribal_General_Plains_Coup"
"C_Tribal_General_Siege_Attack_Bad"	"C_Tribal_General_Siege_Attack_Good"
"C_Tribal_General_Siege_Attack_Good"	"C_Tribal_General_Siege_Attack_Bad"
"C_Tribal_General_Siege_Defend_Bad"	"C_Tribal_General_Siege_Defend_Good"
"C_Tribal_General_Siege_Defend_Good"	"C_Tribal_General_Siege_Defend_Bad"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Catholic"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Clever_Stick"	"C_Tribal_Leader_Dullard"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Peacemaker"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Dullard"	"C_Tribal_Leader_Clever_Stick"
"C_Tribal_Leader_Foreign_Tastes"	"C_Tribal_Leader_Huntin_Shootin_Fishin"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Hindu"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"C_Tribal_Leader_Foreign_Tastes"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Islamic"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Orthodox"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Peacemaker"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Peacemaker"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Peacemaker"
"C_Tribal_Leader_Plains_Cursed"	"C_Tribal_Leader_Protestant"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Catholic"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Hindu"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Islamic"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Orthodox"
"C_Tribal_Leader_Protestant"	"C_Tribal_Leader_Plains_Cursed"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"C_Tribal_Shaman_Pueblo_Sun_Dancer"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"C_Tribal_Shaman_Plains_Buffalo_Dancer"
